"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Jayden Daniels","WAS","QB","26.0","25.7","24.8","24.8","24.8","39.1","39.0"
"Lamar Jackson","BAL","QB","23.8","23.6","22.7","22.7","22.7","37.2","37.0"
"Justin Jefferson","MIN","WR","21.9","18.6","14.1","17.3","20.6","38.4","33.5"
"Jalen Hurts","PHI","QB","21.1","20.8","20.2","20.2","20.2","33.5","33.4"
"Kyren Williams","LA","RB","21.0","19.5","16.9","18.3","19.7","41.8","39.9"
"Alvin Kamara","NO","RB","20.4","17.6","14.2","16.8","19.5","34.5","31.0"
"Josh Allen","BUF","QB","20.0","19.8","19.4","19.4","19.4","30.8","30.7"
"Sam Darnold","MIN","QB","20.4","20.1","19.2","19.2","19.2","31.1","31.0"
"Geno Smith","SEA","QB","19.7","19.5","18.6","18.6","18.6","29.9","29.8"
"Baker Mayfield","TB","QB","19.9","19.6","18.6","18.6","18.6","30.3","30.1"
"Kirk Cousins","ATL","QB","19.7","19.5","18.5","18.5","18.5","29.6","29.5"
"Amon-Ra St. Brown","DET","WR","19.4","15.8","11.5","15.0","18.5","33.9","28.8"
"Patrick Mahomes","KC","QB","19.5","19.3","18.5","18.5","18.5","29.8","29.6"
"Jordan Love","GB","QB","19.4","19.2","18.4","18.4","18.4","29.6","29.5"
"Kyler Murray","ARI","QB","18.8","18.5","18.1","18.1","18.1","29.7","29.5"
"Brock Purdy","SF","QB","19.1","18.9","18.1","18.1","18.1","29.1","29.0"
"Drake London","ATL","WR","18.8","15.6","11.5","14.7","18.0","33.1","28.4"
"Trevor Lawrence","JAX","QB","18.9","18.7","18.0","18.0","18.0","31.9","31.8"
"Kenneth Walker III","SEA","RB","18.7","16.6","14.0","16.0","17.9","32.9","30.4"
"C.J. Stroud","HOU","QB","18.9","18.7","17.8","17.8","17.8","29.1","29.0"
"Anthony Richardson","IND","QB","18.3","18.1","17.7","17.7","17.7","29.4","29.2"
"Joe Burrow","CIN","QB","18.5","18.3","17.6","17.6","17.6","28.6","28.4"
"Bijan Robinson","ATL","RB","18.0","16.2","13.8","15.6","17.3","32.7","30.2"
"Chuba Hubbard","CAR","RB","18.2","16.4","13.9","15.6","17.3","32.4","30.1"
"Chris Godwin","TB","WR","18.2","14.9","10.8","14.1","17.3","32.6","27.8"
"Malik Nabers","NYG","WR","17.9","14.7","10.8","14.0","17.2","31.8","27.1"
"Daniel Jones","NYG","QB","17.7","17.4","17.0","17.0","17.0","27.8","27.6"
"J.K. Dobbins","LAC","RB","18.1","16.7","14.4","15.7","16.9","32.0","30.3"
"Saquon Barkley","PHI","RB","17.9","16.5","14.3","15.5","16.8","32.4","30.7"
"Jared Goff","DET","QB","17.7","17.5","16.7","16.7","16.7","27.3","27.2"
"Breece Hall","NYJ","RB","17.3","15.3","12.9","14.7","16.6","31.0","28.5"
"Ja'Marr Chase","CIN","WR","17.3","14.3","10.5","13.5","16.5","31.7","27.2"
"Aaron Jones","MIN","RB","17.1","15.1","12.7","14.6","16.5","31.2","28.4"
"Derrick Henry","BAL","RB","17.6","16.8","15.1","15.7","16.4","32.7","31.7"
"Tony Pollard","TEN","RB","17.1","15.1","12.5","14.4","16.3","29.8","27.2"
"Stefon Diggs","HOU","WR","16.9","13.9","10.2","13.2","16.2","30.9","26.5"
"Joe Mixon","HOU","RB","16.8","15.1","12.9","14.5","16.1","30.1","27.9"
"A.J. Brown","PHI","WR","17.0","14.1","10.3","13.2","16.1","31.0","26.6"
"Terry McLaurin","WAS","WR","16.8","14.3","11.0","13.5","16.1","32.3","28.5"
"Bo Nix","DEN","QB","16.5","16.3","16.0","16.0","16.0","25.9","25.7"
"Mike Evans","TB","WR","16.5","13.9","10.6","13.2","15.8","30.9","27.0"
"Travis Kelce","KC","TE","16.0","12.8","9.2","12.3","15.5","28.2","23.5"
"Zay Flowers","BAL","WR","15.9","13.2","9.9","12.6","15.3","30.3","26.2"
"Justin Herbert","LAC","QB","15.9","15.7","15.3","15.3","15.3","25.1","25.0"
"Matthew Stafford","LA","QB","16.0","15.8","15.3","15.3","15.3","28.9","28.8"
"Tyler Huntley","MIA","QB","15.8","15.6","15.3","15.3","15.3","25.6","25.5"
"Tank Dell","HOU","WR","15.8","13.2","10.0","12.6","15.1","30.0","26.1"
"Deebo Samuel","SF","WR","15.6","13.3","10.6","12.8","15.1","30.1","26.6"
"Drake Maye","NE","QB","15.6","15.3","15.0","15.0","15.0","28.0","27.8"
"Deshaun Watson","CLE","QB","15.6","15.2","14.9","14.9","14.9","24.7","24.5"
"Andy Dalton","CAR","QB","15.6","15.3","14.8","14.8","14.8","24.6","24.5"
"Tee Higgins","CIN","WR","15.5","12.8","9.6","12.2","14.8","29.2","25.2"
"Diontae Johnson","CAR","WR","15.2","12.6","9.5","12.1","14.7","28.6","24.7"
"Aaron Rodgers","NYJ","QB","15.4","15.1","14.7","14.7","14.7","24.1","23.9"
"Josh Jacobs","GB","RB","15.3","14.1","12.4","13.5","14.6","29.0","27.4"
"James Conner","ARI","RB","15.4","14.1","12.3","13.4","14.5","28.8","27.2"
"Jayden Reed","GB","WR","14.9","12.5","9.8","12.1","14.4","29.2","25.6"
"De'Von Achane","MIA","RB","15.0","13.1","10.9","12.6","14.4","27.9","25.4"
"Jordan Mason","SF","RB","14.9","14.0","12.4","13.2","14.1","28.6","27.4"
"Brian Robinson","WAS","RB","14.8","13.8","12.4","13.2","14.1","29.5","28.3"
"Jahmyr Gibbs","DET","RB","14.5","12.8","10.8","12.4","14.0","27.8","25.4"
"Brock Bowers","LV","TE","14.4","11.4","8.0","11.0","14.0","30.0","25.0"
