"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Josh Allen","BUF","QB","26.0","25.8","24.9","24.9","24.9","38.8","38.7"
"Ja'Marr Chase","CIN","WR","24.7","20.7","15.2","19.2","23.2","41.7","36.0"
"Jahmyr Gibbs","DET","RB","24.1","22.0","18.7","20.7","22.6","40.4","37.7"
"Chase Brown","CIN","RB","22.9","20.7","17.6","19.7","21.8","38.4","35.7"
"Lamar Jackson","BAL","QB","22.5","22.3","21.5","21.5","21.5","35.2","35.1"
"Joe Burrow","CIN","QB","22.9","22.8","21.5","21.5","21.5","33.8","33.7"
"Jalen Hurts","PHI","QB","21.7","21.5","21.0","21.0","21.0","34.0","33.8"
"Bijan Robinson","ATL","RB","21.5","19.7","16.9","18.6","20.4","37.1","34.8"
"Josh Jacobs","GB","RB","21.8","20.5","18.1","19.2","20.4","36.9","35.2"
"Mike Evans","TB","WR","20.6","17.5","13.2","16.3","19.4","36.3","31.7"
"Kyler Murray","ARI","QB","19.8","19.6","19.1","19.1","19.1","31.0","30.9"
"Anthony Richardson","IND","QB","19.8","19.5","19.1","19.1","19.1","31.8","31.6"
"James Conner","ARI","RB","20.1","18.4","15.9","17.4","19.0","35.0","32.9"
"Puka Nacua","LA","WR","20.1","16.8","12.5","15.7","19.0","36.9","32.0"
"Jayden Daniels","WAS","QB","19.9","19.6","19.0","19.0","19.0","31.4","31.2"
"De'Von Achane","MIA","RB","19.4","16.6","13.4","16.1","18.8","33.7","29.9"
"Baker Mayfield","TB","QB","19.7","19.5","18.7","18.7","18.7","30.4","30.2"
"Saquon Barkley","PHI","RB","20.0","18.9","16.4","17.4","18.3","34.7","33.3"
"Brock Purdy","SF","QB","19.2","18.9","18.1","18.1","18.1","29.6","29.4"
"CeeDee Lamb","DAL","WR","18.7","15.3","11.2","14.6","17.9","33.8","28.9"
"Justin Jefferson","MIN","WR","19.0","15.8","11.6","14.8","17.9","34.2","29.5"
"Chuba Hubbard","CAR","RB","18.7","16.7","14.0","15.9","17.7","32.5","30.1"
"Amon-Ra St. Brown","DET","WR","18.5","15.2","11.0","14.3","17.6","33.7","28.9"
"Sam Darnold","MIN","QB","18.7","18.4","17.6","17.6","17.6","28.8","28.7"
"Jordan Love","GB","QB","18.5","18.3","17.5","17.5","17.5","29.4","29.3"
"Nico Collins","HOU","WR","18.6","15.4","11.2","14.4","17.5","33.3","28.6"
"Patrick Mahomes","KC","QB","18.4","18.2","17.5","17.5","17.5","28.3","28.2"
"Justin Herbert","LAC","QB","18.3","18.1","17.4","17.4","17.4","28.5","28.4"
"Caleb Williams","CHI","QB","18.0","17.7","17.2","17.2","17.2","28.5","28.3"
"Davante Adams","NYJ","WR","18.1","14.9","10.9","14.1","17.2","32.6","27.9"
"Jared Goff","DET","QB","18.2","18.0","17.1","17.1","17.1","28.5","28.4"
"Kyren Williams","LA","RB","17.9","16.9","15.0","15.9","16.8","31.6","30.3"
"Joe Mixon","HOU","RB","17.5","15.5","13.0","14.8","16.7","30.1","27.6"
"Trey McBride","ARI","TE","16.8","13.5","9.6","12.9","16.2","29.6","24.6"
"Michael Penix Jr.","ATL","QB","16.9","16.7","16.2","16.2","16.2","26.6","26.5"
"Derrick Henry","BAL","RB","17.6","17.0","15.4","15.8","16.2","32.3","31.6"
"Jonathan Taylor","IND","RB","17.4","16.5","14.8","15.5","16.2","32.0","31.0"
"Malik Nabers","NYG","WR","16.9","13.7","9.8","13.0","16.2","30.5","25.8"
"A.J. Brown","PHI","WR","17.0","14.2","10.5","13.3","16.1","30.9","26.6"
"Rico Dowdle","DAL","RB","16.9","15.5","13.5","14.7","16.0","30.4","28.6"
"Tua Tagovailoa","MIA","QB","17.0","16.8","16.0","16.0","16.0","26.6","26.5"
"Geno Smith","SEA","QB","16.9","16.7","16.0","16.0","16.0","26.5","26.3"
"Bo Nix","DEN","QB","16.5","16.3","15.9","15.9","15.9","26.0","25.9"
"C.J. Stroud","HOU","QB","16.9","16.6","15.9","15.9","15.9","26.3","26.2"
"Ladd McConkey","LAC","WR","16.6","13.6","9.9","12.8","15.8","30.6","26.1"
"Aaron Rodgers","NYJ","QB","16.7","16.5","15.8","15.8","15.8","26.8","26.6"
"Dorian Thompson-Robinson","CLE","QB","16.2","15.9","15.7","15.7","15.7","26.3","26.1"
"Brian Thomas Jr.","JAX","WR","16.5","13.6","10.0","12.8","15.7","30.7","26.3"
"Brock Bowers","LV","TE","16.3","13.1","9.4","12.6","15.7","28.8","24.0"
"Jauan Jennings","SF","WR","16.5","13.6","10.0","12.8","15.7","30.3","25.9"
"Aaron Jones","MIN","RB","16.3","14.7","12.6","14.1","15.6","29.4","27.3"
"Cooper Rush","DAL","QB","16.3","16.1","15.5","15.5","15.5","25.8","25.6"
"Matthew Stafford","LA","QB","16.4","16.2","15.5","15.5","15.5","26.4","26.3"
"DJ Moore","CHI","WR","15.9","13.0","9.6","12.5","15.4","29.8","25.5"
"Bucky Irving","TB","RB","16.2","14.8","12.7","14.1","15.4","30.6","28.7"
"Bryce Young","CAR","QB","15.9","15.6","15.3","15.3","15.3","25.3","25.1"
"Drake London","ATL","WR","15.9","13.1","9.8","12.5","15.2","29.7","25.5"
"Aidan O'Connell","LV","QB","16.1","15.8","15.2","15.2","15.2","25.3","25.2"
"Tyreek Hill","MIA","WR","16.0","13.3","9.9","12.6","15.2","30.0","26.0"
"Tee Higgins","CIN","WR","15.8","13.2","10.0","12.6","15.1","29.9","26.0"
"Jakobi Meyers","LV","WR","15.7","12.9","9.4","12.3","15.1","28.8","24.5"
"Drake Maye","NE","QB","15.5","15.2","14.9","14.9","14.9","24.3","24.1"
"Jaxon Smith-Njigba","SEA","WR","15.5","12.5","9.1","12.0","14.9","28.8","24.4"
"Zay Flowers","BAL","WR","15.3","12.8","9.6","12.1","14.6","29.6","25.7"
"Cooper Kupp","LA","WR","15.1","12.2","9.0","11.8","14.6","28.4","24.2"
"Tony Pollard","TEN","RB","15.3","14.0","12.1","13.3","14.6","28.0","26.3"
"Mason Rudolph","TEN","QB","15.0","14.8","14.4","14.4","14.4","23.9","23.8"
"Terry McLaurin","WAS","WR","15.1","12.5","9.3","11.9","14.4","28.5","24.6"
"Garrett Wilson","NYJ","WR","14.9","12.1","8.9","11.6","14.3","27.9","23.8"
"James Cook","BUF","RB","14.8","13.8","12.3","13.2","14.1","28.5","27.1"
"Courtland Sutton","DEN","WR","14.7","12.1","9.1","11.6","14.1","27.6","23.8"
"Drew Lock","NYG","QB","14.7","14.5","14.1","14.1","14.1","23.5","23.3"
"Breece Hall","NYJ","RB","14.6","13.0","11.2","12.7","14.1","27.1","25.0"
"Russell Wilson","PIT","QB","14.6","14.3","14.0","14.0","14.0","23.4","23.3"
"DK Metcalf","SEA","WR","14.7","12.2","9.2","11.6","14.0","27.8","24.0"
"Adam Thielen","CAR","WR","14.4","11.7","8.5","11.2","13.9","27.1","23.0"
"Keenan Allen","CHI","WR","14.4","11.8","8.7","11.3","13.9","27.1","23.2"
"Mac Jones","JAX","QB","14.5","14.3","13.9","13.9","13.9","23.2","23.1"
"George Kittle","SF","TE","14.5","12.0","8.9","11.4","13.9","26.8","22.9"
