"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Vikings ","MIN","SF","DST","2400","4.8","-1.0","0.2","0.4","35786579","-0.8","11.6"
"Wan'Dale Robinson","NYG","@WAS","WR","4300","10.5","-1.1","7.0","6.3","35785912","3.1","20.7"
"Geno Smith","SEA","@NE","QB","5500","16.0","-1.1","1.2","1.5","35785449","7.8","25.2"
"Tony Pollard","TEN","NYJ","RB","5900","13.5","-1.1","2.6","0.9","35785548","5.1","25.1"
"Bengals ","CIN","@KC","DST","2600","5.0","-1.1","0.3","0.1","35786575","-0.6","11.8"
"Zack Moss","CIN","@KC","RB","5600","12.9","-1.2","4.6","1.9","35785566","4.7","24.3"
"Ladd McConkey","LAC","@CAR","WR","4900","11.6","-1.2","5.4","4.0","35785886","3.2","23.0"
"Tyler Johnson","LA","@ARI","WR","3300","8.4","-1.2","18.3","17.2","35785986","1.7","17.8"
"Joe Burrow","CIN","@KC","QB","6300","18.2","-1.3","1.2","1.0","35785440","9.4","28.3"
"Derek Carr","NO","@DAL","QB","5300","15.2","-1.3","0.5","0.3","35785452","7.5","24.8"
"Trey McBride","ARI","LA","TE","6000","13.5","-1.4","7.8","8.0","35786274","4.7","24.8"
"Sam LaPorta","DET","TB","TE","6300","14.1","-1.4","5.7","3.8","35786270","4.4","26.3"
"Colby Parkinson","LA","@ARI","TE","3100","7.7","-1.4","20.0","30.1","35786324","1.6","15.8"
"Matthew Stafford","LA","@ARI","QB","6000","17.1","-1.5","1.7","1.5","35785443","8.4","26.9"
"Rashid Shaheed","NO","@DAL","WR","4600","10.6","-1.5","2.9","1.9","35785896","2.5","21.9"
"Mike Evans","TB","@DET","WR","7500","16.4","-1.5","4.9","4.5","35785810","5.1","31.3"
"Lamar Jackson","BAL","LV","QB","7700","22.2","-1.6","7.0","5.5","35785433","11.9","33.9"
"Jaleel McLaughlin","DEN","PIT","RB","4500","10.3","-1.6","3.2","2.5","35785622","3.7","19.4"
"Christian Kirk","JAX","CLE","WR","5500","12.3","-1.6","3.0","1.2","35785860","3.5","24.7"
"Najee Harris","PIT","@DEN","RB","5500","12.3","-1.6","2.4","1.0","35785568","4.5","23.1"
"Jordan Akins","CLE","@JAX","TE","3000","7.3","-1.7","9.4","8.4","35786334","1.4","14.7"
"Quentin Johnston","LAC","@CAR","WR","4100","9.4","-1.7","1.4","0.6","35785920","2.1","19.6"
"Brian Robinson Jr.","WAS","NYG","RB","5800","12.8","-1.7","4.5","4.6","35785556","4.5","24.7"
"Mark Andrews","BAL","LV","TE","5000","11.1","-1.8","4.0","2.6","35786284","2.8","22.0"
"DK Metcalf","SEA","@NE","WR","5900","12.9","-1.8","4.5","3.6","35785844","3.6","25.5"
"Brian Thomas Jr.","JAX","CLE","WR","4800","10.7","-1.9","4.4","4.2","35785888","2.6","21.9"
"Cowboys ","DAL","NO","DST","4000","7.1","-1.9","0.5","0.3","35786556","1.1","14.4"
"Amari Cooper","CLE","@JAX","WR","6200","13.3","-2.0","1.4","0.6","35785832","3.8","26.2"
"Gardner Minshew II","LV","@BAL","QB","5100","13.9","-2.0","0.5","0.1","35785458","6.5","22.1"
"Will Levis","TEN","NYJ","QB","5200","14.2","-2.0","0.5","0.1","35785455","6.6","22.7"
"Jameson Williams","DET","TB","WR","5300","11.4","-2.1","6.2","6.9","35785868","2.6","23.6"
"Brock Bowers","LV","@BAL","TE","4400","9.6","-2.1","2.0","1.3","35786290","2.6","18.5"
"Mike Gesicki","CIN","@KC","TE","3100","6.9","-2.2","6.7","7.4","35786326","1.2","14.7"
"Elijah Moore","CLE","@JAX","WR","3600","7.9","-2.2","1.6","0.5","35785944","1.7","16.5"
"George Pickens","PIT","@DEN","WR","5800","12.3","-2.2","0.8","0.3","35785846","3.3","24.7"
"Michael Pittman Jr.","IND","@GB","WR","6600","13.8","-2.3","4.1","2.3","35785824","4.5","26.2"
"Hayden Hurst","LAC","@CAR","TE","3000","6.7","-2.3","5.1","4.5","35786332","1.1","14.2"
"Zach Ertz","WAS","NYG","TE","3500","7.7","-2.3","4.6","3.8","35786306","1.7","15.5"
"Buccaneers ","TB","@DET","DST","2500","3.6","-2.3","0.1","0.1","35786577","-1.7","10.1"
"Jacoby Brissett","NE","SEA","QB","5000","13.2","-2.4","0.5","0.0","35785462","6.1","21.0"
"Aaron Rodgers","NYJ","@TEN","QB","5900","15.9","-2.4","0.5","0.3","35785445","7.7","25.3"
"Tyler Conklin","NYJ","@TEN","TE","3500","7.6","-2.4","2.6","1.2","35786308","1.6","15.6"
"Jaxon Smith-Njigba","SEA","@NE","WR","4900","10.3","-2.4","2.1","0.3","35785884","2.8","20.7"
"Greg Dortch","ARI","LA","WR","4600","9.6","-2.5","0.5","0.3","35785898","2.4","19.7"
"Chuba Hubbard","CAR","LAC","RB","5300","11.0","-2.5","2.0","1.5","35785576","3.9","20.8"
"Evan Engram","JAX","CLE","TE","5400","11.2","-2.5","2.2","0.7","35786280","3.6","21.2"
"Xavier Worthy","KC","CIN","WR","6100","12.6","-2.5","4.9","4.6","35785834","2.9","26.0"
"Taysom Hill","NO","@DAL","TE","3900","8.3","-2.5","1.0","0.7","35786296","1.2","17.4"
"George Kittle","SF","@MIN","TE","5500","11.4","-2.5","2.3","2.1","35786278","3.0","22.7"
"Tyler Lockett","SEA","@NE","WR","5300","11.0","-2.5","0.5","0.3","35785866","2.9","22.2"
"Courtland Sutton","DEN","PIT","WR","5400","11.1","-2.6","2.0","1.1","35785864","3.0","22.0"
"Johnny Mundt","MIN","SF","TE","3200","6.8","-2.6","4.7","4.6","35786318","1.4","14.3"
