"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Alvin Kamara","NO","RB","23.6","20.4","16.6","19.5","22.5","40.6","36.5"
"Lamar Jackson","BAL","QB","23.1","22.8","22.0","22.0","22.0","35.7","35.5"
"Josh Allen","BUF","QB","22.7","22.5","21.8","21.8","21.8","34.6","34.5"
"Jayden Daniels","WAS","QB","22.4","22.2","21.5","21.5","21.5","34.8","34.6"
"Jalen Hurts","PHI","QB","22.0","21.7","21.2","21.2","21.2","34.3","34.2"
"Christian McCaffrey","SF","RB","21.9","19.3","15.9","18.4","20.9","36.3","33.0"
"Patrick Mahomes","KC","QB","22.0","21.8","20.7","20.7","20.7","32.6","32.5"
"Bijan Robinson","ATL","RB","20.5","18.2","15.3","17.5","19.7","35.6","32.7"
"Joe Burrow","CIN","QB","21.0","20.8","19.6","19.6","19.6","32.2","32.1"
"Puka Nacua","LA","WR","20.8","17.3","12.6","16.1","19.6","37.0","31.8"
"Ja'Marr Chase","CIN","WR","20.5","17.1","12.5","15.9","19.3","36.7","31.7"
"Anthony Richardson","IND","QB","19.8","19.6","19.1","19.1","19.1","31.6","31.4"
"Justin Herbert","LAC","QB","20.0","19.8","19.0","19.0","19.0","30.5","30.4"
"Joe Mixon","HOU","RB","20.1","18.4","15.8","17.4","18.9","34.3","32.3"
"Saquon Barkley","PHI","RB","20.3","18.5","15.8","17.4","18.9","35.3","33.2"
"Chase Brown","CIN","RB","19.7","17.5","14.8","16.8","18.8","34.3","31.7"
"Bo Nix","DEN","QB","19.7","19.5","18.8","18.8","18.8","29.8","29.7"
"Kyren Williams","LA","RB","19.8","18.5","16.2","17.4","18.6","34.3","32.8"
"Baker Mayfield","TB","QB","19.6","19.4","18.6","18.6","18.6","29.9","29.7"
"A.J. Brown","PHI","WR","19.5","16.4","12.1","15.2","18.3","34.5","29.9"
"C.J. Stroud","HOU","QB","19.3","19.1","18.2","18.2","18.2","29.7","29.5"
"Matthew Stafford","LA","QB","19.5","19.3","18.2","18.2","18.2","29.8","29.7"
"Sam Darnold","MIN","QB","19.1","18.9","18.0","18.0","18.0","29.6","29.5"
"Cooper Kupp","LA","WR","18.7","15.1","10.9","14.4","17.9","33.5","28.5"
"Justin Jefferson","MIN","WR","18.9","15.8","11.7","14.8","17.8","34.0","29.5"
"Tee Higgins","CIN","WR","18.8","15.6","11.5","14.6","17.7","34.4","29.8"
"CeeDee Lamb","DAL","WR","18.2","14.8","10.7","14.1","17.6","32.7","27.7"
