"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Christian McCaffrey","SF","SEA","RB","8300","25.9","6.5","35.0","48.0","36616360","11.2","43.5"
"Alvin Kamara","NO","CLE","RB","8200","23.7","4.5","28.2","40.0","36616362","10.7","39.8"
"De'Von Achane","MIA","LV","RB","7200","19.6","2.3","28.7","33.0","36616376","7.4","34.7"
"Breece Hall","NYJ","IND","RB","7500","19.6","1.8","14.1","17.3","36616372","8.1","34.4"
"Jameis Winston","CLE","@NO","QB","5500","18.3","1.3","14.0","19.5","36616302","9.5","28.7"
"Packers ","GB","@CHI","DST","3500","9.2","1.3","7.3","6.0","36617267","2.8","16.9"
"Kyren Williams","LA","@NE","RB","7900","19.8","1.2","13.1","12.5","36616366","7.8","34.2"
"Dolphins ","MIA","LV","DST","3000","8.2","1.2","12.7","16.4","36617272","2.1","15.5"
"Jahmyr Gibbs","DET","JAX","RB","7300","18.5","1.1","16.6","13.9","36616374","6.2","34.9"
"Jakobi Meyers","LV","@MIA","WR","5600","15.1","1.0","21.1","25.1","36616650","5.5","27.9"
"Rams ","LA","@NE","DST","3200","8.3","1.0","8.3","8.5","36617270","2.1","15.9"
"Travis Kelce","KC","@BUF","TE","6300","16.4","0.9","15.8","17.1","36617026","6.7","28.2"
"Deebo Samuel Sr.","SF","SEA","WR","6800","17.2","0.8","12.9","14.3","36616610","5.5","33.4"
"Vikings ","MIN","@TEN","DST","3700","9.2","0.8","4.3","3.4","36617265","2.9","16.8"
"Titans ","TEN","MIN","DST","2300","6.4","0.8","20.4","26.4","36617284","0.6","13.5"
"Bijan Robinson","ATL","@DEN","RB","7800","19.1","0.7","11.0","9.7","36616368","7.9","33.5"
"Jets ","NYJ","IND","DST","2800","7.3","0.7","12.7","15.4","36617274","1.3","14.6"
"Jauan Jennings","SF","SEA","WR","5300","14.1","0.6","25.0","33.7","36616660","4.3","26.9"
"Bo Nix","DEN","ATL","QB","6200","19.5","0.3","10.4","12.2","36616293","10.4","30.2"
"David Montgomery","DET","JAX","RB","6500","16.2","0.3","10.7","6.7","36616392","4.7","31.3"
"Brock Purdy","SF","SEA","QB","6600","20.7","0.3","16.7","19.9","36616290","11.3","31.6"
"Geno Smith","SEA","@SF","QB","5700","18.0","0.3","9.1","7.6","36616298","9.3","27.9"
"Lions ","DET","JAX","DST","3800","8.7","0.2","2.7","1.2","36617264","2.4","16.3"
"Puka Nacua","LA","@NE","WR","7300","17.6","0.1","9.3","8.0","36616600","6.5","32.6"
"Aaron Rodgers","NYJ","IND","QB","5500","17.1","0.1","5.2","4.0","36616301","8.7","26.9"
"Kenneth Walker III","SEA","@SF","RB","7000","16.8","0.0","11.0","9.1","36616380","6.8","29.8"
"Bills ","BUF","KC","DST","2700","6.4","0.0","5.7","4.6","36617276","0.8","13.4"
"Bears ","CHI","GB","DST","2400","5.8","0.0","4.0","3.2","36617281","0.2","12.7"
"Anthony Richardson","IND","@NYJ","QB","5300","16.4","-0.1","6.0","4.5","36616306","7.6","26.8"
"Aaron Jones","MIN","@TEN","RB","6900","16.5","-0.1","6.7","5.8","36616382","6.2","30.0"
"Russell Wilson","PIT","BAL","QB","5900","18.2","-0.1","7.4","10.1","36616296","9.5","28.6"
"George Pickens","PIT","BAL","WR","7000","16.7","-0.1","12.3","13.4","36616606","5.6","31.2"
"Browns ","CLE","@NO","DST","2600","6.1","-0.1","5.4","4.6","36617278","0.4","13.1"
"Cedric Tillman","CLE","@NO","WR","5300","13.2","-0.3","23.3","28.8","36616662","4.1","25.5"
"Drake Maye","NE","LA","QB","5600","17.0","-0.3","7.0","7.1","36616300","8.9","26.4"
"Hunter Henry","NE","LA","TE","3900","10.4","-0.3","14.2","15.6","36617056","3.0","20.1"
"Falcons ","ATL","@DEN","DST","2700","6.1","-0.3","1.4","1.0","36617275","0.3","13.1"
"Broncos ","DEN","ATL","DST","2900","6.5","-0.3","3.1","2.4","36617273","0.8","13.5"
"Saints ","NO","CLE","DST","3300","7.3","-0.3","1.2","0.4","36617269","1.0","14.8"
"Patriots ","NE","LA","DST","2500","5.6","-0.4","3.0","2.7","36617280","0.0","12.4"
"Courtland Sutton","DEN","ATL","WR","5900","14.1","-0.5","15.4","15.5","36616638","4.4","27.0"
"Evan Engram","JAX","@DET","TE","5200","12.8","-0.5","7.1","6.4","36617034","5.0","22.5"
"Brock Bowers","LV","@MIA","TE","5800","14.0","-0.5","10.7","7.3","36617030","5.3","25.2"
"Davante Adams","NYJ","IND","WR","7200","16.8","-0.5","7.5","5.8","36616602","6.1","30.5"
"49ers ","SF","SEA","DST","3600","7.6","-0.5","0.5","0.4","36617266","1.5","15.0"
"Khalil Shakir","BUF","KC","WR","6300","14.9","-0.6","13.3","15.2","36616624","5.5","27.4"
