"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Alvin Kamara","NO","LA","RB","7700","23.6","5.3","25.7","33.3","36784249","10.4","40.6"
"Chase Brown","CIN","PIT","RB","6200","19.7","4.4","35.8","52.0","36784271","8.8","34.3"
"Bijan Robinson","ATL","LAC","RB","7300","20.5","3.1","22.0","25.0","36784253","8.5","35.6"
"Puka Nacua","LA","@NO","WR","7600","20.8","2.8","20.9","26.9","36784461","8.2","37.0"
"Tee Higgins","CIN","PIT","WR","6600","18.8","2.7","21.5","25.3","36784475","7.0","34.4"
"Anthony Richardson","IND","@NE","QB","5500","19.8","2.7","12.4","16.5","36784191","9.3","31.6"
"Justin Herbert","LAC","@ATL","QB","5600","20.0","2.6","17.4","21.8","36784188","10.7","30.5"
"Kyren Williams","LA","@NO","RB","7200","19.8","2.5","17.2","16.4","36784255","7.8","34.3"
"Taysom Hill","NO","LA","TE","5000","14.8","1.9","23.1","27.5","36784837","3.8","28.0"
"Mike Evans","TB","@CAR","WR","6700","18.2","1.9","15.5","17.6","36784473","6.0","33.1"
"Chuba Hubbard","CAR","TB","RB","6700","18.0","1.8","15.5","14.5","36784263","7.7","31.8"
"Colts ","IND","@NE","DST","2800","8.1","1.6","23.6","28.9","36785064","1.9","15.7"
"Matthew Stafford","LA","@NO","QB","5800","19.5","1.5","12.5","15.3","36784186","10.2","29.8"
"Joe Mixon","HOU","@JAX","RB","8000","20.1","1.3","11.0","10.3","36784245","8.8","34.3"
"Evan Engram","JAX","HOU","TE","4800","13.5","1.0","15.9","16.1","36784839","5.0","23.8"
"Cooper Kupp","LA","@NO","WR","7400","18.7","1.0","14.3","14.7","36784463","7.4","33.5"
"Bucky Irving","TB","@CAR","RB","5800","15.5","1.0","20.8","24.7","36784279","5.2","29.1"
"Bryce Young","CAR","TB","QB","4700","15.5","0.9","2.9","2.6","36784200","7.8","24.9"
"Sam Darnold","MIN","ARI","QB","5900","19.1","0.8","9.0","11.3","36784185","10.1","29.6"
"Jaguars ","JAX","HOU","DST","2300","6.4","0.8","12.8","15.9","36785074","0.5","13.6"
"Jets ","NYJ","SEA","DST","2500","6.8","0.8","19.7","21.4","36785070","1.0","13.8"
"Dallas Goedert","PHI","@BAL","TE","4300","12.2","0.7","14.9","16.7","36784847","4.2","22.4"
"Kenneth Walker III","SEA","@NYJ","RB","7000","17.6","0.7","12.6","9.9","36784257","7.3","31.2"
"Commanders ","WAS","TEN","DST","3400","8.5","0.7","9.3","8.3","36785057","2.3","15.9"
"Zay Flowers","BAL","PHI","WR","6200","15.8","0.5","9.4","10.4","36784483","5.3","30.2"
"Ja'Marr Chase","CIN","PIT","WR","8600","20.5","0.5","7.8","6.0","36784453","8.0","36.7"
"Jonathan Taylor","IND","@NE","RB","6900","17.2","0.5","8.7","5.8","36784259","6.1","31.7"
"Saquon Barkley","PHI","@BAL","RB","8500","20.3","0.4","5.3","2.8","36784243","8.1","35.3"
"Will Levis","TEN","@WAS","QB","5000","16.0","0.4","3.8","2.4","36784196","7.7","25.2"
"Aaron Jones","MIN","ARI","RB","6500","16.1","0.3","9.0","6.2","36784267","5.9","29.6"
"Cardinals ","ARI","@MIN","DST","2400","6.0","0.3","8.5","8.3","36785071","0.2","13.0"
"Drake London","ATL","LAC","WR","6500","16.1","0.2","12.3","16.0","36784477","5.6","30.1"
"Davante Adams","NYJ","SEA","WR","7000","17.0","0.2","3.6","2.2","36784467","6.5","30.9"
"Jayden Daniels","WAS","TEN","QB","7200","22.4","0.2","6.3","4.6","36784179","11.9","34.8"
"T.J. Hockenson","MIN","ARI","TE","4400","11.8","0.1","18.3","18.8","36784845","3.8","22.3"
