"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Josh Allen","QB","BUF","NE","8700","0.9%","1.5%","1.9%","9400","12.0%"
"Ja'Marr Chase","WR","CIN","CLE","8500","17.4%","15.8%","14.7%","9500","13.9%"
"Saquon Barkley","RB","PHI","@WAS","8300","4.1%","5.3%","6.2%","9100","11.4%"
"Justin Jefferson","WR","MIN","@SEA","8200","1.3%","2.2%","2.7%","9000","3.5%"
"Bijan Robinson","RB","ATL","NYG","8100","12.1%","12.8%","13.2%","8900","16.5%"
"Puka Nacua","WR","LA","@NYJ","8000","11.9%","12.2%","12.4%","8900","12.4%"
"Amon-Ra St. Brown","WR","DET","@CHI","7900","1.7%","2.5%","3.1%","8600","3.5%"
"Jalen Hurts","QB","PHI","@WAS","7800","0.8%","0.6%","0.5%","8600","3.0%"
"A.J. Brown","WR","PHI","@WAS","7800","0.8%","0.8%","0.8%","8700","0.7%"
"Chase Brown","RB","CIN","CLE","7700","36.1%","30.8%","27.3%","8200","33.5%"
"Joe Burrow","QB","CIN","CLE","7500","3.2%","3.9%","4.3%","8300","11.1%"
"Jahmyr Gibbs","RB","DET","@CHI","7500","51.1%","41.1%","34.5%","8300","38.4%"
"De'Von Achane","RB","MIA","SF","7400","11.8%","13.7%","14.9%","8000","14.5%"
"Jayden Daniels","QB","WAS","PHI","7300","0.3%","0.4%","0.5%","8200","2.7%"
"Terry McLaurin","WR","WAS","PHI","7300","0.3%","0.4%","0.5%","8000","1.3%"
"Kyren Williams","RB","LA","@NYJ","7200","5.4%","7.7%","9.3%","8500","8.0%"
"James Conner","RB","ARI","@CAR","7100","28.9%","28.8%","28.7%","8400","16.6%"
"Davante Adams","WR","NYJ","LA","7100","7.1%","7.9%","8.4%","8400","3.0%"
"James Cook","RB","BUF","NE","7000","1.2%","1.8%","2.3%","8700","1.8%"
"Jonathan Taylor","RB","IND","TEN","6900","7.2%","8.7%","9.7%","7700","16.4%"
"Tyreek Hill","WR","MIA","SF","6900","5.9%","6.3%","6.6%","7700","10.0%"
"Jared Goff","QB","DET","@CHI","6800","0.5%","0.5%","0.5%","7800","2.0%"
"Chuba Hubbard","RB","CAR","ARI","6800","20.2%","18.2%","16.9%","7100","27.9%"
"Tee Higgins","WR","CIN","CLE","6800","2.1%","3.8%","5.0%","7800","6.8%"
"Jerry Jeudy","WR","CLE","@CIN","6700","1.3%","1.1%","1.0%","7200","3.8%"
"Tony Pollard","RB","TEN","@IND","6600","0.3%","0.7%","0.9%","7200","3.1%"
"Garrett Wilson","WR","NYJ","LA","6600","0.6%","1.6%","2.2%","7100","6.3%"
"Sam Darnold","QB","MIN","@SEA","6500","1.5%","1.5%","1.5%","7700","3.5%"
"Brock Bowers","TE","LV","JAX","6500","7.0%","8.8%","10.0%","7700","9.0%"
"Cooper Kupp","WR","LA","@NYJ","6500","1.3%","2.7%","3.7%","8300","1.5%"
"Aaron Jones Sr.","RB","MIN","@SEA","6400","6.0%","6.9%","7.4%","7500","4.8%"
"Drake London","WR","ATL","NYG","6400","11.7%","11.3%","11.0%","7400","7.9%"
"Brock Purdy","QB","SF","@MIA","6300","2.2%","3.1%","3.7%","7500","6.2%"
"Kenneth Walker III","RB","SEA","MIN","6300","1.7%","2.7%","3.4%","7000","4.3%"
"Brian Thomas Jr.","WR","JAX","@LV","6300","22.4%","20.8%","19.8%","7300","19.1%"
"Brian Robinson Jr.","RB","WAS","PHI","6200","1.4%","2.4%","3.0%","6800","7.9%"
"Trey McBride","TE","ARI","@CAR","6200","19.4%","19.5%","19.6%","7500","13.0%"
"Jordan Addison","WR","MIN","@SEA","6200","0.5%","1.1%","1.4%","6900","5.2%"
"Kyler Murray","QB","ARI","@CAR","6100","7.5%","7.8%","7.9%","8000","3.3%"
"Breece Hall","RB","NYJ","LA","6100","2.7%","5.4%","7.2%","8100","0.5%"
"Malik Nabers","WR","NYG","@ATL","6100","28.6%","26.9%","25.7%","8200","4.4%"
"Tua Tagovailoa","QB","MIA","SF","6000","0.6%","1.2%","1.6%","7600","1.3%"
"Zach Charbonnet","RB","SEA","MIN","6000","0.3%","0.4%","0.5%","6900","0.5%"
"George Kittle","TE","SF","@MIA","6000","6.5%","8.0%","9.0%","7600","5.6%"
"Jaxon Smith-Njigba","WR","SEA","MIN","6000","18.6%","17.7%","17.1%","7900","1.4%"
"Matthew Stafford","QB","LA","@NYJ","5900","1.5%","1.5%","1.5%","7100","2.3%"
"Rhamondre Stevenson","RB","NE","@BUF","5900","0.3%","0.4%","0.5%","6500","1.3%"
"Jauan Jennings","WR","SF","@MIA","5900","21.9%","20.2%","19.1%","7000","15.1%"
"Khalil Shakir","WR","BUF","NE","5900","0.3%","0.9%","1.3%","6600","3.2%"
"Drake Maye","QB","NE","@BUF","5800","0.3%","0.4%","0.5%","6800","0.5%"
"Travis Etienne Jr.","RB","JAX","@LV","5800","0.3%","0.4%","0.6%","6300","0.9%"
"Jakobi Meyers","WR","LV","JAX","5800","25.3%","22.7%","21.0%","6700","20.3%"
"DeVonta Smith","WR","PHI","@WAS","5800","2.5%","3.6%","4.4%","7600","1.5%"
"Geno Smith","QB","SEA","MIN","5700","1.5%","1.8%","2.0%","7300","1.0%"
"DJ Moore","WR","CHI","DET","5700","23.6%","20.2%","17.9%","6300","22.8%"
"Calvin Ridley","WR","TEN","@IND","5700","10.0%","9.0%","8.4%","5900","25.3%"
"Aaron Rodgers","QB","NYJ","LA","5600","3.9%","4.3%","4.6%","7300","1.8%"
"Jerome Ford","RB","CLE","@CIN","5600","8.3%","10.2%","11.4%","6600","5.9%"
"D'Andre Swift","RB","CHI","DET","5600","4.2%","5.7%","6.7%","6200","9.9%"
"Adam Thielen","WR","CAR","ARI","5600","15.4%","13.8%","12.8%","6200","20.1%"
"Caleb Williams","QB","CHI","DET","5500","11.8%","10.8%","10.1%","7200","2.2%"
"Tyrone Tracy Jr.","RB","NYG","@ATL","5500","4.7%","5.8%","6.5%","6400","4.0%"
"Tyler Allgeier","RB","ATL","NYG","5500","0.1%","0.2%","0.3%","5700","0.5%"
"Jonnu Smith","TE","MIA","SF","5500","7.2%","10.3%","12.4%","7000","4.2%"
"DK Metcalf","WR","SEA","MIN","5500","18.2%","17.8%","17.6%","7500","1.3%"
"Jameson Williams","WR","DET","@CHI","5500","1.7%","2.5%","3.0%","6100","10.0%"
"Anthony Richardson","QB","IND","TEN","5400","21.4%","20.3%","19.6%","7400","8.8%"
"Cam Akers","RB","MIN","@SEA","5400","0.1%","0.2%","0.3%","5500","0.3%"
"Marvin Harrison Jr.","WR","ARI","@CAR","5400","2.6%","3.4%","3.9%","6800","0.7%"
"Darnell Mooney","WR","ATL","NYG","5400","3.3%","2.8%","2.5%","6400","1.1%"
"Bryce Young","QB","CAR","ARI","5300","1.7%","2.1%","2.3%","6700","2.4%"
"Tank Bigsby","RB","JAX","@LV","5300","0.3%","0.4%","0.5%","6100","0.5%"
"Antonio Gibson","RB","NE","@BUF","5300","0.1%","0.2%","0.3%","5000","0.3%"
"Keenan Allen","WR","CHI","DET","5300","17.3%","15.0%","13.5%","6200","13.1%"
"Mac Jones","QB","JAX","@LV","5200","1.5%","2.2%","2.6%","6800","0.8%"
"Patrick Taylor Jr.","RB","SF","@MIA","5200","4.9%","3.9%","3.2%","4800","22.7%"
"Ty Johnson","RB","BUF","NE","5200","0.0%","0.0%","0.0%","5500","0.0%"
"Deebo Samuel Sr.","WR","SF","@MIA","5200","12.6%","12.9%","13.1%","6500","7.0%"
"Amari Cooper","WR","BUF","NE","5200","0.3%","0.4%","0.5%","5600","0.5%"
"Aidan O'Connell","QB","LV","JAX","5100","6.5%","6.0%","5.6%","6900","3.6%"
"Alexander Mattison","RB","LV","JAX","5100","6.4%","6.2%","6.0%","5600","11.9%"
"Braelon Allen","RB","NYJ","LA","5100","0.0%","0.0%","0.0%","5500","0.0%"
"Rome Odunze","WR","CHI","DET","5100","0.3%","0.4%","0.5%","5900","0.7%"
"Mason Rudolph","QB","TEN","@IND","5000","1.0%","1.8%","2.3%","6500","1.0%"
"Isaiah Davis","RB","NYJ","LA","5000","0.0%","0.0%","0.0%","5100","0.3%"
"Michael Pittman Jr.","WR","IND","TEN","5000","4.4%","4.6%","4.6%","6100","2.8%"
"Drew Lock","QB","NYG","@ATL","4900","0.5%","1.0%","1.3%","6400","0.5%"
"Tyjae Spears","RB","TEN","@IND","4900","0.3%","0.7%","0.9%","5900","1.5%"
"Raheem Mostert","RB","MIA","SF","4900","0.1%","0.2%","0.3%","4900","0.5%"
"Josh Downs","WR","IND","TEN","4900","8.1%","8.0%","7.9%","6000","5.6%"
"Dorian Thompson-Robinson","QB","CLE","@CIN","4800","7.3%","6.8%","6.5%","6000","6.4%"
"Roschon Johnson","RB","CHI","DET","4800","0.0%","0.0%","0.0%","5200","0.0%"
"Kenneth Gainwell","RB","PHI","@WAS","4800","0.0%","0.0%","0.0%","5000","0.0%"
"T.J. Hockenson","TE","MIN","@SEA","4800","3.9%","4.8%","5.4%","5800","8.6%"
"Elijah Moore","WR","CLE","@CIN","4800","1.3%","0.8%","0.5%","5500","0.8%"
"Ray Davis","RB","BUF","NE","4700","0.0%","0.0%","0.0%","5200","0.3%"
"Israel Abanikanda","RB","SF","@MIA","4700","0.0%","0.0%","0.0%","4400","0.0%"
"Sam LaPorta","TE","DET","@CHI","4700","6.6%","6.4%","6.3%","6000","5.1%"
"Nick Westbrook-Ikhine","WR","TEN","@IND","4700","0.3%","0.4%","0.5%","5400","0.5%"
"Keon Coleman","WR","BUF","NE","4700","0.1%","0.2%","0.3%","5300","1.0%"
"Ameer Abdullah","RB","LV","JAX","4600","3.0%","3.3%","3.4%","5100","3.1%"
"Dalton Kincaid","TE","BUF","NE","4600","0.9%","1.5%","1.9%","5600","4.9%"
"Michael Penix Jr.","QB","ATL","NYG","4500","23.8%","20.5%","18.3%","6000","14.9%"
"Devin Singletary","RB","NYG","@ATL","4500","0.1%","0.2%","0.3%","5400","0.3%"
"Khalil Herbert","RB","CIN","CLE","4500","0.0%","0.0%","0.0%","5000","0.0%"
"Ray-Ray McCloud III","WR","ATL","NYG","4500","1.0%","0.7%","0.5%","5700","0.5%"
"Tim Patrick","WR","DET","@CHI","4500","0.3%","0.4%","0.5%","5500","0.5%"
"Pierre Strong Jr.","RB","CLE","@CIN","4400","0.0%","0.0%","0.0%","4700","0.0%"
"Ke'Shawn Vaughn","RB","SF","@MIA","4400","0.0%","0.0%","0.0%","4500","0.0%"
"DeMario Douglas","WR","NE","@BUF","4400","0.5%","0.7%","0.9%","4900","4.4%"
"Jeremy McNichols","RB","WAS","PHI","4300","0.0%","0.0%","0.0%","5300","0.0%"
"Ty Chandler","RB","MIN","@SEA","4300","0.0%","0.0%","0.0%","4600","0.0%"
"Parker Washington","WR","JAX","@LV","4300","0.3%","0.4%","0.5%","5600","0.3%"
"Ricky Pearsall","WR","SF","@MIA","4300","0.1%","0.2%","0.3%","4700","0.3%"
"Blake Corum","RB","LA","@NYJ","4200","0.0%","0.0%","0.0%","4600","0.0%"
"Jalen Coker","WR","CAR","ARI","4200","1.7%","2.5%","3.0%","5200","3.3%"
"Michael Wilson","WR","ARI","@CAR","4200","0.3%","0.4%","0.5%","5000","0.9%"
"D'Onta Foreman","RB","CLE","@CIN","4100","0.0%","0.0%","0.0%","4000","0.3%"
"Jaylen Wright","RB","MIA","SF","4100","0.0%","0.0%","0.0%","4700","0.0%"
"Hunter Henry","TE","NE","@BUF","4100","13.3%","14.1%","14.6%","5000","18.7%"
"Wan'Dale Robinson","WR","NYG","@ATL","4100","12.5%","12.1%","11.8%","5100","4.7%"
"Craig Reynolds","RB","DET","@CHI","4000","0.1%","0.2%","0.3%","4200","0.3%"
"Chris Rodriguez Jr.","RB","WAS","PHI","4000","0.0%","0.0%","0.0%","5300","0.0%"
"Trey Sermon","RB","IND","TEN","4000","0.0%","0.0%","0.0%","4700","0.0%"
"Tyler Goodson","RB","IND","TEN","4000","0.0%","0.0%","0.0%","4500","0.0%"
"Kyle Juszczyk","RB","SF","@MIA","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Alec Ingold","RB","MIA","SF","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Terrell Jennings","RB","NE","@BUF","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Eric Gray","RB","NYG","@ATL","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Velus Jones Jr.","RB","CAR","ARI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Julius Chestnut","RB","TEN","@IND","4000","0.0%","0.0%","0.0%","4200","0.0%"
"C.J. Ham","RB","MIN","@SEA","4000","0.0%","0.0%","0.0%","4100","0.0%"
"DeeJay Dallas","RB","ARI","@CAR","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Kenny McIntosh","RB","SEA","MIN","4000","0.0%","0.0%","0.0%","4900","0.0%"
"Ronnie Rivers","RB","LA","@NYJ","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Will Shipley","RB","PHI","@WAS","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Sione Vaki","RB","DET","@CHI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Trayveon Williams","RB","CIN","CLE","4000","0.0%","0.0%","0.0%","4400","0.0%"
"Avery Williams","RB","ATL","NYG","4000","0.0%","0.0%","0.0%","4500","0.0%"
"Raheem Blackshear","RB","CAR","ARI","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Michael Carter","RB","ARI","@CAR","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Keilan Robinson","RB","JAX","@LV","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Dylan Laube","RB","LV","JAX","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Kyle Pitts","TE","ATL","NYG","4000","1.3%","1.4%","1.5%","5300","0.3%"
"Allen Lazard","WR","NYJ","LA","4000","0.1%","0.2%","0.3%","4900","0.3%"
"Demarcus Robinson","WR","LA","@NYJ","4000","0.1%","0.2%","0.3%","5000","0.3%"
"Tre Tucker","WR","LV","JAX","3900","2.2%","2.9%","3.3%","4900","3.3%"
"Tyler Lockett","WR","SEA","MIN","3900","0.3%","0.3%","0.3%","5300","0.3%"
"Zach Ertz","TE","WAS","PHI","3800","5.7%","5.5%","5.4%","5200","3.2%"
"Adonai Mitchell","WR","IND","TEN","3800","1.8%","1.6%","1.5%","4900","0.5%"
"Darius Slayton","WR","NYG","@ATL","3800","0.1%","0.2%","0.3%","4800","0.3%"
"Falcons ","DST","ATL","NYG","3700","2.5%","3.2%","3.6%","4000","19.0%"
"Cole Kmet","TE","CHI","DET","3700","0.1%","0.2%","0.3%","5200","0.3%"
"Malik Washington","WR","MIA","SF","3700","5.7%","4.2%","3.1%","4700","5.5%"
"Tyler Boyd","WR","TEN","@IND","3700","0.1%","0.2%","0.3%","4800","0.3%"
"Bills ","DST","BUF","NE","3600","14.3%","13.4%","12.8%","5000","2.9%"
"Noah Fant","TE","SEA","MIN","3600","0.1%","0.2%","0.3%","5000","0.3%"
"David Moore","WR","CAR","ARI","3600","7.8%","9.7%","10.9%","4800","7.7%"
"Andrei Iosivas","WR","CIN","CLE","3600","0.1%","0.2%","0.3%","5100","0.3%"
"Mack Hollins","WR","BUF","NE","3600","0.0%","0.0%","0.0%","5200","0.0%"
"Vikings ","DST","MIN","@SEA","3500","2.3%","2.5%","2.6%","4700","1.5%"
"Brenton Strange","TE","JAX","@LV","3500","43.3%","35.1%","29.7%","5200","14.3%"
"Kayshon Boutte","WR","NE","@BUF","3500","1.8%","2.4%","2.8%","4700","1.7%"
"Olamide Zaccheaus","WR","WAS","PHI","3500","0.1%","0.2%","0.3%","4700","0.3%"
"Tutu Atwell","WR","LA","@NYJ","3500","0.0%","0.0%","0.0%","4700","0.0%"
"Lions ","DST","DET","@CHI","3400","3.5%","3.7%","3.8%","4900","0.5%"
"Chig Okonkwo","TE","TEN","@IND","3400","3.0%","3.8%","4.3%","5100","0.6%"
"Grant Calcaterra","TE","PHI","@WAS","3400","0.2%","0.5%","0.7%","4800","0.3%"
"Dyami Brown","WR","WAS","PHI","3400","2.2%","3.1%","3.6%","4900","1.6%"
"Kendrick Bourne","WR","NE","@BUF","3400","1.3%","1.3%","1.3%","4800","0.3%"
"Bengals ","DST","CIN","CLE","3300","12.5%","12.1%","11.8%","4400","7.1%"
"Mike Gesicki","TE","CIN","CLE","3300","4.2%","4.7%","5.1%","5000","1.2%"
"Dawson Knox","TE","BUF","NE","3300","0.0%","0.0%","0.0%","4900","0.0%"
"Josh Reynolds","WR","JAX","@LV","3300","0.0%","0.0%","0.0%","4500","0.0%"
"Jalen Nailor","WR","MIN","@SEA","3300","0.0%","0.0%","0.0%","4900","0.0%"
"Jahan Dotson","WR","PHI","@WAS","3300","0.0%","0.0%","0.0%","4600","0.0%"
"Cardinals ","DST","ARI","@CAR","3200","1.3%","1.2%","1.1%","4500","0.5%"
"Jordan Akins","TE","CLE","@CIN","3200","1.5%","1.6%","1.7%","5100","0.3%"
"Tyler Higbee","TE","LA","@NYJ","3200","0.0%","0.0%","0.0%","4000","0.1%"
"Michael Woods II","WR","CLE","@CIN","3200","0.2%","0.3%","0.3%","4500","0.1%"
"River Cracraft","WR","MIA","SF","3200","0.0%","0.0%","0.0%","4400","0.1%"
"Greg Dortch","WR","ARI","@CAR","3200","0.0%","0.0%","0.0%","4900","0.0%"
"Eagles ","DST","PHI","@WAS","3100","2.6%","3.7%","4.5%","4100","2.2%"
"Austin Hooper","TE","NE","@BUF","3100","0.6%","1.1%","1.5%","4700","0.3%"
"AJ Barner","TE","SEA","MIN","3100","0.0%","0.0%","0.0%","4700","0.0%"
"Devin Duvernay","WR","JAX","@LV","3100","0.1%","0.2%","0.2%","4800","0.0%"
"Luke McCaffrey","WR","WAS","PHI","3100","0.0%","0.0%","0.0%","4600","0.0%"
