"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Kareem Hunt","KC","@CAR","RB","5700","18.0","3.7","35.2","44.7","36700655","6.8","32.2"
"Anthony Richardson","IND","DET","QB","5600","20.1","2.7","17.1","22.4","36700568","9.8","31.8"
"De'Von Achane","MIA","NE","RB","7500","20.1","2.3","28.1","35.0","36700627","7.7","35.6"
"Buccaneers ","TB","@NYG","DST","3300","9.8","2.2","14.4","18.3","36701456","3.2","17.5"
"James Conner","ARI","@SEA","RB","6500","17.8","2.0","22.0","24.5","36700641","6.7","32.6"
"Tommy DeVito","NYG","TB","QB","4000","14.5","2.0","6.3","6.9","36700606","7.0","23.4"
"Brandon Allen","SF","@GB","QB","4000","14.2","1.7","5.2","6.7","36700594","6.8","22.9"
"Geno Smith","SEA","ARI","QB","5700","19.3","1.7","14.0","15.7","36700567","10.1","29.8"
"Brian Robinson Jr.","WAS","DAL","RB","5600","15.8","1.7","28.0","35.1","36700657","4.8","30.2"
"Travis Kelce","KC","@CAR","TE","5800","15.8","1.4","20.1","22.2","36701225","6.0","28.1"
"Christian McCaffrey","SF","@GB","RB","8500","21.2","1.4","13.4","11.9","36700623","9.3","35.8"
"Dolphins ","MIA","NE","DST","3100","8.6","1.4","12.9","14.1","36701458","2.2","16.2"
"Vikings ","MIN","@CHI","DST","3400","9.1","1.4","9.0","8.2","36701455","2.8","16.8"
"Kenneth Walker III","SEA","ARI","RB","6900","17.9","1.3","18.9","20.5","36700633","7.3","31.7"
"Broncos ","DEN","@LV","DST","3200","8.7","1.3","11.3","12.3","36701457","2.5","16.3"
"Joe Mixon","HOU","TEN","RB","8000","20.1","1.2","19.2","20.1","36700625","8.4","34.4"
"Texans ","HOU","TEN","DST","3600","9.4","1.2","6.8","7.9","36701453","3.0","17.0"
"Josh Jacobs","GB","SF","RB","6800","17.4","0.9","16.8","14.6","36700635","6.4","31.2"
"Packers ","GB","SF","DST","2800","7.5","0.9","10.9","10.0","36701461","1.7","14.7"
"Tony Pollard","TEN","@HOU","RB","5800","15.3","0.8","12.4","10.1","36700653","6.1","27.4"
"Bears ","CHI","MIN","DST","2500","6.8","0.8","11.3","13.5","36701464","0.9","14.0"
"Hunter Henry","NE","@MIA","TE","4000","11.6","0.7","17.8","20.3","36701239","3.6","21.8"
"Jayden Daniels","WAS","DAL","QB","7000","22.1","0.5","10.7","11.1","36700556","11.8","34.5"
"Chiefs ","KC","@CAR","DST","3900","9.3","0.5","2.0","0.9","36701451","2.9","17.0"
"Tua Tagovailoa","MIA","NE","QB","5800","18.3","0.4","7.8","9.1","36700566","9.5","28.4"
"Titans ","TEN","@HOU","DST","2300","6.0","0.4","4.2","3.6","36701469","0.2","13.0"
"Brock Bowers","LV","DEN","TE","6300","15.7","0.2","14.4","13.9","36701221","6.4","27.4"
"CeeDee Lamb","DAL","@WAS","WR","7300","17.6","0.1","9.8","9.7","36700849","6.7","31.8"
"Courtland Sutton","DEN","@LV","WR","5800","14.6","0.1","26.0","30.6","36700873","4.7","27.9"
"Ameer Abdullah","LV","DEN","RB","4300","11.6","0.1","6.7","6.9","36700709","4.0","22.1"
"Jakobi Meyers","LV","DEN","WR","5100","13.2","0.1","25.6","31.8","36700891","4.5","25.0"
"Giants ","NYG","TB","DST","2400","5.9","0.1","4.1","3.0","36701466","0.2","12.8"
"Cardinals ","ARI","@SEA","DST","2600","6.2","0.0","2.7","1.9","36701463","0.4","13.2"
"Commanders ","WAS","DAL","DST","3500","8.0","0.0","6.0","3.8","36701454","2.0","15.4"
"Kyler Murray","ARI","@SEA","QB","6200","19.1","-0.1","8.4","7.1","36700563","9.7","30.0"
"Caleb Williams","CHI","MIN","QB","5100","15.8","-0.1","2.0","1.1","36700572","7.8","25.1"
"Jahmyr Gibbs","DET","@IND","RB","7300","17.4","-0.1","7.9","7.7","36700629","5.7","32.8"
"Drake Maye","NE","@MIA","QB","5500","17.0","-0.1","3.5","1.9","36700569","8.9","26.4"
"Rhamondre Stevenson","NE","@MIA","RB","5900","14.5","-0.1","9.2","4.1","36700651","5.6","26.6"
"Jaxon Smith-Njigba","SEA","ARI","WR","6300","15.4","-0.1","19.5","21.5","36700863","5.5","29.0"
"Rico Dowdle","DAL","@WAS","RB","5500","13.7","-0.2","6.3","3.3","36700661","4.9","25.6"
"Amon-Ra St. Brown","DET","@IND","WR","8300","19.2","-0.2","16.0","17.9","36700841","7.3","34.4"
"Nico Collins","HOU","TEN","WR","7600","17.7","-0.3","14.5","13.9","36700845","6.3","32.3"
"Raiders ","LV","DEN","DST","2500","5.7","-0.3","1.0","0.4","36701465","0.1","12.6"
"Trey McBride","ARI","@SEA","TE","5600","13.7","-0.4","11.1","9.8","36701227","5.0","25.0"
"DK Metcalf","SEA","ARI","WR","6600","15.6","-0.5","13.4","13.5","36700857","4.9","29.6"
"Calvin Ridley","TEN","@HOU","WR","5700","13.8","-0.5","21.5","24.5","36700875","4.2","26.4"
"David Montgomery","DET","@IND","RB","6700","15.6","-0.6","5.2","5.9","36700637","4.6","30.6"
"Tyreek Hill","MIA","NE","WR","7200","16.7","-0.6","12.2","13.9","36700851","5.5","31.7"
"Bucky Irving","TB","@NYG","RB","5300","12.9","-0.6","9.0","6.7","36700665","4.0","25.0"
"Jonnu Smith","MIA","NE","TE","4100","10.4","-0.7","13.1","12.0","36701237","3.1","20.1"
"Luke Schoonmaker","DAL","@WAS","TE","2500","7.1","-0.8","10.5","11.6","36701345","1.6","14.1"
"Bo Nix","DEN","@LV","QB","6300","18.7","-0.8","6.0","5.7","36700562","9.8","28.9"
"Zach Ertz","WAS","DAL","TE","3800","9.7","-0.8","6.2","5.9","36701243","2.6","18.7"
"Sam LaPorta","DET","@IND","TE","4300","10.7","-0.9","8.5","9.1","36701233","2.9","20.5"
"Jonathan Taylor","IND","DET","RB","7100","16.2","-0.9","3.1","1.0","36700631","5.7","30.2"
"Patrick Mahomes","KC","@CAR","QB","6800","20.1","-0.9","3.8","3.5","36700557","10.8","30.4"
"T.J. Hockenson","MIN","@CHI","TE","4200","10.4","-0.9","5.7","4.9","36701235","3.2","19.7"
"Baker Mayfield","TB","@NYG","QB","6100","18.0","-0.9","4.8","3.7","36700564","9.3","28.0"
"Will Levis","TEN","@HOU","QB","4900","14.4","-0.9","1.3","0.5","36700574","6.8","23.1"
"Panthers ","CAR","KC","DST","2200","4.4","-1.0","0.7","0.7","36701470","-0.9","10.9"
"Lions ","DET","@IND","DST","3700","7.3","-1.1","1.5","1.3","36701452","1.1","14.8"
"Seahawks ","SEA","ARI","DST","2900","5.6","-1.1","0.3","0.1","36701460","0.1","12.5"
"Cowboys ","DAL","@WAS","DST","2400","4.6","-1.2","0.3","0.1","36701467","-0.9","11.2"
"Aaron Jones","MIN","@CHI","RB","6400","14.4","-1.3","2.7","1.0","36700643","4.9","26.7"
"Rachaad White","TB","@NYG","RB","5400","12.3","-1.3","2.5","1.0","36700663","3.9","24.1"
"Tyrone Tracy Jr.","NYG","TB","RB","6000","13.4","-1.4","4.9","2.2","36700649","4.7","24.9"
"Mike Evans","TB","@NYG","WR","7000","15.5","-1.4","5.5","5.1","36700853","4.9","29.5"
"Chuba Hubbard","CAR","KC","RB","6600","14.5","-1.5","4.0","0.8","36700639","5.7","26.1"
"Romeo Doubs","GB","SF","WR","4600","10.6","-1.5","9.2","10.3","36700911","2.6","21.5"
"Dalton Schultz","HOU","TEN","TE","3500","8.4","-1.5","4.2","2.9","36701249","2.0","16.7"
