"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","24.9","24.6","23.7","23.7","23.7","38.7","38.5"
"Jalen Hurts","PHI","QB","22.8","22.6","21.9","21.9","21.9","35.7","35.6"
"Jayden Daniels","WAS","QB","22.4","22.1","21.3","21.3","21.3","34.3","34.0"
"CeeDee Lamb","DAL","WR","21.3","17.8","13.3","16.7","20.2","37.7","32.7"
"Dak Prescott","DAL","QB","21.2","21.0","19.8","19.8","19.8","32.0","31.9"
"Amon-Ra St. Brown","DET","WR","20.1","16.6","12.1","15.7","19.2","35.5","30.4"
"Joe Burrow","CIN","QB","20.2","20.0","19.0","19.0","19.0","30.8","30.7"
"Daniel Jones","NYG","QB","19.6","19.3","18.8","18.8","18.8","30.6","30.4"
"Jordan Love","GB","QB","19.5","19.3","18.4","18.4","18.4","29.8","29.6"
"Brock Purdy","SF","QB","19.4","19.2","18.2","18.2","18.2","29.6","29.5"
"Saquon Barkley","PHI","RB","19.3","17.9","15.5","16.8","18.1","34.4","32.6"
"Geno Smith","SEA","QB","18.9","18.7","17.9","17.9","17.9","29.1","29.0"
"Kyler Murray","ARI","QB","18.5","18.2","17.8","17.8","17.8","29.4","29.2"
"Josh Allen","BUF","QB","18.4","18.1","17.8","17.8","17.8","28.6","28.4"
"Baker Mayfield","TB","QB","18.6","18.3","17.6","17.6","17.6","28.5","28.3"
"Alvin Kamara","NO","RB","18.3","16.1","13.4","15.4","17.5","32.3","29.4"
"Kirk Cousins","ATL","QB","18.5","18.4","17.4","17.4","17.4","28.8","28.7"
"Ja'Marr Chase","CIN","WR","18.3","15.1","11.2","14.3","17.4","33.0","28.4"
"Drake London","ATL","WR","17.9","14.9","11.0","14.0","17.0","32.5","28.1"
"Justin Fields","PIT","QB","17.6","17.3","17.0","17.0","17.0","27.8","27.6"
"Derrick Henry","BAL","RB","18.1","17.2","15.5","16.2","16.9","33.9","32.8"
"Caleb Williams","CHI","QB","17.7","17.4","16.9","16.9","16.9","28.0","27.8"
"Chris Godwin","TB","WR","17.7","14.5","10.6","13.7","16.9","32.0","27.4"
"Bijan Robinson","ATL","RB","17.5","15.8","13.7","15.2","16.8","32.2","30.1"
"Trevor Lawrence","JAX","QB","17.6","17.4","16.8","16.8","16.8","27.2","27.0"
"Jared Goff","DET","QB","17.6","17.4","16.7","16.7","16.7","27.3","27.2"
"C.J. Stroud","HOU","QB","17.3","17.1","16.5","16.5","16.5","26.8","26.7"
"Jordan Mason","SF","RB","17.7","16.7","14.8","15.6","16.5","33.0","31.8"
"Breece Hall","NYJ","RB","16.8","14.5","11.8","14.1","16.3","30.0","26.9"
"Bucky Irving","TB","RB","17.0","15.2","12.9","14.5","16.2","30.7","28.5"
"Kenneth Walker III","SEA","RB","16.7","14.9","12.6","14.3","16.1","30.4","28.0"
"Chuba Hubbard","CAR","RB","16.8","15.1","12.8","14.4","16.0","30.2","27.9"
"Tony Pollard","TEN","RB","16.7","15.1","13.0","14.5","16.0","30.8","28.6"
"Deebo Samuel","SF","WR","16.4","14.0","11.2","13.5","15.9","31.2","27.6"
"Zay Flowers","BAL","WR","16.4","13.7","10.4","13.0","15.7","30.9","26.9"
"Jahmyr Gibbs","DET","RB","16.0","14.4","12.4","13.9","15.4","30.5","28.3"
"Stefon Diggs","HOU","WR","16.0","13.1","9.7","12.5","15.4","29.6","25.3"
"Garrett Wilson","NYJ","WR","15.7","12.8","9.3","12.2","15.2","29.0","24.6"
"Wan'Dale Robinson","NYG","WR","15.4","12.2","8.7","11.9","15.1","28.2","23.6"
"Terry McLaurin","WAS","WR","15.8","13.2","9.9","12.5","15.1","29.7","25.7"
"J.K. Dobbins","LAC","RB","15.9","14.5","12.5","13.7","15.0","28.8","27.0"
"Jayden Reed","GB","WR","15.4","13.1","10.3","12.5","14.8","30.4","26.8"
"Aaron Rodgers","NYJ","QB","15.5","15.3","14.8","14.8","14.8","24.5","24.3"
"Will Levis","TEN","QB","15.5","15.2","14.8","14.8","14.8","24.4","24.2"
"Diontae Johnson","CAR","WR","15.1","12.5","9.4","12.0","14.6","28.5","24.6"
"Josh Jacobs","GB","RB","15.3","14.1","12.4","13.5","14.6","29.2","27.6"
"Joe Flacco","IND","QB","15.5","15.3","14.6","14.6","14.6","24.6","24.5"
"A.J. Brown","PHI","WR","15.3","12.7","9.4","12.0","14.6","28.4","24.4"
"Mike Evans","TB","WR","15.3","12.9","9.8","12.2","14.6","29.2","25.5"
"Tee Higgins","CIN","WR","15.0","12.6","9.5","11.9","14.4","28.6","24.8"
"Deshaun Watson","CLE","QB","15.0","14.7","14.4","14.4","14.4","24.1","23.9"
"Andy Dalton","CAR","QB","15.1","14.9","14.3","14.3","14.3","24.0","23.9"
"DJ Moore","CHI","WR","14.8","12.2","9.1","11.7","14.2","28.4","24.5"
"DK Metcalf","SEA","WR","14.6","12.2","9.3","11.6","14.0","27.8","24.2"
"James Conner","ARI","RB","14.7","13.6","12.0","12.9","13.9","27.7","26.3"
"Spencer Rattler","NO","QB","14.3","14.1","13.9","13.9","13.9","23.1","23.0"
"James Cook","BUF","RB","14.5","13.1","11.4","12.6","13.8","27.3","25.5"
"Bo Nix","DEN","QB","14.2","14.0","13.8","13.8","13.8","22.9","22.7"
"Joe Mixon","HOU","RB","14.4","13.1","11.3","12.6","13.8","26.8","25.0"
"Brandon Aiyuk","SF","WR","14.5","12.1","9.2","11.5","13.8","27.6","24.0"
"Austin Ekeler","WAS","RB","14.2","12.6","10.7","12.3","13.8","27.4","25.1"
"Tank Dell","HOU","WR","14.2","12.0","9.2","11.5","13.7","28.2","24.7"
"David Montgomery","DET","RB","14.3","13.4","12.0","12.8","13.6","28.3","27.1"
"Travis Etienne","JAX","RB","14.0","12.2","10.3","12.0","13.6","26.6","24.1"
"D'Andre Swift","CHI","RB","14.0","12.5","10.7","12.1","13.5","26.7","24.7"
"Drake Maye","NE","QB","13.9","13.6","13.5","13.5","13.5","22.2","22.0"
"Najee Harris","PIT","RB","14.1","12.7","10.8","12.1","13.4","26.8","25.0"
"Brian Thomas Jr.","JAX","WR","13.6","11.3","8.6","10.9","13.1","26.1","22.6"
"Darnell Mooney","ATL","WR","13.5","11.2","8.4","10.7","13.0","26.0","22.4"
"Marvin Harrison Jr.","ARI","WR","13.4","11.1","8.5","10.7","12.9","25.8","22.3"
"Zack Moss","CIN","RB","13.3","11.7","9.9","11.4","12.9","25.8","23.5"
"Brock Bowers","LV","TE","13.2","10.5","7.6","10.3","12.9","23.3","19.2"
"Justin Herbert","LAC","QB","13.3","13.1","12.9","12.9","12.9","21.3","21.2"
"George Kittle","SF","TE","13.3","11.0","8.2","10.6","12.9","25.1","21.4"
"Tyrone Tracy Jr.","NYG","RB","13.4","12.0","10.4","11.6","12.8","26.0","24.2"
"Devonta Smith","PHI","WR","13.3","10.9","8.0","10.4","12.8","25.7","22.0"
"Jake Ferguson","DAL","TE","13.0","10.4","7.5","10.1","12.7","23.8","19.8"
"Javonte Williams","DEN","RB","12.8","11.1","9.2","10.8","12.4","23.9","21.5"
"Amari Cooper","CLE","WR","12.7","10.5","7.9","10.0","12.2","24.7","21.3"
"Darius Slayton","NYG","WR","12.6","10.5","7.9","10.0","12.2","24.8","21.5"
"Rico Dowdle","DAL","RB","12.6","11.4","10.0","11.0","12.1","24.6","22.9"
"Trey Sermon","IND","RB","12.5","11.2","9.7","10.9","12.1","23.9","22.1"
"Michael Pittman","IND","WR","12.5","10.1","7.3","9.7","12.1","23.6","19.9"
"Christian Kirk","JAX","WR","12.4","10.2","7.6","9.8","12.1","24.0","20.6"
"Josh Downs","IND","WR","12.4","9.9","7.0","9.5","12.0","23.3","19.5"
"Antonio Gibson","NE","RB","12.5","11.1","9.3","10.7","12.0","23.6","21.6"
"Trey McBride","ARI","TE","12.1","9.5","6.7","9.3","11.9","21.8","17.9"
"Rashid Shaheed","NO","WR","12.3","10.4","8.1","10.0","11.9","24.7","21.7"
"Jaxon Smith-Njigba","SEA","WR","12.1","9.7","7.0","9.4","11.8","23.0","19.3"
"Chris Olave","NO","WR","11.9","9.8","7.3","9.4","11.6","23.1","19.8"
"Jerome Ford","CLE","RB","11.8","10.3","8.6","10.0","11.5","22.6","20.5"
"Keenan Allen","CHI","WR","11.8","9.5","7.0","9.2","11.4","22.8","19.4"
"Courtland Sutton","DEN","WR","11.6","9.5","7.1","9.1","11.2","22.2","19.0"
"Ladd McConkey","LAC","WR","11.5","9.4","7.0","9.1","11.2","22.2","19.0"
"Jameson Williams","DET","WR","11.5","9.8","7.7","9.4","11.1","24.0","21.3"
"Alexander Mattison","LV","RB","11.7","10.7","9.3","10.2","11.1","22.6","21.2"
"Aidan O'Connell","LV","QB","11.4","11.2","11.0","11.0","11.0","18.6","18.5"
"Chase Brown","CIN","RB","11.2","10.0","8.6","9.8","10.9","22.8","21.1"
"Jalen Tolbert","DAL","WR","11.2","9.2","7.0","8.9","10.9","22.4","19.4"
"Dalton Kincaid","BUF","TE","10.8","8.6","6.2","8.4","10.7","20.2","16.7"
"Xavier Legette","CAR","WR","10.8","8.9","6.7","8.6","10.5","21.7","18.7"
"Ray-Ray McCloud","ATL","WR","10.6","8.7","6.5","8.5","10.4","21.5","18.5"
"Calvin Ridley","TEN","WR","10.7","9.0","7.1","8.8","10.4","22.3","19.6"
"George Pickens","PIT","WR","10.6","8.8","6.7","8.5","10.3","21.6","18.7"
"Sam LaPorta","DET","TE","10.3","8.3","6.2","8.2","10.2","19.6","16.4"
"DeAndre Hopkins","TEN","WR","10.3","8.6","6.5","8.3","10.0","20.8","18.0"
"Tucker Kraft","GB","TE","10.1","8.0","5.9","7.9","9.9","19.5","16.3"
"Tyler Lockett","SEA","WR","10.2","8.4","6.3","8.1","9.9","20.7","17.7"
"Evan Engram","JAX","TE","9.7","7.6","5.5","7.5","9.6","18.3","15.1"
"Tre Tucker","LV","WR","9.8","8.1","6.2","7.9","9.5","20.3","17.6"
"PHI DST","PHI","DST","9.5","9.5","9.5","9.5","9.5","17.3","17.3"
"Dontayvion Wicks","GB","WR","9.6","8.0","6.2","7.8","9.4","19.9","17.3"
"Cade Otton","TB","TE","9.5","7.5","5.4","7.4","9.4","18.0","14.9"
"Tyjae Spears","TEN","RB","9.6","8.4","7.1","8.3","9.4","20.0","18.2"
"Rome Odunze","CHI","WR","9.6","7.9","6.1","7.7","9.3","20.0","17.3"
"Kyle Pitts","ATL","TE","9.4","7.7","6.0","7.6","9.2","18.6","15.9"
"Jake Elliott","PHI","K","9.2","9.2","9.2","9.2","9.2","15.7","15.7"
"Romeo Doubs","GB","WR","9.3","7.7","5.9","7.5","9.1","19.6","16.9"
"Dallas Goedert","PHI","TE","9.2","7.3","5.2","7.1","9.1","17.7","14.6"
"Michael Wilson","ARI","WR","9.1","7.5","5.6","7.3","8.9","18.8","16.1"
"Allen Lazard","NYJ","WR","9.1","7.4","5.6","7.2","8.9","18.5","15.9"
"HOU DST","HOU","DST","8.9","8.9","8.9","8.9","8.9","16.3","16.3"
"Nick Folk","TEN","K","8.9","8.9","8.9","8.9","8.9","15.4","15.4"
"Jerry Jeudy","CLE","WR","9.0","7.3","5.4","7.1","8.8","18.4","15.6"
"Jake Bates","DET","K","8.8","8.8","8.8","8.8","8.8","14.9","14.9"
