"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Ja'Marr Chase","CIN","WR","24.9","20.7","15.2","19.3","23.4","42.3","36.4"
"Jahmyr Gibbs","DET","RB","24.5","22.3","19.0","21.0","23.1","40.7","38.0"
"Josh Allen","BUF","QB","23.1","23.0","22.2","22.2","22.2","35.8","35.7"
"Jayden Daniels","WAS","QB","22.9","22.7","21.9","21.9","21.9","35.5","35.3"
"Lamar Jackson","BAL","QB","22.9","22.7","21.8","21.8","21.8","36.2","36.0"
"Joe Burrow","CIN","QB","22.7","22.5","21.2","21.2","21.2","33.7","33.6"
"Saquon Barkley","PHI","RB","23.1","21.9","19.1","20.1","21.1","38.3","37.0"
"Chase Brown","CIN","RB","21.8","19.6","16.6","18.7","20.8","37.0","34.3"
"Puka Nacua","LA","WR","21.9","18.3","13.6","17.2","20.7","38.8","33.6"
"Justin Jefferson","MIN","WR","21.5","18.0","13.3","16.7","20.1","37.4","32.4"
"Baker Mayfield","TB","QB","20.8","20.6","19.7","19.7","19.7","31.6","31.5"
"Brock Purdy","SF","QB","20.8","20.6","19.6","19.6","19.6","31.6","31.4"
"Sam Darnold","MIN","QB","20.8","20.6","19.5","19.5","19.5","31.4","31.3"
"Bucky Irving","TB","RB","20.5","19.2","16.7","17.9","19.1","36.6","35.0"
"Nico Collins","HOU","WR","20.2","16.8","12.3","15.6","18.9","35.5","30.6"
"Bo Nix","DEN","QB","19.6","19.4","18.7","18.7","18.7","30.2","30.1"
"Derrick Henry","BAL","RB","20.0","19.0","16.8","17.7","18.6","35.6","34.4"
"Patrick Mahomes","KC","QB","19.8","19.5","18.6","18.6","18.6","30.4","30.3"
"Jonathan Taylor","IND","RB","19.8","18.6","16.4","17.4","18.4","34.4","33.0"
"Mike Evans","TB","WR","19.4","16.5","12.5","15.4","18.4","34.8","30.4"
"Kyren Williams","LA","RB","19.4","18.3","16.2","17.2","18.2","34.4","33.0"
"Amon-Ra St. Brown","DET","WR","18.7","15.4","11.2","14.5","17.8","33.8","29.0"
"Josh Jacobs","GB","RB","18.8","17.2","14.9","16.3","17.8","33.0","31.0"
"Bijan Robinson","ATL","RB","18.7","17.1","14.8","16.2","17.7","33.3","31.3"
"Jared Goff","DET","QB","18.8","18.7","17.7","17.7","17.7","28.9","28.8"
"Kyler Murray","ARI","QB","18.4","18.1","17.6","17.6","17.6","28.8","28.6"
"Justin Herbert","LAC","QB","18.2","18.0","17.5","17.5","17.5","28.1","28.0"
"C.J. Stroud","HOU","QB","18.5","18.3","17.4","17.4","17.4","28.7","28.5"
"Geno Smith","SEA","QB","18.4","18.1","17.3","17.3","17.3","28.4","28.2"
"Jaxon Smith-Njigba","SEA","WR","18.1","14.9","11.0","14.2","17.3","32.8","28.2"
"A.J. Brown","PHI","WR","18.1","15.1","11.1","14.1","17.2","32.2","27.7"
"Zach Charbonnet","SEA","RB","18.0","16.0","13.5","15.4","17.2","32.1","29.6"
"Joe Mixon","HOU","RB","17.7","15.7","13.3","15.1","17.0","30.8","28.3"
"Aaron Jones","MIN","RB","17.7","15.9","13.6","15.3","17.0","31.5","29.2"
"Jordan Love","GB","QB","17.8","17.6","16.8","16.8","16.8","27.6","27.5"
"De'Von Achane","MIA","RB","17.7","15.8","13.3","15.0","16.8","32.1","29.4"
"Brian Thomas Jr.","JAX","WR","17.6","14.6","10.7","13.7","16.7","32.1","27.6"
"Matthew Stafford","LA","QB","17.7","17.5","16.7","16.7","16.7","27.5","27.4"
"Caleb Williams","CHI","QB","17.2","16.8","16.4","16.4","16.4","26.9","26.7"
"Tee Higgins","CIN","WR","17.0","14.1","10.5","13.4","16.3","31.6","27.2"
"Brock Bowers","LV","TE","16.7","13.4","9.5","12.8","16.1","29.3","24.3"
"Drake Maye","NE","QB","16.7","16.4","16.0","16.0","16.0","26.2","26.0"
"Russell Wilson","PIT","QB","16.8","16.5","16.0","16.0","16.0","27.3","27.1"
"Bryce Young","CAR","QB","16.7","16.4","15.9","15.9","15.9","26.1","25.9"
"Jauan Jennings","SF","WR","16.7","13.8","10.2","13.0","15.9","30.4","26.1"
"Trey McBride","ARI","TE","16.2","12.8","8.8","12.3","15.7","28.2","23.1"
"Breece Hall","NYJ","RB","16.1","14.1","11.8","13.7","15.6","28.1","25.4"
"Tyjae Spears","TEN","RB","16.1","14.3","12.0","13.8","15.5","28.7","26.3"
"Joe Flacco","IND","QB","16.2","16.0","15.4","15.4","15.4","25.7","25.6"
"James Conner","ARI","RB","16.0","14.2","12.0","13.7","15.3","28.8","26.5"
