"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","24.4","24.2","23.3","23.3","23.3","37.8","37.6"
"Josh Allen","BUF","QB","23.4","23.2","22.4","22.4","22.4","35.3","35.2"
"Jalen Hurts","PHI","QB","23.1","22.9","22.3","22.3","22.3","36.0","35.9"
"Alvin Kamara","NO","RB","22.9","20.2","16.8","19.3","21.8","39.7","36.3"
"CeeDee Lamb","DAL","WR","22.7","19.0","14.1","17.8","21.5","39.7","34.3"
"Jayden Daniels","WAS","QB","22.2","22.0","21.2","21.2","21.2","34.3","34.1"
"Patrick Mahomes","KC","QB","22.0","21.8","20.9","20.9","20.9","32.7","32.5"
"Ja'Marr Chase","CIN","WR","21.0","17.5","12.8","16.4","19.9","36.8","31.6"
"Kyren Williams","LA","RB","21.1","19.5","17.0","18.4","19.7","36.4","34.6"
"Joe Burrow","CIN","QB","20.3","20.1","19.2","19.2","19.2","30.8","30.7"
"Aaron Jones","MIN","RB","20.3","18.4","15.8","17.5","19.2","35.7","33.4"
"Justin Jefferson","MIN","WR","20.4","17.2","12.9","16.1","19.2","36.1","31.4"
"Kyler Murray","ARI","QB","19.7","19.4","18.9","18.9","18.9","31.0","30.8"
"Dak Prescott","DAL","QB","19.7","19.4","18.5","18.5","18.5","29.9","29.8"
"Saquon Barkley","PHI","RB","19.8","18.3","15.8","17.1","18.5","35.0","33.2"
"Sam Darnold","MIN","QB","19.3","19.0","18.3","18.3","18.3","29.7","29.6"
"Bijan Robinson","ATL","RB","18.9","17.0","14.6","16.3","18.1","34.5","32.1"
"Joe Mixon","HOU","RB","19.0","17.2","14.7","16.3","17.9","32.7","30.5"
"Breece Hall","NYJ","RB","18.7","16.6","14.0","15.9","17.9","32.8","30.2"
"Geno Smith","SEA","QB","18.9","18.7","17.9","17.9","17.9","29.2","29.1"
"Kirk Cousins","ATL","QB","19.0","18.8","17.8","17.8","17.8","29.3","29.2"
"Malik Nabers","NYG","WR","18.6","15.3","11.3","14.5","17.7","33.3","28.6"
"Tyreek Hill","MIA","WR","18.5","15.5","11.6","14.6","17.5","34.0","29.6"
"Derrick Henry","BAL","RB","18.8","18.2","16.4","16.9","17.4","34.5","33.7"
"Kenneth Walker III","SEA","RB","18.1","16.0","13.4","15.4","17.4","32.6","29.8"
"Drake London","ATL","WR","18.1","15.0","11.1","14.2","17.2","32.8","28.2"
"Amon-Ra St. Brown","DET","WR","18.0","14.8","10.8","14.0","17.2","32.4","27.7"
"Bo Nix","DEN","QB","17.7","17.5","17.0","17.0","17.0","27.7","27.5"
"Chase Brown","CIN","RB","17.8","16.1","13.8","15.3","16.9","31.8","29.6"
"De'Von Achane","MIA","RB","17.4","14.8","11.8","14.4","16.9","31.5","27.9"
"A.J. Brown","PHI","WR","17.9","15.0","11.1","14.0","16.9","32.6","28.3"
"Caleb Williams","CHI","QB","17.5","17.2","16.8","16.8","16.8","27.4","27.3"
"Jonathan Taylor","IND","RB","17.8","16.3","14.1","15.4","16.8","31.0","29.2"
"Cooper Kupp","LA","WR","17.4","14.1","10.3","13.5","16.8","31.3","26.7"
