"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"CeeDee Lamb","WR","DAL","CLE","8900","7.0%","7.4%","7.6%","9300","10.5%"
"Tyreek Hill","WR","MIA","JAX","8700","41.4%","36.1%","32.6%","9600","28.8%"
"Justin Jefferson","WR","MIN","NYG","8400","5.2%","5.5%","5.6%","9000","7.5%"
"Josh Allen","QB","BUF","ARI","8000","8.7%","8.3%","8.0%","9200","14.0%"
"Jonathan Taylor","RB","IND","HOU","7800","4.6%","5.8%","6.6%","8600","11.9%"
"Ja'Marr Chase","WR","CIN","NE","7800","7.0%","7.0%","7.0%","9100","5.0%"
"Bijan Robinson","RB","ATL","PIT","7700","22.2%","20.1%","18.7%","8800","14.3%"
"Davante Adams","WR","LV","LAC","7600","2.2%","2.9%","3.3%","7500","6.3%"
"C.J. Stroud","QB","HOU","IND","7500","5.6%","5.9%","6.1%","8500","9.7%"
"Mike Evans","WR","TB","WAS","7300","6.6%","7.3%","7.8%","7900","8.2%"
"Travis Etienne Jr.","RB","JAX","MIA","7200","7.0%","9.3%","10.8%","7500","14.8%"
"Marvin Harrison Jr.","WR","ARI","BUF","7200","2.5%","2.9%","3.1%","6600","11.7%"
"Dak Prescott","QB","DAL","CLE","7100","0.5%","0.5%","0.5%","7800","0.7%"
"Tua Tagovailoa","QB","MIA","JAX","7000","1.6%","2.4%","2.9%","7700","6.7%"
"Nico Collins","WR","HOU","IND","7000","7.5%","8.2%","8.7%","7100","14.1%"
"James Cook","RB","BUF","ARI","6900","5.9%","6.2%","6.5%","7600","9.1%"
"Keenan Allen","WR","CHI","TEN","6900","0.5%","0.5%","0.5%","6700","0.6%"
"De'Von Achane","RB","MIA","JAX","6800","18.4%","17.7%","17.3%","7200","18.1%"
"Michael Pittman Jr.","WR","IND","HOU","6800","14.0%","14.7%","15.2%","6500","20.8%"
"Alvin Kamara","RB","NO","CAR","6700","28.7%","25.2%","22.9%","7100","21.7%"
"Stefon Diggs","WR","HOU","IND","6700","1.1%","2.0%","2.7%","6800","4.4%"
"Joe Mixon","RB","HOU","IND","6600","7.3%","7.9%","8.4%","7300","9.8%"
"Chris Olave","WR","NO","CAR","6600","10.0%","11.1%","11.8%","7000","10.9%"
"Joe Burrow","QB","CIN","NE","6500","2.1%","2.9%","3.5%","8400","1.3%"
"Aaron Jones","RB","MIN","NYG","6500","5.2%","6.3%","6.9%","6800","12.5%"
