"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","BUF","21.8","33.9","236.5","1.26","0.77","6.3","33.7","0.28",,"0.0",
"James Conner","RB","ARI","BUF",,"0.0",,,,"14.0","59.9","0.40","2.1","14.2","0.08"
"Emari Demercado","RB","ARI","BUF",,"0.0",,,,"1.8","7.7","0.04","1.2","7.9","0.03"
"Trey Benson","RB","ARI","BUF",,"0.0",,,,"4.5","19.4","0.11","0.4","2.7","0.01"
"DeeJay Dallas","RB","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.9","0.00"
"Chris Moore","WR","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Marvin Harrison Jr.","WR","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","5.3","70.8","0.40"
"Greg Dortch","WR","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","3.0","31.7","0.16"
"Zach Pascal","WR","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","0.6","6.7","0.06"
"Michael Wilson","WR","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","2.6","35.9","0.19"
"Tip Reiman","TE","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Elijah Higgins","TE","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","0.8","7.9","0.05"
"Trey McBride","TE","ARI","BUF",,"0.0",,,,"0.0","0.0","0.00","5.5","55.3","0.27"
"Kirk Cousins","QB","ATL","PIT","21.4","34.5","244.8","1.55","0.71","2.1","5.2","0.08",,"0.0",
"Bijan Robinson","RB","ATL","PIT",,"0.0",,,,"17.2","74.6","0.53","3.8","27.3","0.20"
"Tyler Allgeier","RB","ATL","PIT",,"0.0",,,,"7.2","30.2","0.20","1.1","7.5","0.04"
