"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Christian McCaffrey","RB","SF","@GB","8500","11.9%","12.8%","13.4%","9500","13.2%"
"Amon-Ra St. Brown","WR","DET","@IND","8300","17.9%","16.8%","16.0%","9500","4.5%"
"Justin Jefferson","WR","MIN","@CHI","8100","5.4%","8.0%","9.7%","9000","5.1%"
"Joe Mixon","RB","HOU","TEN","8000","20.1%","19.5%","19.2%","9300","17.6%"
"Nico Collins","WR","HOU","TEN","7600","13.9%","14.3%","14.5%","8900","2.7%"
"De'Von Achane","RB","MIA","NE","7500","35.0%","30.9%","28.1%","9100","15.9%"
"Malik Nabers","WR","NYG","TB","7400","4.2%","4.7%","5.0%","8200","1.4%"
"Jahmyr Gibbs","RB","DET","@IND","7300","7.7%","7.8%","7.9%","8600","5.5%"
"CeeDee Lamb","WR","DAL","@WAS","7300","9.7%","9.8%","9.8%","8400","4.1%"
"Tyreek Hill","WR","MIA","NE","7200","13.9%","12.9%","12.2%","8300","6.1%"
"Jonathan Taylor","RB","IND","DET","7100","1.0%","2.3%","3.1%","8000","7.4%"
"Jayden Daniels","QB","WAS","DAL","7000","11.1%","10.9%","10.7%","9000","8.8%"
"Mike Evans","WR","TB","@NYG","7000","5.1%","5.3%","5.5%","8000","3.0%"
"Kenneth Walker III","RB","SEA","ARI","6900","20.5%","19.5%","18.9%","8100","16.4%"
"Patrick Mahomes","QB","KC","@CAR","6800","3.5%","3.7%","3.8%","8400","3.8%"
"Josh Jacobs","RB","GB","SF","6800","14.6%","15.9%","16.8%","7600","22.0%"
"Terry McLaurin","WR","WAS","DAL","6800","4.4%","4.8%","5.0%","7800","1.0%"
"Jordan Love","QB","GB","SF","6700","0.3%","0.4%","0.5%","7300","8.3%"
"David Montgomery","RB","DET","@IND","6700","5.9%","5.5%","5.2%","8400","0.6%"
"Jared Goff","QB","DET","@IND","6600","2.0%","2.9%","3.5%","8500","1.4%"
"Chuba Hubbard","RB","CAR","KC","6600","0.8%","2.7%","4.0%","7100","14.6%"
"DK Metcalf","WR","SEA","ARI","6600","13.5%","13.4%","13.4%","7900","5.4%"
"C.J. Stroud","QB","HOU","TEN","6500","0.5%","1.0%","1.4%","7600","5.4%"
"James Conner","RB","ARI","@SEA","6500","24.5%","23.0%","22.0%","7700","20.6%"
"Deebo Samuel Sr.","WR","SF","@GB","6500","0.3%","0.5%","0.7%","7600","0.5%"
"Aaron Jones","RB","MIN","@CHI","6400","1.0%","2.0%","2.7%","7300","4.5%"
"Tank Dell","WR","HOU","TEN","6400","0.6%","1.4%","2.0%","7000","5.6%"
"Bo Nix","QB","DEN","@LV","6300","5.7%","5.9%","6.0%","8000","5.9%"
"Brock Bowers","TE","LV","DEN","6300","13.9%","14.2%","14.4%","7500","7.8%"
"Jaxon Smith-Njigba","WR","SEA","ARI","6300","21.5%","20.3%","19.5%","7500","9.0%"
"Kyler Murray","QB","ARI","@SEA","6200","7.1%","7.9%","8.4%","7800","7.1%"
"Josh Downs","WR","IND","DET","6200","5.8%","5.7%","5.7%","6900","5.3%"
"Baker Mayfield","QB","TB","@NYG","6100","3.7%","4.4%","4.8%","7900","2.8%"
"D'Andre Swift","RB","CHI","MIN","6100","0.3%","0.7%","1.0%","7000","2.1%"
"Marvin Harrison Jr.","WR","ARI","@SEA","6100","3.8%","5.7%","6.9%","7200","3.9%"
"Tyrone Tracy Jr.","RB","NYG","TB","6000","2.2%","3.8%","4.9%","6700","15.8%"
"George Kittle","TE","SF","@GB","6000","0.3%","0.4%","0.5%","7700","0.5%"
"Jameson Williams","WR","DET","@IND","6000","4.3%","4.0%","3.8%","6800","4.6%"
"Sam Darnold","QB","MIN","@CHI","5900","0.5%","1.1%","1.5%","7100","4.4%"
