"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","@CAR","20.9","30.6","229.2","1.58","0.59","5.2","28.3","0.26",,"0.0",
"James Conner","RB","ARI","@CAR",,"0.0",,,,"18.6","86.0","0.74","3.1","22.7","0.13"
"Michael Carter","RB","ARI","@CAR",,"0.0",,,,"2.1","9.5","0.07","0.4","2.6","0.01"
"DeeJay Dallas","RB","ARI","@CAR",,"0.0",,,,"4.1","18.7","0.14","0.7","5.0","0.03"
"Marvin Harrison Jr.","WR","ARI","@CAR",,"0.0",,,,"0.0","0.0","0.00","3.9","56.7","0.43"
"Greg Dortch","WR","ARI","@CAR",,"0.0",,,,"0.5","3.1","0.04","1.4","14.6","0.10"
"Zach Pascal","WR","ARI","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.0","0.6","0.00"
"Michael Wilson","WR","ARI","@CAR",,"0.0",,,,"0.0","0.0","0.00","2.6","34.5","0.23"
"Zay Jones","WR","ARI","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.8","9.6","0.06"
"Tip Reiman","TE","ARI","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.7","6.7","0.07"
"Elijah Higgins","TE","ARI","@CAR",,"0.0",,,,"0.0","0.0","0.00","0.7","6.7","0.07"
"Trey McBride","TE","ARI","@CAR",,"0.0",,,,"0.1","0.5","0.01","6.6","69.5","0.43"
"Michael Penix Jr.","QB","ATL","NYG","20.1","30.2","227.2","1.50","0.61","3.0","12.2","0.12",,"0.0",
"Bijan Robinson","RB","ATL","NYG",,"0.0",,,,"19.2","86.9","0.85","3.4","24.6","0.15"
"Avery Williams","RB","ATL","NYG",,"0.0",,,,"0.3","1.3","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","NYG",,"0.0",,,,"8.4","37.9","0.30","0.5","3.4","0.02"
"Drake London","WR","ATL","NYG",,"0.0",,,,"0.1","0.7","0.01","5.4","68.8","0.47"
"KhaDarel Hodge","WR","ATL","NYG",,"0.0",,,,"0.0","0.0","0.00","0.2","2.7","0.02"
"Ray-Ray McCloud","WR","ATL","NYG",,"0.0",,,,"0.6","3.1","0.04","3.4","35.5","0.21"
"Darnell Mooney","WR","ATL","NYG",,"0.0",,,,"0.0","0.0","0.00","4.0","53.7","0.33"
"Charlie Woerner","TE","ATL","NYG",,"0.0",,,,"0.0","0.0","0.00","0.6","5.8","0.06"
"Ross Dwelley","TE","ATL","NYG",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Kyle Pitts","TE","ATL","NYG",,"0.0",,,,"0.0","0.0","0.00","2.5","31.8","0.24"
"Josh Allen","QB","BUF","NE","21.6","31.7","254.3","1.84","0.56","8.1","37.8","0.74",,"0.0",
"Ty Johnson","RB","BUF","NE",,"0.0",,,,"2.3","10.8","0.08","1.4","11.3","0.09"
"Ray Davis","RB","BUF","NE",,"0.0",,,,"5.9","27.1","0.17","0.6","4.4","0.03"
"James Cook","RB","BUF","NE",,"0.0",,,,"14.2","68.4","0.58","1.8","16.4","0.08"
"Amari Cooper","WR","BUF","NE",,"0.0",,,,"0.0","0.0","0.00","2.7","41.1","0.31"
"Khalil Shakir","WR","BUF","NE",,"0.0",,,,"0.1","0.7","0.01","4.8","54.7","0.33"
"Keon Coleman","WR","BUF","NE",,"0.0",,,,"0.0","0.0","0.00","2.2","32.6","0.22"
