"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kirk Cousins","QB","ATL","SEA","23.9","35.9","275.3","1.97","0.70","1.6","2.0","0.04",,"0.0",
"Bijan Robinson","RB","ATL","SEA",,"0.0",,,,"13.9","64.7","0.63","3.5","26.6","0.18"
"Avery Williams","RB","ATL","SEA",,"0.0",,,,"0.3","1.2","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","SEA",,"0.0",,,,"10.5","48.6","0.42","1.3","10.0","0.06"
"Drake London","WR","ATL","SEA",,"0.0",,,,"0.0","0.0","0.00","6.4","78.6","0.62"
"KhaDarel Hodge","WR","ATL","SEA",,"0.0",,,,"0.0","0.0","0.00","0.3","5.0","0.03"
"Ray-Ray McCloud","WR","ATL","SEA",,"0.0",,,,"0.5","3.1","0.04","3.6","42.5","0.24"
"Darnell Mooney","WR","ATL","SEA",,"0.0",,,,"0.0","0.0","0.00","4.6","60.8","0.41"
"Charlie Woerner","TE","ATL","SEA",,"0.0",,,,"0.0","0.0","0.00","0.3","2.8","0.03"
"Ross Dwelley","TE","ATL","SEA",,"0.0",,,,"0.0","0.0","0.00","0.1","0.8","0.01"
"Kyle Pitts","TE","ATL","SEA",,"0.0",,,,"0.0","0.0","0.00","3.8","48.3","0.39"
"Josh Allen","QB","BUF","TEN","19.6","30.1","218.2","1.43","0.62","6.7","32.7","0.43",,"0.0",
"Ty Johnson","RB","BUF","TEN",,"0.0",,,,"2.6","11.4","0.07","0.9","6.6","0.04"
"Reggie Gilliam","RB","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","0.1","0.5","0.00"
"Ray Davis","RB","BUF","TEN",,"0.0",,,,"7.5","31.7","0.23","0.7","5.3","0.02"
"James Cook","RB","BUF","TEN",,"0.0",,,,"14.4","62.4","0.48","2.3","17.5","0.10"
"Amari Cooper","WR","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","2.5","34.0","0.26"
"Khalil Shakir","WR","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","3.3","41.8","0.23"
"Keon Coleman","WR","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","1.9","26.9","0.17"
"Mack Hollins","WR","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","1.1","14.7","0.09"
"Curtis Samuel","WR","BUF","TEN",,"0.0",,,,"0.5","2.7","0.04","2.1","20.9","0.14"
"Dawson Knox","TE","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","0.8","8.3","0.08"
"Dalton Kincaid","TE","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","4.0","41.0","0.28"
"Quintin Morris","TE","BUF","TEN",,"0.0",,,,"0.0","0.0","0.00","0.0","0.5","0.00"
"Andy Dalton","QB","CAR","@WAS","21.9","34.5","232.6","1.43","0.88","1.8","7.1","0.05",,"0.0",
"Miles Sanders","RB","CAR","@WAS",,"0.0",,,,"4.9","20.8","0.12","2.0","14.2","0.06"
"Chuba Hubbard","RB","CAR","@WAS",,"0.0",,,,"17.6","77.1","0.58","3.4","23.5","0.10"
"Raheem Blackshear","RB","CAR","@WAS",,"0.0",,,,"0.5","2.1","0.02",,"0.0",
"Xavier Legette","WR","CAR","@WAS",,"0.0",,,,"0.2","1.3","0.01","3.8","47.8","0.29"
"Jonathan Mingo","WR","CAR","@WAS",,"0.0",,,,"0.2","1.3","0.01","1.2","13.9","0.08"
"David Moore","WR","CAR","@WAS",,"0.0",,,,"0.0","0.0","0.00","0.3","3.7","0.03"
"Jalen Coker","WR","CAR","@WAS",,"0.0",,,,"0.0","0.0","0.00","2.1","26.8","0.14"
"Diontae Johnson","WR","CAR","@WAS",,"0.0",,,,"0.5","2.6","0.02","5.2","64.1","0.45"
"Feleipe Franks","TE","CAR","@WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.01"
"Ian Thomas","TE","CAR","@WAS",,"0.0",,,,"0.0","0.0","0.00","1.1","10.5","0.09"
"Ja'Tavion Sanders","TE","CAR","@WAS",,"0.0",,,,"0.0","0.0","0.00","2.9","27.3","0.18"
"Joe Burrow","QB","CIN","@CLE","22.9","34.7","248.2","1.65","0.68","3.6","12.4","0.15",,"0.0",
"Zack Moss","RB","CIN","@CLE",,"0.0",,,,"9.2","39.8","0.29","2.2","16.0","0.09"
"Trayveon Williams","RB","CIN","@CLE",,"0.0",,,,"0.5","2.0","0.01",,"0.0",
"Chase Brown","RB","CIN","@CLE",,"0.0",,,,"12.6","59.2","0.41","2.5","17.4","0.09"
