"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","25.0","24.8","23.7","23.7","23.7","38.2","38.1"
"Alvin Kamara","NO","RB","22.6","19.7","16.1","18.8","21.6","38.2","34.5"
"Ja'Marr Chase","CIN","WR","22.5","18.5","13.3","17.3","21.3","38.5","32.8"
"Jayden Daniels","WAS","QB","21.9","21.6","20.8","20.8","20.8","33.8","33.5"
"Jalen Hurts","PHI","QB","21.5","21.2","20.7","20.7","20.7","34.2","34.1"
"Brock Purdy","SF","QB","21.3","21.1","20.2","20.2","20.2","32.3","32.1"
"Josh Allen","BUF","QB","20.9","20.7","20.1","20.1","20.1","31.8","31.7"
"Breece Hall","NYJ","RB","21.0","18.6","15.6","17.8","20.0","35.9","32.9"
"Christian McCaffrey","SF","RB","20.8","18.7","16.0","17.9","19.9","36.9","34.2"
"Bijan Robinson","ATL","RB","20.5","18.2","15.3","17.5","19.6","35.8","32.9"
"Saquon Barkley","PHI","RB","21.3","20.0","17.3","18.5","19.6","36.9","35.3"
"Justin Jefferson","MIN","WR","20.7","17.5","13.1","16.3","19.5","36.6","31.8"
"Joe Burrow","CIN","QB","20.5","20.2","19.1","19.1","19.1","31.1","31.0"
"Aaron Jones","MIN","RB","19.6","17.6","15.0","16.8","18.7","34.2","31.8"
"Patrick Mahomes","KC","QB","19.2","19.0","18.4","18.4","18.4","28.9","28.8"
"Kyren Williams","LA","RB","19.6","18.2","16.0","17.2","18.4","34.5","32.8"
"Sam Darnold","MIN","QB","19.4","19.2","18.4","18.4","18.4","29.6","29.4"
"Malik Nabers","NYG","WR","19.2","15.8","11.7","15.0","18.3","34.4","29.6"
"C.J. Stroud","HOU","QB","18.9","18.6","17.9","17.9","17.9","29.2","29.0"
"Jonathan Taylor","IND","RB","18.8","17.0","14.5","16.2","17.8","32.7","30.4"
"De'Von Achane","MIA","RB","18.3","15.7","12.8","15.2","17.7","33.2","29.7"
"Daniel Jones","NYG","QB","18.3","18.0","17.7","17.7","17.7","29.3","29.1"
"Puka Nacua","LA","WR","18.4","15.3","11.3","14.4","17.5","34.4","29.8"
"Baker Mayfield","TB","QB","18.2","18.0","17.3","17.3","17.3","28.2","28.1"
"Kyler Murray","ARI","QB","17.8","17.5","17.1","17.1","17.1","28.5","28.3"
"Joe Mixon","HOU","RB","18.1","16.5","14.2","15.7","17.1","31.7","29.7"
"Aaron Rodgers","NYJ","QB","18.1","17.9","17.1","17.1","17.1","28.0","27.9"
"Zay Flowers","BAL","WR","17.9","15.1","11.4","14.2","17.0","33.7","29.5"
"Matthew Stafford","LA","QB","18.2","18.0","17.0","17.0","17.0","28.4","28.3"
"Cooper Kupp","LA","WR","17.7","14.3","10.4","13.7","17.0","32.1","27.3"
"CeeDee Lamb","DAL","WR","17.7","14.7","10.8","13.9","16.9","31.9","27.4"
"Derrick Henry","BAL","RB","18.1","17.4","15.8","16.3","16.8","33.7","32.9"
"Garrett Wilson","NYJ","WR","17.6","14.5","10.6","13.7","16.8","32.1","27.6"
"Amon-Ra St. Brown","DET","WR","17.3","14.2","10.4","13.5","16.7","31.4","26.8"
"Justin Herbert","LAC","QB","17.5","17.3","16.7","16.7","16.7","26.9","26.8"
"Davante Adams","NYJ","WR","17.5","14.5","10.7","13.7","16.7","31.8","27.3"
"Kirk Cousins","ATL","QB","17.4","17.2","16.5","16.5","16.5","26.9","26.8"
"Caleb Williams","CHI","QB","17.1","16.8","16.5","16.5","16.5","27.0","26.9"
"James Conner","ARI","RB","17.2","15.9","13.8","15.0","16.2","31.1","29.5"
"Chase Brown","CIN","RB","16.7","14.8","12.5","14.3","16.1","29.8","27.4"
"Tua Tagovailoa","MIA","QB","17.1","16.9","16.1","16.1","16.1","27.0","26.9"
"Tyreek Hill","MIA","WR","16.9","14.2","10.8","13.4","16.1","32.0","28.0"
"Jahmyr Gibbs","DET","RB","16.7","15.1","13.0","14.5","16.0","31.6","29.5"
"Josh Downs","IND","WR","16.6","13.4","9.5","12.7","16.0","30.2","25.4"
"D'Andre Swift","CHI","RB","16.8","15.4","13.3","14.6","15.9","30.5","28.7"
"Russell Wilson","PIT","QB","16.6","16.3","15.9","15.9","15.9","26.3","26.1"
"Bo Nix","DEN","QB","16.2","15.9","15.6","15.6","15.6","25.1","24.9"
"Jared Goff","DET","QB","16.4","16.2","15.6","15.6","15.6","25.6","25.5"
"Deebo Samuel","SF","WR","16.1","13.7","10.7","13.1","15.5","31.7","28.0"
"Tank Dell","HOU","WR","16.2","13.5","10.2","12.8","15.4","30.8","26.8"
"Travis Kelce","KC","TE","15.7","12.5","8.9","12.1","15.3","27.2","22.5"
"J.K. Dobbins","LAC","RB","16.1","14.6","12.7","14.0","15.3","29.3","27.4"
"Joe Flacco","IND","QB","16.1","15.9","15.2","15.2","15.2","25.5","25.4"
"Tyrone Tracy Jr.","NYG","RB","16.0","14.8","12.9","14.0","15.2","29.7","28.1"
"James Cook","BUF","RB","15.8","14.5","12.6","13.9","15.1","29.8","27.9"
"Austin Ekeler","WAS","RB","15.7","13.9","11.9","13.5","15.1","29.7","27.4"
"Chuba Hubbard","CAR","RB","15.9","14.6","12.5","13.7","15.0","28.4","26.7"
"A.J. Brown","PHI","WR","15.7","13.1","9.8","12.3","14.9","29.3","25.3"
"Kareem Hunt","KC","RB","15.7","14.9","13.2","13.9","14.7","28.9","27.8"
"Drake London","ATL","WR","15.0","12.4","9.2","11.8","14.4","27.9","24.0"
"Khalil Shakir","BUF","WR","15.0","12.2","8.8","11.6","14.4","27.9","23.7"
"Cade Otton","TB","TE","14.7","11.7","8.3","11.3","14.4","26.0","21.6"
"George Kittle","SF","TE","14.9","12.4","9.4","11.9","14.3","27.8","23.9"
