"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Saquon Barkley","RB","PHI","DAL","8600","34.8%","32.9%","31.7%","9600","29.1%"
"Josh Allen","QB","BUF","NYJ","8500","7.3%","8.7%","9.7%","9100","17.6%"
"Justin Jefferson","WR","MIN","GB","8300","31.2%","28.8%","27.2%","9000","26.7%"
"Josh Jacobs","RB","GB","@MIN","8100","7.8%","9.2%","10.1%","8300","17.1%"
"Jonathan Taylor","RB","IND","@NYG","7900","16.5%","17.0%","17.3%","8400","26.7%"
"A.J. Brown","WR","PHI","DAL","7800","3.7%","6.3%","7.9%","8800","3.9%"
"De'Von Achane","RB","MIA","@CLE","7700","6.9%","10.3%","12.6%","8200","15.4%"
"Mike Evans","WR","TB","CAR","7500","27.1%","25.6%","24.6%","8600","17.6%"
"James Cook","RB","BUF","NYJ","7200","1.5%","2.1%","2.5%","8800","1.6%"
"Davante Adams","WR","NYJ","@BUF","7100","5.8%","8.4%","10.1%","8100","5.7%"
"Baker Mayfield","QB","TB","CAR","6900","13.2%","13.7%","14.1%","8200","11.9%"
"Tyreek Hill","WR","MIA","@CLE","6900","0.3%","0.4%","0.5%","7400","0.5%"
"Brian Thomas Jr.","WR","JAX","TEN","6800","31.9%","29.1%","27.2%","7500","27.2%"
"Bucky Irving","RB","TB","CAR","6700","48.3%","41.2%","36.4%","8000","27.6%"
"Brock Bowers","TE","LV","@NO","6700","18.4%","18.8%","19.0%","7600","19.4%"
"Malik Nabers","WR","NYG","IND","6600","17.7%","16.1%","15.1%","7700","12.8%"
"Jerry Jeudy","WR","CLE","MIA","6500","0.3%","0.4%","0.5%","6800","0.5%"
"Sam Darnold","QB","MIN","GB","6400","26.1%","24.2%","23.0%","7700","20.1%"
"Breece Hall","RB","NYJ","@BUF","6300","12.4%","13.1%","13.6%","7900","3.8%"
"Jordan Addison","WR","MIN","GB","6300","18.2%","18.6%","18.9%","7000","18.8%"
"Jordan Love","QB","GB","@MIN","6200","11.5%","11.0%","10.6%","7800","6.5%"
"Aaron Jones Sr.","RB","MIN","GB","6200","31.4%","29.8%","28.8%","7400","22.2%"
"Garrett Wilson","WR","NYJ","@BUF","6100","2.3%","4.7%","6.3%","6900","5.7%"
"Rico Dowdle","RB","DAL","@PHI","6000","6.0%","7.6%","8.7%","7100","8.5%"
"Jakobi Meyers","WR","LV","@NO","6000","14.9%","15.8%","16.4%","6600","18.8%"
"Jerome Ford","RB","CLE","MIA","5900","10.1%","11.5%","12.4%","6600","14.2%"
"Jayden Reed","WR","GB","@MIN","5900","10.4%","10.8%","11.0%","6700","8.1%"
"Tyrone Tracy Jr.","RB","NYG","IND","5800","1.4%","4.0%","5.7%","6500","7.1%"
"DeVonta Smith","WR","PHI","DAL","5800","4.2%","6.4%","7.9%","7200","1.2%"
"Aaron Rodgers","QB","NYJ","@BUF","5700","0.5%","0.7%","0.8%","7300","0.5%"
"Rachaad White","RB","TB","CAR","5700","0.4%","1.9%","2.9%","6800","0.8%"
