"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Chuba Hubbard","CAR","DAL","RB","6500","19.6","3.8","38.7","54.1","36948108","8.3","33.9"
"Ravens ","BAL","@NYG","DST","3900","11.9","3.2","16.4","17.7","36949084","5.0","20.0"
"Ja'Marr Chase","CIN","@TEN","WR","8400","22.5","2.9","19.8","20.3","36948348","9.1","38.6"
"Chase Brown","CIN","@TEN","RB","7200","20.1","2.8","21.8","27.0","36948096","8.8","34.3"
"James Conner","ARI","NE","RB","6600","18.4","2.4","24.5","27.3","36948106","7.0","33.3"
"Trey McBride","ARI","NE","TE","6000","17.0","2.1","19.4","22.1","36948818","6.9","30.0"
"Joe Mixon","HOU","MIA","RB","7800","20.4","2.0","16.9","16.2","36948090","9.0","34.8"
"Derrick Henry","BAL","@NYG","RB","8300","21.3","1.9","15.5","15.3","36948086","7.0","37.4"
"Tee Higgins","CIN","@TEN","WR","6800","18.3","1.9","16.2","18.1","36948366","6.7","33.5"
"Rico Dowdle","DAL","@CAR","RB","6100","17.0","1.9","26.3","31.0","36948116","6.6","30.3"
"Kyler Murray","ARI","NE","QB","6000","20.3","1.7","16.0","20.5","36948016","10.8","31.9"
"Justin Herbert","LAC","TB","QB","5900","19.9","1.6","9.8","14.6","36948017","10.5","30.4"
"Cardinals ","ARI","NE","DST","3000","8.1","1.2","11.6","14.4","36949091","1.9","15.6"
"Saquon Barkley","PHI","PIT","RB","8600","21.1","1.1","8.8","4.4","36948084","8.5","36.1"
"Davante Adams","NYJ","@JAX","WR","6900","17.5","0.9","9.3","7.2","36948364","6.6","31.4"
"Brian Robinson Jr.","WAS","@NO","RB","6200","16.2","0.9","15.8","16.7","36948114","5.4","30.2"
"Brian Thomas Jr.","JAX","NYJ","WR","5800","15.2","0.7","19.9","21.9","36948386","5.2","28.7"
"Will Levis","TEN","CIN","QB","5000","16.3","0.7","4.3","3.2","36948027","8.1","25.8"
"Eagles ","PHI","PIT","DST","3100","7.8","0.7","9.1","9.1","36949090","2.0","15.0"
"C.J. Stroud","HOU","MIA","QB","6200","19.7","0.5","7.1","6.2","36948014","10.6","30.4"
"Anthony Richardson","IND","@DEN","QB","5800","18.5","0.5","6.5","4.9","36948018","8.7","30.1"
"Jerry Jeudy","CLE","KC","WR","6200","15.6","0.4","16.1","16.8","36948378","5.5","29.7"
"Courtland Sutton","DEN","IND","WR","6600","16.4","0.4","15.2","17.4","36948370","5.7","30.6"
"Panthers ","CAR","DAL","DST","2700","6.8","0.4","7.1","6.4","36949098","1.0","13.9"
"Jets ","NYJ","@JAX","DST","3000","7.4","0.4","7.1","7.9","36949092","1.6","14.5"
"Adam Thielen","CAR","DAL","WR","5400","14.0","0.3","15.5","17.0","36948396","4.7","26.6"
"Stone Smartt","LAC","TB","TE","2600","8.4","0.3","25.2","32.1","36948916","1.9","16.7"
"Zach Ertz","WAS","@NO","TE","4000","11.2","0.3","9.8","7.9","36948840","3.5","20.8"
"Chiefs ","KC","@CLE","DST","3700","8.6","0.3","3.8","2.7","36949085","2.1","16.6"
"Amon-Ra St. Brown","DET","BUF","WR","7600","18.2","0.2","11.5","14.7","36948354","6.9","33.3"
"Alvin Kamara","NO","WAS","RB","7700","18.4","0.2","6.3","3.1","36948092","7.9","31.8"
"Mike Evans","TB","@LAC","WR","7100","17.3","0.2","7.0","6.0","36948362","5.9","31.5"
"Browns ","CLE","KC","DST","2200","5.6","0.2","13.4","18.4","36949106","0.0","12.4"
"Commanders ","WAS","@NO","DST","3400","8.0","0.2","2.6","2.2","36949087","2.0","15.4"
"Zay Flowers","BAL","@NYG","WR","6000","15.0","0.1","5.9","5.9","36948382","4.6","29.0"
"Hunter Henry","NE","@ARI","TE","4300","11.6","0.1","14.1","13.4","36948834","3.7","21.9"
"Cowboys ","DAL","@CAR","DST","2800","6.6","0.1","2.2","1.2","36949095","0.7","13.9"
"Chargers ","LAC","TB","DST","2900","6.9","0.1","3.8","1.9","36949093","1.1","14.1"
"Dolphins ","MIA","@HOU","DST","2500","6.1","0.1","4.4","4.0","36949101","0.3","13.1"
"Titans ","TEN","CIN","DST","2300","5.7","0.1","5.4","4.8","36949105","0.0","12.6"
"Marvin Harrison Jr.","ARI","NE","WR","5500","13.9","0.0","14.0","15.4","36948392","4.2","27.3"
"Bryce Young","CAR","DAL","QB","5300","16.4","0.0","3.3","1.4","36948023","8.3","25.8"
"Dalton Schultz","HOU","MIA","TE","3300","9.5","0.0","11.3","10.1","36948860","2.5","18.8"
"Drake Maye","NE","@ARI","QB","5600","17.4","0.0","5.3","3.5","36948020","9.2","27.2"
"Calvin Ridley","TEN","CIN","WR","5900","14.6","0.0","13.3","15.8","36948384","4.7","28.0"
"Elijah Moore","CLE","KC","WR","5000","12.8","-0.1","16.2","18.9","36948412","4.4","25.0"
"Rhamondre Stevenson","NE","@ARI","RB","5900","14.6","-0.1","7.9","7.1","36948124","5.5","26.8"
