"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","23.7","23.4","22.4","22.4","22.4","36.5","36.3"
"Jalen Hurts","PHI","QB","22.9","22.6","22.1","22.1","22.1","35.7","35.5"
"Jayden Daniels","WAS","QB","22.1","21.9","21.2","21.2","21.2","34.5","34.3"
"Christian McCaffrey","SF","RB","21.2","18.9","15.8","17.9","20.1","35.8","32.9"
"Justin Herbert","LAC","QB","20.5","20.2","19.4","19.4","19.4","31.1","31.0"
"De'Von Achane","MIA","RB","20.1","17.8","14.9","17.1","19.4","35.6","32.5"
"Anthony Richardson","IND","QB","20.1","19.9","19.2","19.2","19.2","31.8","31.6"
"Patrick Mahomes","KC","QB","20.1","20.0","19.2","19.2","19.2","30.4","30.3"
"Joe Mixon","HOU","RB","20.1","18.6","16.2","17.5","18.8","34.4","32.7"
"Saquon Barkley","PHI","RB","20.1","18.7","16.1","17.4","18.7","35.6","33.9"
"Kyler Murray","ARI","QB","19.1","18.8","18.3","18.3","18.3","30.0","29.9"
"Amon-Ra St. Brown","DET","WR","19.2","15.8","11.6","15.0","18.3","34.4","29.5"
"Geno Smith","SEA","QB","19.3","19.1","18.2","18.2","18.2","29.8","29.6"
"Puka Nacua","LA","WR","19.2","15.9","11.6","14.8","18.1","34.3","29.6"
"Bo Nix","DEN","QB","18.7","18.5","18.0","18.0","18.0","28.9","28.8"
"Jared Goff","DET","QB","18.5","18.3","17.4","17.4","17.4","28.5","28.4"
"Kyren Williams","LA","RB","18.4","17.0","14.8","16.1","17.4","32.3","30.6"
"C.J. Stroud","HOU","QB","18.3","18.1","17.3","17.3","17.3","28.2","28.1"
"Tua Tagovailoa","MIA","QB","18.3","18.2","17.3","17.3","17.3","28.4","28.3"
"Kenneth Walker III","SEA","RB","17.9","16.1","13.7","15.4","17.1","31.7","29.4"
"Baker Mayfield","TB","QB","18.0","17.8","17.1","17.1","17.1","28.0","27.9"
"A.J. Brown","PHI","WR","18.1","15.2","11.3","14.2","17.0","32.8","28.4"
"James Conner","ARI","RB","17.8","16.2","14.0","15.5","16.9","32.6","30.5"
"Jordan Love","GB","QB","17.9","17.7","16.9","16.9","16.9","27.9","27.8"
"CeeDee Lamb","DAL","WR","17.6","14.4","10.5","13.7","16.8","31.8","27.1"
"Nico Collins","HOU","WR","17.7","14.8","10.9","13.8","16.8","32.3","27.9"
"Kareem Hunt","KC","RB","18.0","16.9","14.9","15.8","16.8","32.2","30.9"
"Cooper Kupp","LA","WR","17.3","14.0","10.1","13.4","16.7","31.6","26.7"
"Jahmyr Gibbs","DET","RB","17.4","15.8","13.7","15.2","16.6","32.8","30.7"
"Josh Jacobs","GB","RB","17.4","15.9","13.9","15.2","16.5","31.2","29.3"
"Justin Jefferson","MIN","WR","17.5","14.6","10.8","13.6","16.5","32.0","27.6"
"Matthew Stafford","LA","QB","17.5","17.3","16.4","16.4","16.4","27.3","27.2"
"Drake Maye","NE","QB","17.0","16.7","16.3","16.3","16.3","26.4","26.2"
