"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","@SF","21.1","33.0","226.1","1.32","0.76","5.6","31.9","0.25",,"0.0",
"James Conner","RB","ARI","@SF",,"0.0",,,,"14.1","59.8","0.45","2.3","15.6","0.08"
"Emari Demercado","RB","ARI","@SF",,"0.0",,,,"2.2","9.4","0.06","1.2","8.3","0.03"
"Trey Benson","RB","ARI","@SF",,"0.0",,,,"3.3","13.4","0.08","0.1","0.9","0.00"
"Chris Moore","WR","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"Marvin Harrison Jr.","WR","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","5.3","71.3","0.48"
"Greg Dortch","WR","ARI","@SF",,"0.0",,,,"0.2","1.2","0.02","3.6","38.0","0.20"
"Zach Pascal","WR","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Michael Wilson","WR","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","3.0","38.5","0.22"
"Tip Reiman","TE","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Elijah Higgins","TE","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","1.1","11.1","0.07"
"Trey McBride","TE","ARI","@SF",,"0.0",,,,"0.0","0.0","0.00","4.3","40.6","0.21"
"Lamar Jackson","QB","BAL","@CIN","19.1","28.6","223.5","1.40","0.60","10.0","58.1","0.36",,"0.0",
"Justice Hill","RB","BAL","@CIN",,"0.0",,,,"3.7","17.5","0.12","3.0","24.3","0.12"
"Derrick Henry","RB","BAL","@CIN",,"0.0",,,,"18.9","91.8","0.86","1.5","12.0","0.04"
"Patrick Ricard","RB","BAL","@CIN",,"0.0",,,,"0.0","0.0","0.00","0.2","1.8","0.01"
"Deonte Harty","WR","BAL","@CIN",,"0.0",,,,"0.0","0.0","0.00","0.0","0.6","0.00"
"Zay Flowers","WR","BAL","@CIN",,"0.0",,,,"0.6","3.3","0.06","5.1","62.0","0.38"
"Nelson Agholor","WR","BAL","@CIN",,"0.0",,,,"0.0","0.0","0.00","1.6","21.4","0.14"
"Tylan Wallace","WR","BAL","@CIN",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"Rashod Bateman","WR","BAL","@CIN",,"0.0",,,,"0.0","0.0","0.00","2.4","37.4","0.20"
"Mark Andrews","TE","BAL","@CIN",,"0.0",,,,"0.0","0.0","0.00","2.3","28.9","0.27"
