"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Bucky Irving","TB","CAR","RB","6700","20.5","4.2","36.4","48.3","37123437","7.4","35.9"
"Josh Downs","IND","@NYG","WR","4800","15.7","3.2","36.9","46.2","37123651","5.9","28.4"
"Saquon Barkley","PHI","DAL","RB","8600","23.1","3.1","31.7","34.8","37123423","10.0","38.3"
"Aaron Jones Sr.","MIN","GB","RB","6200","17.7","2.4","28.8","31.4","37123443","7.0","31.5"
"Tyjae Spears","TEN","@JAX","RB","5400","16.1","2.4","38.0","53.1","37123457","6.4","28.8"
"Raiders ","LV","@NO","DST","2600","8.3","2.1","18.7","26.8","37124111","2.2","15.7"
"Justin Jefferson","MIN","GB","WR","8300","21.5","2.0","27.2","31.2","37123605","8.3","37.4"
"Tyler Huntley","MIA","@CLE","QB","4000","14.1","1.6","7.9","8.8","37123400","6.8","23.6"
"Mike Evans","TB","CAR","WR","7500","19.4","1.6","24.6","27.1","37123609","6.7","34.7"
"Eagles ","PHI","DAL","DST","3100","8.6","1.4","15.1","15.2","37124106","2.5","16.0"
"Michael Pittman Jr.","IND","@NYG","WR","4700","13.6","1.3","22.8","25.1","37123655","4.5","25.6"
"Browns ","CLE","MIA","DST","2400","7.0","1.2","15.0","20.2","37124113","1.3","14.1"
"Dolphins ","MIA","@CLE","DST","3200","8.5","1.2","14.2","13.8","37124105","2.5","15.9"
"Jonathan Taylor","IND","@NYG","RB","7900","19.7","1.1","17.3","16.5","37123427","7.7","34.4"
"Brian Thomas Jr.","JAX","TEN","WR","6800","17.6","1.1","27.2","31.9","37123617","6.6","32.0"
"Jake Ferguson","DAL","@PHI","TE","3700","11.3","1.0","17.0","20.4","37123939","4.3","19.8"
"Joe Flacco","IND","@NYG","QB","4900","16.3","1.0","11.2","13.7","37123381","7.9","25.6"
"Sam Darnold","MIN","GB","QB","6400","20.8","1.0","23.0","26.1","37123367","11.2","31.4"
"Colts ","IND","@NYG","DST","3500","8.7","0.8","6.5","4.8","37124102","2.5","16.3"
"Dontayvion Wicks","GB","@MIN","WR","3900","11.5","0.7","17.5","23.3","37123685","3.1","22.9"
"Buccaneers ","TB","CAR","DST","3400","8.3","0.6","3.8","2.9","37124103","2.1","15.9"
"Brock Bowers","LV","@NO","TE","6700","16.7","0.5","19.0","18.4","37123921","6.7","29.1"
"Breece Hall","NYJ","@BUF","RB","6300","16.0","0.5","13.6","12.4","37123441","6.5","28.3"
"Calvin Ridley","TEN","@JAX","WR","5500","14.3","0.5","19.9","24.3","37123637","4.5","27.8"
"Jordan Addison","MIN","GB","WR","6300","15.9","0.4","18.9","18.2","37123623","5.2","30.2"
"Titans ","TEN","@JAX","DST","2800","7.0","0.4","4.6","2.4","37124109","1.2","14.1"
"Saints ","NO","LV","DST","2900","7.0","0.3","3.9","2.7","37124108","1.3","14.1"
"T.J. Hockenson","MIN","GB","TE","4500","12.1","0.2","25.4","29.7","37123927","4.0","22.4"
"Jaguars ","JAX","TEN","DST","3000","7.0","0.1","5.7","3.5","37124107","1.3","14.2"
"Packers ","GB","@MIN","DST","2700","6.3","0.0","2.5","1.6","37124110","0.5","13.5"
"Giants ","NYG","IND","DST","2300","5.5","-0.1","4.8","4.5","37124114","0.0","12.3"
"Josh Jacobs","GB","@MIN","RB","8100","18.8","-0.2","10.1","7.8","37123425","7.4","33.0"
"Chig Okonkwo","TEN","@JAX","TE","3600","10.0","-0.2","16.5","18.8","37123941","3.2","18.6"
"Bills ","BUF","NYJ","DST","3600","7.9","-0.2","2.5","0.9","37124101","2.0","15.1"
"A.J. Brown","PHI","DAL","WR","7800","18.1","-0.3","7.9","3.7","37123607","6.6","32.3"
"Wan'Dale Robinson","NYG","IND","WR","4400","11.3","-0.4","9.2","7.9","37123667","4.0","21.2"
"Mason Rudolph","TEN","@JAX","QB","5000","15.2","-0.4","4.1","3.6","37123379","7.6","24.4"
"Jakobi Meyers","LV","@NO","WR","6000","14.3","-0.5","16.4","14.9","37123627","4.9","26.7"
"Malik Nabers","NYG","IND","WR","6600","15.6","-0.5","15.1","17.7","37123619","5.9","28.5"
"Baker Mayfield","TB","CAR","QB","6900","20.8","-0.5","14.1","13.2","37123366","10.8","31.3"
"Jalen McMillan","TB","CAR","WR","4600","11.6","-0.5","13.5","11.3","37123657","2.9","23.3"
"Payne Durham","TB","CAR","TE","2900","8.3","-0.5","9.4","12.7","37123955","1.8","16.4"
"Cowboys ","DAL","@PHI","DST","2500","5.5","-0.5","1.4","0.6","37124112","0.1","12.1"
"Bryce Young","CAR","@TB","QB","5600","16.8","-0.6","8.6","10.7","37123372","8.8","27.1"
"Rico Dowdle","DAL","@PHI","RB","6000","14.3","-0.6","8.7","6.0","37123445","5.6","25.8"
"De'Von Achane","MIA","@CLE","RB","7700","17.7","-0.6","12.6","6.9","37123429","6.9","31.5"
"Jerome Ford","CLE","MIA","RB","5900","13.9","-0.8","12.4","10.1","37123447","5.2","25.4"
"Tyrone Tracy Jr.","NYG","IND","RB","5800","13.6","-0.9","5.7","1.4","37123449","5.1","25.2"
"DeVonta Smith","PHI","DAL","WR","5800","13.6","-0.9","7.9","4.2","37123631","4.5","25.6"
"Panthers ","CAR","@TB","DST","2200","4.5","-0.9","0.7","0.1","37124115","-1.0","11.1"
"Adam Thielen","CAR","@TB","WR","5700","13.3","-1.0","16.2","13.8","37123633","4.7","25.8"
"Drew Lock","NYG","IND","QB","4900","14.3","-1.0","1.3","0.5","37123382","6.9","23.0"
"Jets ","NYJ","@BUF","DST","2100","4.2","-1.0","0.2","0.1","37124116","-1.1","10.7"
"Aidan O'Connell","LV","@NO","QB","5100","14.7","-1.2","3.9","2.4","37123378","7.0","23.3"
"Tucker Kraft","GB","@MIN","TE","3900","9.5","-1.3","9.8","7.6","37123937","2.5","18.3"
"Jordan Love","GB","@MIN","QB","6200","17.8","-1.4","10.6","11.5","37123368","9.0","27.6"
"Romeo Doubs","GB","@MIN","WR","5100","11.7","-1.4","10.0","10.7","37123643","3.1","23.2"
"Dalton Kincaid","BUF","NYJ","TE","4300","10.0","-1.5","6.5","2.9","37123929","3.0","20.1"
"Jayden Reed","GB","@MIN","WR","5900","13.0","-1.7","11.0","10.4","37123629","3.8","25.8"
