"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","SEA","22.0","32.6","234.3","1.48","0.67","5.2","29.6","0.24",,"0.0",
"James Conner","RB","ARI","SEA",,"0.0",,,,"15.8","70.4","0.56","3.3","23.4","0.12"
"Emari Demercado","RB","ARI","SEA",,"0.0",,,,"2.0","9.1","0.06","0.9","6.4","0.03"
"Trey Benson","RB","ARI","SEA",,"0.0",,,,"4.6","20.4","0.13","0.4","2.8","0.01"
"Marvin Harrison Jr.","WR","ARI","SEA",,"0.0",,,,"0.0","0.0","0.00","4.2","59.5","0.43"
"Greg Dortch","WR","ARI","SEA",,"0.0",,,,"0.2","1.4","0.02","1.1","11.4","0.08"
"Zach Pascal","WR","ARI","SEA",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Michael Wilson","WR","ARI","SEA",,"0.0",,,,"0.0","0.0","0.00","2.9","37.8","0.23"
"Zay Jones","WR","ARI","SEA",,"0.0",,,,"0.0","0.0","0.00","0.8","9.5","0.06"
"Tip Reiman","TE","ARI","SEA",,"0.0",,,,"0.0","0.0","0.00","0.2","2.3","0.02"
"Elijah Higgins","TE","ARI","SEA",,"0.0",,,,"0.0","0.0","0.00","1.3","12.8","0.11"
"Trey McBride","TE","ARI","SEA",,"0.0",,,,"0.1","0.4","0.01","6.7","67.9","0.38"
"Kirk Cousins","QB","ATL","@MIN","22.2","34.6","247.1","1.28","0.77","1.3","1.6","0.04",,"0.0",
"Bijan Robinson","RB","ATL","@MIN",,"0.0",,,,"16.9","70.0","0.54","4.1","28.6","0.15"
"Avery Williams","RB","ATL","@MIN",,"0.0",,,,"0.2","1.0","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","@MIN",,"0.0",,,,"5.7","23.4","0.14","0.8","5.5","0.02"
"Drake London","WR","ATL","@MIN",,"0.0",,,,"0.2","1.1","0.01","6.0","75.6","0.40"
"KhaDarel Hodge","WR","ATL","@MIN",,"0.0",,,,"0.0","0.0","0.00","0.2","2.9","0.01"
"Ray-Ray McCloud","WR","ATL","@MIN",,"0.0",,,,"0.7","3.7","0.04","3.4","35.4","0.16"
"Darnell Mooney","WR","ATL","@MIN",,"0.0",,,,"0.0","0.0","0.00","4.5","58.7","0.29"
"Charlie Woerner","TE","ATL","@MIN",,"0.0",,,,"0.0","0.0","0.00","0.5","4.4","0.03"
"Ross Dwelley","TE","ATL","@MIN",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Kyle Pitts","TE","ATL","@MIN",,"0.0",,,,"0.0","0.0","0.00","2.8","35.6","0.20"
"Josh Allen","QB","BUF","@LA","22.0","32.9","250.9","1.67","0.71","7.2","35.5","0.48",,"0.0",
"Ty Johnson","RB","BUF","@LA",,"0.0",,,,"2.6","11.8","0.08","0.9","7.0","0.05"
"Ray Davis","RB","BUF","@LA",,"0.0",,,,"5.2","23.3","0.15","0.8","5.9","0.03"
"James Cook","RB","BUF","@LA",,"0.0",,,,"13.5","62.0","0.50","2.6","22.8","0.11"
"Amari Cooper","WR","BUF","@LA",,"0.0",,,,"0.0","0.0","0.00","3.6","51.7","0.36"
"Khalil Shakir","WR","BUF","@LA",,"0.0",,,,"0.1","0.6","0.01","5.7","62.5","0.34"
"Keon Coleman","WR","BUF","@LA",,"0.0",,,,"0.0","0.0","0.00","2.2","30.9","0.20"
"Mack Hollins","WR","BUF","@LA",,"0.0",,,,"0.0","0.0","0.00","1.1","15.4","0.10"
"Curtis Samuel","WR","BUF","@LA",,"0.0",,,,"0.4","1.9","0.02","1.2","12.8","0.09"
"Dawson Knox","TE","BUF","@LA",,"0.0",,,,"0.0","0.0","0.00","3.1","33.2","0.30"
"Quintin Morris","TE","BUF","@LA",,"0.0",,,,"0.0","0.0","0.00","0.7","7.6","0.08"
"Zach Davidson","TE","BUF","@LA",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Bryce Young","QB","CAR","@PHI","19.4","31.8","194.5","0.97","0.87","3.0","18.1","0.11",,"0.0",
"Jonathon Brooks","RB","CAR","@PHI",,"0.0",,,,"7.4","29.6","0.15","1.4","10.0","0.04"
"Chuba Hubbard","RB","CAR","@PHI",,"0.0",,,,"13.2","55.2","0.32","2.8","17.0","0.06"
"Raheem Blackshear","RB","CAR","@PHI",,"0.0",,,,"0.2","0.9","0.01","0.1","0.4","0.00"
"Xavier Legette","WR","CAR","@PHI",,"0.0",,,,"0.4","2.2","0.01","3.3","38.7","0.20"
"Adam Thielen","WR","CAR","@PHI",,"0.0",,,,"0.0","0.0","0.00","4.2","47.5","0.23"
"Dan Chisena","WR","CAR","@PHI",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"David Moore","WR","CAR","@PHI",,"0.0",,,,"0.0","0.0","0.00","3.3","40.7","0.20"
"Deven Thompkins","WR","CAR","@PHI",,"0.0",,,,"0.2","1.1","0.01","0.3","2.7","0.02"
"Feleipe Franks","TE","CAR","@PHI",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Tommy Tremble","TE","CAR","@PHI",,"0.0",,,,"0.0","0.0","0.00","1.9","16.5","0.11"
"Ja'Tavion Sanders","TE","CAR","@PHI",,"0.0",,,,"0.0","0.0","0.00","2.0","18.7","0.10"
"Caleb Williams","QB","CHI","@SF","21.0","33.5","225.4","1.34","0.77","5.2","30.2","0.17",,"0.0",
"Travis Homer","RB","CHI","@SF",,"0.0",,,,"2.8","11.5","0.06","0.9","6.4","0.03"
"D'Andre Swift","RB","CHI","@SF",,"0.0",,,,"15.4","62.2","0.45","2.3","15.8","0.06"
"Darrynton Evans","RB","CHI","@SF",,"0.0",,,,"1.0","3.9","0.02","0.1","0.9","0.00"
"DeAndre Carter","WR","CHI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"DJ Moore","WR","CHI","@SF",,"0.0",,,,"0.9","4.4","0.04","5.1","57.3","0.34"
"Keenan Allen","WR","CHI","@SF",,"0.0",,,,"0.0","0.0","0.00","5.2","58.9","0.38"
"Rome Odunze","WR","CHI","@SF",,"0.0",,,,"0.2","1.1","0.01","3.9","51.2","0.28"
"Cole Kmet","TE","CHI","@SF",,"0.0",,,,"0.0","0.0","0.00","3.3","32.6","0.22"
"Collin Johnson","WR","CHI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.0","0.6","0.00"
"Marcedes Lewis","TE","CHI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.5","0.00"
"Gerald Everett","TE","CHI","@SF",,"0.0",,,,"0.0","0.0","0.00","0.1","0.5","0.00"
"Jameis Winston","QB","CLE","@PIT","22.4","36.3","250.5","1.29","1.14","3.0","12.9","0.11",,"0.0",
"Nick Chubb","RB","CLE","@PIT",,"0.0",,,,"12.0","49.2","0.33","0.9","6.8","0.03"
"Pierre Strong","RB","CLE","@PIT",,"0.0",,,,"0.6","2.6","0.01","0.1","0.5","0.00"
"Jerome Ford","RB","CLE","@PIT",,"0.0",,,,"7.7","31.6","0.16","1.8","13.2","0.07"
"Elijah Moore","WR","CLE","@PIT",,"0.0",,,,"0.2","1.0","0.01","4.6","53.3","0.27"
"James Proche","WR","CLE","@PIT",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"Mike Woods","WR","CLE","@PIT",,"0.0",,,,"0.0","0.0","0.00","1.8","24.0","0.12"
"Kadarius Toney","WR","CLE","@PIT",,"0.0",,,,"0.5","2.7","0.02","0.1","1.1","0.01"
"Jamari Thrash","WR","CLE","@PIT",,"0.0",,,,"0.0","0.0","0.00","0.5","5.8","0.03"
"Jerry Jeudy","WR","CLE","@PIT",,"0.0",,,,"0.1","0.5","0.01","5.0","71.6","0.32"
"David Njoku","TE","CLE","@PIT",,"0.0",,,,"0.0","0.0","0.00","5.8","54.6","0.32"
"Blake Whiteheart","TE","CLE","@PIT",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"Jordan Akins","TE","CLE","@PIT",,"0.0",,,,"0.0","0.0","0.00","1.7","17.9","0.12"
"Mac Jones","QB","JAX","@TEN","20.5","32.1","210.5","1.10","0.77","2.6","9.2","0.11",,"0.0",
"Tank Bigsby","RB","JAX","@TEN",,"0.0",,,,"10.2","40.6","0.28","1.1","7.8","0.03"
"Keilan Robinson","RB","JAX","@TEN",,"0.0",,,,"0.1","0.5","0.00",,"0.0",
"Travis Etienne","RB","JAX","@TEN",,"0.0",,,,"11.4","44.8","0.33","2.3","15.2","0.06"
"Brian Thomas Jr.","WR","JAX","@TEN",,"0.0",,,,"0.7","3.4","0.03","4.2","61.5","0.27"
"Parker Washington","WR","JAX","@TEN",,"0.0",,,,"0.0","0.0","0.00","3.0","36.3","0.18"
"Tim Jones","WR","JAX","@TEN",,"0.0",,,,"0.0","0.0","0.00","0.3","3.3","0.02"
"Devin Duvernay","WR","JAX","@TEN",,"0.0",,,,"0.2","1.1","0.01","1.8","18.6","0.10"
"Joshua Cephus","WR","JAX","@TEN",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Luke Farrell","TE","JAX","@TEN",,"0.0",,,,"0.0","0.0","0.00","0.8","7.2","0.05"
"Evan Engram","TE","JAX","@TEN",,"0.0",,,,"0.0","0.0","0.00","5.8","47.0","0.30"
"Brenton Strange","TE","JAX","@TEN",,"0.0",,,,"0.0","0.0","0.00","1.3","12.6","0.09"
"Patrick Mahomes","QB","KC","LAC","24.0","35.9","254.5","1.66","0.69","3.6","19.0","0.12",,"0.0",
"Carson Steele","RB","KC","LAC",,"0.0",,,,"0.4","1.8","0.01","0.1","0.5","0.00"
"Isiah Pacheco","RB","KC","LAC",,"0.0",,,,"11.0","47.4","0.32","1.6","11.2","0.05"
"Samaje Perine","RB","KC","LAC",,"0.0",,,,"0.4","1.9","0.01","1.8","12.6","0.08"
"Kareem Hunt","RB","KC","LAC",,"0.0",,,,"8.5","35.1","0.25","1.6","11.1","0.06"
"Xavier Worthy","WR","KC","LAC",,"0.0",,,,"0.9","4.5","0.04","3.1","41.3","0.27"
"Justin Watson","WR","KC","LAC",,"0.0",,,,"0.0","0.0","0.00","1.3","18.1","0.12"
"DeAndre Hopkins","WR","KC","LAC",,"0.0",,,,"0.0","0.0","0.00","3.9","49.5","0.32"
"Nikko Remigio","WR","KC","LAC",,"0.0",,,,"0.8","4.1","0.04","0.2","2.8","0.02"
"JuJu Smith-Schuster","WR","KC","LAC",,"0.0",,,,"0.0","0.0","0.00","1.7","19.1","0.11"
"Travis Kelce","TE","KC","LAC",,"0.0",,,,"0.0","0.0","0.00","6.1","57.9","0.44"
"Noah Gray","TE","KC","LAC",,"0.0",,,,"0.0","0.0","0.00","2.5","29.1","0.17"
"Baylor Cupp","TE","KC","LAC",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"Aidan O'Connell","QB","LV","@TB","23.8","37.1","251.4","1.39","0.89","1.4","4.1","0.07",,"0.0",
"Sincere McCormick","RB","LV","@TB",,"0.0",,,,"11.7","50.5","0.37","1.4","10.2","0.04"
"Ameer Abdullah","RB","LV","@TB",,"0.0",,,,"8.4","34.7","0.23","2.9","20.6","0.10"
"Tre Tucker","WR","LV","@TB",,"0.0",,,,"0.9","4.6","0.05","2.6","34.1","0.18"
"Terrace Marshall Jr.","WR","LV","@TB",,"0.0",,,,"0.0","0.0","0.00","1.1","13.2","0.07"
"Ramel Keyton","WR","LV","@TB",,"0.0",,,,"0.0","0.0","0.00","0.3","4.0","0.03"
"Jakobi Meyers","WR","LV","@TB",,"0.0",,,,"0.2","1.2","0.01","5.5","65.1","0.35"
"Kristian Wilkerson","WR","LV","@TB",,"0.0",,,,"0.0","0.0","0.00","0.3","4.2","0.03"
"Brock Bowers","TE","LV","@TB",,"0.0",,,,"0.3","0.9","0.02","7.6","80.3","0.44"
"Michael Mayer","TE","LV","@TB",,"0.0",,,,"0.0","0.0","0.00","1.7","17.2","0.14"
"Harrison Bryant","TE","LV","@TB",,"0.0",,,,"0.0","0.0","0.00","0.3","2.5","0.02"
"Justin Herbert","QB","LAC","@KC","21.4","33.4","234.3","1.26","0.71","4.1","19.3","0.15",,"0.0",
