"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","LA","22.0","33.0","236.1","1.56","0.69","6.4","34.3","0.33",,"0.0",
"James Conner","RB","ARI","LA",,"0.0",,,,"17.1","75.1","0.61","2.3","17.4","0.10"
"Emari Demercado","RB","ARI","LA",,"0.0",,,,"1.4","6.0","0.04","1.5","11.1","0.05"
"Trey Benson","RB","ARI","LA",,"0.0",,,,"3.2","13.9","0.09","0.4","2.8","0.01"
"Chris Moore","WR","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"Marvin Harrison Jr.","WR","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","4.5","57.6","0.38"
"Greg Dortch","WR","ARI","LA",,"0.0",,,,"0.2","1.5","0.02","3.6","39.8","0.25"
"Zach Pascal","WR","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Michael Wilson","WR","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","2.6","35.9","0.25"
"Tip Reiman","TE","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Elijah Higgins","TE","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","1.3","13.9","0.10"
"Trey McBride","TE","ARI","LA",,"0.0",,,,"0.0","0.0","0.00","5.4","54.7","0.38"
"Lamar Jackson","QB","BAL","LV","19.0","28.9","214.7","1.43","0.58","10.2","58.8","0.36",,"0.0",
"Justice Hill","RB","BAL","LV",,"0.0",,,,"4.3","19.2","0.13","2.0","14.6","0.07"
"Derrick Henry","RB","BAL","LV",,"0.0",,,,"18.9","82.7","0.78","1.3","11.3","0.03"
"Patrick Ricard","RB","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","0.2","1.7","0.01"
"Deonte Harty","WR","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Zay Flowers","WR","BAL","LV",,"0.0",,,,"0.7","4.2","0.06","4.4","51.6","0.31"
"Nelson Agholor","WR","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","1.1","13.6","0.09"
"Tylan Wallace","WR","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","0.2","2.1","0.03"
"Rashod Bateman","WR","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","2.3","33.1","0.20"
"Mark Andrews","TE","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","3.9","46.6","0.39"
"Isaiah Likely","TE","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","3.4","38.0","0.28"
"Charlie Kolar","TE","BAL","LV",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Bryce Young","QB","CAR","LAC","17.5","29.6","180.0","0.91","0.77","2.9","16.6","0.11",,"0.0",
"Miles Sanders","RB","CAR","LAC",,"0.0",,,,"9.0","34.5","0.16","1.2","8.0","0.03"
"Chuba Hubbard","RB","CAR","LAC",,"0.0",,,,"14.1","53.6","0.31","2.0","13.2","0.04"
"Mike Boone","RB","CAR","LAC",,"0.0",,,,"1.0","3.8","0.02","0.1","0.8","0.00"
"Xavier Legette","WR","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","2.0","23.5","0.12"
"Adam Thielen","WR","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","3.4","36.3","0.18"
"Jonathan Mingo","WR","CAR","LAC",,"0.0",,,,"0.2","1.4","0.01","2.1","23.4","0.11"
"David Moore","WR","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","0.2","2.1","0.01"
"Diontae Johnson","WR","CAR","LAC",,"0.0",,,,"0.2","1.4","0.01","3.9","45.7","0.25"
"Feleipe Franks","TE","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","0.1","1.0","0.01"
"Jordan Matthews","TE","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","0.2","2.1","0.01"
"Tommy Tremble","TE","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","1.3","12.1","0.08"
"Ja'Tavion Sanders","TE","CAR","LAC",,"0.0",,,,"0.0","0.0","0.00","1.2","11.7","0.07"
"Caleb Williams","QB","CHI","@HOU","20.7","32.6","218.3","1.18","0.75","4.9","24.8","0.19",,"0.0",
"Travis Homer","RB","CHI","@HOU",,"0.0",,,,"2.5","10.2","0.06","0.8","6.1","0.03"
"D'Andre Swift","RB","CHI","@HOU",,"0.0",,,,"13.8","55.3","0.39","2.2","15.3","0.06"
"Roschon Johnson","RB","CHI","@HOU",,"0.0",,,,"0.2","0.9","0.01",,"0.0",
"Khalil Herbert","RB","CHI","@HOU",,"0.0",,,,"3.6","14.5","0.08","0.2","1.7","0.01"
"DeAndre Carter","WR","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","0.9","10.2","0.08"
"DJ Moore","WR","CHI","@HOU",,"0.0",,,,"0.3","2.0","0.02","4.9","60.4","0.31"
"Keenan Allen","WR","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","4.3","49.3","0.25"
"Velus Jones Jr.","WR","CHI","@HOU",,"0.0",,,,"1.4","8.1","0.08","0.3","3.2","0.03"
"Tyler Scott","WR","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","0.3","3.3","0.02"
"Rome Odunze","WR","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","2.7","32.5","0.16"
"Cole Kmet","TE","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","1.8","16.9","0.11"
"Marcedes Lewis","TE","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Gerald Everett","TE","CHI","@HOU",,"0.0",,,,"0.0","0.0","0.00","2.1","18.3","0.12"
"Joe Burrow","QB","CIN","@KC","23.9","37.2","252.2","1.55","0.85","3.4","14.2","0.14",,"0.0",
