"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Ja'Marr Chase","CIN","WR","25.6","21.3","15.6","19.8","24.0","42.5","36.6"
"Jahmyr Gibbs","DET","RB","25.1","23.0","19.7","21.7","23.7","42.1","39.5"
"Lamar Jackson","BAL","QB","23.7","23.5","22.8","22.8","22.8","37.4","37.3"
"Justin Jefferson","MIN","WR","24.2","20.3","14.9","18.8","22.6","41.2","35.6"
"Bijan Robinson","ATL","RB","23.9","22.2","19.3","20.9","22.4","40.3","38.3"
"Jayden Daniels","WAS","QB","23.2","22.9","22.2","22.2","22.2","34.5","34.3"
"Derrick Henry","BAL","RB","23.8","22.9","20.4","21.2","22.0","40.9","39.7"
"Sam Darnold","MIN","QB","23.0","22.8","21.3","21.3","21.3","34.3","34.2"
"Amon-Ra St. Brown","DET","WR","22.3","18.5","13.5","17.3","21.1","38.5","33.1"
"Bucky Irving","TB","RB","22.1","20.7","17.9","19.2","20.6","37.8","36.0"
"Jared Goff","DET","QB","22.1","21.9","20.5","20.5","20.5","32.7","32.6"
"Joe Burrow","CIN","QB","21.9","21.7","20.4","20.4","20.4","32.5","32.4"
"Baker Mayfield","TB","QB","21.6","21.4","20.3","20.3","20.3","32.5","32.4"
"Mike Evans","TB","WR","21.2","18.0","13.6","16.8","19.9","37.2","32.4"
"Kyler Murray","ARI","QB","19.7","19.5","18.9","18.9","18.9","30.6","30.4"
"Bo Nix","DEN","QB","19.5","19.3","18.7","18.7","18.7","29.7","29.6"
"Jonathan Taylor","IND","RB","19.7","18.5","16.3","17.4","18.4","34.6","33.2"
"Brian Thomas Jr.","JAX","WR","19.1","15.9","11.7","14.9","18.0","34.1","29.4"
"Justin Herbert","LAC","QB","18.7","18.5","17.8","17.8","17.8","28.8","28.7"
"Jordan Addison","MIN","WR","18.2","15.2","11.5","14.4","17.3","33.4","29.1"
"Russell Wilson","PIT","QB","18.1","17.8","17.3","17.3","17.3","28.6","28.4"
"Trey McBride","ARI","TE","17.6","14.0","9.8","13.4","17.0","30.3","24.9"
"Davante Adams","NYJ","WR","17.7","14.4","10.3","13.6","16.9","31.6","26.8"
"Malik Nabers","NYG","WR","17.3","14.1","10.2","13.4","16.6","30.6","25.9"
"Brock Bowers","LV","TE","17.1","13.6","9.5","13.0","16.4","29.6","24.4"
"Michael Penix Jr.","ATL","QB","17.0","16.8","16.3","16.3","16.3","26.8","26.7"
"Drake London","ATL","WR","17.1","14.2","10.6","13.5","16.3","31.5","27.2"
"Joe Flacco","IND","QB","17.4","17.2","16.3","16.3","16.3","27.4","27.2"
