"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Josh Allen","BUF","QB","25.1","24.9","23.8","23.8","23.8","37.3","37.1"
"Lamar Jackson","BAL","QB","22.8","22.6","21.8","21.8","21.8","35.7","35.5"
"Jayden Daniels","WAS","QB","22.2","22.0","21.3","21.3","21.3","34.5","34.3"
"Ja'Marr Chase","CIN","WR","22.5","18.8","13.8","17.5","21.2","38.6","33.3"
"Bijan Robinson","ATL","RB","21.7","19.7","16.7","18.6","20.6","36.7","34.1"
"Joe Burrow","CIN","QB","22.0","21.8","20.5","20.5","20.5","32.6","32.5"
"Puka Nacua","LA","WR","21.3","17.7","13.0","16.5","20.1","37.6","32.4"
"Jalen Hurts","PHI","QB","20.7","20.4","20.0","20.0","20.0","32.5","32.4"
"Brock Purdy","SF","QB","21.0","20.8","19.9","19.9","19.9","32.0","31.9"
"Derrick Henry","BAL","RB","21.3","20.7","18.7","19.2","19.6","37.4","36.7"
"Kyler Murray","ARI","QB","20.3","20.1","19.4","19.4","19.4","31.9","31.8"
"Joe Mixon","HOU","RB","20.4","18.6","15.9","17.6","19.3","34.8","32.6"
"Saquon Barkley","PHI","RB","21.1","19.8","17.1","18.2","19.3","36.1","34.6"
"Chase Brown","CIN","RB","20.1","17.9","15.1","17.2","19.2","34.3","31.6"
"Sam Darnold","MIN","QB","20.1","19.9","18.9","18.9","18.9","30.7","30.5"
"Justin Herbert","LAC","QB","19.9","19.6","18.8","18.8","18.8","30.4","30.2"
"C.J. Stroud","HOU","QB","19.7","19.4","18.5","18.5","18.5","30.4","30.2"
"Chuba Hubbard","CAR","RB","19.6","18.1","15.6","17.0","18.4","33.9","32.0"
"Bo Nix","DEN","QB","19.1","18.9","18.2","18.2","18.2","29.5","29.4"
"Josh Jacobs","GB","RB","19.3","18.0","15.7","16.9","18.1","33.5","31.9"
"Jared Goff","DET","QB","19.1","19.0","18.0","18.0","18.0","29.4","29.3"
"Anthony Richardson","IND","QB","18.5","18.3","17.9","17.9","17.9","30.1","29.8"
"Patrick Mahomes","KC","QB","18.9","18.6","17.9","17.9","17.9","29.2","29.1"
"Justin Jefferson","MIN","WR","19.0","15.9","11.8","14.9","17.9","34.3","29.8"
"Zach Charbonnet","SEA","RB","18.8","16.5","13.7","15.8","17.9","32.5","29.7"
"Nico Collins","HOU","WR","18.9","15.8","11.6","14.7","17.8","34.4","29.8"
"Alvin Kamara","NO","RB","18.4","15.9","12.9","15.3","17.7","31.8","28.5"
"James Conner","ARI","RB","18.4","16.8","14.4","16.0","17.5","33.3","31.2"
"Tee Higgins","CIN","WR","18.3","15.3","11.3","14.3","17.4","33.5","28.9"
"Amon-Ra St. Brown","DET","WR","18.2","15.0","11.0","14.2","17.4","33.3","28.6"
"Tua Tagovailoa","MIA","QB","18.3","18.1","17.0","17.0","17.0","28.7","28.6"
"Geno Smith","SEA","QB","18.1","17.8","17.0","17.0","17.0","27.9","27.8"
"Davante Adams","NYJ","WR","17.5","14.3","10.4","13.6","16.8","31.4","26.8"
"Drake London","ATL","WR","17.4","14.4","10.7","13.6","16.6","31.4","27.0"
"De'Von Achane","MIA","RB","17.1","14.8","12.2","14.4","16.6","30.8","27.6"
"Drake Maye","NE","QB","17.4","17.1","16.6","16.6","16.6","27.2","27.0"
"Trey McBride","ARI","TE","17.0","13.6","9.7","13.1","16.4","30.0","25.0"
"Jahmyr Gibbs","DET","RB","17.2","15.6","13.4","14.9","16.4","32.8","30.7"
"Jordan Love","GB","QB","17.3","17.2","16.4","16.4","16.4","27.0","26.9"
"Jauan Jennings","SF","WR","17.2","14.3","10.6","13.5","16.4","31.5","27.1"
"Mike Evans","TB","WR","17.3","14.5","10.9","13.6","16.4","31.5","27.4"
"Caleb Williams","CHI","QB","17.1","16.8","16.3","16.3","16.3","27.1","26.9"
