"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Jordan Mason","SF","ARI","RB","7400","20.9","3.3","32.0","41.0","36141902","7.8","36.8"
"Jayden Reed","GB","@LA","WR","6500","18.2","2.4","28.4","32.1","36142146","6.3","33.6"
"Deebo Samuel Sr.","SF","ARI","WR","6800","18.8","2.4","20.2","24.3","36142140","6.2","36.0"
"Michael Pittman Jr.","IND","@JAX","WR","6000","17.2","2.3","29.0","35.8","36142160","6.5","30.8"
"Broncos ","DEN","LV","DST","2900","8.5","1.8","20.8","25.4","36142722","2.5","15.8"
"Chuba Hubbard","CAR","@CHI","RB","6100","16.3","1.2","20.1","24.5","36141926","6.4","29.3"
"Kyren Williams","LA","GB","RB","7600","19.2","1.2","27.0","35.0","36141898","7.7","33.9"
"Geno Smith","SEA","NYG","QB","5900","19.4","1.1","9.0","10.0","36141839","10.2","29.6"
"Trevor Lawrence","JAX","IND","QB","5700","18.7","1.0","8.1","10.3","36141841","9.6","28.9"
"Deshaun Watson","CLE","@WAS","QB","5300","17.4","0.9","5.5","5.2","36141848","8.9","27.3"
"Commanders ","WAS","CLE","DST","3000","7.8","0.9","7.2","6.7","36142720","1.7","15.3"
"Diontae Johnson","CAR","@CHI","WR","6100","15.9","0.8","18.7","22.3","36142156","5.7","29.0"
"Kenneth Walker III","SEA","NYG","RB","6800","17.3","0.8","23.0","28.0","36141910","6.4","31.5"
"Panthers ","CAR","@CHI","DST","2400","6.6","0.8","13.0","14.3","36142731","0.8","13.7"
"Dontayvion Wicks","GB","@LA","WR","5000","13.6","0.7","22.1","29.0","36142196","3.9","26.4"
"Brock Purdy","SF","ARI","QB","6200","19.9","0.7","13.0","15.0","36141837","10.4","30.4"
"Nico Collins","HOU","BUF","WR","7700","18.8","0.6","21.3","25.8","36142126","6.8","33.9"
"Patriots ","NE","MIA","DST","2900","7.4","0.6","7.6","8.6","36142723","1.6","14.5"
"Seahawks ","SEA","NYG","DST","3500","8.6","0.6","12.3","9.3","36142716","2.4","16.0"
"Tyrone Tracy Jr.","NYG","@SEA","RB","4300","12.0","0.5","22.0","24.5","36141992","4.1","23.5"
"Jaguars ","JAX","IND","DST","2800","7.1","0.5","5.7","5.6","36142725","1.1","14.4"
"Daniel Jones","NYG","@SEA","QB","5200","16.5","0.4","2.5","2.0","36141849","7.9","26.4"
"Browns ","CLE","@WAS","DST","2700","6.8","0.4","7.8","10.3","36142726","0.8","14.0"
"Dolphins ","MIA","@NE","DST","3300","7.9","0.4","6.3","6.1","36142717","2.0","15.1"
"Jordan Whittington","LA","GB","WR","4600","12.3","0.2","21.0","25.0","36142210","3.8","23.9"
"Wan'Dale Robinson","NYG","@SEA","WR","5600","14.2","0.2","17.5","21.0","36142174","5.4","26.2"
"Jerome Ford","CLE","@WAS","RB","5800","14.5","0.1","13.0","11.0","36141936","5.3","27.5"
"D'Andre Swift","CHI","CAR","RB","5700","14.3","0.0","18.2","19.1","36141940","4.7","27.0"
"Bo Nix","DEN","LV","QB","5000","15.5","0.0","1.7","1.0","36141854","7.4","25.0"
"Josh Jacobs","GB","@LA","RB","6400","15.7","0.0","15.5","13.5","36141920","5.4","29.3"
"Raiders ","LV","@DEN","DST","3200","7.4","0.0","4.4","3.1","36142718","1.4","14.8"
"Giants ","NYG","@SEA","DST","2400","5.8","0.0","3.1","2.8","36142732","0.1","12.7"
"Derrick Henry","BAL","@CIN","RB","7800","18.3","-0.1","19.0","18.0","36141894","6.0","33.5"
"Joe Burrow","CIN","BAL","QB","6400","19.7","-0.1","5.3","4.8","36141835","10.5","30.2"
"Tucker Kraft","GB","@LA","TE","3500","9.8","-0.1","33.0","43.0","36142528","2.7","18.8"
"Texans ","HOU","BUF","DST","2600","6.0","-0.1","1.5","1.0","36142728","0.3","13.1"
"Jordan Love","GB","@LA","QB","6500","19.9","-0.2","13.0","12.0","36141834","10.4","30.3"
"Josh Downs","IND","@JAX","WR","5100","12.9","-0.2","17.5","21.8","36142194","4.3","24.3"
"Jayden Daniels","WAS","CLE","QB","6800","20.8","-0.2","11.0","11.0","36141832","10.6","32.4"
"Colts ","IND","@JAX","DST","2600","5.9","-0.3","1.9","2.6","36142729","0.1","12.9"
"Ravens ","BAL","@CIN","DST","3100","6.7","-0.4","1.2","0.7","36142719","0.8","13.9"
"Bills ","BUF","@HOU","DST","2800","6.1","-0.4","1.2","0.6","36142724","0.2","13.2"
"Travis Etienne Jr.","JAX","IND","RB","6700","15.8","-0.5","9.5","7.5","36141912","5.6","29.4"
"Christian Kirk","JAX","IND","WR","5700","13.8","-0.5","12.0","10.0","36142172","4.5","26.7"
"Bears ","CHI","CAR","DST","3600","7.6","-0.5","2.9","1.3","36142715","1.6","15.1"
"Lamar Jackson","BAL","@CIN","QB","7500","22.5","-0.6","9.5","10.8","36141830","11.5","35.5"
"Alexander Mattison","LV","@DEN","RB","5200","12.7","-0.6","12.0","12.0","36141956","4.8","23.9"
"Rams ","LA","GB","DST","2500","5.4","-0.6","0.9","0.3","36142730","-0.3","12.4"
"Brian Thomas Jr.","JAX","IND","WR","5900","13.9","-0.8","12.0","10.0","36142164","4.3","26.8"
"Zay Flowers","BAL","@CIN","WR","6400","14.8","-0.9","3.7","2.3","36142148","4.9","28.2"
"James Cook","BUF","@HOU","RB","7000","16.0","-0.9","8.0","5.0","36141906","5.8","29.7"
"Joe Flacco","IND","@JAX","QB","5500","16.2","-0.9","4.5","5.0","36141844","7.9","25.6"
"Tutu Atwell","LA","GB","WR","4900","11.8","-0.9","7.0","5.0","36142200","3.1","23.9"
"Colby Parkinson","LA","GB","TE","3700","9.4","-0.9","15.2","18.9","36142524","2.6","18.2"
"Terry McLaurin","WAS","CLE","WR","6100","14.1","-1.0","4.7","2.9","36142154","4.5","26.9"
"Bengals ","CIN","BAL","DST","2700","5.3","-1.0","0.3","0.1","36142727","-0.3","12.1"
"Packers ","GB","@LA","DST","3000","5.9","-1.0","0.7","0.3","36142721","0.3","12.8"
"Ja'Marr Chase","CIN","BAL","WR","8000","17.7","-1.1","7.5","6.6","36142122","6.5","31.9"
"Javonte Williams","DEN","LV","RB","5200","12.2","-1.1","9.0","9.0","36141954","4.1","23.5"
"49ers ","SF","ARI","DST","3700","7.3","-1.1","1.1","0.7","36142714","1.2","14.7"
"Courtland Sutton","DEN","LV","WR","5500","12.7","-1.2","6.4","3.8","36142180","4.0","24.2"
"Matthew Stafford","LA","GB","QB","5500","15.9","-1.2","1.3","1.0","36141843","7.8","25.3"
"DK Metcalf","SEA","NYG","WR","7000","15.6","-1.2","10.7","7.8","36142136","5.0","29.4"
"Cardinals ","ARI","@SF","DST","2300","4.4","-1.2","0.1","0.1","36142733","-1.0","11.0"
"Tyler Huntley","MIA","@NE","QB","5600","16.1","-1.3","1.0","1.0","36141842","7.7","25.8"
"Brandon Aiyuk","SF","ARI","WR","6300","14.2","-1.3","7.2","4.3","36142150","4.1","27.4"
"Amari Cooper","CLE","@WAS","WR","6200","13.9","-1.4","7.9","4.7","36142152","4.2","26.8"
"Bo Melton","GB","@LA","WR","3300","8.2","-1.4","7.5","7.2","36142264","1.3","18.6"
"Tank Dell","HOU","BUF","WR","5400","12.3","-1.4","3.0","1.3","36142184","3.2","25.3"
"Darius Slayton","NYG","@SEA","WR","3900","9.3","-1.4","4.2","3.5","36142236","2.3","19.4"
"Keenan Allen","CHI","CAR","WR","5800","13.0","-1.5","2.0","1.1","36142166","4.2","24.4"
"Caleb Williams","CHI","CAR","QB","5800","16.3","-1.6","2.7","1.3","36141840","8.0","26.0"
"Tee Higgins","CIN","BAL","WR","6000","13.3","-1.6","2.9","1.2","36142158","3.9","26.3"
"Tre Tucker","LV","@DEN","WR","4100","9.5","-1.6","6.2","4.5","36142230","2.3","19.5"
"Jaxon Smith-Njigba","SEA","NYG","WR","5800","12.8","-1.6","3.7","2.1","36142168","4.3","24.0"
"Marvin Harrison Jr.","ARI","@SF","WR","7500","16.0","-1.8","2.3","0.5","36142130","5.5","30.0"
"C.J. Stroud","HOU","BUF","QB","7200","20.4","-1.8","3.8","3.2","36141831","10.9","31.1"
"Jakobi Meyers","LV","@DEN","WR","5500","12.0","-1.9","5.1","2.2","36142178","3.8","22.9"
"Kyler Murray","ARI","@SF","QB","6700","18.7","-2.0","2.7","1.9","36141833","9.6","29.6"
"Dalton Kincaid","BUF","@HOU","TE","5300","11.5","-2.1","9.0","6.0","36142506","3.7","21.2"
"Mike Gesicki","CIN","BAL","TE","3400","7.6","-2.1","3.9","2.3","36142530","1.6","15.4"
"Trey Sermon","IND","@JAX","RB","5700","12.1","-2.1","3.5","0.9","36141938","3.9","23.9"
"Zack Moss","CIN","BAL","RB","6000","12.7","-2.2","3.7","1.3","36141930","4.2","24.5"
"Stefon Diggs","HOU","BUF","WR","6900","14.4","-2.2","4.2","2.5","36142138","4.8","27.3"
"Brenton Strange","JAX","IND","TE","3200","7.1","-2.2","2.9","2.2","36142538","1.4","14.7"
"Brian Robinson Jr.","WAS","CLE","RB","6600","13.9","-2.2","5.3","4.6","36141914","4.3","27.6"
"Curtis Samuel","BUF","@HOU","WR","4200","9.1","-2.3","3.2","1.8","36142226","2.1","18.9"
"Tyler Lockett","SEA","NYG","WR","5200","11.0","-2.3","1.2","0.3","36142190","3.0","21.8"
"James Conner","ARI","@SF","RB","6500","13.5","-2.4","4.5","1.7","36141916","4.6","25.9"
"DJ Moore","CHI","CAR","WR","6600","13.6","-2.4","2.2","0.8","36142144","4.3","26.1"
"Gabe Davis","JAX","IND","WR","4500","9.5","-2.4","0.7","0.5","36142216","2.0","20.0"
"Antonio Gibson","NE","MIA","RB","5100","10.7","-2.4","6.0","3.9","36141958","3.2","21.6"
"Theo Johnson","NYG","@SEA","TE","2600","5.8","-2.4","3.0","3.0","36142572","1.0","12.5"
