"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","DET","21.9","33.1","240.8","1.54","0.74","6.7","37.6","0.33",,"0.0",
"James Conner","RB","ARI","DET",,"0.0",,,,"17.5","75.3","0.63","2.2","16.0","0.09"
"Emari Demercado","RB","ARI","DET",,"0.0",,,,"1.0","4.4","0.03","1.3","9.6","0.04"
"Trey Benson","RB","ARI","DET",,"0.0",,,,"3.8","15.2","0.10","0.5","3.5","0.02"
"Xavier Weaver","WR","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Chris Moore","WR","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"Marvin Harrison Jr.","WR","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","4.9","68.3","0.47"
"Greg Dortch","WR","ARI","DET",,"0.0",,,,"0.3","1.5","0.01","3.1","33.2","0.22"
"Zach Pascal","WR","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"Michael Wilson","WR","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","2.3","32.5","0.22"
"Tip Reiman","TE","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.01"
"Elijah Higgins","TE","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","1.3","13.7","0.11"
"Trey McBride","TE","ARI","DET",,"0.0",,,,"0.0","0.0","0.00","6.0","60.2","0.35"
"Kirk Cousins","QB","ATL","KC","21.3","33.7","236.0","1.42","0.74","1.2","2.4","0.03",,"0.0",
"Bijan Robinson","RB","ATL","KC",,"0.0",,,,"17.1","74.8","0.58","4.5","32.4","0.22"
"Tyler Allgeier","RB","ATL","KC",,"0.0",,,,"6.5","28.0","0.18","0.6","4.7","0.02"
"Drake London","WR","ATL","KC",,"0.0",,,,"0.0","0.0","0.00","5.0","62.2","0.34"
"KhaDarel Hodge","WR","ATL","KC",,"0.0",,,,"0.0","0.0","0.00","0.1","1.4","0.01"
"Ray-Ray McCloud","WR","ATL","KC",,"0.0",,,,"0.5","2.9","0.02","3.3","38.7","0.20"
"Darnell Mooney","WR","ATL","KC",,"0.0",,,,"0.0","0.0","0.00","3.4","45.3","0.25"
"Charlie Woerner","TE","ATL","KC",,"0.0",,,,"0.0","0.0","0.00","0.7","7.6","0.06"
"Ross Dwelley","TE","ATL","KC",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.01"
"Kyle Pitts","TE","ATL","KC",,"0.0",,,,"0.0","0.0","0.00","3.6","42.9","0.31"
"Lamar Jackson","QB","BAL","@DAL","19.5","30.0","222.1","1.46","0.66","9.6","55.9","0.36",,"0.0",
"Justice Hill","RB","BAL","@DAL",,"0.0",,,,"3.9","17.3","0.11","2.2","16.7","0.07"
"Derrick Henry","RB","BAL","@DAL",,"0.0",,,,"17.7","77.6","0.73","1.1","8.9","0.03"
"Patrick Ricard","RB","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","0.2","1.7","0.01"
"Deonte Harty","WR","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.00"
"Zay Flowers","WR","BAL","@DAL",,"0.0",,,,"0.7","4.0","0.03","5.2","60.2","0.40"
"Nelson Agholor","WR","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","1.5","19.3","0.13"
"Tylan Wallace","WR","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"Rashod Bateman","WR","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","2.5","36.4","0.20"
"Mark Andrews","TE","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","3.7","43.5","0.37"
"Isaiah Likely","TE","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","2.9","32.0","0.22"
"Charlie Kolar","TE","BAL","@DAL",,"0.0",,,,"0.0","0.0","0.00","0.2","1.6","0.02"
"Andy Dalton","QB","CAR","@LV","19.7","31.7","205.4","1.03","0.81","2.0","7.0","0.07",,"0.0",
