"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Kyler Murray","QB","ARI","CHI","20.6","31.4","223.7","1.40","0.65","6.0","34.9","0.28",,"0.0",
"James Conner","RB","ARI","CHI",,"0.0",,,,"18.2","80.4","0.63","2.5","17.4","0.10"
"Emari Demercado","RB","ARI","CHI",,"0.0",,,,"2.0","9.2","0.06","1.2","8.5","0.04"
"Trey Benson","RB","ARI","CHI",,"0.0",,,,"2.6","11.2","0.07","0.1","0.9","0.00"
"Marvin Harrison Jr.","WR","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","4.1","58.1","0.40"
"Greg Dortch","WR","ARI","CHI",,"0.0",,,,"0.3","1.4","0.02","1.8","18.6","0.11"
"Zach Pascal","WR","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","0.0","0.5","0.00"
"Michael Wilson","WR","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","2.9","37.1","0.23"
"Zay Jones","WR","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","0.8","10.0","0.06"
"Tip Reiman","TE","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","0.2","2.2","0.02"
"Elijah Higgins","TE","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","0.9","9.0","0.08"
"Trey McBride","TE","ARI","CHI",,"0.0",,,,"0.0","0.0","0.00","6.0","61.3","0.36"
"Kirk Cousins","QB","ATL","DAL","22.9","34.1","266.9","1.86","0.66","1.6","2.0","0.06",,"0.0",
"Bijan Robinson","RB","ATL","DAL",,"0.0",,,,"14.8","67.8","0.69","3.5","26.2","0.20"
"Avery Williams","RB","ATL","DAL",,"0.0",,,,"0.3","1.2","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","DAL",,"0.0",,,,"10.8","49.3","0.42","1.0","7.5","0.05"
"Drake London","WR","ATL","DAL",,"0.0",,,,"0.0","0.0","0.00","6.1","77.9","0.56"
"KhaDarel Hodge","WR","ATL","DAL",,"0.0",,,,"0.0","0.0","0.00","0.1","1.7","0.01"
"Ray-Ray McCloud","WR","ATL","DAL",,"0.0",,,,"0.5","3.2","0.04","3.2","35.7","0.21"
"Darnell Mooney","WR","ATL","DAL",,"0.0",,,,"0.0","0.0","0.00","4.8","64.5","0.43"
"Charlie Woerner","TE","ATL","DAL",,"0.0",,,,"0.0","0.0","0.00","0.2","2.6","0.02"
"Ross Dwelley","TE","ATL","DAL",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.01"
"Kyle Pitts","TE","ATL","DAL",,"0.0",,,,"0.0","0.0","0.00","4.0","50.2","0.38"
"Lamar Jackson","QB","BAL","DEN","19.2","28.9","228.0","1.71","0.56","10.5","60.0","0.38",,"0.0",
"Justice Hill","RB","BAL","DEN",,"0.0",,,,"3.6","17.0","0.12","2.5","19.7","0.11"
"Derrick Henry","RB","BAL","DEN",,"0.0",,,,"19.0","98.8","0.94","1.0","7.8","0.05"
"Patrick Ricard","RB","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","0.2","1.3","0.01"
"Zay Flowers","WR","BAL","DEN",,"0.0",,,,"1.0","6.3","0.08","4.8","61.5","0.39"
"Nelson Agholor","WR","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","1.2","15.7","0.11"
"Diontae Johnson","WR","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","1.5","18.8","0.16"
"Rashod Bateman","WR","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","2.2","34.2","0.21"
"Mark Andrews","TE","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","2.7","32.7","0.36"
"Isaiah Likely","TE","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","2.5","27.8","0.22"
"Charlie Kolar","TE","BAL","DEN",,"0.0",,,,"0.0","0.0","0.00","0.7","8.5","0.09"
"Josh Allen","QB","BUF","MIA","21.3","32.5","252.6","1.77","0.65","6.8","32.6","0.49",,"0.0",
"Ty Johnson","RB","BUF","MIA",,"0.0",,,,"1.5","6.8","0.05","0.7","5.3","0.04"
"Ray Davis","RB","BUF","MIA",,"0.0",,,,"5.9","27.0","0.20","0.6","4.3","0.02"
"James Cook","RB","BUF","MIA",,"0.0",,,,"15.4","74.1","0.62","2.1","19.0","0.11"
"Amari Cooper","WR","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","3.3","47.6","0.38"
"Khalil Shakir","WR","BUF","MIA",,"0.0",,,,"0.2","1.4","0.02","4.3","51.1","0.30"
"Keon Coleman","WR","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","3.1","44.7","0.31"
"Mack Hollins","WR","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","0.8","10.8","0.08"
"Curtis Samuel","WR","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","1.0","10.0","0.07"
"Dawson Knox","TE","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","1.0","11.5","0.12"
"Dalton Kincaid","TE","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","4.4","47.6","0.34"
"Quintin Morris","TE","BUF","MIA",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.01"
"Bryce Young","QB","CAR","NO","19.1","31.4","193.8","1.12","0.78","2.8","15.1","0.10",,"0.0",
"Miles Sanders","RB","CAR","NO",,"0.0",,,,"4.8","20.0","0.10","2.2","14.7","0.06"
"Chuba Hubbard","RB","CAR","NO",,"0.0",,,,"17.7","74.1","0.49","2.6","16.9","0.07"
"Raheem Blackshear","RB","CAR","NO",,"0.0",,,,"0.5","2.0","0.01",,"0.0",
"Xavier Legette","WR","CAR","NO",,"0.0",,,,"0.7","3.7","0.03","3.4","39.7","0.24"
"Jonathan Mingo","WR","CAR","NO",,"0.0",,,,"0.1","0.6","0.01","1.3","14.5","0.08"
"David Moore","WR","CAR","NO",,"0.0",,,,"0.0","0.0","0.00","2.6","30.9","0.20"
"Jalen Coker","WR","CAR","NO",,"0.0",,,,"0.0","0.0","0.00","3.0","39.2","0.20"
"Deven Thompkins","WR","CAR","NO",,"0.0",,,,"0.0","0.0","0.00","0.1","0.5","0.00"
"Tommy Tremble","TE","CAR","NO",,"0.0",,,,"0.0","0.0","0.00","2.0","19.1","0.16"
"Ian Thomas","TE","CAR","NO",,"0.0",,,,"0.0","0.0","0.00","0.3","3.1","0.02"
"Ja'Tavion Sanders","TE","CAR","NO",,"0.0",,,,"0.0","0.0","0.00","1.6","15.2","0.09"
"Caleb Williams","QB","CHI","@ARI","20.2","31.4","220.6","1.29","0.74","5.3","27.6","0.21",,"0.0",
"Travis Homer","RB","CHI","@ARI",,"0.0",,,,"0.5","2.2","0.01","0.1","0.9","0.00"
"D'Andre Swift","RB","CHI","@ARI",,"0.0",,,,"16.3","70.3","0.53","2.9","20.2","0.07"
"Roschon Johnson","RB","CHI","@ARI",,"0.0",,,,"6.1","26.0","0.17","1.1","8.1","0.03"
"DeAndre Carter","WR","CHI","@ARI",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"DJ Moore","WR","CHI","@ARI",,"0.0",,,,"0.4","2.0","0.02","4.4","54.1","0.32"
"Keenan Allen","WR","CHI","@ARI",,"0.0",,,,"0.0","0.0","0.00","4.1","48.5","0.29"
"Rome Odunze","WR","CHI","@ARI",,"0.0",,,,"0.4","2.0","0.02","3.1","42.7","0.24"
"Cole Kmet","TE","CHI","@ARI",,"0.0",,,,"0.0","0.0","0.00","3.4","34.9","0.24"
"Marcedes Lewis","TE","CHI","@ARI",,"0.0",,,,"0.0","0.0","0.00","0.1","0.6","0.01"
"Gerald Everett","TE","CHI","@ARI",,"0.0",,,,"0.0","0.0","0.00","1.0","9.4","0.08"
"Joe Burrow","QB","CIN","LV","24.2","35.7","263.4","1.91","0.66","3.5","11.4","0.15",,"0.0",
"Trayveon Williams","RB","CIN","LV",,"0.0",,,,"4.9","21.4","0.16","1.7","12.0","0.07"
"Chase Brown","RB","CIN","LV",,"0.0",,,,"16.4","73.9","0.59","3.1","22.3","0.13"
"Kendall Milton","RB","CIN","LV",,"0.0",,,,"0.2","1.0","0.01",,"0.0",
"Ja'Marr Chase","WR","CIN","LV",,"0.0",,,,"0.3","1.8","0.03","7.1","88.4","0.62"
"Jermaine Burton","WR","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","1.8","26.3","0.17"
"Trenton Irwin","WR","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","0.7","9.3","0.07"
"Charlie Jones","WR","CIN","LV",,"0.0",,,,"0.1","0.6","0.01","0.1","0.6","0.00"
"Andrei Iosivas","WR","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","2.7","33.8","0.26"
"Mike Gesicki","TE","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","3.8","40.3","0.36"
"Drew Sample","TE","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","0.4","3.7","0.03"
"Tanner Hudson","TE","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","0.3","3.4","0.03"
"Erick All","TE","CIN","LV",,"0.0",,,,"0.0","0.0","0.00","2.5","23.2","0.16"
"Jameis Winston","QB","CLE","LAC","22.8","36.1","253.2","1.40","0.92","3.2","13.2","0.10",,"0.0",
"Nick Chubb","RB","CLE","LAC",,"0.0",,,,"12.9","56.2","0.42","1.7","13.1","0.07"
"Pierre Strong","RB","CLE","LAC",,"0.0",,,,"0.9","3.8","0.02","0.3","2.1","0.01"
"Jerome Ford","RB","CLE","LAC",,"0.0",,,,"7.5","32.0","0.20","2.4","17.4","0.10"
"D'Onta Foreman","RB","CLE","LAC",,"0.0",,,,"0.4","1.9","0.01","0.1","1.1","0.00"
"Elijah Moore","WR","CLE","LAC",,"0.0",,,,"0.0","0.0","0.00","3.7","42.9","0.24"
"Jaelon Darden","WR","CLE","LAC",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Jerry Jeudy","WR","CLE","LAC",,"0.0",,,,"0.0","0.0","0.00","3.5","50.5","0.26"
"Cedric Tillman","WR","CLE","LAC",,"0.0",,,,"0.2","1.2","0.01","4.0","52.3","0.28"
"Geoff Swaim","TE","CLE","LAC",,"0.0",,,,"0.0","0.0","0.00","0.2","1.7","0.02"
"David Njoku","TE","CLE","LAC",,"0.0",,,,"0.0","0.0","0.00","5.8","61.1","0.36"
"Jordan Akins","TE","CLE","LAC",,"0.0",,,,"0.0","0.0","0.00","0.9","9.6","0.07"
"Dak Prescott","QB","DAL","@ATL","24.9","36.8","271.2","1.77","0.76","2.6","7.8","0.13",,"0.0",
"Dalvin Cook","RB","DAL","@ATL",,"0.0",,,,"6.1","25.8","0.18","1.0","7.2","0.04"
"Hunter Luepke","RB","DAL","@ATL",,"0.0",,,,"1.1","4.8","0.04","1.0","7.5","0.04"
"Deuce Vaughn","RB","DAL","@ATL",,"0.0",,,,"0.4","1.9","0.01",,"0.0",
"Rico Dowdle","RB","DAL","@ATL",,"0.0",,,,"12.1","51.7","0.39","2.6","19.0","0.12"
"Jalen Tolbert","WR","DAL","@ATL",,"0.0",,,,"0.0","0.0","0.00","3.4","44.0","0.26"
"Ryan Flournoy","WR","DAL","@ATL",,"0.0",,,,"0.0","0.0","0.00","0.1","0.7","0.00"
"CeeDee Lamb","WR","DAL","@ATL",,"0.0",,,,"1.3","7.1","0.09","7.4","91.7","0.63"
"KaVontae Turpin","WR","DAL","@ATL",,"0.0",,,,"1.1","6.0","0.07","2.7","30.8","0.22"
"Jalen Brooks","WR","DAL","@ATL",,"0.0",,,,"0.0","0.0","0.00","1.3","16.8","0.11"
"Brevyn Spann-Ford","TE","DAL","@ATL",,"0.0",,,,"0.0","0.0","0.00","0.4","4.0","0.04"
"Jake Ferguson","TE","DAL","@ATL",,"0.0",,,,"0.0","0.0","0.00","4.9","48.1","0.31"
"Luke Schoonmaker","TE","DAL","@ATL",,"0.0",,,,"0.0","0.0","0.00","0.1","1.3","0.01"
"Bo Nix","QB","DEN","@BAL","20.9","33.4","215.5","1.19","0.84","6.0","34.2","0.25",,"0.0",
"Michael Burton","RB","DEN","@BAL",,"0.0",,,,"0.1","0.4","0.00","0.4","2.4","0.01"
"Audric Estimé","RB","DEN","@BAL",,"0.0",,,,"2.0","8.5","0.05","0.1","0.8","0.00"
"Jaleel McLaughlin","RB","DEN","@BAL",,"0.0",,,,"4.9","20.2","0.11","1.3","8.3","0.04"
"Javonte Williams","RB","DEN","@BAL",,"0.0",,,,"11.9","47.4","0.31","3.5","23.2","0.09"
"Courtland Sutton","WR","DEN","@BAL",,"0.0",,,,"0.0","0.0","0.00","4.2","54.6","0.33"
"Troy Franklin","WR","DEN","@BAL",,"0.0",,,,"0.2","1.0","0.01","2.4","28.1","0.15"
"Devaughn Vele","WR","DEN","@BAL",,"0.0",,,,"0.0","0.0","0.00","2.5","27.0","0.13"
"Marvin Mims Jr.","WR","DEN","@BAL",,"0.0",,,,"0.2","1.1","0.01","1.1","14.8","0.08"
"Lil'Jordan Humphrey","WR","DEN","@BAL",,"0.0",,,,"0.0","0.0","0.00","1.9","21.4","0.12"
