"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Saquon Barkley","RB","PHI","CAR","9000","20.2%","19.0%","18.2%","10000","24.1%"
"De'Von Achane","RB","MIA","NYJ","8200","1.7%","3.1%","4.0%","8700","8.1%"
"A.J. Brown","WR","PHI","CAR","8100","0.3%","0.5%","0.6%","9300","1.9%"
"Josh Allen","QB","BUF","@LA","8000","1.2%","2.3%","3.0%","8900","12.0%"
"Alvin Kamara","RB","NO","@NYG","8000","44.5%","38.5%","34.5%","9200","30.3%"
"Jalen Hurts","QB","PHI","CAR","7800","3.2%","3.6%","3.9%","9200","9.0%"
"Justin Jefferson","WR","MIN","ATL","7800","16.8%","16.1%","15.6%","9200","12.6%"
"Puka Nacua","WR","LA","BUF","7700","12.6%","12.7%","12.8%","8600","14.2%"
"Bijan Robinson","RB","ATL","@MIN","7500","5.5%","7.4%","8.7%","8900","4.7%"
"James Cook","RB","BUF","@LA","7400","1.0%","1.3%","1.5%","8500","1.0%"
"Kyren Williams","RB","LA","BUF","7300","1.0%","1.5%","1.8%","8400","2.8%"
"Mike Evans","WR","TB","LV","7200","20.9%","18.8%","17.4%","8400","16.4%"
"Tyreek Hill","WR","MIA","NYJ","7100","0.4%","1.1%","1.6%","8200","1.5%"
"Cooper Kupp","WR","LA","BUF","7000","5.7%","8.6%","10.5%","8500","3.1%"
"Malik Nabers","WR","NYG","NO","6900","1.0%","2.0%","2.6%","8300","4.3%"
"George Pickens","WR","PIT","CLE","6800","5.6%","5.5%","5.5%","7500","8.5%"
"James Conner","RB","ARI","SEA","6700","5.8%","8.1%","9.6%","7600","12.6%"
"Davante Adams","WR","NYJ","@MIA","6700","5.5%","6.8%","7.7%","7300","11.8%"
"Bucky Irving","RB","TB","LV","6600","12.0%","12.4%","12.6%","7700","14.3%"
"Garrett Wilson","WR","NYJ","@MIA","6600","1.1%","2.4%","3.2%","7200","3.9%"
"Aaron Jones","RB","MIN","ATL","6500","4.1%","5.5%","6.4%","7300","9.5%"
"Brock Bowers","TE","LV","@TB","6500","28.5%","26.2%","24.7%","8000","22.0%"
"Baker Mayfield","QB","TB","LV","6400","5.9%","6.0%","6.1%","8100","7.1%"
"Tony Pollard","RB","TEN","JAX","6400","11.4%","12.9%","13.8%","7500","11.1%"
"Drake London","WR","ATL","@MIN","6400","22.6%","21.5%","20.8%","7900","15.2%"
"Tua Tagovailoa","QB","MIA","NYJ","6300","1.4%","2.5%","3.2%","8300","1.4%"
"Jaxon Smith-Njigba","WR","SEA","@ARI","6300","15.6%","15.2%","14.8%","8000","3.7%"
"Brock Purdy","QB","SF","CHI","6200","2.1%","3.4%","4.3%","8000","3.1%"
"Chuba Hubbard","RB","CAR","@PHI","6200","0.3%","0.4%","0.5%","7000","1.5%"
"DK Metcalf","WR","SEA","@ARI","6200","8.8%","9.7%","10.3%","7600","8.1%"
"Sam Darnold","QB","MIN","ATL","6100","19.6%","17.2%","15.6%","7600","14.4%"
"Trey McBride","TE","ARI","SEA","6100","19.1%","18.3%","17.7%","7200","19.9%"
"DJ Moore","WR","CHI","@SF","6100","4.2%","5.4%","6.2%","6600","13.0%"
"Kyler Murray","QB","ARI","SEA","6000","15.7%","14.5%","13.7%","7800","10.9%"
"Najee Harris","RB","PIT","CLE","6000","11.3%","11.9%","12.3%","6900","16.2%"
"Marvin Harrison Jr.","WR","ARI","SEA","6000","6.1%","7.2%","8.0%","6800","8.4%"
"Russell Wilson","QB","PIT","CLE","5900","3.5%","3.4%","3.3%","7700","2.1%"
"Nick Chubb","RB","CLE","@PIT","5900","0.3%","0.4%","0.5%","6500","0.5%"
"Khalil Shakir","WR","BUF","@LA","5900","8.2%","9.3%","10.1%","6500","13.4%"
"Deebo Samuel Sr.","WR","SF","CHI","5900","5.5%","6.5%","7.1%","7100","4.6%"
"Geno Smith","QB","SEA","@ARI","5800","8.5%","8.0%","7.6%","7400","7.5%"
"Tyrone Tracy Jr.","RB","NYG","NO","5800","1.3%","3.3%","4.7%","6600","8.7%"
"George Kittle","TE","SF","CHI","5800","2.6%","3.4%","3.9%","7500","2.2%"
"DeVonta Smith","WR","PHI","CAR","5800","0.3%","0.7%","1.0%","7400","0.5%"
"Brian Thomas Jr.","WR","JAX","@TEN","5800","5.8%","6.1%","6.3%","6900","6.2%"
"Matthew Stafford","QB","LA","BUF","5700","3.5%","3.8%","3.9%","7200","4.0%"
"D'Andre Swift","RB","CHI","@SF","5700","4.8%","6.7%","8.0%","6300","11.4%"
"Jerry Jeudy","WR","CLE","@PIT","5700","24.1%","21.6%","19.9%","6100","28.1%"
