"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"Justin Jefferson","WR","MIN","@JAX","8800","5.7%","7.6%","8.9%","9500","5.1%"
"CeeDee Lamb","WR","DAL","PHI","8600","0.3%","0.4%","0.5%","9200","0.5%"
"Saquon Barkley","RB","PHI","@DAL","8300","17.8%","16.7%","16.0%","9600","7.7%"
"A.J. Brown","WR","PHI","@DAL","8200","0.3%","0.7%","1.0%","8900","0.7%"
"Alvin Kamara","RB","NO","ATL","8100","30.7%","27.9%","26.0%","8500","29.2%"
"Christian McCaffrey","RB","SF","@TB","8000","9.2%","10.0%","10.5%","9400","4.7%"
"Jalen Hurts","QB","PHI","@DAL","7800","0.3%","0.9%","1.4%","9400","2.5%"
"DeVonta Smith","WR","PHI","@DAL","7800","0.3%","0.4%","0.5%","8500","0.5%"
"Josh Allen","QB","BUF","@IND","7700","4.9%","5.4%","5.7%","9200","5.1%"
"Bijan Robinson","RB","ATL","@NO","7700","24.4%","22.7%","21.6%","8800","18.0%"
"Breece Hall","RB","NYJ","@ARI","7600","21.8%","21.0%","20.5%","8200","25.5%"
"Jayden Daniels","QB","WAS","PIT","7500","4.6%","4.7%","4.7%","8400","13.7%"
"Jonathan Taylor","RB","IND","BUF","7500","15.6%","16.1%","16.5%","8600","18.3%"
"Jordan Mason","RB","SF","@TB","7400","0.0%","0.0%","0.0%","8100","0.3%"
"Terry McLaurin","WR","WAS","PIT","7300","0.3%","0.4%","0.5%","7700","1.5%"
"J.K. Dobbins","RB","LAC","TEN","7200","4.2%","5.4%","6.2%","7300","24.8%"
"Garrett Wilson","WR","NYJ","@ARI","7200","16.0%","15.5%","15.1%","7900","16.5%"
"James Cook","RB","BUF","@IND","7000","2.1%","3.5%","4.5%","7800","6.3%"
"Davante Adams","WR","NYJ","@ARI","7000","14.9%","15.0%","15.0%","7600","20.3%"
"Tony Pollard","RB","TEN","@LAC","6900","2.3%","2.9%","3.3%","7200","7.8%"
"Deebo Samuel Sr.","WR","SF","@TB","6900","6.8%","8.6%","9.7%","8300","1.9%"
"George Pickens","WR","PIT","@WAS","6800","3.2%","4.0%","4.5%","7000","14.6%"
"Kirk Cousins","QB","ATL","@NO","6700","0.3%","0.5%","0.6%","7400","4.9%"
"Aaron Jones","RB","MIN","@JAX","6700","36.6%","33.5%","31.4%","7900","24.6%"
"Drake London","WR","ATL","@NO","6700","14.5%","14.0%","13.7%","7800","8.6%"
"Patrick Mahomes","QB","KC","DEN","6600","1.8%","3.3%","4.2%","7900","6.8%"
"Kareem Hunt","RB","KC","DEN","6600","7.3%","9.2%","10.4%","8300","5.3%"
"Brian Thomas Jr.","WR","JAX","MIN","6600","2.9%","3.0%","3.1%","7300","2.3%"
"Brock Purdy","QB","SF","@TB","6500","20.5%","18.5%","17.2%","8100","13.6%"
"James Conner","RB","ARI","NYJ","6500","27.5%","24.1%","21.9%","7600","23.8%"
"D'Andre Swift","RB","CHI","NE","6500","21.3%","19.8%","18.8%","7700","18.7%"
"Darnell Mooney","WR","ATL","@NO","6500","2.4%","3.0%","3.3%","7500","2.7%"
"Baker Mayfield","QB","TB","SF","6400","3.0%","3.8%","4.3%","8200","1.3%"
"Rhamondre Stevenson","RB","NE","@CHI","6400","2.7%","4.3%","5.4%","7000","8.4%"
"Isaac Guerendo","RB","SF","@TB","6400","0.0%","0.0%","0.0%","6700","0.0%"
"Marvin Harrison Jr.","WR","ARI","NYJ","6400","0.3%","0.5%","0.7%","6800","3.0%"
"Kyler Murray","QB","ARI","NYJ","6300","1.8%","2.6%","3.1%","7600","5.1%"
"DJ Moore","WR","CHI","NE","6300","0.3%","0.8%","1.2%","6500","5.7%"
"Sam Darnold","QB","MIN","@JAX","6200","11.9%","11.8%","11.8%","7800","8.0%"
"Najee Harris","RB","PIT","@WAS","6200","2.2%","3.1%","3.6%","7100","8.9%"
"Josh Downs","WR","IND","BUF","6200","37.3%","32.7%","29.7%","7100","20.4%"
"Rico Dowdle","RB","DAL","PHI","6100","2.2%","2.7%","3.0%","6200","16.4%"
"Xavier Worthy","WR","KC","DEN","6100","0.3%","0.4%","0.5%","6900","0.5%"
"Bo Nix","QB","DEN","@KC","6000","0.3%","0.4%","0.5%","7000","3.5%"
"Javonte Williams","RB","DEN","@KC","6000","0.3%","0.4%","0.6%","6000","4.3%"
"Travis Kelce","TE","KC","DEN","6000","12.8%","12.2%","11.8%","7000","12.3%"
"Khalil Shakir","WR","BUF","@IND","6000","33.8%","30.4%","28.1%","6200","37.4%"
"Russell Wilson","QB","PIT","@WAS","5900","0.3%","0.8%","1.1%","7500","1.1%"
"Rachaad White","RB","TB","SF","5900","0.3%","0.6%","0.8%","6400","1.5%"
"Ladd McConkey","WR","LAC","TEN","5900","17.0%","17.2%","17.4%","6300","26.3%"
"Drake Maye","QB","NE","@CHI","5800","0.1%","0.4%","0.7%","6800","1.4%"
"Austin Ekeler","RB","WAS","PIT","5800","13.0%","14.6%","15.6%","6800","10.9%"
"Travis Etienne Jr.","RB","JAX","MIN","5800","0.3%","0.4%","0.5%","6600","0.5%"
"George Kittle","TE","SF","@TB","5800","17.8%","17.4%","17.2%","8000","1.3%"
"Aaron Rodgers","QB","NYJ","@ARI","5700","13.5%","11.5%","10.1%","7100","11.7%"
"Bucky Irving","RB","TB","SF","5700","0.3%","0.4%","0.5%","6300","1.0%"
"Tank Bigsby","RB","JAX","MIN","5700","0.3%","0.4%","0.5%","6500","0.5%"
"Trey McBride","TE","ARI","NYJ","5700","5.4%","6.4%","7.1%","7200","2.4%"
"Calvin Ridley","WR","TEN","@LAC","5700","8.0%","9.9%","11.1%","5800","24.2%"
"Caleb Williams","QB","CHI","NE","5600","4.0%","4.9%","5.5%","7100","4.6%"
"Courtland Sutton","WR","DEN","@KC","5600","2.9%","4.2%","5.0%","6600","3.1%"
"Joe Flacco","QB","IND","BUF","5500","7.5%","7.2%","7.0%","7300","0.5%"
"Ray Davis","RB","BUF","@IND","5500","0.1%","0.2%","0.3%","5800","0.3%"
"Braelon Allen","RB","NYJ","@ARI","5500","0.1%","0.2%","0.3%","5700","0.3%"
"Cade Otton","TE","TB","SF","5500","23.4%","21.8%","20.7%","6400","23.8%"
"Keenan Allen","WR","CHI","NE","5400","3.3%","4.3%","4.9%","6000","6.8%"
"Derek Carr","QB","NO","ATL","5300","0.3%","0.7%","1.0%","6700","1.3%"
"Jaylen Warren","RB","PIT","@WAS","5300","0.3%","0.4%","0.5%","5500","0.8%"
"Evan Engram","TE","JAX","MIN","5300","4.0%","4.6%","4.9%","6200","5.7%"
"DeAndre Hopkins","WR","KC","DEN","5300","33.9%","29.8%","27.1%","6000","22.6%"
"Jordan Addison","WR","MIN","@JAX","5300","1.8%","2.2%","2.5%","6600","1.0%"
"Justin Herbert","QB","LAC","TEN","5200","15.5%","13.1%","11.5%","6900","7.1%"
"Tyler Allgeier","RB","ATL","@NO","5200","0.3%","0.4%","0.5%","5900","0.5%"
"Kimani Vidal","RB","LAC","TEN","5200","0.0%","0.0%","0.0%","4900","0.0%"
"Rome Odunze","WR","CHI","NE","5200","1.1%","1.2%","1.3%","5900","3.2%"
"Cooper Rush","QB","DAL","PHI","5100","0.3%","0.5%","0.7%","6500","1.2%"
"Ezekiel Elliott","RB","DAL","PHI","5100","0.0%","0.0%","0.0%","5600","0.0%"
"Jauan Jennings","WR","SF","@TB","5100","3.7%","5.2%","6.2%","5800","9.0%"
"Jalen Tolbert","WR","DAL","PHI","5100","0.3%","0.4%","0.5%","6400","0.5%"
"Dalvin Cook","RB","DAL","PHI","5000","0.0%","0.0%","0.0%","5000","0.0%"
"Jake Ferguson","TE","DAL","PHI","5000","0.3%","0.7%","0.9%","6800","0.5%"
"Gabe Davis","WR","JAX","MIN","5000","0.1%","0.2%","0.3%","5600","0.3%"
"Will Levis","QB","TEN","@LAC","4900","0.1%","0.4%","0.7%","6600","0.5%"
"Antonio Gibson","RB","NE","@CHI","4900","0.0%","0.0%","0.0%","5200","0.0%"
"Tyler Goodson","RB","IND","BUF","4900","0.0%","0.0%","0.0%","5400","0.0%"
"Dalton Kincaid","TE","BUF","@IND","4900","10.1%","9.6%","9.3%","6000","10.6%"
"Quentin Johnston","WR","LAC","TEN","4900","7.5%","7.2%","7.0%","5900","5.6%"
"Alec Pierce","WR","IND","BUF","4900","0.3%","0.4%","0.5%","5300","5.2%"
"Samaje Perine","RB","KC","DEN","4800","0.0%","0.0%","0.0%","5800","0.0%"
"Trey Benson","RB","ARI","NYJ","4800","0.0%","0.0%","0.0%","5500","0.0%"
"Kyle Pitts","TE","ATL","@NO","4800","0.5%","1.7%","2.4%","5700","6.1%"
"Joshua Palmer","WR","LAC","TEN","4800","0.3%","0.4%","0.5%","5800","0.5%"
"Tyjae Spears","RB","TEN","@LAC","4700","0.3%","0.4%","0.5%","5200","0.5%"
"Sean Tucker","RB","TB","SF","4700","0.0%","0.0%","0.0%","5100","0.0%"
"Cam Akers","RB","MIN","@JAX","4700","0.0%","0.0%","0.0%","4800","0.0%"
"T.J. Hockenson","TE","MIN","@JAX","4700","0.7%","1.1%","1.3%","6500","0.5%"
"Jahan Dotson","WR","PHI","@DAL","4700","0.0%","0.0%","0.0%","5000","0.0%"
"Roschon Johnson","RB","CHI","NE","4600","0.1%","0.2%","0.3%","5600","0.3%"
"Emari Demercado","RB","ARI","NYJ","4600","0.0%","0.0%","0.0%","5000","0.0%"
"Michael Wilson","WR","ARI","NYJ","4600","0.1%","0.2%","0.3%","5500","0.6%"
"Jaleel McLaughlin","RB","DEN","@KC","4500","0.0%","0.0%","0.0%","5400","0.3%"
"Trey Sermon","RB","IND","BUF","4500","0.0%","0.0%","0.0%","5900","0.0%"
"Ty Johnson","RB","BUF","@IND","4500","0.0%","0.0%","0.0%","4800","0.0%"
"Dallas Goedert","TE","PHI","@DAL","4500","0.3%","0.6%","0.8%","5900","0.5%"
"Mason Tipton","WR","NO","ATL","4500","2.4%","2.7%","2.9%","5700","0.8%"
"Mac Jones","QB","JAX","MIN","4400","9.4%","8.4%","7.8%","6000","3.7%"
"Jeremy McNichols","RB","WAS","PIT","4400","0.1%","0.2%","0.3%","5300","0.3%"
"DeMario Douglas","WR","NE","@CHI","4400","5.6%","5.6%","5.6%","5100","8.2%"
"Ricky Pearsall","WR","SF","@TB","4400","0.4%","1.2%","1.7%","5700","0.5%"
"Chris Rodriguez Jr.","RB","WAS","PIT","4300","0.0%","0.0%","0.0%","4900","0.0%"
"Julius Chestnut","RB","TEN","@LAC","4300","0.0%","0.0%","0.0%","5100","0.0%"
"Cole Kmet","TE","CHI","NE","4300","0.1%","0.2%","0.3%","5100","1.4%"
"Noah Brown","WR","WAS","PIT","4300","14.7%","13.5%","12.8%","5300","12.4%"
"Ray-Ray McCloud III","WR","ATL","@NO","4300","1.4%","2.7%","3.6%","5900","0.5%"
"Ty Chandler","RB","MIN","@JAX","4200","0.0%","0.0%","0.0%","5700","0.0%"
"D'Ernest Johnson","RB","JAX","MIN","4200","0.0%","0.0%","0.0%","4700","0.0%"
"Pat Freiermuth","TE","PIT","@WAS","4200","0.3%","0.4%","0.5%","5200","0.3%"
"Jalen Nailor","WR","MIN","@JAX","4200","0.1%","0.2%","0.3%","5200","0.3%"
"Kenneth Gainwell","RB","PHI","@DAL","4100","0.0%","0.0%","0.0%","4900","0.0%"
"JaMycal Hasty","RB","NE","@CHI","4100","0.0%","0.0%","0.0%","4700","0.0%"
"Sterling Shepard","WR","TB","SF","4100","16.7%","15.1%","14.0%","5700","2.5%"
"Mike Williams","WR","PIT","@WAS","4100","0.0%","0.0%","0.0%","5000","0.0%"
"Kyle Juszczyk","RB","SF","@TB","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Cordarrelle Patterson","RB","PIT","@WAS","4000","0.0%","0.0%","0.0%","4500","0.0%"
"Gus Edwards","RB","LAC","TEN","4000","0.0%","0.0%","0.0%","5000","0.0%"
"Hunter Luepke","RB","DAL","PHI","4000","0.0%","0.0%","0.0%","4600","0.0%"
"Carson Steele","RB","KC","DEN","4000","0.0%","0.0%","0.0%","5300","0.0%"
"Khalil Herbert","RB","CIN","@BAL","4000","0.0%","0.0%","0.0%","4200","0.1%"
"Audric Estime","RB","DEN","@KC","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Jordan Mims","RB","NO","ATL","4000","0.0%","0.0%","0.0%","4600","0.0%"
"C.J. Ham","RB","MIN","@JAX","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Michael Burton","RB","DEN","@KC","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Travis Homer","RB","CHI","NE","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Hassan Haskins","RB","LAC","TEN","4000","0.0%","0.0%","0.0%","4400","0.0%"
"Isaiah Davis","RB","NYJ","@ARI","4000","0.0%","0.0%","0.0%","4300","0.0%"
"Will Shipley","RB","PHI","@DAL","4000","0.0%","0.0%","0.0%","4100","0.0%"
"Adam Prentice","RB","NO","ATL","4000","0.0%","0.0%","0.0%","4000","0.0%"
"Avery Williams","RB","ATL","@NO","4000","0.0%","0.0%","0.0%","4200","0.0%"
"Taysom Hill","TE","NO","ATL","4000","16.2%","16.3%","16.3%","6300","0.7%"
"Trey Palmer","WR","TB","SF","4000","2.3%","2.5%","2.6%","5300","0.9%"
"Troy Franklin","WR","DEN","@KC","4000","0.1%","0.2%","0.3%","5100","0.3%"
"Hunter Henry","TE","NE","@CHI","3900","15.7%","14.0%","12.8%","5300","12.3%"
"Parker Washington","WR","JAX","MIN","3900","2.5%","2.0%","1.7%","5400","0.3%"
"Marquez Valdes-Scantling","WR","NO","ATL","3900","0.1%","0.2%","0.3%","4900","0.3%"
"Chargers ","DST","LAC","TEN","3800","2.7%","3.6%","4.2%","4800","3.3%"
"Zach Ertz","TE","WAS","PIT","3800","4.9%","5.0%","5.0%","5000","10.7%"
"Nick Westbrook-Ikhine","WR","TEN","@LAC","3800","3.7%","3.9%","4.1%","5400","0.5%"
"Greg Dortch","WR","ARI","NYJ","3800","0.0%","0.0%","0.0%","4900","0.0%"
"Vikings ","DST","MIN","@JAX","3700","0.6%","1.2%","1.7%","4900","0.7%"
"Justin Watson","WR","KC","DEN","3700","0.0%","0.0%","0.0%","5200","0.0%"
"Zay Jones","WR","ARI","NYJ","3700","0.0%","0.0%","0.0%","4500","0.0%"
"Chiefs ","DST","KC","DEN","3600","3.8%","4.4%","4.8%","4500","6.2%"
"Rakim Jarrett","WR","TB","SF","3600","2.3%","2.8%","3.1%","4800","2.1%"
"Van Jefferson","WR","PIT","@WAS","3600","0.0%","0.1%","0.2%","5100","0.0%"
"Tim Jones","WR","JAX","MIN","3600","0.0%","0.0%","0.0%","4700","0.0%"
"Eagles ","DST","PHI","@DAL","3500","4.3%","4.9%","5.4%","5100","0.8%"
"Grant Calcaterra","TE","PHI","@DAL","3500","0.0%","0.0%","0.0%","5000","0.0%"
"Tyler Boyd","WR","TEN","@LAC","3500","2.1%","2.7%","3.1%","4700","1.7%"
"Ryan Miller","WR","TB","SF","3500","1.0%","1.5%","1.7%","4300","6.0%"
"Calvin Austin III","WR","PIT","@WAS","3500","1.1%","1.3%","1.5%","5300","0.3%"
"KaVontae Turpin","WR","DAL","PHI","3500","0.7%","0.9%","1.0%","5600","0.3%"
