"Player","Position","Team","Opp","DK Salary","DK Small","DK Medium","DK Large","FD Salary","FD Large"
"CeeDee Lamb","WR","DAL","DET","8600","16.3%","15.4%","14.8%","9300","19.3%"
"Saquon Barkley","RB","PHI","CLE","8200","7.4%","8.8%","9.7%","9200","12.8%"
"Amon-Ra St. Brown","WR","DET","@DAL","8100","18.6%","18.3%","18.2%","9000","16.4%"
"Derrick Henry","RB","BAL","WAS","8000","8.5%","8.0%","7.7%","9100","12.9%"
"Lamar Jackson","QB","BAL","WAS","7800","21.6%","19.7%","18.5%","9500","16.3%"
"A.J. Brown","WR","PHI","CLE","7800","1.3%","2.3%","3.0%","8100","7.8%"
"Alvin Kamara","RB","NO","TB","7700","19.3%","17.0%","15.5%","8800","12.7%"
"Stefon Diggs","WR","HOU","@NE","7400","3.5%","4.7%","5.5%","8000","5.9%"
"Jayden Daniels","QB","WAS","@BAL","7300","7.4%","7.9%","8.2%","8700","8.3%"
"Mike Evans","WR","TB","@NO","7300","1.9%","1.4%","1.1%","8200","1.8%"
"Jalen Hurts","QB","PHI","CLE","7200","12.5%","11.8%","11.3%","8300","15.8%"
"Marvin Harrison Jr.","WR","ARI","@GB","7200","0.3%","0.5%","0.7%","7000","6.6%"
"C.J. Stroud","QB","HOU","@NE","7000","0.3%","0.4%","0.5%","8200","0.7%"
"Jahmyr Gibbs","RB","DET","@DAL","7000","5.3%","6.3%","7.0%","7800","9.0%"
"Jayden Reed","WR","GB","ARI","7000","13.6%","13.5%","13.5%","7700","16.9%"
"Joe Mixon","RB","HOU","@NE","6900","0.4%","1.4%","2.1%","8300","0.6%"
"Chris Godwin","WR","TB","@NO","6900","20.0%","19.8%","19.6%","7500","19.6%"
"Kyler Murray","QB","ARI","@GB","6800","1.5%","1.9%","2.3%","7800","4.6%"
"James Conner","RB","ARI","@GB","6800","3.6%","5.5%","6.7%","8000","7.0%"
"DeVonta Smith","WR","PHI","CLE","6800","1.2%","2.9%","3.9%","7300","4.9%"
"Dak Prescott","QB","DAL","DET","6700","14.1%","12.6%","11.6%","8000","13.2%"
"Josh Jacobs","RB","GB","ARI","6700","7.4%","8.9%","9.8%","7600","10.7%"
"Drake London","WR","ATL","@CAR","6700","32.7%","28.2%","25.2%","7400","23.8%"
"Jordan Love","QB","GB","ARI","6600","3.9%","4.7%","5.2%","8500","3.4%"
"Bijan Robinson","RB","ATL","@CAR","6600","33.0%","30.0%","27.9%","8500","15.0%"
"Chris Olave","WR","NO","TB","6600","0.3%","0.6%","0.8%","7100","0.5%"
"Baker Mayfield","QB","TB","@NO","6500","2.3%","2.6%","2.8%","7900","2.7%"
"David Montgomery","RB","DET","@DAL","6500","3.2%","4.4%","5.1%","7900","3.7%"
"Zay Flowers","WR","BAL","WAS","6500","16.3%","15.4%","14.8%","7200","13.4%"
"Jared Goff","QB","DET","@DAL","6400","1.5%","1.7%","1.9%","7700","2.9%"
"Terry McLaurin","WR","WAS","@BAL","6400","12.2%","11.7%","11.5%","6800","16.9%"
"Chuba Hubbard","RB","CAR","ATL","6300","28.8%","26.7%","25.3%","7400","19.7%"
"Michael Pittman Jr.","WR","IND","@TEN","6300","0.3%","0.4%","0.5%","6600","0.5%"
"Kirk Cousins","QB","ATL","@CAR","6200","9.1%","8.4%","7.9%","7400","6.8%"
