"Player","Position","Team","Opponent","Completions","Attempts","Pass Yards","Pass TDs","Pass INTs","Carries","Rush Yards","Rush TDs","Receptions","Receiving Yards","Receiving TDs"
"Michael Penix Jr.","QB","ATL","@WAS","18.7","29.0","205.6","1.15","0.71","2.5","11.0","0.09",,"0.0",
"Bijan Robinson","RB","ATL","@WAS",,"0.0",,,,"18.5","81.4","0.72","2.9","20.1","0.09"
"Avery Williams","RB","ATL","@WAS",,"0.0",,,,"0.3","1.2","0.01",,"0.0",
"Tyler Allgeier","RB","ATL","@WAS",,"0.0",,,,"8.5","37.1","0.26","0.4","2.9","0.01"
"Chris Blair","WR","ATL","@WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Drake London","WR","ATL","@WAS",,"0.0",,,,"0.1","0.7","0.01","5.1","62.2","0.37"
"KhaDarel Hodge","WR","ATL","@WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","1.2","0.01"
"Ray-Ray McCloud","WR","ATL","@WAS",,"0.0",,,,"0.6","3.0","0.03","3.3","32.9","0.17"
"Darnell Mooney","WR","ATL","@WAS",,"0.0",,,,"0.0","0.0","0.00","3.7","48.6","0.26"
"Charlie Woerner","TE","ATL","@WAS",,"0.0",,,,"0.0","0.0","0.00","0.8","7.5","0.06"
"Ross Dwelley","TE","ATL","@WAS",,"0.0",,,,"0.0","0.0","0.00","0.1","1.0","0.01"
"Kyle Pitts","TE","ATL","@WAS",,"0.0",,,,"0.0","0.0","0.00","2.2","28.2","0.18"
"Josh Allen","QB","BUF","NYJ","19.4","30.1","229.9","1.65","0.62","7.6","35.9","0.62",,"0.0",
"Ty Johnson","RB","BUF","NYJ",,"0.0",,,,"3.1","14.6","0.09","1.2","9.9","0.08"
"Ray Davis","RB","BUF","NYJ",,"0.0",,,,"6.5","29.9","0.20","0.6","4.2","0.03"
"James Cook","RB","BUF","NYJ",,"0.0",,,,"13.9","67.7","0.53","1.9","16.8","0.09"
"Amari Cooper","WR","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","2.5","37.7","0.28"
"Khalil Shakir","WR","BUF","NYJ",,"0.0",,,,"0.1","0.7","0.01","4.5","53.1","0.32"
"Tyrell Shavers","WR","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","0.0","0.6","0.00"
"Keon Coleman","WR","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","1.8","28.1","0.19"
"Mack Hollins","WR","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","1.6","21.9","0.16"
"Dawson Knox","TE","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","1.4","15.2","0.15"
"Dalton Kincaid","TE","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","3.8","41.2","0.32"
"Quintin Morris","TE","BUF","NYJ",,"0.0",,,,"0.0","0.0","0.00","0.1","1.1","0.01"
"Bryce Young","QB","CAR","@TB","20.1","32.8","218.8","1.31","0.84","3.5","23.5","0.15",,"0.0",
"Mike Boone","RB","CAR","@TB",,"0.0",,,,"11.6","48.0","0.31","1.2","8.4","0.03"
"Velus Jones Jr.","RB","CAR","@TB",,"0.0",,,,"0.4","2.2","0.01",,"0.0",
"Raheem Blackshear","RB","CAR","@TB",,"0.0",,,,"7.9","32.6","0.23","2.2","15.3","0.06"
"Xavier Legette","WR","CAR","@TB",,"0.0",,,,"0.0","0.0","0.00","3.1","37.6","0.24"
"Adam Thielen","WR","CAR","@TB",,"0.0",,,,"0.0","0.0","0.00","5.0","57.9","0.35"
"David Moore","WR","CAR","@TB",,"0.0",,,,"0.2","1.1","0.01","1.5","18.3","0.11"
"Jalen Coker","WR","CAR","@TB",,"0.0",,,,"0.0","0.0","0.00","3.4","44.4","0.24"
"Deven Thompkins","WR","CAR","@TB",,"0.0",,,,"0.2","1.1","0.01","0.1","1.0","0.01"
"Feleipe Franks","TE","CAR","@TB",,"0.0",,,,"0.0","0.0","0.00","0.1","0.5","0.00"
"Tommy Tremble","TE","CAR","@TB",,"0.0",,,,"0.0","0.0","0.00","2.0","19.7","0.16"
"Ja'Tavion Sanders","TE","CAR","@TB",,"0.0",,,,"0.0","0.0","0.00","1.6","15.7","0.11"
