Week-6-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
1,"Lamar Jackson","BAL","QB",1,14,"N/A",22.7,"N/A"
2,"Jalen Hurts","PHI","QB",2,5,"N/A",20.95,"N/A"
3,"Jayden Daniels","WAS","QB",3,14,"N/A",20.07,"N/A"
4,"Joe Burrow","CIN","QB",4,12,"N/A",18.25,"N/A"
5,"Saquon Barkley","PHI","RB",1,5,"N/A",19.15,"N/A"
6,"Jordan Love","GB","QB",5,10,"N/A",18.41,"N/A"
7,"CeeDee Lamb","DAL","WR",1,7,"N/A",19.97,"N/A"
8,"Ja'Marr Chase","CIN","WR",2,12,"N/A",19.44,"N/A"
9,"Dak Prescott","DAL","QB",6,7,"N/A",20.13,"N/A"
10,"Josh Allen","BUF","QB",7,12,"N/A",17.84,"N/A"
11,"Amon-Ra St. Brown","DET","WR",3,5,"N/A",18.46,"N/A"
12,"Kyler Murray","ARI","QB",8,11,"N/A",15.91,"N/A"
13,"Brock Purdy","SF","QB",9,9,"N/A",19.24,"N/A"
14,"Alvin Kamara","NO","RB",2,12,"N/A",15.87,"N/A"
15,"Kirk Cousins","ATL","QB",10,12,"N/A",17.36,"N/A"
16,"Caleb Williams","CHI","QB",11,7,"N/A",14.17,"N/A"
17,"Drake London","ATL","WR",4,12,"N/A",16.62,"N/A"
18,"Jayden Reed","GB","WR",5,10,"N/A",14.03,"N/A"
19,"Justin Fields","PIT","QB",12,9,"N/A",15.94,"N/A"
20,"Bijan Robinson","ATL","RB",3,12,"N/A",16.42,"N/A"
21,"Geno Smith","SEA","QB",13,10,"N/A",17.48,"N/A"
22,"Baker Mayfield","TB","QB",14,11,"N/A",16.33,"N/A"
23,"C.J. Stroud","HOU","QB",15,14,"N/A",16.41,"N/A"
24,"Chris Godwin","TB","WR",6,11,"N/A",14.72,"N/A"
25,"Daniel Jones","NYG","QB",16,11,"N/A",16.66,"N/A"
26,"Jared Goff","DET","QB",17,5,"N/A",17.17,"N/A"
27,"Joe Flacco","IND","QB",18,14,"N/A",14.15,"N/A"
28,"Trevor Lawrence","JAX","QB",19,12,"N/A",14.42,"N/A"
29,"Stefon Diggs","HOU","WR",7,14,"N/A",16.02,"N/A"
30,"Andy Dalton","CAR","QB",20,11,"N/A",14.47,"N/A"
31,"Aaron Rodgers","NYJ","QB",21,12,"N/A",17.19,"N/A"
32,"Derrick Henry","BAL","RB",4,14,"N/A",16.64,"N/A"
33,"Will Levis","TEN","QB",22,5,"N/A",12.33,"N/A"
34,"Jordan Mason","SF","RB",5,9,"N/A",20.56,"N/A"
35,"Deshaun Watson","CLE","QB",23,10,"N/A",16.77,"N/A"
36,"Spencer Rattler","NO","QB",24,12,"N/A",14.99,"N/A"
37,"Jahmyr Gibbs","DET","RB",6,5,"N/A",15.35,"N/A"
38,"A.J. Brown","PHI","WR",8,5,"N/A",16.21,"N/A"
39,"Tony Pollard","TEN","RB",7,5,"N/A",10.99,"N/A"
40,"D.K. Metcalf","SEA","WR",9,10,"N/A",16.14,"N/A"
41,"Brandon Aiyuk","SF","WR",10,9,"N/A",15.35,"N/A"
42,"Bo Nix","DEN","QB",25,14,"N/A",12.25,"N/A"
43,"Justin Herbert","LAC","QB",26,5,"N/A",11.46,"N/A"
44,"Josh Jacobs","GB","RB",8,10,"N/A",13.49,"N/A"
45,"Chuba Hubbard","CAR","RB",9,11,"N/A",12.87,"N/A"
46,"Kenneth Walker III","SEA","RB",10,10,"N/A",13.13,"N/A"
47,"Deebo Samuel","SF","WR",11,9,"N/A",15.22,"N/A"
48,"DJ Moore","CHI","WR",12,7,"N/A",15.44,"N/A"
49,"Drake Maye","NE","QB",27,14,"N/A",12.76,"N/A"
50,"Aidan O'Connell","LV","QB",28,10,"N/A",11.31,"N/A"
51,"Diontae Johnson","CAR","WR",13,11,"N/A",16.08,"N/A"
52,"Garrett Wilson","NYJ","WR",14,12,"N/A",15.41,"N/A"
53,"Tee Higgins","CIN","WR",15,12,"N/A",12.32,"N/A"
54,"Zay Flowers","BAL","WR",16,14,"N/A",14.1,"N/A"
55,"Breece Hall","NYJ","RB",11,12,"N/A",16.57,"N/A"
56,"George Kittle","SF","TE",1,9,"N/A",11.84,"N/A"
57,"Brock Bowers","LV","TE",2,10,"N/A",9.53,"N/A"
58,"James Conner","ARI","RB",12,11,"N/A",12.32,"N/A"
59,"Terry McLaurin","WAS","WR",17,14,"N/A",12.9,"N/A"
60,"Bucky Irving","TB","RB",13,11,"N/A",13.35,"N/A"
61,"David Montgomery","DET","RB",14,5,"N/A",11.72,"N/A"
62,"James Cook","BUF","RB",15,12,"N/A",12.59,"N/A"
63,"D'Andre Swift","CHI","RB",16,7,"N/A",11.48,"N/A"
64,"Marvin Harrison Jr.","ARI","WR",18,11,"N/A",14.39,"N/A"
65,"J.K. Dobbins","LAC","RB",17,5,"N/A",12.39,"N/A"
66,"Mike Evans","TB","WR",19,11,"N/A",14.93,"N/A"
67,"DeVonta Smith","PHI","WR",20,5,"N/A",13.89,"N/A"
68,"Brian Thomas Jr.","JAX","WR",21,12,"N/A",12.49,"N/A"
69,"Wan'Dale Robinson","NYG","WR",22,11,"N/A",15.58,"N/A"
70,"Darnell Mooney","ATL","WR",23,12,"N/A",10.34,"N/A"
71,"Tank Dell","HOU","WR",24,14,"N/A",15.02,"N/A"
72,"Jameson Williams","DET","WR",25,5,"N/A",12.9,"N/A"
73,"Chris Olave","NO","WR",26,12,"N/A",14.5,"N/A"
74,"Amari Cooper","CLE","WR",27,10,"N/A",13.62,"N/A"
75,"Jake Ferguson","DAL","TE",3,7,"N/A",12.38,"N/A"
76,"Jaxon Smith-Njigba","SEA","WR",28,10,"N/A",13.82,"N/A"
77,"George Pickens","PIT","WR",29,9,"N/A",13.18,"N/A"
78,"Rashid Shaheed","NO","WR",30,12,"N/A",12.32,"N/A"
79,"Joe Mixon","HOU","RB",18,14,"N/A",12.33,"N/A"
80,"Darius Slayton","NYG","WR",31,11,"N/A",13.6,"N/A"
81,"Ladd McConkey","LAC","WR",32,5,"N/A",9.25,"N/A"
82,"Tyrone Tracy","NYG","RB",19,11,"N/A",12.18,"N/A"
83,"Christian Kirk","JAX","WR",33,12,"N/A",9.59,"N/A"
84,"Jalen Tolbert","DAL","WR",34,7,"N/A",11.7,"N/A"
85,"Trey McBride","ARI","TE",4,11,"N/A",12.38,"N/A"
86,"Courtland Sutton","DEN","WR",35,14,"N/A",11.64,"N/A"
87,"Tucker Kraft","GB","TE",5,10,"N/A",10.15,"N/A"
88,"Sam LaPorta","DET","TE",6,5,"N/A",13.62,"N/A"
89,"Austin Ekeler","WAS","RB",20,14,"N/A",12.7,"N/A"
90,"Josh Downs","IND","WR",36,14,"N/A",13.29,"N/A"
