id,player,team,opponent,position,salary,ownership
24032516,Saquon Barkley,NYG,CAR,RB,7300,21.9
24032786,Davante Adams,LV,ARI,WR,8600,21.8
24032546,Darrell Henderson Jr.,LAR,ATL,RB,5700,17
24032437,Derek Carr,LV,ARI,QB,6200,16.6
24032784,Cooper Kupp,LAR,ATL,WR,9900,16
24032518,Joe Mixon,CIN,DAL,RB,7200,14.9
24032788,Ja'Marr Chase,CIN,DAL,WR,8000,14.9
24033232,Mark Andrews,BAL,MIA,TE,6400,14.8
24032792,Tyreek Hill,MIA,BAL,WR,7100,14.6
24032940,Greg Dortch,ARI,LV,WR,3500,14.6
24032530,Javonte Williams,DEN,HOU,RB,6500,13.9
24032802,Amon-Ra St. Brown,DET,WAS,WR,6500,13.5
24032544,Josh Jacobs,LV,ARI,RB,5800,13.1
24032796,Mike Evans,TB,NO,WR,6800,12.7
24032436,Matthew Stafford,LAR,ATL,QB,6300,12.6
24032510,Jonathan Taylor,IND,JAC,RB,9900,12.5
24032526,Leonard Fournette,TB,NO,RB,6700,12.5
24032512,Christian McCaffrey,CAR,NYG,RB,8900,12.3
24032830,Allen Robinson,LAR,ATL,WR,5500,11.8
24032828,Jerry Jeudy,DEN,HOU,WR,5600,11.6
24032790,Deebo Samuel,SF,SEA,WR,7800,10.9
24033508,Cincinnati Bengals,CIN,DAL,D,2200,10.8
24032522,D'Andre Swift,DET,WAS,RB,7000,10.1
24032812,Courtland Sutton,DEN,HOU,WR,6100,9.9
24033236,Darren Waller,LV,ARI,TE,5600,9.8
24033238,Kyle Pitts,ATL,LAR,TE,5400,9.8
24033509,New York Jets,NYJ,CLE,D,2200,9.3
24032866,Curtis Samuel,WAS,DET,WR,4600,8.9
24032836,Rashod Bateman,BAL,MIA,WR,5500,8.2
24033250,Tyler Higbee,LAR,ATL,TE,4200,8
24032814,Brandin Cooks,HOU,DEN,WR,6000,7.9
24032520,Nick Chubb,CLE,NYJ,RB,7100,7.7
24033244,Zach Ertz,ARI,LV,TE,4500,7.4
24032810,Marquise Brown,ARI,LV,WR,6200,7.3
24032800,Terry McLaurin,WAS,DET,WR,6600,7.3
24032816,Tee Higgins,CIN,DAL,WR,5900,7.3
24033242,T.J. Hockenson,DET,WAS,TE,4700,7.2
24033499,New England Patriots,NE,PIT,D,2900,7
24033500,Pittsburgh Steelers,PIT,NE,D,2800,7
24032580,Jeff Wilson Jr.,SF,SEA,RB,5100,7
