"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"DeAndre Hopkins","ARZ","73","212","4.57","82","15","3","34","21","0.77","86","2.44","81.8","All Defenders","MIN","","","","","","","","","","","","","87.11575834","62.9656316"
"DeAndre Hopkins","ARZ","73","212","4.57","82","15","3","34","21","0.77","86","2.44","81.8","Patrick Peterson","MIN","73","203","4.31","","","97","32","12","0.19","75","0.94","61.6","93.02853884","50.72231435"
"DeAndre Hopkins","ARZ","73","212","4.57","82","15","3","34","21","0.77","86","2.44","81.8","Bashaud Breeland","MIN","71","195","4.62","86","4","","28","29","0.99","62","3.82","26.1","95","3.498090645"
"DeAndre Hopkins","ARZ","73","212","4.57","82","15","3","34","21","0.77","86","2.44","81.8","Mackensie Alexander","MIN","70","192","","","87","","23","17","0.27","75","1.39","39.6","76.76885699","8.745226612"
"A.J. Green","ARZ","76","210","4.48","","6","94","32","19","0.14","33","0.78","55.9","All Defenders","MIN","","","","","","","","","","","","","55.89842172","57.71849564"
"A.J. Green","ARZ","76","210","4.48","","6","94","32","19","0.14","33","0.78","55.9","Patrick Peterson","MIN","73","203","4.31","","","97","32","12","0.19","75","0.94","61.6","53.61672939","0"
"A.J. Green","ARZ","76","210","4.48","","6","94","32","19","0.14","33","0.78","55.9","Bashaud Breeland","MIN","71","195","4.62","86","4","","28","29","0.99","62","3.82","26.1","69.56626926","54.22040499"
"A.J. Green","ARZ","76","210","4.48","","6","94","32","19","0.14","33","0.78","55.9","Mackensie Alexander","MIN","70","192","","","87","","23","17","0.27","75","1.39","39.6","39.76192293","3.498090645"
"Christian Kirk","ARZ","71","200","4.47","5","95","","22","23","1.09","100","3.18","85.9","All Defenders","MIN","","","","","","","","","","","","","20.00573687","40.22804241"
"Christian Kirk","ARZ","71","200","4.47","5","95","","22","23","1.09","100","3.18","85.9","Patrick Peterson","MIN","73","203","4.31","","","97","32","12","0.19","75","0.94","61.6","34.94146997","1.749045322"
"Christian Kirk","ARZ","71","200","4.47","5","95","","22","23","1.09","100","3.18","85.9","Bashaud Breeland","MIN","71","195","4.62","86","4","","28","29","0.99","62","3.82","26.1","50.34127823","0"
"Christian Kirk","ARZ","71","200","4.47","5","95","","22","23","1.09","100","3.18","85.9","Mackensie Alexander","MIN","70","192","","","87","","23","17","0.27","75","1.39","39.6","22.75936677","38.47899709"
"Calvin Ridley","ATL","73","190","4.43","66","13","21","38","21","0.27","62","1.34","58.8","All Defenders","TB","","","","","","","","","","","","","35.70174188","58.95855207"
"Calvin Ridley","ATL","73","190","4.43","66","13","21","38","21","0.27","62","1.34","58.8","Jamel Dean","TB","73","206","4.3","21","4","71","56","16","0.3","56","1.04","51.4","40.9108342","37.90192633"
"Calvin Ridley","ATL","73","190","4.43","66","13","21","38","21","0.27","62","1.34","58.8","Carlton Davis","TB","73","206","4.53","68","9","18","57","18","0.15","40","0.75","79.3","52.15739099","11.23020039"
