"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"Amari Cooper","DAL","73","210","4.42","30","30","39","419","18","0.38","69","1.63","72.9","Corn Elder","WAS","","","","","","","","","","","","","51.63047428","22.42412877"
"Amari Cooper","DAL","73","210","4.42","30","30","39","419","18","0.38","69","1.63","72.9","Landon Collins","WAS","","","","","","","","","","","","","97.11","16.72718794"
"Michael Gallup","DAL","73","198","4.51","44","8","49","273","19","0.26","59","1.3","72.3","All Defenders","WAS","","","","","","","","","","","","","38.72824271","54.73525976"
"Michael Gallup","DAL","73","198","4.51","44","8","49","273","19","0.26","59","1.3","72.3","Kendall Fuller","WAS","","","","","","","","","","","","","31.56810502","24.59388361"
"Michael Gallup","DAL","73","198","4.51","44","8","49","273","19","0.26","59","1.3","72.3","Corn Elder","WAS","","","","","","","","","","","","","45.22709764","25.70338212"
"Michael Gallup","DAL","73","198","4.51","44","8","49","273","19","0.26","59","1.3","72.3","Landon Collins","WAS","","","","","","","","","","","","","94.11","4.437994035"
"CeeDee Lamb","DAL","74","191","4.5","35","42","22","430","24","0.47","67","2.19","85.3","All Defenders","WAS","","","","","","","","","","","","","77.32229256","54.00189448"
"CeeDee Lamb","DAL","74","191","4.5","35","42","22","430","24","0.47","67","2.19","85.3","Kendall Fuller","WAS","","","","","","","","","","","","","47.58866226","18.29632975"
"CeeDee Lamb","DAL","74","191","4.5","35","42","22","430","24","0.47","67","2.19","85.3","Corn Elder","WAS","","","","","","","","","","","","","61.21420116","12.41932686"
"CeeDee Lamb","DAL","74","191","4.5","35","42","22","430","24","0.47","67","2.19","85.3","Landon Collins","WAS","","","","","","","","","","","","","99.114","22.51002994"
"Tim Patrick","DEN","77","210","","29","24","45","449","16","0.31","64","1.38","69.1","All Defenders","LV","","","","","","","","","","","","","50.13175876","53.77218451"
"Tim Patrick","DEN","77","210","","29","24","45","449","16","0.31","64","1.38","69.1","Casey Hayward Jr.","LV","71","192","","50","1","47","509","8","0.11","54","0.53","77.3","36.89330287","15.60057205"
"Tim Patrick","DEN","77","210","","29","24","45","449","16","0.31","64","1.38","69.1","Desmond Trufant","LV","","","","","","","","","","","","","54.47357336","23.45617925"
"Tim Patrick","DEN","77","210","","29","24","45","449","16","0.31","64","1.38","69.1","Keisean Nixon","LV","70","193","","33","67","","30","10","0.16","100","0.57","66.3","68.91322875","13.60900966"
"Courtland Sutton","DEN","75","218","4.54","53","13","34","468","18","0.28","60","1.43","71.9","All Defenders","LV","","","","","","","","","","","","","39.61073342","55.65310455"
"Courtland Sutton","DEN","75","218","4.54","53","13","34","468","18","0.28","60","1.43","71.9","Casey Hayward Jr.","LV","71","192","","50","1","47","509","8","0.11","54","0.53","77.3","33.07409416","29.43086642"
"Courtland Sutton","DEN","75","218","4.54","53","13","34","468","18","0.28","60","1.43","71.9","Desmond Trufant","LV","","","","","","","","","","","","","50.65478801","18.69855799"
"Courtland Sutton","DEN","75","218","4.54","53","13","34","468","18","0.28","60","1.43","71.9","Keisean Nixon","LV","70","193","","33","67","","30","10","0.16","100","0.57","66.3","63.27404234","7.523680138"
"Jerry Jeudy","DEN","73","192","4.45","12","79","9","211","22","0.34","72","1.79","68.6","All Defenders","LV","","","","","","","","","","","","","40.37637398","48.03992872"
"Jerry Jeudy","DEN","73","192","4.45","12","79","9","211","22","0.34","72","1.79","68.6","Casey Hayward Jr.","LV","71","192","","50","1","47","509","8","0.11","54","0.53","77.3","22.56367417","5.360678741"
"Jerry Jeudy","DEN","73","192","4.45","12","79","9","211","22","0.34","72","1.79","68.6","Desmond Trufant","LV","","","","","","","","","","","","","40.14553307","4.535958935"
"Jerry Jeudy","DEN","73","192","4.45","12","79","9","211","22","0.34","72","1.79","68.6","Keisean Nixon","LV","70","193","","33","67","","30","10","0.16","100","0.57","66.3","47.75506393","37.93711109"
"Josh Reynolds","DET","75","196","4.52","49","15","36","217","18","0.34","68","1.61","68.3","All Defenders","ATL","","","","","","","","","","","","","43.1104657","48.98673483"
"Josh Reynolds","DET","75","196","4.52","49","15","36","217","18","0.34","68","1.61","68.3","Fabian Moreau","ATL","72","200","4.35","","5","87","503","14","0.25","65","0.9","58.3","54.90243059","24.38049476"
"Josh Reynolds","DET","75","196","4.52","49","15","36","217","18","0.34","68","1.61","68.3","A.J. Terrell","ATL","73","190","4.42","87","7","","454","11","0.12","44","0.33","86.8","21.23830991","18.05962575"
"Josh Reynolds","DET","75","196","4.52","49","15","36","217","18","0.34","68","1.61","68.3","Richie Grant","ATL","72","194","","1","84","","99","19","0.53","84","1.84","56.1","88.58156181","6.546614333"
"Kalif Raymond","DET","68","182","","31","34","35","417","14","0.25","68","1.11","61.7","All Defenders","ATL","","","","","","","","","","","","","23.98402436","47.5237315"
"Kalif Raymond","DET","68","182","","31","34","35","417","14","0.25","68","1.11","61.7","Fabian Moreau","ATL","72","200","4.35","","5","87","503","14","0.25","65","0.9","58.3","29.30256815","14.33088134"
"Kalif Raymond","DET","68","182","","31","34","35","417","14","0.25","68","1.11","61.7","A.J. Terrell","ATL","73","190","4.42","87","7","","454","11","0.12","44","0.33","86.8","0.644621599","16.75448627"
"Kalif Raymond","DET","68","182","","31","34","35","417","14","0.25","68","1.11","61.7","Richie Grant","ATL","72","194","","1","84","","99","19","0.53","84","1.84","56.1","55.85842429","16.33298976"
"Amon-Ra St. Brown","DET","73","195","","10","79","10","427","20","0.32","77","1.41","72.2","All Defenders","ATL","","","","","","","","","","","","","72.90149235","49.31509167"
"Amon-Ra St. Brown","DET","73","195","","10","79","10","427","20","0.32","77","1.41","72.2","Fabian Moreau","ATL","72","200","4.35","","5","87","503","14","0.25","65","0.9","58.3","63.85865893","4.741835737"
"Amon-Ra St. Brown","DET","73","195","","10","79","10","427","20","0.32","77","1.41","72.2","A.J. Terrell","ATL","73","190","4.42","87","7","","454","11","0.12","44","0.33","86.8","28.44310545","4.952583992"
"Amon-Ra St. Brown","DET","73","195","","10","79","10","427","20","0.32","77","1.41","72.2","Richie Grant","ATL","72","194","","1","84","","99","19","0.53","84","1.84","56.1","100.0299003","38.67230479"
"Davante Adams","GB","73","215","4.56","39","33","28","459","29","0.59","72","2.72","91.8","All Defenders","CLV","","","","","","","","","","","","","86.122","60.4057293"
"Davante Adams","GB","73","215","4.56","39","33","28","459","29","0.59","72","2.72","91.8","Greedy Williams","CLV","74","185","4.37","44","1","50","286","18","0.26","60","1.29","74.5","91.30834784","23.30614752"
"Davante Adams","GB","73","215","4.56","39","33","28","459","29","0.59","72","2.72","91.8","Denzel Ward","CLV","71","190","4.32","45","2","45","421","13","0.19","65","0.79","77.6","68.66774864","16.29052148"
"Davante Adams","GB","73","215","4.56","39","33","28","459","29","0.59","72","2.72","91.8","M.J. Stewart","CLV","71","200","4.54","2","49","","113","15","0.24","76","1.27","77.1","93.96280864","20.69015137"
"Juwann Winfree","GB","75","215","","40","26","35","43","16","0.16","57","0.7","42.3","All Defenders","CLV","","","","","","","","","","","","","0.1","52.55774085"
"Juwann Winfree","GB","75","215","","40","26","35","43","16","0.16","57","0.7","42.3","Greedy Williams","CLV","74","185","4.37","44","1","50","286","18","0.26","60","1.29","74.5","0.0019373","23.18723861"
"Juwann Winfree","GB","75","215","","40","26","35","43","16","0.16","57","0.7","42.3","Denzel Ward","CLV","71","190","4.32","45","2","45","421","13","0.19","65","0.79","77.6","0.3820893","15.45815907"
"Juwann Winfree","GB","75","215","","40","26","35","43","16","0.16","57","0.7","42.3","M.J. Stewart","CLV","71","200","4.54","2","49","","113","15","0.24","76","1.27","77.1","0.09282","13.91234316"
"Allen Lazard","GB","77","227","4.55","27","41","28","347","12","0.24","64","0.93","58.1","All Defenders","CLV","","","","","","","","","","","","","23.59395523","48.14942241"
"Allen Lazard","GB","77","227","4.55","27","41","28","347","12","0.24","64","0.93","58.1","Greedy Williams","CLV","74","185","4.37","44","1","50","286","18","0.26","60","1.29","74.5","18.56571348","12.77960541"
"Allen Lazard","GB","77","227","4.55","27","41","28","347","12","0.24","64","0.93","58.1","Denzel Ward","CLV","71","190","4.32","45","2","45","421","13","0.19","65","0.79","77.6","14.06137493","13.16686618"
"Allen Lazard","GB","77","227","4.55","27","41","28","347","12","0.24","64","0.93","58.1","M.J. Stewart","CLV","71","200","4.54","2","49","","113","15","0.24","76","1.27","77.1","34.41412567","22.8793862"
"Nico Collins","HST","76","218","","48","16","36","284","15","0.2","58","1.1","61.3","All Defenders","LAC","","","","","","","","","","","","","28.37743076","43.00430844"
"Nico Collins","HST","76","218","","48","16","36","284","15","0.2","58","1.1","61.3","Asante Samuel Jr.","LAC","70","184","","50","1","48","276","16","0.31","70","1.33","64.2","29.68739567","20.70577814"
"Nico Collins","HST","76","218","","48","16","36","284","15","0.2","58","1.1","61.3","Michael Davis","LAC","74","196","","44","","47","414","16","0.26","53","1.02","58.4","28.82837132","15.34833904"
"Nico Collins","HST","76","218","","48","16","36","284","15","0.2","58","1.1","61.3","Chris Harris Jr.","LAC","70","199","","2","83","2","335","12","0.2","66","0.97","70.2","11.81440508","6.950191263"
"Phillip Dorsett","HST","","","","","","","","","","","","","All Defenders","LAC","","","","","","","","","","","","","27.47260169","39.61030437"
"Phillip Dorsett","HST","","","","","","","","","","","","","Asante Samuel Jr.","LAC","70","184","","50","1","48","276","16","0.31","70","1.33","64.2","36.97664229","10.21796585"
"Phillip Dorsett","HST","","","","","","","","","","","","","Michael Davis","LAC","74","196","","44","","47","414","16","0.26","53","1.02","58.4","27.34010869","17.16618262"
"Phillip Dorsett","HST","","","","","","","","","","","","","Chris Harris Jr.","LAC","70","199","","2","83","2","335","12","0.2","66","0.97","70.2","11.90124289","12.26155902"
"Chris Conley","HST","75","205","4.35","28","30","42","277","10","0.18","62","0.96","59.1","All Defenders","LAC","","","","","","","","","","","","","30.36852621","33.95814078"
"Chris Conley","HST","75","205","4.35","28","30","42","277","10","0.18","62","0.96","59.1","Asante Samuel Jr.","LAC","70","184","","50","1","48","276","16","0.31","70","1.33","64.2","32.26294446","9.062783552"
"Chris Conley","HST","75","205","4.35","28","30","42","277","10","0.18","62","0.96","59.1","Michael Davis","LAC","74","196","","44","","47","414","16","0.26","53","1.02","58.4","30.90025937","13.64877041"
"Chris Conley","HST","75","205","4.35","28","30","42","277","10","0.18","62","0.96","59.1","Chris Harris Jr.","LAC","70","199","","2","83","2","335","12","0.2","66","0.97","70.2","15.10661173","11.13739665"
"T.Y. Hilton","IND","70","183","4.34","48","20","32","143","17","0.29","67","1.37","71.5","All Defenders","ARZ","","","","","","","","","","","","","61.29116636","39.97777777"
"T.Y. Hilton","IND","70","183","4.34","48","20","32","143","17","0.29","67","1.37","71.5","Marco Wilson","ARZ","73","191","","","6","91","446","15","0.31","72","1.13","52.9","85.96638425","18.58122065"
"T.Y. Hilton","IND","70","183","4.34","48","20","32","143","17","0.29","67","1.37","71.5","Byron Murphy Jr.","ARZ","71","190","4.55","35","59","1","426","15","0.26","63","1.18","67","54.55195707","12.66901408"
"T.Y. Hilton","IND","70","183","4.34","48","20","32","143","17","0.29","67","1.37","71.5","Antonio Hamilton","ARZ","72","190","","2","59","36","97","16","0.25","81","1.14","74.2","50.60691745","8.727543034"
"Michael Pittman Jr.","IND","76","220","4.52","36","20","44","460","22","0.41","69","1.93","76.8","All Defenders","ARZ","","","","","","","","","","","","","56.1127046","60.70181253"
"Michael Pittman Jr.","IND","76","220","4.52","36","20","44","460","22","0.41","69","1.93","76.8","Marco Wilson","ARZ","73","191","","","6","91","446","15","0.31","72","1.13","52.9","75.0090313","21.58551683"
"Michael Pittman Jr.","IND","76","220","4.52","36","20","44","460","22","0.41","69","1.93","76.8","Byron Murphy Jr.","ARZ","71","190","4.55","35","59","1","426","15","0.26","63","1.18","67","45.73736629","26.5943108"
"Michael Pittman Jr.","IND","76","220","4.52","36","20","44","460","22","0.41","69","1.93","76.8","Antonio Hamilton","ARZ","72","190","","2","59","36","97","16","0.25","81","1.14","74.2","36.60063252","12.4027279"
"Ashton Dulin","IND","","","","","","","","","","","","","All Defenders","ARZ","","","","","","","","","","","","","32.2074117489877","34.2985309642367"
"Ashton Dulin","IND","","","","","","","","","","","","","Marco Wilson","ARZ","73","191","","","6","91","446","15","0.31","72","1.13","52.9","58.4395994548728","10.2286233501527"
"Ashton Dulin","IND","","","","","","","","","","","","","Byron Murphy Jr.","ARZ","71","190","4.55","35","59","1","426","15","0.26","63","1.18","67","28.7063282618472","10.5127517765458"
"Ashton Dulin","IND","","","","","","","","","","","","","Antonio Hamilton","ARZ","72","190","","2","59","36","97","16","0.25","81","1.14","74.2","11.403060907242","13.979118578542"
"Marvin Jones Jr.","JAX","74","198","","30","28","42","520","17","0.26","64","1.2","65.9","All Defenders","NYJ","","","","","","","","","","","","","55.07724313","58.15072011"
"Marvin Jones Jr.","JAX","74","198","","30","28","42","520","17","0.26","64","1.2","65.9","Brandin Echols","NYJ","71","178","","4","","90","302","16","0.25","62","1.34","50.9","68.100322","17.44521603"
"Marvin Jones Jr.","JAX","74","198","","30","28","42","520","17","0.26","64","1.2","65.9","Bryce Hall","NYJ","73","200","","82","","7","487","13","0.24","64","0.94","70.9","32.10142349","24.09101262"
"Marvin Jones Jr.","JAX","74","198","","30","28","42","520","17","0.26","64","1.2","65.9","Javelin Guidry","NYJ","69","193","4.29","3","22","55","216","15","0.28","69","1.25","54.4","87.93389341","16.51065089"
"Laquon Treadwell","JAX","74","215","","33","28","39","189","19","0.25","57","1.42","72.5","All Defenders","NYJ","","","","","","","","","","","","","55.75652721","47.22452341"
"Laquon Treadwell","JAX","74","215","","33","28","39","189","19","0.25","57","1.42","72.5","Brandin Echols","NYJ","71","178","","4","","90","302","16","0.25","62","1.34","50.9","71.16644117","14.66445727"
"Laquon Treadwell","JAX","74","215","","33","28","39","189","19","0.25","57","1.42","72.5","Bryce Hall","NYJ","73","200","","82","","7","487","13","0.24","64","0.94","70.9","34.56794856","18.39270912"
"Laquon Treadwell","JAX","74","215","","33","28","39","189","19","0.25","57","1.42","72.5","Javelin Guidry","NYJ","69","193","4.29","3","22","55","216","15","0.28","69","1.25","54.4","91.85317381","13.9188069"
"Tavon Austin","JAX","","","","","","","","","","","","","All Defenders","NYJ","","","","","","","","","","","","","33.95939367","24.4298608"
