"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"DeAndre Hopkins","ARZ","73","212","4.57","83","10","6","626","25","0.47","75","2.25","87.1","All Defenders","TEN","","","","","","","","","","","","","80.56947406","60.75914622"
"DeAndre Hopkins","ARZ","73","212","4.57","83","10","6","626","25","0.47","75","2.25","87.1","Jackrabbit Jenkins","TEN","70","190","","69","7","18","493","16","0.25","59","1.17","67.4","75.17839649","50.11719995"
"DeAndre Hopkins","ARZ","73","212","4.57","83","10","6","626","25","0.47","75","2.25","87.1","Kristian Fulton","TEN","72","200","4.46","29","54","7","122","14","0.29","82","1.24","57.5","61.61672899","4.274969869"
"DeAndre Hopkins","ARZ","73","212","4.57","83","10","6","626","25","0.47","75","2.25","87.1","Elijah Molden","TEN","70","190","","","","","","","","","","","94.06407685","6.276019595"
"A.J. Green","ARZ","76","210","4.48","43","22","35","513","20","0.22","47","1.02","66.3","All Defenders","TEN","","","","","","","","","","","","","64.38442952","45.45991457"
"A.J. Green","ARZ","76","210","4.48","43","22","35","513","20","0.22","47","1.02","66.3","Jackrabbit Jenkins","TEN","70","190","","69","7","18","493","16","0.25","59","1.17","67.4","63.7733098","5.62567767"
"A.J. Green","ARZ","76","210","4.48","43","22","35","513","20","0.22","47","1.02","66.3","Kristian Fulton","TEN","72","200","4.46","29","54","7","122","14","0.29","82","1.24","57.5","50.55514857","27.92898064"
"A.J. Green","ARZ","76","210","4.48","43","22","35","513","20","0.22","47","1.02","66.3","Elijah Molden","TEN","70","190","","","","","","","","","","","72.43872357","10.90525626"
"Rondale Moore","ARZ","69","180","","","","","","","","","","","All Defenders","TEN","","","","","","","","","","","","","40.99621473","31.65296839"
"Rondale Moore","ARZ","69","180","","","","","","","","","","","Jackrabbit Jenkins","TEN","70","190","","69","7","18","493","16","0.25","59","1.17","67.4","31.9854559","3.165296839"
"Rondale Moore","ARZ","69","180","","","","","","","","","","","Kristian Fulton","TEN","72","200","4.46","29","54","7","122","14","0.29","82","1.24","57.5","28.98331198","3.165296839"
"Rondale Moore","ARZ","69","180","","","","","","","","","","","Elijah Molden","TEN","70","190","","","","","","","","","","","44.10005099","22.15707787"
"Olamide Zaccheaus","ATL","68","190","","51","16","32","177","17","0.3","67","1.55","67.4","All Defenders","PHI","","","","","","","","","","","","","50.17429728","54.95587079"
"Olamide Zaccheaus","ATL","68","190","","51","16","32","177","17","0.3","67","1.55","67.4","Steven Nelson","PHI","71","194","4.49","","7","87","537","14","0.21","57","0.9","67.1","54.10355526","29.18346242"
"Olamide Zaccheaus","ATL","68","190","","51","16","32","177","17","0.3","67","1.55","67.4","Darius Slay","PHI","72","190","4.36","57","6","34","486","15","0.31","77","1.53","62.9","34.18805273","17.05527025"
"Olamide Zaccheaus","ATL","68","190","","51","16","32","177","17","0.3","67","1.55","67.4","Avonte Maddox","PHI","69","180","4.39","39","5","49","277","17","0.29","62","1.43","39.6","67.03627142","8.717138125"
"Calvin Ridley","ATL","73","190","4.43","39","12","49","562","24","0.5","66","2.44","84.9","All Defenders","PHI","","","","","","","","","","","","","54.23587794","56.2796213"
"Calvin Ridley","ATL","73","190","4.43","39","12","49","562","24","0.5","66","2.44","84.9","Steven Nelson","PHI","71","194","4.49","","7","87","537","14","0.21","57","0.9","67.1","58.52120392","22.19346131"
"Calvin Ridley","ATL","73","190","4.43","39","12","49","562","24","0.5","66","2.44","84.9","Darius Slay","PHI","72","190","4.36","57","6","34","486","15","0.31","77","1.53","62.9","37.52570395","27.25019933"
"Calvin Ridley","ATL","73","190","4.43","39","12","49","562","24","0.5","66","2.44","84.9","Avonte Maddox","PHI","69","180","4.39","39","5","49","277","17","0.29","62","1.43","39.6","72.14644704","6.648674063"
"Russell Gage","ATL","72","184","","18","68","14","517","21","0.34","67","1.52","76.4","All Defenders","PHI","","","","","","","","","","","","","46.79663764","52.67126043"
"Russell Gage","ATL","72","184","","18","68","14","517","21","0.34","67","1.52","76.4","Steven Nelson","PHI","71","194","4.49","","7","87","537","14","0.21","57","0.9","67.1","42.78305925","9.029358931"
"Russell Gage","ATL","72","184","","18","68","14","517","21","0.34","67","1.52","76.4","Darius Slay","PHI","72","190","4.36","57","6","34","486","15","0.31","77","1.53","62.9","25.63511648","7.430409954"
"Russell Gage","ATL","72","184","","18","68","14","517","21","0.34","67","1.52","76.4","Avonte Maddox","PHI","69","180","4.39","39","5","49","277","17","0.29","62","1.43","39.6","53.94113255","36.11743573"
