"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"Antoine Wesley","ARZ","77","200","","89","8","3","214","13","0.25","63","0.89","60.9","All Defenders","SEA","","","","","","","","","","","","","16.2493080915244","45.6583086534893"
"Antoine Wesley","ARZ","77","200","","89","8","3","214","13","0.25","63","0.89","60.9","D.J. Reed Jr.","SEA","69","188","4.51","22","3","69","519","12","0.16","52","0.73","75","11.1710318659189","40.7511072561516"
"Antoine Wesley","ARZ","77","200","","89","8","3","214","13","0.25","63","0.89","60.9","Sidney Jones","SEA","","","","","","","","","","","","","19.2914515682465","1.28013949495764"
"Antoine Wesley","ARZ","77","200","","89","8","3","214","13","0.25","63","0.89","60.9","Ugo Amadi","SEA","69","201","4.51","2","87","","398","16","0.29","83","1.42","39.1","63.7620726349848","3.62706190237999"
"A.J. Green","ARZ","76","210","4.48","5","9","86","485","17","0.31","62","1.7","70.4","All Defenders","SEA","","","","","","","","","","","","","52.6643216367214","54.7617511508044"
"A.J. Green","ARZ","76","210","4.48","5","9","86","485","17","0.31","62","1.7","70.4","D.J. Reed Jr.","SEA","69","188","4.51","22","3","69","519","12","0.16","52","0.73","75","36.2147818398497","2.49863503349678"
"A.J. Green","ARZ","76","210","4.48","5","9","86","485","17","0.31","62","1.7","70.4","Sidney Jones","SEA","","","","","","","","","","","","","48.9704740292376","47.1617362572517"
"A.J. Green","ARZ","76","210","4.48","5","9","86","485","17","0.31","62","1.7","70.4","Ugo Amadi","SEA","69","201","4.51","2","87","","398","16","0.29","83","1.42","39.1","87.6541915248022","4.99727006699356"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","499","20","0.4","77","1.89","74","All Defenders","SEA","","","","","","","","","","","","","84.4505237246863","53.6707440980104"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","499","20","0.4","77","1.89","74","D.J. Reed Jr.","SEA","69","188","4.51","22","3","69","519","12","0.16","52","0.73","75","22.2414478251837","6.33750483814145"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","499","20","0.4","77","1.89","74","Sidney Jones","SEA","","","","","","","","","","","","","32.4108575777117","5.14922268098993"
"Christian Kirk","ARZ","71","200","4.47","12","78","10","499","20","0.4","77","1.89","74","Ugo Amadi","SEA","69","201","4.51","2","87","","398","16","0.29","83","1.42","39.1","74.3234180618403","42.184016578879"
"Russell Gage","ATL","72","184","","22","49","28","359","22","0.39","71","1.79","69.8","All Defenders","NO","","","","","","","","","","","","","26.4739551695128","48.9758257328549"
"Russell Gage","ATL","72","184","","22","49","28","359","22","0.39","71","1.79","69.8","Marshon Lattimore","NO","72","192","4.36","13","5","79","576","15","0.31","57","1.46","76.9","12.2168083814997","19.3854954397129"
"Russell Gage","ATL","72","184","","22","49","28","359","22","0.39","71","1.79","69.8","Paulson Adebo","NO","73","190","","75","8","12","504","14","0.27","65","1.27","61.5","38.2443696975506","13.6114632556246"
"Russell Gage","ATL","72","184","","22","49","28","359","22","0.39","71","1.79","69.8","Chauncey Gardner-Johnson","NO","72","208","4.48","1","86","2","361","17","0.28","68","1.3","62.2","38.0364924754687","15.5515178349117"
"Tajae Sharpe","ATL","","","","","","","","","","","","","All Defenders","NO","","","","","","","","","","","","","1","40.0676190427689"
"Tajae Sharpe","ATL","","","","","","","","","","","","","Marshon Lattimore","NO","72","192","4.36","13","5","79","576","15","0.31","57","1.46","76.9","0.001272","14.8935557626082"
"Tajae Sharpe","ATL","","","","","","","","","","","","","Paulson Adebo","NO","73","190","","75","8","12","504","14","0.27","65","1.27","61.5","1.30945981951035","12.1257268155748"
"Tajae Sharpe","ATL","","","","","","","","","","","","","Chauncey Gardner-Johnson","NO","72","208","4.48","1","86","2","361","17","0.28","68","1.3","62.2","10.364389206931","12.7847337077256"
"Olamide Zaccheaus","ATL","68","190","","22","43","33","345","14","0.24","58","1.04","64.3","All Defenders","NO","","","","","","","","","","","","","21.9652468547012","39.793877718337"
"Olamide Zaccheaus","ATL","68","190","","22","43","33","345","14","0.24","58","1.04","64.3","Marshon Lattimore","NO","72","192","4.36","13","5","79","576","15","0.31","57","1.46","76.9","0.127728775295868","9.23217963065418"
"Olamide Zaccheaus","ATL","68","190","","22","43","33","345","14","0.24","58","1.04","64.3","Paulson Adebo","NO","73","190","","75","8","12","504","14","0.27","65","1.27","61.5","23.079136199602","12.6279238626189"
"Olamide Zaccheaus","ATL","68","190","","22","43","33","345","14","0.24","58","1.04","64.3","Chauncey Gardner-Johnson","NO","72","208","4.48","1","86","2","361","17","0.28","68","1.3","62.2","26.6745070575423","17.4031891888194"
