"offPlayer","offTeam","offHeightInches","offWeight","offSpeed","offLeft","offSlot","offRight","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","defPlayer","defTeam","defHeightInches","defWeight","defSpeed","defLeft","defSlot","defRight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade","advantage","expectedSnaps"
"Antoine Wesley","ARZ","77","200","","85","8","6","109","10","0.18","73","1.04","60.6","All Defenders","CHI","","","","","","","","","","","","","26.36241972","45.06382997"
"Antoine Wesley","ARZ","77","200","","85","8","6","109","10","0.18","73","1.04","60.6","Jaylon Johnson","CHI","72","195","4.5","11","2","83","384","15","0.24","56","1.06","68.7","24.59574225","38.50909107"
"Antoine Wesley","ARZ","77","200","","85","8","6","109","10","0.18","73","1.04","60.6","Artie Burns","CHI","72","197","4.46","42","","58","26","19","0.56","60","2.12","53.4","99.82540468","2.458027089"
"Antoine Wesley","ARZ","77","200","","85","8","6","109","10","0.18","73","1.04","60.6","Xavier Crawford","CHI","71","187","4.48","5","81","2","42","17","0.27","86","1.26","64.1","29.59064937","4.096711816"
"A.J. Green","ARZ","76","210","4.48","2","10","88","315","17","0.34","63","1.71","65.5","All Defenders","CHI","","","","","","","","","","","","","55.60230175","56.63704085"
"A.J. Green","ARZ","76","210","4.48","2","10","88","315","17","0.34","63","1.71","65.5","Jaylon Johnson","CHI","72","195","4.5","11","2","83","384","15","0.24","56","1.06","68.7","45.33965192","1.486103113"
"A.J. Green","ARZ","76","210","4.48","2","10","88","315","17","0.34","63","1.71","65.5","Artie Burns","CHI","72","197","4.46","42","","58","26","19","0.56","60","2.12","53.4","86.43058532","49.37164786"
"A.J. Green","ARZ","76","210","4.48","2","10","88","315","17","0.34","63","1.71","65.5","Xavier Crawford","CHI","71","187","4.48","5","81","2","42","17","0.27","86","1.26","64.1","50.34547271","5.779289883"
"Christian Kirk","ARZ","71","200","4.47","12","77","11","311","19","0.44","82","2","77.7","All Defenders","CHI","","","","","","","","","","","","","69.9680832","52.3625472"
"Christian Kirk","ARZ","71","200","4.47","12","77","11","311","19","0.44","82","2","77.7","Jaylon Johnson","CHI","72","195","4.5","11","2","83","384","15","0.24","56","1.06","68.7","47.93640722","6.259079986"
"Christian Kirk","ARZ","71","200","4.47","12","77","11","311","19","0.44","82","2","77.7","Artie Burns","CHI","72","197","4.46","42","","58","26","19","0.56","60","2.12","53.4","98.45","5.343117062"
"Christian Kirk","ARZ","71","200","4.47","12","77","11","311","19","0.44","82","2","77.7","Xavier Crawford","CHI","71","187","4.48","5","81","2","42","17","0.27","86","1.26","64.1","52.94359421","40.76035016"
"Olamide Zaccheaus","ATL","68","190","","21","44","33","229","15","0.26","56","0.97","62.6","All Defenders","TB","","","","","","","","","","","","","1.940601501","38.38506364"
"Olamide Zaccheaus","ATL","68","190","","21","44","33","229","15","0.26","56","0.97","62.6","Jamel Dean","TB","73","206","4.3","4","3","86","346","12","0.15","52","0.72","76.9","6.356784643","16.03103818"
"Olamide Zaccheaus","ATL","68","190","","21","44","33","229","15","0.26","56","0.97","62.6","Sean Murphy-Bunting","TB","72","195","4.42","80","9","6","102","23","0.45","61","1.94","60.8","24.36808626","12.12968011"
"Olamide Zaccheaus","ATL","68","190","","21","44","33","229","15","0.26","56","0.97","62.6","Mike Edwards","TB","70","205","","1","35","1","280","8","0.14","73","0.65","76.9","0.121","10.19650851"
"Tajae Sharpe","ATL","74","194","4.55","42","30","28","210","13","0.2","78","1.01","61.6","All Defenders","TB","","","","","","","","","","","","","15.27059197","37.73547025"
"Tajae Sharpe","ATL","74","194","4.55","42","30","28","210","13","0.2","78","1.01","61.6","Jamel Dean","TB","73","206","4.3","4","3","86","346","12","0.15","52","0.72","76.9","9.670882014","15.59024123"
"Tajae Sharpe","ATL","74","194","4.55","42","30","28","210","13","0.2","78","1.01","61.6","Sean Murphy-Bunting","TB","72","195","4.42","80","9","6","102","23","0.45","61","1.94","60.8","27.02097023","9.566738937"
"Tajae Sharpe","ATL","74","194","4.55","42","30","28","210","13","0.2","78","1.01","61.6","Mike Edwards","TB","70","205","","1","35","1","280","8","0.14","73","0.65","76.9","3.294254632","12.22416642"
"Russell Gage","ATL","72","184","","20","54","26","213","19","0.31","66","1.27","64.7","All Defenders","TB","","","","","","","","","","","","","27.30197304","46.03216593"
"Russell Gage","ATL","72","184","","20","54","26","213","19","0.31","66","1.27","64.7","Jamel Dean","TB","73","206","4.3","4","3","86","346","12","0.15","52","0.72","76.9","25.01504269","9.085295906"
"Russell Gage","ATL","72","184","","20","54","26","213","19","0.31","66","1.27","64.7","Sean Murphy-Bunting","TB","72","195","4.42","80","9","6","102","23","0.45","61","1.94","60.8","39.30373485","12.11372788"
"Russell Gage","ATL","72","184","","20","54","26","213","19","0.31","66","1.27","64.7","Mike Edwards","TB","70","205","","1","35","1","280","8","0.14","73","0.65","76.9","18.6464881","24.63124668"
"Rashod Bateman","BLT","74","210","","56","17","27","190","20","0.29","66","1.58","69.9","All Defenders","PIT","","","","","","","","","","","","","58.71512869","46.48903277"
"Rashod Bateman","BLT","74","210","","56","17","27","190","20","0.29","66","1.58","69.9","Cameron Sutton","PIT","71","188","4.52","1","17","66","368","12","0.21","70","1.06","54.5","59.33128805","26.10714155"
"Rashod Bateman","BLT","74","210","","56","17","27","190","20","0.29","66","1.58","69.9","James Pierre","PIT","72","185","4.59","47","2","45","262","17","0.37","66","1.64","65.4","44.3458915","12.36654074"
