"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Austin Hooper","76","254","301","4","34","52","14","17","0.3","71","1.35","67.1","5","Devin Lloyd","75","235","467","18","0.35","82","1.53","49.4"
"Logan Thomas","78","250","346","8","25","64","11","16","0.21","67","0.89","52.2","-14","Damone Clark","75","240","167","10","0.18","94","0.89","67.3"
"Trey McBride","75","249","292","7","49","32","11","12","0.19","72","0.77","49.4","-50","Dre Greenlaw","72","230","494","19","0.29","78","1.25","81.4"
"MyCole Pruitt","74","245","65","42","77","13","4","25","0.66","81","1.78","73.6","-10","Lavonte David","73","233","562","13","0.2","80","0.87","84.6"
"Mark Andrews","77","247","435","","12","66","22","26","0.43","66","1.95","80.3","0","Logan Wilson","74","245","481","14","0.24","83","1.05","72.8"
"Dawson Knox","76","254","451","7","32","46","13","14","0.28","73","1.12","64.7","9","Ja'Whaun Bentley","74","244","366","11","0.14","75","0.58","79.5"
"Ian Thomas","76","260","170","23","84","11","2","17","0.24","72","1.16","51.3","-58","Demario Davis","74","248","534","8","0.13","74","0.52","79.4"
"Cole Kmet","78","260","402","12","42","44","13","16","0.33","72","1.21","65.9","-11","Eric Kendricks","72","232","603","13","0.22","78","0.99","59.9"
"Hayden Hurst","76","250","359","3","52","27","20","17","0.29","81","1.18","66.7","6","Roquan Smith","73","232","454","12","0.22","76","0.97","68.4"
"David Njoku","76","246","365","10","53","35","12","20","0.36","73","1.61","72.1","4","Robert Spillane","73","229","273","15","0.3","83","1.36","60.7"
"Dalton Schultz","77","244","380","9","49","37","12","21","0.36","68","1.43","68","16","Jamin Davis","75","234","396","14","0.22","77","1","62.1"
"Albert Okwuegbunam","77","258","119","3","38","46","15","13","0.21","62","0.8","57.3","-9","Drue Tranquill","74","234","450","12","0.19","81","0.8","65.9"
"Brock Wright","77","255","156","31","72","15","12","14","0.41","82","1.38","56.2","-24","Quay Walker","76","241","363","12","0.16","64","0.72","54.2"
"Robert Tonyan","77","240","348","3","42","39","19","17","0.3","83","1.27","57.1","24","Alex Anzalone","75","237","504","8","0.14","80","0.7","55.7"
"Jordan Akins","76","243","272","3","46","42","12","16","0.34","77","1.56","69.5","-5","Bobby Okereke","73","235","477","18","0.28","77","1.21","75.6"
"Mo Alie-Cox","77","267","260","10","56","33","10","10","0.19","69","0.71","46.4","7","Christian Kirksey","74","235","488","14","0.24","75","1.14","55.4"
"Evan Engram","75","240","495","5","36","40","24","19","0.34","74","1.49","65.7","7","Dylan Cole","72","237","229","14","0.25","91","1.24","59"
"Travis Kelce","77","250","573","4","26","45","29","25","0.53","73","2.27","91.2","98","Luke Masterson","73","234","129","16","0.31","90","1.19","32.6"
"Tyler Higbee","78","255","413","17","66","14","20","24","0.35","69","1.42","62.6","23","Cody Barton","74","237","386","16","0.28","76","1.09","60.2"
"Gerald Everett","75","240","427","7","44","41","15","18","0.3","71","1.28","66.9","8","Josey Jewell","74","236","361","19","0.32","77","1.52","72.7"
"Darren Waller","78","255","209","1","18","64","18","18","0.38","70","1.69","71.4","18","Willie Gay Jr.","74","240","266","18","0.32","94","1.32","69.3"
"Mike Gesicki","78","250","332","5","26","52","21","14","0.27","62","0.95","58.7","0","C.J. Mosley","74","231","563","13","0.19","66","0.88","70.4"
"T.J. Hockenson","77","244","558","10","49","35","16","22","0.38","70","1.61","70.4","0","Joe Thomas","73","232","124","13","0.24","81","0.85","63"
"Hunter Henry","77","250","383","8","44","42","11","13","0.24","70","1.22","57.5","-26","Tremaine Edmunds","77","250","392","14","0.19","74","0.76","77.1"
"Juwan Johnson","76","231","347","6","35","50","15","17","0.38","68","1.4","66.9","-28","Frankie Luvu","75","235","371","14","0.32","89","1.24","72.5"
"Daniel Bellinger","77","253","279","9","57","25","16","12","0.25","91","0.96","61.6","0","Kyzir White","74","234","452","14","0.2","73","0.96","57.9"
"Tyler Conklin","75","254","460","11","60","30","10","17","0.28","70","1.17","58.5","-9","Eric Rowe","73","210","336","14","0.26","83","1.46","56.1"
"Dallas Goedert","77","256","349","2","45","44","10","17","0.38","82","1.88","77","13","Julian Love","71","195","548","9","0.16","71","0.68","70.7"
"Pat Freiermuth","77","258","416","6","59","35","5","23","0.36","67","1.76","78.1","21","Tony Fields II","73","220","65","12","0.16","75","0.69","56.7"
"Noah Fant","76","249","325","10","40","41","15","18","0.36","78","1.43","67.4","2","Ernest Jones","74","230","345","17","0.28","86","1.21","63.3"
"George Kittle","76","250","419","7","57","30","11","18","0.44","76","1.76","79.7","22","Ezekiel Turner","74","214","36","25","0.83","100","2.47","69.8"
"Cade Otton","77","247","457","5","40","49","10","14","0.2","66","0.84","56.7","22","Troy Andersen","76","235","194","16","0.35","94","1.67","46.6"
