"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","77","250","245","2","25","59","12","20","0.31","71","1.22","64.9","-31","Demario Davis","74","248","190","9","0.12","71","0.53","86.4"
"Kyle Pitts","78","246","101","10","27","41","29","25","0.36","52","1.67","68.7","-2","Akeem Davis-Gaither","74","228","61","20","0.32","75","1.75","57.5"
"Mark Andrews","77","247","196","","12","66","22","29","0.58","68","2.32","85.1","-3","Sione Takitaki","73","238","62","8","0.13","80","0.63","71.4"
"Tommy Tremble","76","250","87","3","73","21","3","10","0.11","56","0.48","45.9","-28","Devin White","72","237","197","12","0.2","62","0.89","37.7"
"Cole Kmet","78","260","145","10","34","52","12","11","0.15","62","0.8","56.1","-46","Kyle Dugger","74","220","117","11","0.19","62","0.69","71"
"Hayden Hurst","76","250","199","3","54","26","17","15","0.27","79","0.89","63.2","10","Rashaan Evans","74","232","225","12","0.2","85","1.01","57.9"
"David Njoku","76","246","177","11","52","34","15","19","0.38","79","1.96","81.6","12","Patrick Queen","72","237","209","17","0.28","81","1.46","59.3"
"Jake Ferguson","77","244","48","24","65","25","8","21","0.4","70","1.25","65.7","-20","DeShon Elliott","73","210","176","4","0.06","71","0.36","64.4"
"Greg Dulcich","76","245","27","","19","70","11","11","0.46","67","1.63","56.6","-35","C.J. Mosley","74","231","213","14","0.2","73","0.99","60.9"
"T.J. Hockenson","77","244","156","12","41","38","21","21","0.41","58","1.71","64.8","-8","Anthony Barr","77","255","135","10","0.12","77","0.44","59.8"
"Robert Tonyan","77","240","137","1","32","48","19","23","0.4","87","1.6","66","30","Jamin Davis","75","234","133","14","0.23","61","1.07","51.8"
"O.J. Howard","78","251","55","15","80","14","6","18","0.44","50","1.31","52.8","-35","Denzel Perryman","71","240","47","15","0.37","100","0.91","65.2"
"Kylen Granson","74","242","120","3","39","49","12","17","0.27","76","1.32","57.9","-9","Dylan Cole","72","237","57","14","0.26","88","1.37","63.3"
"Evan Engram","75","240","179","3","29","47","23","18","0.25","75","1.16","57.2","19","Dane Belton","73","205","108","10","0.12","45","0.7","29.8"
"Travis Kelce","77","250","219","2","24","42","34","24","0.59","79","2.08","88.2","31","Dre Greenlaw","72","230","195","17","0.3","91","1.11","77"
"Gerald Everett","75","240","182","7","47","39","13","19","0.32","63","1.33","64","34","Cody Barton","74","237","131","14","0.32","89","1.56","50.4"
"Darren Waller","78","255","142","1","15","64","20","17","0.28","67","1.23","62.8","8","Christian Kirksey","74","235","180","14","0.23","64","0.79","64"
"Mike Gesicki","78","250","143","7","25","58","15","13","0.35","83","1.19","67.7","2","Myles Jack","73","255","202","15","0.18","73","0.75","65.4"
"Hunter Henry","77","250","138","12","47","38","13","15","0.25","62","1.13","59","-4","Roquan Smith","73","232","172","12","0.13","55","0.71","52"
"Juwan Johnson","76","231","152","6","32","50","17","14","0.2","64","1.12","66.9","-19","Isaiah Simmons","76","238","148","9","0.21","86","0.93","55"
"Daniel Bellinger","77","253","100","12","73","15","11","16","0.41","94","1.39","76.3","5","Devin Lloyd","75","235","211","21","0.38","86","1.68","61.5"
"Tyler Conklin","75","254","182","12","64","29","7","16","0.27","76","1.14","53.4","-62","Alex Singleton","74","240","132","16","0.21","90","0.68","90.1"
"Pat Freiermuth","77","258","128","13","66","29","4","24","0.39","65","1.84","73.1","14","Brandon Jones","73","191","167","16","0.22","73","1.02","58.4"
"Noah Fant","76","249","111","7","44","34","17","21","0.36","83","1.35","70.5","30","Kenneth Murray","74","243","136","15","0.22","85","0.99","35.9"
"George Kittle","76","250","119","8","56","35","8","18","0.31","86","1.53","67.5","18","Willie Gay Jr.","74","240","62","27","0.48","94","2.18","48.4"
"Cade Otton","77","247","109","8","61","30","8","14","0.2","80","0.91","59","-17","Frankie Luvu","75","235","113","13","0.31","80","0.94","71.9"
"Austin Hooper","76","254","91","5","34","48","18","10","0.13","67","0.6","50.6","-31","Bobby Okereke","73","235","188","18","0.25","68","1.26","66.8"
"Cole Turner","78","240","44","2","29","53","18","9","0.1","50","0.52","57.7","6","Quay Walker","76","241","116","13","0.24","80","1.39","42.8"
