"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","77","250","275","2","26","57","14","19","0.29","71","1.16","63.6","5","Eric Kendricks","72","232","225","10","0.17","64","0.84","56.7"
"Kyle Pitts","78","246","116","9","27","41","29","25","0.34","55","1.53","67.2","-11","Frankie Luvu","75","235","137","14","0.33","84","1.21","70.4"
"Mark Andrews","77","247","215","","12","66","22","27","0.53","66","2.12","83.5","28","Devin White","72","237","217","12","0.19","64","0.84","38.2"
"Dawson Knox","76","254","162","11","31","42","16","12","0.22","75","0.91","64.4","27","Quay Walker","76","241","141","13","0.24","79","1.3","49.3"
"Tommy Tremble","76","250","105","3","71","21","5","10","0.18","60","0.68","47.6","-41","Rashaan Evans","74","232","265","12","0.21","88","1.08","58.4"
"Cole Kmet","78","260","167","11","35","51","12","11","0.16","67","0.89","61.1","-27","Anthony Barr","77","255","157","11","0.14","76","0.61","57.5"
"Hayden Hurst","76","250","232","4","51","28","18","16","0.27","81","0.97","64","-8","Jeremiah Owusu-Koramoah","74","221","131","15","0.31","74","1.16","68.9"
"Harrison Bryant","77","230","116","8","42","48","7","18","0.22","67","0.98","52.7","-30","Logan Wilson","74","245","211","13","0.21","70","0.87","67.7"
"Dalton Schultz","77","244","116","9","45","38","16","18","0.23","67","1.11","53.7","-3","Roquan Smith","73","232","201","12","0.15","60","0.77","57.9"
"Greg Dulcich","76","245","61","2","29","65","6","20","0.39","67","1.56","61.6","-30","Devin Lloyd","75","235","238","21","0.38","88","1.71","60.8"
"T.J. Hockenson","77","244","184","12","44","37","19","21","0.39","61","1.71","67.3","20","Eric Rowe","73","210","96","18","0.4","94","2.29","40.4"
"Robert Tonyan","77","240","162","1","34","46","20","22","0.38","86","1.55","59.1","-2","Tremaine Edmunds","77","250","171","15","0.22","72","0.81","70.8"
"Jordan Akins","76","243","61","5","41","41","19","18","0.51","91","2.52","78.4","1","Dylan Cole","72","237","74","12","0.23","89","1.19","68.1"
"Kylen Granson","74","242","138","3","39","50","11","16","0.24","77","1.2","56.3","-9","Cole Holcomb","73","240","233","8","0.21","79","0.67","66.6"
"Evan Engram","75","240","212","5","29","46","24","18","0.26","72","1.3","60.3","-31","Alex Singleton","74","240","159","17","0.22","85","0.73","78.9"
"Tyler Higbee","78","255","204","12","56","20","24","24","0.31","71","1.46","62.4","-9","Dre Greenlaw","72","230","213","16","0.29","89","1.12","77.4"
"Foster Moreau","76","250","63","21","38","50","11","17","0.3","82","1.62","68.9","-36","Demario Davis","74","248","219","9","0.11","68","0.53","84.9"
"Mike Gesicki","78","250","169","7","25","58","15","15","0.33","72","1.17","63.6","8","DeShon Elliott","73","210","197","4","0.06","71","0.32","67.4"
"Irv Smith Jr.","74","242","146","9","56","22","22","18","0.3","67","0.96","56.9","12","Isaiah Simmons","76","238","191","11","0.24","90","1.12","55.7"
"Hunter Henry","77","250","165","10","47","38","13","13","0.22","64","1.02","57.8","-20","C.J. Mosley","74","231","259","12","0.17","72","0.83","63.6"
"Juwan Johnson","76","231","193","6","36","50","14","14","0.27","70","1.05","65.6","-39","Denzel Perryman","71","240","61","15","0.3","89","0.66","71.1"
"Chris Myarick","77","261","47","35","75","10","8","11","0.3","100","0.68","67.2","-20","Jordyn Brooks","73","245","243","11","0.24","85","0.99","59.8"
"Tyler Conklin","75","254","208","10","63","30","7","17","0.26","74","1.1","52.4","-35","Kyle Dugger","74","220","129","11","0.19","64","0.78","66.7"
"Dallas Goedert","77","256","194","1","48","42","10","17","0.35","79","1.84","70.4","0","Myles Jack","73","255","229","16","0.23","75","0.86","65.1"
"Pat Freiermuth","77","258","166","10","71","26","3","24","0.39","70","1.87","73.4","2","Kyzir White","74","234","178","15","0.15","62","0.62","63.3"
"Noah Fant","76","249","128","8","46","33","16","20","0.33","77","1.23","65.7","-8","Julian Love","71","195","217","10","0.18","67","0.83","66.8"
"George Kittle","76","250","164","5","54","36","8","19","0.36","81","1.71","72.4","-5","Ernest Jones","74","230","128","20","0.28","84","1.2","73.5"
"Cade Otton","77","247","151","5","53","38","8","13","0.21","80","1.08","57.7","-10","Patrick Queen","72","237","235","18","0.3","83","1.53","63.1"
"Austin Hooper","76","254","107","4","36","46","19","11","0.19","75","1.04","58.8","-13","Christian Kirksey","74","235","206","14","0.24","66","0.87","59.8"
"Armani Rogers","77","225","38","5","28","58","7","11","0.24","100","1.34","65.2","-15","Bobby Okereke","73","235","209","19","0.26","70","1.31","70.7"
