"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Anthony Firkser","74","241","45","4","26","64","11","11","0.21","80","1.22","62.6","-27","Myles Jack","73","255","292","16","0.29","79","1.2","53.4"
"Mark Andrews","77","247","295","","13","66","21","27","0.48","66","2.04","80.7","-3","Josey Jewell","74","236","177","18","0.28","75","1.49","66.6"
"Dawson Knox","76","254","323","8","32","46","14","13","0.24","79","1.01","65.6","13","Jahlani Tavai","74","246","140","11","0.15","73","0.71","72.3"
"Cole Kmet","78","260","291","13","42","44","12","14","0.32","69","1.15","68.4","-14","Quay Walker","76","241","265","12","0.2","74","0.86","50.5"
"Hayden Hurst","76","250","349","3","53","27","19","16","0.28","81","1.11","66.2","3","Willie Gay Jr.","74","240","152","19","0.33","97","1.48","64.4"
"David Njoku","76","246","246","10","51","35","14","21","0.4","79","1.89","81.4","14","Christian Kirksey","74","235","328","13","0.22","64","0.94","59.1"
"Dalton Schultz","77","244","209","11","47","38","13","21","0.39","75","1.48","68.8","2","Bobby Okereke","73","235","338","20","0.3","75","1.31","70.2"
"Greg Dulcich","76","245","195","5","35","57","9","15","0.25","66","1.2","58.4","-30","Roquan Smith","73","232","319","12","0.2","74","0.94","55.4"
"Brock Wright","77","255","101","30","70","15","12","12","0.28","92","1.15","51.4","-32","Chad Muma","75","239","61","10","0.23","67","0.67","54.5"
"Robert Tonyan","77","240","267","2","36","43","21","20","0.32","83","1.36","58.6","18","Jack Sanborn","74","234","95","16","0.31","87","1.68","54"
"Teagan Quitoriano","78","258","47","28","78","20","2","9","0.24","75","0.47","53.8","-22","Sione Takitaki","73","238","171","16","0.27","89","1.32","66"
"Mo Alie-Cox","77","267","210","9","58","34","8","10","0.22","76","0.84","49.9","-4","Damone Clark","75","240","67","13","0.26","100","1.28","53"
"Evan Engram","75","240","338","5","32","41","26","15","0.23","71","1.05","56.9","-1","Alex Anzalone","75","237","361","9","0.13","81","0.65","53.2"
"Travis Kelce","77","250","406","4","26","44","30","25","0.58","72","2.25","91.5","43","Logan Wilson","74","245","326","13","0.21","76","0.91","72.6"
"Tyler Higbee","78","255","307","14","59","17","24","23","0.3","68","1.4","58.4","19","Jordyn Brooks","73","245","390","13","0.27","80","1.11","58.2"
"Gerald Everett","75","240","290","5","42","43","14","19","0.3","68","1.32","66.1","5","Denzel Perryman","71","240","129","14","0.31","78","1.09","74.2"
"Foster Moreau","76","250","233","16","34","49","15","15","0.28","67","1.22","63.9","-13","Drue Tranquill","74","234","316","10","0.17","85","0.67","63.7"
"Mike Gesicki","78","250","261","6","28","53","18","13","0.29","69","1.03","61.4","-23","Dre Greenlaw","72","230","310","18","0.27","77","1.07","80.6"
"T.J. Hockenson","77","244","352","11","47","37","16","21","0.38","70","1.67","69.4","-9","C.J. Mosley","74","231","395","13","0.19","71","0.95","69.2"
"Hunter Henry","77","250","267","10","43","42","11","12","0.25","70","1.21","59.1","-36","Tremaine Edmunds","77","250","252","15","0.2","68","0.77","82.3"
"Juwan Johnson","76","231","301","7","36","48","15","15","0.32","69","1.16","61","-63","Lavonte David","73","233","397","12","0.18","77","0.73","83.9"
"Lawrence Cager","77","220","69","7","43","32","23","13","0.23","56","0.71","54.8","-34","Jon Bostic","73","245","92","7","0.2","83","0.78","53.1"
"Tyler Conklin","75","254","306","9","60","31","9","18","0.31","70","1.24","61.2","-14","Eric Kendricks","72","232","422","12","0.19","71","0.92","58.4"
"Jack Stoll","76","247","123","15","70","23","6","7","0.09","62","0.46","52","-49","Dylan Cole","72","237","157","13","0.24","86","1.23","65.8"
"Pat Freiermuth","77","258","301","7","64","31","4","23","0.35","67","1.73","76.8","20","Mykal Walker","75","230","331","15","0.24","81","1.23","60.5"
"Will Dissly","76","265","192","14","63","20","10","16","0.38","90","1.43","76.7","1","Ernest Jones","74","230","259","18","0.28","83","1.27","68.2"
"George Kittle","76","250","274","6","54","35","10","17","0.38","77","1.64","72.9","18","Eric Rowe","73","210","194","14","0.27","85","1.49","54.6"
"Cade Otton","77","247","278","4","45","45","10","12","0.22","76","1.01","61.1","-28","Demario Davis","74","248","380","7","0.1","71","0.51","80.7"
"Austin Hooper","76","254","190","5","34","48","17","16","0.32","77","1.35","67.7","-12","Kyzir White","74","234","322","15","0.2","74","0.94","55.1"
"Logan Thomas","78","250","228","11","27","60","12","14","0.2","64","0.83","56.8","-18","Julian Love","71","195","353","9","0.18","73","0.81","68.3"
