"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","75","249","126","9","54","28","12","6","0.1","100","0.35","41.5","-43","Drue Tranquill","74","234","288","11","0.19","87","0.71","65.9"
"Parker Hesse","75","261","89","43","68","17","5","7","0.11","83","0.56","64.6","-31","Jon Bostic","73","245","81","7","0.22","83","0.89","58.6"
"Mark Andrews","77","247","260","","12","67","22","28","0.51","67","2.12","83.8","14","Devin Lloyd","75","235","330","18","0.34","85","1.53","53.3"
"Dawson Knox","76","254","283","9","33","44","15","14","0.26","78","1.1","67.7","43","Alex Anzalone","75","237","318","9","0.14","82","0.69","53.2"
"Ian Thomas","76","260","123","21","83","12","2","17","0.24","71","1.17","48.3","-59","Josey Jewell","74","236","161","20","0.31","75","1.64","65.9"
"Cole Kmet","78","260","265","13","42","43","13","14","0.33","72","1.17","69.4","-27","C.J. Mosley","74","231","368","13","0.19","73","0.93","65.7"
"Hayden Hurst","76","250","316","3","53","27","19","15","0.27","83","1.05","65.5","22","Monty Rice","72","233","33","18","0.32","100","1.33","46.5"
"David Njoku","76","246","214","10","50","35","15","21","0.4","82","2.03","82.9","-12","Lavonte David","73","233","356","13","0.19","76","0.8","81.6"
"Dalton Schultz","77","244","191","8","43","42","13","21","0.33","72","1.46","65.6","0","Julian Love","71","195","323","9","0.17","70","0.73","68.7"
"Greg Dulcich","76","245","163","3","35","56","10","16","0.28","65","1.37","62.9","-43","Frankie Luvu","75","235","217","13","0.3","89","1.27","73.1"
"Brock Wright","77","255","88","29","69","16","12","10","0.3","100","1.25","56.2","-24","Tyrel Dodson","72","237","116","11","0.19","77","1.02","49.6"
"Robert Tonyan","77","240","248","2","37","44","19","20","0.33","82","1.38","58.3","7","Kyzir White","74","234","301","15","0.19","73","0.8","59.6"
"Teagan Quitoriano","78","258","26","37","80","17","2","8","0.28","50","0.08","61.2","-1","Eric Rowe","73","210","158","15","0.29","88","1.53","50.3"
"Mo Alie-Cox","77","267","199","8","57","35","8","9","0.21","78","0.82","48.8","-7","Myles Jack","73","255","269","16","0.29","77","1.15","56.6"
"Evan Engram","75","240","304","6","31","42","26","17","0.25","71","1.16","58.7","-6","Roquan Smith","73","232","280","12","0.2","71","0.89","54.2"
"Travis Kelce","77","250","372","4","25","44","31","25","0.59","74","2.3","92","40","Ernest Jones","74","230","229","17","0.25","84","1.1","71.2"
"Tyler Higbee","78","255","296","13","58","18","24","24","0.31","68","1.45","59.6","2","Willie Gay Jr.","74","240","128","21","0.36","96","1.59","63.9"
"Tre' McKitty","76","246","149","18","63","29","9","7","0.08","64","0.33","29.9","-38","Tanner Vallejo","73","230","67","15","0.2","70","0.99","59.8"
"Foster Moreau","76","250","198","17","33","50","16","15","0.26","72","1.27","65.8","-5","Jordyn Brooks","73","245","352","11","0.24","78","1.03","58.4"
"Mike Gesicki","78","250","232","7","29","53","17","15","0.32","71","1.16","63.9","11","Christian Kirksey","74","235","283","13","0.22","69","0.93","57.2"
"T.J. Hockenson","77","244","324","11","46","37","17","21","0.37","69","1.68","69.4","-15","Kyle Dugger","74","220","179","11","0.16","58","0.64","74.3"
"Hunter Henry","77","250","236","10","44","40","12","12","0.22","71","1.1","58.2","-6","Eric Kendricks","72","232","380","12","0.18","68","0.84","55"
"Adam Trautman","77","253","79","34","76","13","11","19","0.4","87","1.62","70.1","-52","Dre Greenlaw","72","230","278","19","0.27","77","1.06","78.7"
"Tanner Hudson","77","239","153","6","44","27","23","9","0.14","64","0.8","59.2","-12","Damone Clark","75","240","43","14","0.27","100","1.28","58.9"
"Tyler Conklin","75","254","284","9","61","30","9","18","0.3","69","1.16","58.5","-14","Jack Sanborn","74","234","67","16","0.34","91","1.96","53.2"
"Jack Stoll","76","247","101","15","71","21","8","8","0.1","62","0.55","54.5","-41","Quay Walker","76","241","237","13","0.22","74","0.97","56.2"
"Pat Freiermuth","77","258","274","7","64","32","4","24","0.36","67","1.76","75.7","1","Bobby Okereke","73","235","312","20","0.3","75","1.34","75.3"
"Noah Fant","76","249","196","9","44","34","17","19","0.34","79","1.56","67.3","-19","Denzel Perryman","71","240","104","13","0.32","86","0.91","76.8"
"George Kittle","76","250","240","6","54","35","10","18","0.41","77","1.77","74.9","-13","Demario Davis","74","248","344","7","0.09","70","0.46","81.3"
"Cameron Brate","77","245","145","1","31","48","20","16","0.18","61","0.84","58.3","-18","Sione Takitaki","73","238","142","14","0.24","85","1.15","70.5"
"Chigoziem Okonkwo","75","238","67","12","43","34","14","22","0.47","53","2.57","79.9","-25","Logan Wilson","74","245","292","13","0.21","76","0.94","70.2"
"Logan Thomas","78","250","211","10","26","62","11","15","0.21","65","0.87","59","-2","Mykal Walker","75","230","315","15","0.25","83","1.27","56.1"
