"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","77","250","202","2","24","61","12","20","0.31","70","1.13","63.5","17","Cody Barton","74","237","116","16","0.37","89","1.76","47.7"
"Parker Hesse","75","261","53","42","70","15","8","9","0.15","80","0.77","69.2","-47","Dre Greenlaw","72","230","181","18","0.31","91","1.16","80.2"
"Mark Andrews","77","247","161","","12","65","23","29","0.56","70","2.17","80.9","4","Julian Love","71","195","137","7","0.19","100","0.74","65"
"Dawson Knox","76","254","126","14","32","41","15","13","0.18","71","0.88","64","8","Nick Bolton","71","237","192","11","0.22","100","1.01","70.8"
"Tommy Tremble","76","250","74","3","76","20","1","12","0.12","56","0.57","45","-60","Ernest Jones","74","230","111","22","0.31","83","1.33","69.2"
"Cole Kmet","78","260","109","9","38","48","12","11","0.18","75","0.93","56.3","-26","Jamin Davis","75","234","110","15","0.27","59","1.25","53.1"
"Hayden Hurst","76","250","168","4","55","25","18","15","0.28","77","0.93","62","-23","Demario Davis","74","248","155","8","0.1","62","0.51","84.3"
"David Njoku","76","246","143","12","53","32","15","20","0.41","86","2.02","79.4","2","Kyle Dugger","74","220","86","9","0.15","50","0.31","67.9"
"Dalton Schultz","77","244","100","7","40","43","16","16","0.17","56","0.8","48.6","-13","Kyzir White","74","234","145","17","0.18","62","0.74","56.1"
"Eric Saubert","77","253","78","8","58","34","8","15","0.27","58","1.06","61.2","-6","Kenneth Murray","74","243","109","17","0.25","83","1.08","34.7"
"Robert Tonyan","77","240","100","1","34","48","19","19","0.36","89","1.29","59.1","21","C.J. Mosley","74","231","165","15","0.22","71","1.13","55.7"
"Mo Alie-Cox","77","267","105","9","61","32","7","13","0.35","79","1.3","62.2","-4","Devin Lloyd","75","235","164","19","0.29","81","1.4","71.5"
"Evan Engram","75","240","155","4","29","47","22","17","0.23","73","1.08","61.4","-9","Bobby Okereke","73","235","164","19","0.26","65","1.34","63.7"
"Travis Kelce","77","250","184","2","23","41","35","23","0.6","79","1.89","87.4","43","Tyrel Dodson","72","237","42","10","0.14","75","0.69","63.6"
"Tyler Higbee","78","255","184","10","56","20","24","25","0.34","72","1.58","64.8","17","Cory Littleton","75","225","55","11","0.2","83","1.09","58.5"
"Gerald Everett","75","240","145","8","52","37","11","19","0.35","61","1.47","66.1","-2","Alex Singleton","74","240","84","13","0.17","82","0.61","77"
"Mike Gesicki","78","250","101","9","30","55","13","11","0.25","82","1","60.4","5","Eric Kendricks","72","232","170","9","0.14","62","0.79","61.7"
"Irv Smith Jr.","74","242","125","7","53","22","25","18","0.27","61","1.06","59.8","7","Brandon Jones","73","191","140","16","0.23","70","1.16","52.2"
"Hunter Henry","77","250","111","9","43","41","15","13","0.17","64","0.86","55","-28","Jeremiah Owusu-Koramoah","74","221","104","13","0.3","79","0.83","63.7"
"Juwan Johnson","76","231","122","6","29","52","18","15","0.19","56","1.06","66.4","-34","Logan Wilson","74","245","186","13","0.22","68","0.94","66.2"
"Daniel Bellinger","77","253","74","12","80","12","8","15","0.35","91","1.36","72.8","12","Patrick Queen","72","237","191","18","0.29","79","1.48","54.1"
"Tyler Conklin","75","254","170","11","62","30","7","16","0.27","78","1.13","50.9","-20","Quay Walker","76","241","103","14","0.27","86","1.56","44.5"
"Dallas Goedert","77","256","163","2","45","45","10","17","0.39","86","2.06","71.5","7","Anthony Barr","77","255","126","10","0.13","77","0.48","59.9"
"Pat Freiermuth","77","258","128","13","66","29","4","24","0.39","65","1.84","73.1","34","Devin White","72","237","169","12","0.15","60","0.82","36.6"
"Noah Fant","76","249","89","7","44","32","17","18","0.33","81","1.18","68.8","11","Isaiah Simmons","76","238","124","6","0.2","100","0.82","54.1"
"George Kittle","76","250","79","11","60","33","7","16","0.26","85","1.25","61.9","-1","Rashaan Evans","74","232","190","9","0.14","88","0.61","66.2"
"Cade Otton","77","247","92","8","61","32","7","13","0.19","83","0.83","59","-11","Myles Jack","73","255","176","12","0.16","73","0.66","62.1"
"John Bates","78","259","67","26","41","44","8","18","0.24","75","1.09","58.7","-20","Roquan Smith","73","232","150","11","0.11","50","0.55","48.6"
