"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Hunter Henry","77","250","189","10","47","38","13","12","0.21","65","1.01","57.5","-24","Bobby Okereke","73","235","231","19","0.28","73","1.37","71.8"
"Juwan Johnson","76","231","212","7","36","50","15","14","0.26","70","1.02","61.1","-31","Patrick Queen","72","237","274","17","0.28","83","1.41","59.8"
"Tyler Conklin","75","254","239","9","62","29","9","19","0.34","70","1.29","60.3","-33","Tremaine Edmunds","77","250","204","16","0.24","73","0.9","70.4"
"Dallas Goedert","77","256","220","3","48","40","12","18","0.36","82","1.91","75.3","22","Christian Kirksey","74","235","217","13","0.23","66","0.83","58.2"
"Noah Fant","76","249","152","10","45","33","17","18","0.3","79","1.16","63.8","-2","Isaiah Simmons","76","238","222","12","0.26","93","1.21","63.3"
"Cade Otton","77","247","195","4","48","43","9","13","0.18","72","0.91","56","-23","Ernest Jones","74","230","152","19","0.28","83","1.18","70.1"
"Austin Hooper","76","254","111","5","37","45","18","12","0.19","77","1.05","58.6","-12","Willie Gay Jr.","74","240","79","28","0.5","95","2.32","50.4"
"Logan Thomas","78","250","144","9","21","68","11","13","0.21","68","0.74","56.4","-6","Eric Kendricks","72","232","277","10","0.16","59","0.78","57.6"
"Zach Ertz","77","250","323","2","26","57","14","18","0.29","72","1.1","63.1","14","Cody Barton","74","237","185","16","0.33","79","1.42","50.8"
"Kyle Pitts","78","246","143","8","28","40","29","25","0.41","58","1.8","71.2","-6","Drue Tranquill","74","234","198","12","0.19","83","0.68","72.4"
"Mark Andrews","77","247","224","","12","66","22","29","0.54","66","2.18","84.5","-18","Demario Davis","74","248","257","7","0.1","68","0.45","86.6"
"Dawson Knox","76","254","185","11","33","40","17","12","0.24","74","0.85","61.9","21","C.J. Mosley","74","231","299","13","0.2","75","0.95","61.9"
"Tommy Tremble","76","250","126","2","73","19","5","11","0.18","57","0.7","44.8","-60","Logan Wilson","74","245","235","13","0.21","73","0.91","68.1"
"Cole Kmet","78","260","188","13","36","47","14","11","0.19","70","0.85","62","-31","Clayton Fejedelem","73","202","11","36","0.35","50","1.64","63.6"
"Hayden Hurst","76","250","261","4","52","28","17","15","0.28","82","1.03","63.1","-8","Frankie Luvu","75","235","153","14","0.32","86","1.21","72.8"
"T.J. Hockenson","77","244","211","12","46","34","20","19","0.4","63","1.87","69.4","7","Quay Walker","76","241","149","13","0.22","79","1.23","51.4"
"Robert Tonyan","77","240","184","3","36","46","18","22","0.38","85","1.55","59.1","30","Juju Hughes","71","191","82","7","0.18","83","0.48","53.8"
"O.J. Howard","78","251","72","20","81","13","6","18","0.4","54","1.33","59","-23","Kyzir White","74","234","219","16","0.19","69","0.77","59.8"
"Mo Alie-Cox","77","267","148","8","61","31","7","10","0.25","73","0.92","53.9","-13","Kyle Dugger","74","220","129","11","0.19","64","0.78","66.7"
"Evan Engram","75","240","245","5","32","43","25","18","0.29","71","1.35","60.5","-17","Denzel Perryman","71","240","83","16","0.38","85","1.05","66.9"
"Travis Kelce","77","250","249","2","24","44","31","24","0.58","80","2.22","90.7","51","Zach Cunningham","75","230","73","15","0.4","91","1","66.8"
"Tyler Higbee","78","255","219","14","57","18","25","25","0.31","67","1.42","60.3","-17","Lavonte David","73","233","288","13","0.22","86","0.91","80.6"
"Gerald Everett","75","240","215","6","46","41","13","20","0.32","63","1.42","65.1","23","Rashaan Evans","74","232","298","11","0.2","85","1.01","59.7"
"Darren Waller","78","255","142","1","15","64","20","17","0.28","67","1.23","62.8","6","Devin Lloyd","75","235","271","19","0.36","88","1.63","58.5"
"Mike Gesicki","78","250","192","7","27","55","16","15","0.36","72","1.22","65","3","Jack Sanborn","74","234","5","","","","","65.5"
"Johnny Mundt","76","233","83","22","75","9","15","17","0.31","86","0.92","53.6","-33","David Mayo","74","240","16","6","0.22","100","1.56","62.5"
