Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Josh Allen,BUF,QB,10,DEN,270.3,2,0.9,31.3,0.4,0,0,0,0,0,0,0,23.1,23.14
2,Joe Burrow,CIN,QB,10,HOU,266.2,2,0.7,15.1,0.2,0,0,0,0,0,0,0,20.6,20.56
3,Stefon Diggs,BUF,WR,10,DEN,0,0,0,0.3,0,7.3,89,0.6,0,0,0,0,19.7,19.73
4,Dak Prescott,DAL,QB,10,NYG,247.2,1.9,0.7,18.2,0.2,0,0,0,0,0,0,0,19.6,19.61
5,Christian McCaffrey,SF,RB,10,JAX,0,0,0,74.1,0.7,4,27.1,0.2,0,0,0,0,19.4,19.42
6,Lamar Jackson,BAL,QB,10,CLE,205.3,1.2,0.7,50,0.4,0,0,0,0,0,0,0,19.4,19.41
7,Ja'Marr Chase,CIN,WR,10,HOU,0,0,0,1.5,0,6.8,88.1,0.6,0,0,0,0,19.4,19.36
8,Justin Herbert,LAC,QB,10,DET,265.6,1.7,0.7,13.4,0.2,0,0,0,0,0,0,0,19.2,19.16
9,Amon-Ra St. Brown,DET,WR,10,LAC,0,0,0,1.7,0,7.3,85.1,0.5,0,0,0,0,18.9,18.88
10,CeeDee Lamb,DAL,WR,10,NYG,0,0,0,2.6,0,6.3,86.1,0.6,0,0,0,0,18.7,18.67
11,Keenan Allen,LAC,WR,10,DET,0,0,0,0.4,0,7.1,82.4,0.5,0,0,0,0,18.4,18.38
12,Jared Goff,DET,QB,10,LAC,272.5,1.7,0.7,4.3,0.1,0,0,0,0,0,0,0,17.8,17.83
13,Trevor Lawrence,JAX,QB,10,SF,243.1,1.4,0.8,20.8,0.2,0,0,0,0,0,0,0,17.6,17.6
14,Austin Ekeler,LAC,RB,10,DET,0,0,0,52.7,0.4,5,32.1,0.3,0,0,0,0,17.6,17.58
15,Brock Purdy,SF,QB,10,JAX,245.3,1.5,0.7,13.5,0.2,0,0,0,0,0,0,0,17.5,17.46
16,Kyler Murray,ARI,QB,10,ATL,216,1.4,0.7,27.2,0.2,0,0,0,0,0,0,0,17.3,17.26
17,C.J. Stroud,HOU,QB,10,CIN,261,1.5,0.6,10.1,0.1,0,0,0,0,0,0,0,17.2,17.25
18,Geno Smith,SEA,QB,10,WAS,239.1,1.7,0.8,12.3,0.1,0,0,0,0,0,0,0,17.2,17.19
