Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Tyreek Hill,MIA,WR,14,TEN,0,0,0,3.3,0,7.3,107.7,0.8,0,0,0,0,26.2,26.2
2,Christian McCaffrey,SF,RB,14,SEA,0,0,0,88.3,0.8,4.4,28.6,0.3,0,0,0,0,22.6,22.59
3,Jalen Hurts,PHI,QB,14,DAL,237.8,1.4,0.7,42.6,0.7,0,0,0,0,0,0,0,22.5,22.47
4,CeeDee Lamb,DAL,WR,14,PHI,0,0,0,4.1,0,7.7,99.4,0.7,0,0,0,0,22.2,22.25
5,Josh Allen,BUF,QB,14,KC,251.7,1.8,0.9,33.5,0.4,0,0,0,0,0,0,0,21.8,21.82
6,Dak Prescott,DAL,QB,14,PHI,276.4,2.2,0.7,16.4,0.2,0,0,0,0,0,0,0,21.8,21.8
7,Patrick Mahomes,KC,QB,14,BUF,257.1,1.9,0.8,23.7,0.2,0,0,0,0,0,0,0,20.4,20.45
8,Lamar Jackson,BAL,QB,14,LAR,200.4,1.3,0.6,54.3,0.4,0,0,0,0,0,0,0,20.2,20.25
9,Tua Tagovailoa,MIA,QB,14,TEN,287.8,2.1,0.7,5.3,0.1,0,0,0,0,0,0,0,20.1,20.14
10,Brock Purdy,SF,QB,14,SEA,263.4,1.9,0.7,15,0.2,0,0,0,0,0,0,0,20,20.04
11,Justin Fields,CHI,QB,14,DET,202.3,1.2,0.8,53.8,0.4,0,0,0,0,0,0,0,19.7,19.67
12,Keenan Allen,LAC,WR,14,DEN,0,0,0,0.2,0,7.8,87.6,0.5,0,0,0,0,19.6,19.58
13,Justin Herbert,LAC,QB,14,DEN,254.7,1.6,0.7,18.8,0.2,0,0,0,0,0,0,0,18.8,18.77
14,Amon-Ra St. Brown,DET,WR,14,CHI,0,0,0,1.6,0,7.1,82,0.5,0,0,0,0,18.5,18.46
15,Stefon Diggs,BUF,WR,14,KC,0,0,0,0.1,0,6.4,77.7,0.6,0,0,0,0,17.8,17.78
16,Alvin Kamara,NO,RB,14,CAR,0,0,0,60.7,0.4,4.9,30.7,0.2,0,0,0,0,17.5,17.54
