Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
481,Tyrique Stevenson,CHI,CB,11,DET,0,0,0,0,0,0,0,0,0.12,0.01,0.06,0.03,0,0
481,Fabian Moreau,DEN,CB,11,MIN,0,0,0,0,0,0,0,0,0.11,0.04,0.06,0.03,0,0
481,Brandon Stephens,BAL,DB,11,CIN,0,0,0,0,0,0,0,0,0.09,0.06,0.07,0.03,0,0
481,Byron Young,LAR,OLB,11,SEA,0,0,0,0,0,0,0,0,0.22,0.02,0.05,0.03,0,0
481,Nicholas Morrow,PHI,LB,11,KC,0,0,0,0,0,0,0,0,0.25,0.03,0.03,0.02,0,0
481,Marcus Peters,LV,CB,11,MIA,0,0,0,0,0,0,0,0,0.1,0.16,0.06,0.03,0,0
481,Carrington Valentine,GB,CB,11,LAC,0,0,0,0,0,0,0,0,0.11,0.03,0.05,0.03,0,0
481,Jason Pinnock,NYG,S,11,WAS,0,0,0,0,0,0,0,0,0.12,0.06,0.09,0.04,0,0
481,Ja'Quan McMillian,DEN,CB,11,MIN,0,0,0,0,0,0,0,0,0.12,0.09,0.06,0.03,0,0
481,Luke Masterson,LV,LB,11,MIA,0,0,0,0,0,0,0,0,0.25,0.03,0.03,0.02,0,0
481,Nate Hobbs,LV,CB,11,MIA,0,0,0,0,0,0,0,0,0.11,0.1,0.05,0.03,0,0
481,Dorian Williams,BUF,LB,11,NYJ,0,0,0,0,0,0,0,0,0.25,0.01,0.03,0.02,0,0
481,Leonard Williams,SEA,DE,11,LAR,0,0,0,0,0,0,0,0,0.36,0.01,0.05,0.02,0,0
481,Sione Takitaki,CLE,LB,11,PIT,0,0,0,0,0,0,0,0,0.27,0.01,0.03,0.01,0,0
481,Bilal Nichols,LV,DT,11,MIA,0,0,0,0,0,0,0,0,0.36,0.02,0.05,0.02,0,0
481,Dalvin Tomlinson,CLE,DT,11,PIT,0,0,0,0,0,0,0,0,0.37,0,0.03,0.02,0,0
481,Bradley Chubb,MIA,LB,11,LV,0,0,0,0,0,0,0,0,0.23,0.04,0.06,0.03,0,0
481,Casey Toohill,WAS,DE,11,NYG,0,0,0,0,0,0,0,0,0.34,0.02,0.04,0.02,0,0
