,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Alvin Kamara,,0,RB,RB1,8100,NO,vs ATL,12,22,10.5,17.9,21.9,0,0,0,0,0,0.8278,26.18,114.78,1.06,37.86,0.3578,11.68,9.01,78.14,0.37,0,0,0,0,0,0,36.88,36.88,0,21.13,57.88,36.88,36.88,12,0,100,,39,48,4.6,15.9,2,3,1,1,6,1,1,0.01,0.01,0.12,,,,1.24,13.21,58.2,0.55,6.4,5,41.52,0.22,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,vs CIN,23,29.25,10.8,22.3,26.7,1,31.83,261.17,1.91,0.57,0.295,10.63,63.89,0.3,10.63,0,0,0,0,0,0,0,0,0,0,0,25.71,25.71,0,9.51,47.31,25.71,25.71,2,0,100,,3,51,3.2,32.9,4.1,1,1,1,7,2,2,25.25,16.32,193.98,0.52,1.95,1.53,97.72,10.09,61.06,0.32,0.02,,,,,,,,,,
Jalen Hurts,,0,QB,QB1,7800,PHI,@ DAL,22,25.5,10.7,22.9,23.4,1,31.54,256.57,1.43,0.65,0.2902,10.04,44.24,0.86,10.04,0,0,0,0,0,0,0,0,0,0,0,24.92,24.92,0,8.87,46.32,24.92,24.92,3,0,100,,5,48,3.2,31.68,4.1,2,2,2,9,3,3,25.99,16.67,196.2,0.55,1.93,1.12,84.77,8.86,40.96,0.71,0.03,0.01,0.04,,,,,,,,
Patrick Mahomes,,0,QB,QB1,6600,KC,vs DEN,6,24.75,8.6,19.3,17.2,1,39.9,309.3,2.17,0.84,0.228,6.78,33.26,0.22,6.78,0,0,0,0,0,0,0,0,0,0,0,24.86,24.86,0,11.96,42.06,24.86,24.86,10,0,100,,34,65,3.8,16.54,2.5,8,3,3,21,4,4,37.11,24.73,292.22,0.69,1.58,2.24,103.57,4.07,20.68,0.14,0.04,0.02,0.07,,,,,,,,
Joe Mixon,,0,RB,RB1,7900,HOU,vs DET,17,22.5,9.3,15.9,23.9,0,0,0,0,0,0.7688,21.01,89.53,0.75,27.33,0.1541,6.32,5.02,41.5,0.31,0,0,0,0,0,0,24.48,24.48,0,10.53,43.08,24.48,24.48,10,0,100,,32,44,3.1,17,2.2,5,2,2,8,5,5,0.01,,,,,,0.02,16.48,68.17,0.53,3.55,2.88,21.88,0.14,,,,,,,
Kyren Williams,,0,RB,RB1,7800,LAR,vs MIA,22,25.75,10.8,22.9,19.2,0,0,0,0,0,0.8462,27.39,115.79,1.3,30.69,0.091,3.3,2.43,14.23,0.2,0,0,0,0,0,0,24.43,24.43,0,8.23,46.03,24.43,24.43,18,0,100,,57,34,3.1,12.2,1.6,6,3,3,9,6,6,,,,,,,,15.14,67.32,0.71,3.04,2.18,14.21,0.18,,,,,,,
Jayden Daniels,,0,QB,QB1,7500,WAS,vs PIT,14,23.75,7,0,20.7,1,33.74,280.38,1.4,0.29,0.2982,9.29,53.59,0.38,9.29,0,0,0,0,0,0,0,0,0,0,0,24.16,24.16,0,13.66,38.16,24.16,24.16,23,0,100,,90,66,3.2,8.58,1.1,4,4,4,12,7,7,25.33,18.11,216.11,0.22,1.89,1,107.29,9.11,51,0.44,,,,,,,,,,,
Josh Allen,,0,QB,QB1,7700,BUF,@ IND,29,25.75,9.2,25.2,20.9,1,34.16,258.42,1.71,0.73,0.227,7.69,40.13,0.59,7.69,0,0,0,0,0,0,0,0,0,0,0,24,24,0,10.2,42.4,24,24,7,0,100,,16,62,3.1,20.2,2.6,3,5,5,10,8,8,33.2,20.97,240.08,0.77,1.82,1.77,92.56,6.86,37.63,0.54,0.03,0.02,0.27,0.02,,,,,,,
Jonathan Taylor,,0,RB,RB1,7500,IND,vs BUF,6,21.25,10.1,15.9,18.2,0,0,0,0,0,0.7154,24.74,121.82,1.08,28.1,0.1167,3.36,2.52,19.2,0.06,0,0,0,0,0,0,23.46,23.46,0,8.31,43.66,23.46,23.46,9,0,100,,31,46,3.1,17.2,2.3,9,4,4,12,9,9,,,,,,,,17.46,86.17,0.76,2.9,2.25,17.88,0.07,,,,,,,
