,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Ladd McConkey,!,0,WR,WR1,6300,LAC,vs TB,30,24.25,7.8,0,14.4,0,0,0,0,0,0,0,0,0,14.5,0.4086,14.5,10.63,141.64,0.54,0,0,0,0,0,0,28.03,28.03,0,16.33,43.63,28.03,28.03,6,0,100,,15,46,4.4,0,,17,1,1,24,1,1,,,,,,,,,,,6.75,4.83,67.92,0.33,,,,,,,
Lamar Jackson,,0,QB,QB1,8300,BAL,@ NYG,2,29.75,10.7,22.3,26,1,35.36,286.9,2.21,0.61,0.2805,9.76,58.76,0.3,9.76,0,0,0,0,0,0,0,0,0,0,0,27.38,27.38,0,11.33,48.78,27.38,27.38,3,0,100,,15,52,3.3,0,,2,1,1,4,2,2,25.48,16.47,195.32,0.5,1.93,1.55,98.17,9.96,60.36,0.32,0.02,,,,,,,,,,
Josh Allen,,0,QB,QB1,8500,BUF,@ DET,6,26,9.5,25.2,24.4,1,35.77,283.35,1.85,0.79,0.2614,8.49,46.57,0.76,8.49,0,0,0,0,0,0,0,0,0,0,0,27.16,27.16,0,12.91,46.16,27.16,27.16,3,0,100,,15,61,3.2,0,,1,2,2,2,3,3,33.19,20.97,240.74,0.77,1.77,1.76,92.86,6.91,38.14,0.57,0.03,0.02,0.32,0.03,,,,,,,
Joe Burrow,,0,QB,QB1,7300,CIN,@ TEN,23,26,9,16.3,23.9,1,43.32,337.82,2.76,0.71,0.1631,4.42,17.18,0.2,4.42,0,0,0,0,0,0,0,0,0,0,0,26.76,26.76,0,13.26,44.76,26.76,26.76,3,0,100,,15,58,3.7,0,,5,3,3,14,4,4,36.69,24.97,273.68,0.66,2.77,2,100.58,3.35,11.74,0.17,,,,,,,,,,,
Brock Purdy,,0,QB,QB1,6300,SF,vs LAR,21,25.5,8.2,20.2,19.3,1,31.32,266.42,1.67,0.72,0.3646,12.27,51.14,0.82,12.27,0,0,0,0,0,0,0,0,0,0,0,26.65,26.65,0,14.35,43.05,26.65,26.65,2,0,100,,8,54,4.2,4.98,0.8,10,4,4,24,5,5,26.05,17.73,234.84,0.62,1.38,1.59,82.25,3.22,11.86,0.19,,,,,,,,,,,
Jayden Daniels,,0,QB,QB1,7500,WAS,@ NO,19,25.5,8,0,20.8,1,34.4,267.05,1.53,0.64,0.3311,10.85,60.15,0.57,10.85,0,0,0,0,0,0,0,0,0,0,0,25.6,25.6,0,13.6,41.6,25.6,25.6,3,0,100,,15,62,3.4,0,,4,5,5,12,6,6,27.85,19.38,216.85,0.46,2.23,1.15,101.38,8.31,45.38,0.46,,,,,,,,,,,
Jalen Hurts,,0,QB,QB1,8000,PHI,vs PIT,5,24.25,10.5,22.9,22.7,1,28.64,232.93,1.57,0.52,0.2854,10.45,47.41,0.93,10.45,0,0,0,0,0,0,0,0,0,0,0,25.4,25.4,0,9.65,46.4,25.4,25.4,3,0,100,,15,50,3.2,0,,3,6,6,7,7,7,25.72,16.51,194.14,0.53,1.99,1.12,86.02,8.88,41.19,0.73,0.03,0.01,0.04,,,,,,,,
Sam Darnold,,0,QB,QB1,6600,MIN,vs CHI,17,25.5,9,2.5,20.1,1,34.35,282.65,2.05,0.97,0.3791,10.36,36.61,0.49,10.36,0,0,0,0,0,0,0,0,0,0,0,25.14,25.14,0,11.64,43.14,25.14,25.14,3,0,100,,15,36,3.8,0,,7,7,7,21,8,8,27.81,17.04,194.47,0.84,2.39,1.15,78.92,3.35,12.08,0.18,,,,,,,,,,,
De'Von Achane,,0,RB,RB1,7900,MIA,@ HOU,6,21.5,12.2,18.5,17.7,0,0,0,0,0,0.5978,18.02,83.77,0.69,23.8,0.1701,5.78,4.98,35.64,0.48,0,0,0,0,0,0,23.94,23.94,0,5.64,48.34,23.94,23.94,4,0,100,,15,33,3,0,,3,1,1,8,9,9,,,,,0.04,,,10.67,58.33,0.5,4.5,3.75,27.96,0.38,,,,,,,
JaMarr Chase,,0,WR,WR1,8400,CIN,@ TEN,31,26,13.5,17.4,25.3,0,0,0,0,0,0,0,0,0,11.14,0.2571,11.14,7.67,103.5,0.97,0,0,0,0,0,0,23.84,23.84,0,3.59,50.84,23.84,23.84,6,0,100,,15,34,2.8,0,,1,2,2,3,10,10,0.02,0.02,-0.12,,0.02,,0.97,0.29,0.83,,9.21,6.22,86.83,0.76,,,,,,,
Alvin Kamara,,0,RB,RB1,7700,NO,vs WAS,21,18,10.4,17.9,19.8,0,0,0,0,0,0.64,17.4,75.24,0.61,26,0.2934,8.6,6.71,47.35,0.2,0,0,0,0,0,0,23.83,23.83,0,8.23,44.63,23.83,23.83,4,0,100,,15,48,3.1,0,,5,2,2,10,11,11,0.01,0.01,0.11,,,,1.19,13.38,58.59,0.53,6.36,4.98,41.11,0.21,,,,,,,
Nico Collins,,0,WR,WR1,8100,HOU,vs MIA,20,24,10.1,18.4,21,0,0,0,0,0,0,0,0,0,11.97,0.2853,11.97,7.85,120.72,0.57,0,0,0,0,0,0,23.34,23.34,0,8.19,43.54,23.34,23.34,6,0,100,,15,24,2.9,0,,3,3,3,6,12,12,,,,,,,,0.02,0.15,,6.55,4.23,65.02,0.32,,,,,,,
Bijan Robinson,,0,RB,RB1,7600,ATL,@ LV,16,25,7.9,15.2,19.6,0,0,0,0,0,0.6392,20.54,93.13,0.69,26.26,0.1559,5.72,4.78,37.77,0.22,0,0,0,0,0,0,23.33,23.33,0,11.48,39.13,23.33,23.33,4,0,100,,15,54,3.1,0,,6,3,3,11,13,13,,,,,,,,14.3,65.1,0.4,4.77,3.67,29.4,0.17,,,,,,,
Josh Jacobs,,0,RB,RB1,7400,GB,@ SEA,5,24.75,8.9,14.5,18.3,0,0,0,0,0,0.7991,27.62,117.85,1.17,30.52,0.1014,2.9,2.27,18.21,0.03,0,0,0,0,0,0,23.08,23.08,0,9.73,40.88,23.08,23.08,4,0,100,,15,47,3.1,0,,8,4,4,13,14,14,,,,,0.01,,,17.95,76.71,0.66,3.36,2.6,19.86,0.01,,,,,,,
Joe Mixon,,0,RB,RB1,7800,HOU,vs MIA,3,24,9.5,15.9,23.3,0,0,0,0,0,0.7898,21.55,89.16,0.82,27.07,0.1316,5.52,4.29,32.92,0.19,0,0,0,0,0,0,22.56,22.56,0,8.31,41.56,22.56,22.56,4,0,100,,15,43,2.9,0,,4,5,5,9,15,15,0.01,,,,,,0.02,16.6,68.21,0.56,3.61,2.9,22.27,0.13,,,,,,,
Justin Herbert,,0,QB,QB1,5900,LAC,vs TB,31,24.25,8.5,19.3,15.6,1,35.48,283.92,1.67,0.41,0.2233,6.86,29,0.32,6.86,0,0,0,0,0,0,0,0,0,0,0,22.45,22.45,0,9.7,39.45,22.45,22.45,3,0,100,,15,59,3.8,0,,14,8,8,28,16,16,37.17,24.63,266.48,0.57,2.2,1.71,96.79,3.71,15.15,0.17,0.04,0.04,,,,,,,,,
Geno Smith,,0,QB,QB1,5800,SEA,vs GB,9,22.25,8.3,16.7,17.7,1,37.14,287.88,1.61,0.79,0.3088,7.3,34.9,0.25,7.3,0,0,0,0,0,0,0,0,0,0,0,22.16,22.16,0,9.71,38.76,22.16,22.16,3,0,100,,15,46,3.8,0,,15,9,9,29,17,17,29.37,19.86,215.64,0.59,2.39,1.24,89.72,3.02,14.31,0.08,0.02,0.02,-0.03,,,,,,,,
Saquon Barkley,,0,RB,RB1,8600,PHI,vs PIT,26,24.25,10.5,16.3,25.2,0,0,0,0,0,0.5968,21.85,109.25,0.75,25.87,0.1405,4.02,2.95,23.29,0.12,0,0,0,0,0,0,21.42,21.42,0,5.67,42.42,21.42,21.42,4,0,100,,15,46,2.5,0,,1,6,6,1,18,18,,,,,,,,16.86,78.55,0.53,4.99,3.64,27.21,0.16,,,,,,,
Justin Jefferson,,0,WR,WR1,8200,MIN,vs CHI,6,25.5,10.7,21.8,19,0,0,0,0,0,0,0,0,0,11.17,0.3251,11.17,7.73,106.07,0.51,0,0,0,0,0,0,21.4,21.4,0,5.35,42.8,21.4,21.4,6,0,100,,15,48,2.6,0,,2,4,4,5,19,19,0.11,0.07,1.25,,,,9.88,0.18,0.42,0.01,9.36,6.4,96.84,0.51,,,,,,,
Bo Nix,,0,QB,QB1,6300,DEN,vs IND,4,23.75,6.9,0,18.3,1,37.36,268.51,1.57,0.63,0.2462,6.97,28.89,0.35,6.97,0,0,0,0,0,0,0,0,0,0,0,21.38,21.38,0,11.03,35.18,21.38,21.38,3,0,100,,15,62,3.4,0,,10,10,10,24,20,20,33.38,21.31,218.62,0.62,1.46,1.31,88.63,5.15,23.38,0.31,0.08,0.08,0.15,0.08,,,,,,,
C.J. Stroud,,0,QB,QB1,6200,HOU,vs MIA,20,24,8.3,20.2,15.3,1,41.97,327.61,1.71,0.81,0.1401,3.82,17.69,0.07,3.82,0,0,0,0,0,0,0,0,0,0,0,21.32,21.32,0,8.87,37.92,21.32,21.32,3,0,100,,15,54,3.4,0,,11,11,11,25,21,21,33.18,21.11,258.04,0.5,2.82,1.36,93.57,2.93,13.07,0.11,0.07,0.04,,,,,,,,,
Tee Higgins,,0,WR,WR2,6800,CIN,@ TEN,31,26,9.5,12,17,0,0,0,0,0,0,0,0,0,11.57,0.2671,11.57,7.29,98.24,0.69,0,0,0,0,0,0,21.25,21.25,0,7,40.25,21.25,21.25,6,0,100,,15,37,3.1,0,,12,5,5,19,22,22,,,,,,,,0.08,0.44,,7.56,4.79,67.7,0.46,,,,,,,
James Conner,,0,RB,RB1,6600,ARI,vs NE,25,26.25,10,16.4,15.9,0,0,0,0,0,0.6187,22.48,96.85,0.85,26.25,0.119,3.77,3.15,25.44,0.12,0,0,0,0,0,0,21.2,21.2,0,6.2,41.2,21.2,21.2,4,0,100,,15,33,3.2,0,,15,7,7,21,23,23,,,,,,,,13,56.25,0.55,3.2,2.65,20.94,0.11,,,,,,,
Patrick Mahomes,,0,QB,QB1,6700,KC,@ CLE,24,22.75,8.5,19.3,18,1,37.79,285.43,2.04,0.7,0.1072,3.26,17.08,0.1,3.26,0,0,0,0,0,0,0,0,0,0,0,21.19,21.19,0,8.44,38.19,21.19,21.19,3,0,100,,15,65,3.2,0,,6,12,12,20,24,24,37.2,24.77,290.31,0.68,1.68,2.22,103.18,4.01,20.65,0.13,0.04,0.02,0.07,,,,,,,,
Terry McLaurin,,0,WR,WR1,7200,WAS,@ NO,23,25.5,7.8,12.1,16.8,0,0,0,0,0,0,0,0,0,10.48,0.3047,10.48,7,98.61,0.65,0,0,0,0,0,0,20.76,20.76,0,9.06,36.36,20.76,20.76,6,0,100,,15,45,2.9,0,,8,6,6,15,25,25,,,,,,,,0.13,0.78,,7.41,4.72,66.44,0.37,,,,,,,
Courtland Sutton,,0,WR,WR1,6600,DEN,vs IND,14,23.75,7,12.1,15.9,0,0,0,0,0,0,0,0,0,12.02,0.3217,12.02,7.23,96.28,0.64,0,0,0,0,0,0,20.7,20.7,0,10.2,34.7,20.7,20.7,6,0,100,,15,39,3.1,0,,14,7,7,21,26,26,0.04,0.04,0.89,,,0.01,10.55,0.05,0.22,,6.61,3.88,54.7,0.31,,,,,,,
Kyler Murray,,0,QB,QB1,6000,ARI,vs NE,29,26.25,8.2,18.9,18.2,1,31.71,230.42,1.27,0.67,0.1818,6.61,41.43,0.45,6.61,0,0,0,0,0,0,0,0,0,0,0,20.47,20.47,0,8.17,36.87,20.47,20.47,3,0,100,,15,61,3.4,0,,13,13,13,27,27,27,33.78,22.6,237.29,0.69,2.21,1.4,94.46,6.19,37.08,0.38,,,0.09,,,,,,,,
Anthony Richardson,,0,QB,QB1,5800,IND,@ DEN,25,19.75,8.7,18.7,15.6,1,35.68,255.88,1.24,1.18,0.2371,6.49,34.51,0.48,6.49,0,0,0,0,0,0,0,0,0,0,0,20.35,20.35,0,7.3,37.75,20.35,20.35,3,0,100,,15,48,3.5,0,,15,14,14,29,28,28,23,11.69,160.62,0.77,1.38,0.77,76.95,7.31,39.92,0.62,,,,,,,,,,,
