,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Jalen Hurts,,0,QB,QB1,7800,PHI,@ LAR,25,26,10.6,22.9,23.8,1,31.46,253.34,1.44,0.65,0.2847,10.27,46.77,0.98,10.27,0,0,0,0,0,0,0,0,0,0,0,25.8,25.8,0,9.9,47,25.8,25.8,17,0,100,,49,49,3.3,15.06,1.9,2,1,1,6,1,1,25.93,16.65,196.63,0.55,1.97,1.11,85.25,8.85,41.14,0.73,0.03,0.01,0.04,,,,,,,,
Jordan Love,,0,QB,QB1,6700,GB,vs SF,3,25.25,9.3,19.9,19.2,1,39.54,328.31,2.57,1.22,0.0905,2.85,9.57,0.22,2.85,0,0,0,0,0,0,0,0,0,0,0,24.47,24.47,0,10.52,43.07,24.47,24.47,19,0,100,,52,38,3.7,14.72,2.2,5,2,2,16,2,2,26.26,16.63,195.6,0.71,1.17,1.46,88.6,2.29,9.11,0.14,,,,,,,,,,,
Patrick Mahomes,,0,QB,QB1,6800,KC,@ CAR,26,26.75,8.5,19.3,17.2,1,38.61,296.08,2.17,0.81,0.2068,6.48,32.02,0.22,6.48,0,0,0,0,0,0,0,0,0,0,0,24.24,24.24,0,11.49,41.24,24.24,24.24,4,0,100,,9,65,3.6,28.76,4.2,4,3,3,15,3,3,37.12,24.74,291.1,0.7,1.61,2.24,103.34,4.02,20.48,0.14,0.04,0.02,0.07,,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,@ LAC,15,27,10.8,22.3,26.3,1,32.1,258.76,2.01,0.57,0.2775,8.16,49.51,0.23,8.16,0,0,0,0,0,0,0,0,0,0,0,24.15,24.15,0,7.95,45.75,24.15,24.15,6,0,100,,21,51,3,22.58,2.8,1,4,4,5,4,4,25.4,16.4,195.08,0.52,1.93,1.55,97.85,10,60.63,0.31,0.02,,,,,,,,,,
Bo Nix,,0,QB,QB1,6300,DEN,@ LV,24,23.5,7.4,0,18.6,1,37.34,262.05,1.65,0.53,0.2665,8.44,38.77,0.48,8.44,0,0,0,0,0,0,0,0,0,0,0,23.31,23.31,0,12.21,38.11,23.31,23.31,8,0,100,,30,60,3.7,19.42,3.1,9,5,5,20,5,5,32.45,21.27,206.82,0.55,1.64,1.27,90.17,5.73,26.82,0.36,0.09,0.09,0.18,0.09,,,,,,,
Kyler Murray,,0,QB,QB1,6200,ARI,@ SEA,19,23.75,8.2,18.9,18.8,1,34.52,255.08,1.65,0.61,0.1858,5.69,36.35,0.4,5.69,0,0,0,0,0,0,0,0,0,0,0,22.23,22.23,0,9.93,38.63,22.23,22.23,23,0,100,,72,62,3.6,11.3,1.8,10,6,6,21,6,6,33.53,22.44,236.07,0.65,2.19,1.41,95.16,6.28,37.59,0.4,,,0.09,,,,,,,,
De'Von Achane,,0,RB,RB1,7500,MIA,vs NE,30,26.5,13,18.5,17,0,0,0,0,0,0.5484,16.45,85.88,0.57,21.89,0.1485,5.44,4.67,33.83,0.36,0,0,0,0,0,0,22.22,22.22,0,2.72,48.22,22.22,22.22,6,0,100,,24,27,3,20.6,2.7,5,1,1,8,7,7,,,,,0.05,,,10.71,63.33,0.52,4.19,3.48,26,0.29,,,,,,,
Joe Mixon,,0,RB,RB1,8000,HOU,vs TEN,20,24,9.5,15.9,24.8,0,0,0,0,0,0.75,21.79,90.73,0.84,26.59,0.1166,4.8,3.72,30.14,0.18,0,0,0,0,0,0,21.93,21.93,0,7.68,40.93,21.93,21.93,20,0,100,,84,43,2.7,9.5,1.2,3,2,2,5,8,8,0.01,,,,,,0.02,16.59,68.34,0.56,3.56,2.87,22.3,0.13,,,,,,,
Jayden Daniels,,0,QB,QB1,7000,WAS,vs DAL,17,27.75,7.4,0,19.1,1,33.54,263.93,1.28,0.34,0.265,8.37,44.04,0.28,8.37,0,0,0,0,0,0,0,0,0,0,0,21.42,21.42,0,10.32,36.22,21.42,21.42,1,0,100,,3,61,3.1,32.4,4.6,3,7,7,13,9,9,26.73,18.36,212.55,0.27,2.09,0.91,101.43,8.36,43.82,0.36,,,,,,,,,,,
