,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Joe Burrow,,0,QB,QB1,7200,CIN,@ LAC,11,23.5,9,16.3,22.5,1,36.54,280.36,2.32,0.59,0.1782,4.2,15.73,0.2,4.2,0,0,0,0,0,0,0,0,0,0,0,22.68,22.68,0,9.18,40.68,22.68,22.68,2,0,100,,8,58,3.2,32.04,4.5,5,6,6,14,12,12,36.34,24.74,270.24,0.66,2.76,1.95,100.22,3.42,11.74,0.18,,,,,,,,,,,
Bijan Robinson,,0,RB,RB1,7800,ATL,@ DEN,3,21.25,7.9,15.2,19.5,0,0,0,0,0,0.5841,19.24,91.09,0.64,24.9,0.1727,5.66,4.53,37.95,0.21,0,0,0,0,0,0,22.53,22.53,0,10.68,38.33,22.53,22.53,23,0,100,,91,53,2.9,10.3,1.3,5,5,5,8,13,13,,,,,,,,13.67,63.85,0.37,4.85,3.63,30.07,0.19,,,,,,,
Joe Mixon,,0,RB,RB1,7700,HOU,@ DAL,29,24.25,9.3,15.9,22.9,0,0,0,0,0,0.7382,23.93,99.24,0.84,28.21,0.1213,4.28,3.35,26.58,0.18,0,0,0,0,0,0,22.05,22.05,0,8.1,40.65,22.05,22.05,1,0,100,,3,44,2.9,38.3,5,6,6,6,9,14,14,0.01,,,,,,0.02,16.56,67.95,0.54,3.56,2.88,22.1,0.13,,,,,,,
Aaron Rodgers,,0,QB,QB1,5500,NYJ,vs IND,24,23.5,8.7,0,14.9,1,43.8,303.68,2.18,0.59,0.0519,1.45,6.45,0.05,1.45,0,0,0,0,0,0,0,0,0,0,0,21.22,21.22,0,8.17,38.62,21.22,21.22,22,0,100,,57,58,3.9,16.06,2.9,19,7,7,31,15,15,34.86,22.51,252.03,0.43,2.25,2.04,100.56,2.7,12.86,0.11,0.01,0.01,-0.07,,,,,,,,
Justin Herbert,,0,QB,QB1,5300,LAC,vs CIN,25,24.5,8.5,19.3,15.4,1,37.53,293.53,1.92,0.5,0.1155,3.45,13.21,0.15,3.45,0,0,0,0,0,0,0,0,0,0,0,21.14,21.14,0,8.39,38.14,21.14,21.14,7,0,100,,19,60,4,25.38,4.8,21,8,8,33,16,16,37.51,24.96,269.17,0.61,2.13,1.76,97.21,3.66,14.49,0.17,0.04,0.04,,,,,,,,,
Justin Jefferson,,0,WR,WR1,8600,MIN,@ TEN,31,23,10.7,21.8,19.6,0,0,0,0,0,0,0,0,0,11.1,0.3109,11.1,7.59,105.38,0.5,0,0,0,0,0,0,21.13,21.13,0,5.08,42.53,21.13,21.13,25,0,100,,66,49,2.5,14.1,1.6,2,3,3,2,17,17,0.12,0.07,1.32,,,,10.45,0.19,0.45,0.01,9.48,6.45,97.54,0.51,,,,,,,
Bo Nix,,0,QB,QB1,6200,DEN,vs ATL,27,23.25,6.4,0,17.3,1,36.04,240.09,1.34,0.64,0.2763,7.92,38.72,0.48,7.92,0,0,0,0,0,0,0,0,0,0,0,21.08,21.08,0,11.48,33.88,21.08,21.08,3,0,100,,9,63,3.4,31.78,5.1,12,9,9,24,18,18,32.4,20.6,196.8,0.6,1.7,1,83.99,6.1,29,0.4,0.1,0.1,0.2,0.1,,,,,,,
De'Von Achane,,0,RB,RB1,7200,MIA,vs LV,23,25.5,13.3,18.5,16.6,0,0,0,0,0,0.4843,14.63,77.51,0.46,20.21,0.156,5.58,4.69,34.01,0.36,0,0,0,0,0,0,20.76,20.76,0,0.81,47.36,20.76,20.76,6,0,100,,31,25,2.9,20.5,2.8,10,7,7,14,19,19,,,,,0.05,,,10.4,62.85,0.5,4.2,3.45,25.7,0.3,,,,,,,
Sam Darnold,,0,QB,QB1,6100,MIN,@ TEN,14,23,8.6,2.5,17.3,1,35.7,283.56,1.98,1.2,0.1305,4.33,16.07,0.18,4.33,0,0,0,0,0,0,0,0,0,0,0,20.75,20.75,0,7.85,37.95,20.75,20.75,9,0,100,,23,36,3.4,24.64,4,13,10,10,25,20,20,27.63,16.81,189.4,0.88,2.33,1.07,76.29,3.29,12.11,0.17,,,,,,,,,,,
Aaron Jones,,0,RB,RB1,6900,MIN,@ TEN,24,23,10.2,13.2,15.5,0,0,0,0,0,0.5834,19.37,95.1,0.62,23.94,0.1281,4.57,3.57,25.79,0.17,0,0,0,0,0,0,20.4,20.4,0,5.1,40.8,20.4,20.4,34,0,100,,128,36,3,5.3,0.8,13,8,8,17,21,21,,,,,,,,12.75,63.31,0.47,3.81,2.89,22.31,0.19,,,,,,,
