,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Kyren Williams,,0,RB,RB1,7600,LAR,vs GB,22,26,11.4,22.9,20.4,0,0,0,0,0,0.8473,25.84,114.92,1.4,31.51,0.1628,5.67,4.46,25.46,0.34,0,0,0,0,0,0,28.94,28.94,0,11.84,51.74,28.94,28.94,4,0,100,,34,29,3.8,19.5,2.6,3,1,1,7,1,1,,,,,,,,14,64.21,0.71,3.08,2.25,14.58,0.17,,,,,,,
Josh Allen,,0,QB,QB1,7700,BUF,@ HOU,17,23.25,9.4,25.2,20.3,1,38.73,291.17,2.02,0.9,0.2615,8.02,42.49,0.69,8.02,0,0,0,0,0,0,0,0,0,0,0,27.22,27.22,0,13.12,46.02,27.22,27.22,20,0,100,,59,61,3.5,14.64,1.9,1,1,1,6,2,2,33.25,21.04,240.21,0.79,1.85,1.76,92.19,6.95,38.47,0.56,0.03,0.02,0.28,0.02,,,,,,,
C.J. Stroud,,0,QB,QB1,7200,HOU,vs BUF,2,24.25,9,20.2,17.8,1,42.55,350.83,2.05,0.49,0.1695,4.36,18.6,0.23,4.36,0,0,0,0,0,0,0,0,0,0,0,24.98,24.98,0,11.48,42.98,24.98,24.98,13,0,100,,30,54,3.5,20.94,2.9,3,2,2,11,3,3,33.58,21.74,271.68,0.37,2.68,1.53,99.39,2.63,10.95,0.16,0.05,0.05,,,,,,,,,
Justin Fields,,0,QB,QB1,5800,PIT,vs DAL,10,23.25,10.1,19.2,19.7,1,34.92,263.78,1.26,0.81,0.3656,11.78,64.78,0.59,11.78,0,0,0,0,0,0,0,0,0,0,0,24.8,24.8,0,9.65,45,24.8,24.8,17,0,100,,51,44,4.3,15.94,2.7,15,3,3,25,4,4,24.25,14.89,170.55,0.7,3.3,0.98,81.54,8.95,53.75,0.39,,,,,,,,,,,
Alvin Kamara,,0,RB,RB1,7500,NO,@ KC,4,18.75,10.6,17.9,27.4,0,0,0,0,0,0.6352,19.43,85.11,0.87,26.12,0.1732,6.69,5.34,42.69,0.22,0,0,0,0,0,0,24.66,24.66,0,8.76,45.86,24.66,24.66,21,0,100,,75,48,3.3,12.6,1.7,4,2,2,8,5,5,0.01,0.01,0.12,,,,1.29,13.18,58.14,0.56,6.3,4.96,41.66,0.23,,,,,,,
Deshaun Watson,,0,QB,QB1,5300,CLE,@ WAS,28,20.25,9.3,15.5,14.9,1,40.54,294.71,1.85,0.84,0.2264,7.24,38.77,0.37,7.24,0,0,0,0,0,0,0,0,0,0,0,24.45,24.45,0,10.5,43.05,24.45,24.45,24,0,100,,102,58,4.6,9.4,1.8,20,4,4,30,6,6,31.97,21.18,250.22,0.67,3.32,1.73,97.64,5.63,30.18,0.3,0.01,0.01,0.08,0.01,,,,,,,
Patrick Mahomes,,0,QB,QB1,7000,KC,vs NO,5,24.25,8.6,19.3,15.6,1,38.19,298.96,2.05,0.8,0.2992,7.71,37.43,0.21,7.71,0,0,0,0,0,0,0,0,0,0,0,24.36,24.36,0,11.46,41.56,24.36,24.36,15,0,100,,42,65,3.5,17.44,2.5,4,5,5,13,7,7,37.12,24.67,293.5,0.68,1.55,2.28,104.24,4.04,20.64,0.14,0.04,0.02,0.08,,,,,,,,
CeeDee Lamb,,0,WR,WR1,8800,DAL,@ PIT,27,20.75,10.3,25.2,16.5,0,0,0,0,0,0,0,0,0,12.15,0.3622,12.15,8.49,109.95,0.77,0,0,0,0,0,0,24.11,24.11,0,8.66,44.71,24.11,24.11,35,0,100,,85,44,2.7,11.4,1.3,1,1,1,1,8,8,,,,,0.01,,,0.7,5.01,0.04,8.56,5.93,78.01,0.49,,,,,,,
Joe Burrow,,0,QB,QB1,6400,CIN,vs BAL,21,25.5,8.8,16.3,18,1,38.33,297.61,2.32,0.64,0.2077,4.94,16.53,0.2,4.94,0,0,0,0,0,0,0,0,0,0,0,23.4,23.4,0,10.2,41,23.4,23.4,2,0,100,,3,57,3.7,37.78,5.9,10,6,6,19,9,9,36.23,24.7,268.95,0.68,2.79,1.86,99.35,3.48,11.48,0.18,,,,,,,,,,,
