,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Rdm %,Exp.,Used,FPs,Salary,FC Proj,My Proj,Con.,Value,Score,Val,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Bryce Young,,0,QB,QB1,5600,CAR,@ TB,31,19.5,6.5,11,12.7,1,36.2,249.01,1.54,0.81,0.5903,16.45,104.91,1.28,16.45,0,0,0,0,0,0,0,0,0,0,0,33.48,33.48,0,23.73,46.48,33.48,33.48,16,16,1,1,0,100,,90,31,1,1,44,6,0,,30.29,18.18,172.36,0.68,3.07,0.75,75.39,2.68,16.79,0.14,,,,,,,,,,,
Jahmyr Gibbs,,0,RB,RB1,8500,DET,@ SF,22,27,8.1,16.6,20,0,0,0,0,0,0.7507,27.45,149.02,1.56,31.01,0.1123,3.56,2.79,24.65,0.15,0,0,0,0,0,0,30.42,30.42,0,18.27,46.62,30.42,30.42,27,2,1,1,0,100,,90,2,2,2,56,3.6,0,,,,,,,,,13.03,70.03,0.73,4.17,3.17,25.2,0.13,,,,,,,
Mike Evans,,0,WR,WR1,7500,TB,vs CAR,5,28.5,10.2,17.1,16.6,0,0,0,0,0,0,0,0,0,15.27,0.3546,15.27,9.12,135.68,0.93,0,0,0,0,0,0,28.27,28.27,0,12.97,48.67,28.27,28.27,40,6,1,1,0,100,,90,12,3,3,40,3.8,0,,,,,,,,,0.01,0.07,,8.5,4.97,75.82,0.6,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,@ HOU,22,26.75,10.7,22.3,26.4,1,32.74,281.32,2.48,0.58,0.2641,9.03,54.28,0.27,9.03,0,0,0,0,0,0,0,0,0,0,0,27.64,27.64,0,11.59,49.04,27.64,27.64,2,2,2,2,0,100,,5,7,4,4,52,3.5,29.42,3.7,25.45,16.5,196.35,0.5,1.92,1.6,99.24,9.91,60.03,0.31,0.02,,,,,,,,,,
Jayden Daniels,,0,QB,QB1,7800,WAS,vs ATL,32,25,8.4,0,22.1,1,35.26,271.01,1.96,0.76,0.317,10.87,65.55,0.44,10.87,0,0,0,0,0,0,0,0,0,0,0,27.12,27.12,0,14.52,43.92,27.12,27.12,16,3,3,3,0,100,,90,9,5,5,62,3.5,0,,28.8,20.07,220.2,0.53,2.53,1.47,102.77,8.53,49.13,0.4,,,,,,,,,,,
Josh Allen,,0,QB,QB1,8500,BUF,vs NYJ,8,27.75,9.7,25.2,24.9,1,33.47,265.68,1.71,0.72,0.2539,8.23,45.58,0.76,8.23,0,0,0,0,0,0,0,0,0,0,0,25.87,25.87,0,11.32,45.27,25.87,25.87,16,1,4,4,0,100,,90,2,6,6,60,3,0,,33.15,20.95,241.05,0.76,1.75,1.75,92.89,6.94,38.34,0.58,0.03,0.02,0.32,0.03,,,,,,,
Baker Mayfield,,0,QB,QB1,6900,TB,vs CAR,18,28.5,7.2,17.4,22.8,1,43.05,326.48,2.78,1.2,0.1423,3.95,17.09,0.15,3.95,0,0,0,0,0,0,0,0,0,0,0,25.59,25.59,0,14.79,39.99,25.59,25.59,16,6,5,5,0,100,,90,18,7,7,58,3.7,0,,32.03,20.28,233.2,0.86,2.38,1.58,91.45,2.89,10.88,0.1,0.02,0.01,0.16,,,,,,,,
Sam Darnold,,0,QB,QB1,6400,MIN,vs GB,4,25,8.9,2.5,19.8,1,35,283.97,2.12,0.94,0.373,10.72,37.65,0.46,10.72,0,0,0,0,0,0,0,0,0,0,0,25.42,25.42,0,12.07,43.22,25.42,25.42,16,9,6,6,0,100,,90,23,8,8,37,4,0,,28.05,17.19,195.56,0.83,2.4,1.17,79.28,3.33,11.91,0.17,,,,,,,,,,,
Saquon Barkley,,0,RB,RB1,8600,PHI,vs DAL,23,22.75,10.5,16.3,24.5,0,0,0,0,0,0.8389,29.45,146.83,0.99,32.82,0.1286,3.37,2.45,16.64,0.07,0,0,0,0,0,0,25.16,25.16,0,9.41,46.16,25.16,25.16,27,1,2,2,0,100,,90,1,9,9,46,2.9,0,,,,,,0.01,,,17.02,79.2,0.54,4.91,3.58,26.7,0.16,,,,,,,
