,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Alvin Kamara,,0,RB,RB1,7800,NO,@ CAR,32,25,10.5,17.9,20.8,0,0,0,0,0,0.8385,24.51,105.93,1.04,33.73,0.2248,9.22,7.15,57.88,0.29,0,0,0,0,0,0,31.51,31.51,0,15.76,52.51,31.51,31.51,3,0,100,,5,48,4,30.5,3.9,5,1,1,9,1,1,0.01,0.01,0.12,,,,1.25,13.07,57.34,0.55,6.38,4.99,41.36,0.22,,,,,,,
JaMarr Chase,,0,WR,WR1,8600,CIN,vs LV,19,25.75,12.4,17.4,20.6,0,0,0,0,0,0,0,0,0,14.02,0.3755,14.02,10,134.72,1.02,0,0,0,0,0,0,29.59,29.59,0,10.99,54.39,29.59,29.59,32,0,100,,84,35,3.4,11.3,1.3,3,1,1,3,2,2,0.02,0.02,-0.13,,0.02,,1.06,0.3,0.64,,8.79,5.96,82.85,0.68,,,,,,,
Jayden Daniels,,0,QB,QB1,7500,WAS,@ NYG,8,24,7.4,0,20.9,1,39.13,319.3,1.41,0.42,0.4111,11.94,71.09,0.59,11.94,0,0,0,0,0,0,0,0,0,0,0,28.64,28.64,0,17.54,43.44,28.64,28.64,11,0,100,,34,65,3.8,19.86,2.6,4,1,1,12,3,3,25.75,18.5,217,0.25,2.13,0.88,104.6,9.25,53,0.5,,,,,,,,,,,
CeeDee Lamb,,0,WR,WR1,8800,DAL,@ ATL,2,24.5,10.5,25.2,19.4,0,0,0,0,0,0,0,0,0,14.82,0.3779,14.82,10.17,130.63,0.88,0,0,0,0,0,0,28.51,28.51,0,12.76,49.51,28.51,28.51,19,0,100,,54,43,3.2,16.2,1.8,1,2,2,1,4,4,,,,,0.01,,,0.7,4.86,0.04,8.75,6.03,78.88,0.49,,,,,,,
Jalen Hurts,,0,QB,QB1,7800,PHI,vs JAC,32,26.75,10.7,22.9,22.5,1,34.69,282.2,1.59,0.75,0.2978,10.29,44.57,0.89,10.29,0,0,0,0,0,0,0,0,0,0,0,26.7,26.7,0,10.65,48.1,26.7,26.7,2,0,100,,8,48,3.4,29.9,3.8,2,2,2,9,5,5,26.01,16.65,195.71,0.56,1.91,1.1,84.07,8.79,40.57,0.71,0.03,0.01,0.04,,,,,,,,
Kyren Williams,,0,RB,RB1,8000,LAR,@ SEA,30,25,10.9,22.9,20.5,0,0,0,0,0,0.8221,25.69,113.29,1.36,29.76,0.1066,4.07,3.2,16.78,0.29,0,0,0,0,0,0,26.11,26.11,0,9.76,47.91,26.11,26.11,26,0,100,,89,34,3.3,10.5,1.3,3,2,2,7,6,6,,,,,,,,14.89,67.26,0.74,3.04,2.22,13.78,0.19,,,,,,,
Brian Thomas Jr,,0,WR,WR1,6600,JAC,@ PHI,26,19.25,6.6,0,15.9,0,0,0,0,0,0,0,0,0,10.97,0.2603,10.97,7.41,121.47,0.99,0,0,0,0,0,0,25.5,25.5,0,15.6,38.7,25.5,25.5,48,0,100,,114,58,3.9,6.2,0.9,16,3,3,21,7,7,,,,,,,,0.38,1.88,,6.13,4.13,71.63,0.63,,,,,,,
Joe Burrow,,0,QB,QB1,6900,CIN,vs LV,17,25.75,8.9,16.3,19.8,1,37.35,287.4,2.36,0.64,0.2963,7.29,27.61,0.38,7.29,0,0,0,0,0,0,0,0,0,0,0,25.34,25.34,0,11.99,43.14,25.34,25.34,1,0,100,,6,57,3.7,30.14,4.4,6,3,3,18,8,8,35.97,24.55,267.93,0.67,2.78,1.87,99.78,3.45,11.85,0.18,,,,,,,,,,,
Joe Mixon,,0,RB,RB1,7900,HOU,@ NYJ,27,20.25,9.4,15.9,24.8,0,0,0,0,0,0.7592,23.34,98.96,0.82,29.24,0.1694,5.9,4.71,39.84,0.29,0,0,0,0,0,0,25.25,25.25,0,11.15,44.05,25.25,25.25,12,0,100,,36,43,3.2,19.6,2.5,4,3,3,8,9,9,,,,,,,,16.4,67.79,0.53,3.59,2.91,22.1,0.14,,,,,,,
Patrick Mahomes,,0,QB,QB1,6700,KC,vs TB,27,27.25,8.6,19.3,16.2,1,39.24,308.6,2.1,0.85,0.2527,7.39,35.82,0.24,7.39,0,0,0,0,0,0,0,0,0,0,0,24.92,24.92,0,12.02,42.12,24.92,24.92,5,0,100,,19,65,3.7,24.54,3.7,8,4,4,20,10,10,37.05,24.64,292.24,0.7,1.56,2.24,103.44,4.08,20.79,0.14,0.04,0.02,0.08,,,,,,,,
Josh Allen,,0,QB,QB1,7700,BUF,vs MIA,6,27.5,9.2,25.2,20.6,1,31.76,254.5,1.68,0.67,0.235,8.38,44.13,0.67,8.38,0,0,0,0,0,0,0,0,0,0,0,24.66,24.66,0,10.86,43.06,24.66,24.66,7,0,100,,23,62,3.2,23.1,3,3,5,5,10,11,11,33.15,20.93,240.13,0.77,1.83,1.76,92.53,6.9,37.93,0.54,0.03,0.02,0.27,0.02,,,,,,,
Jordan Love,,0,QB,QB1,7000,GB,vs DET,19,22.75,9.5,19.9,20.1,1,38.89,313.74,2.87,1.11,0.0796,2.51,9.02,0.14,2.51,0,0,0,0,0,0,0,0,0,0,0,24.66,24.66,0,10.41,43.66,24.66,24.66,24,0,100,,80,37,3.5,11.92,1.7,5,5,5,17,11,11,26.15,16.55,191.27,0.7,1.21,1.52,88.07,2.21,9.12,0.12,,,,,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,vs DEN,4,27.75,10.8,22.3,27.1,1,32.3,236.95,1.81,0.58,0.3058,10.53,63.73,0.31,10.53,0,0,0,0,0,0,0,0,0,0,0,24.37,24.37,0,8.17,45.97,24.37,24.37,6,0,100,,22,51,3,23.6,3,1,6,6,7,12,12,25.31,16.32,193.08,0.52,1.96,1.51,96.8,10.17,61.66,0.32,0.02,,,,,,,,,,
Bijan Robinson,,0,RB,RB1,7400,ATL,vs DAL,28,27.5,7.5,15.2,17.7,0,0,0,0,0,0.5773,17.44,80.33,0.49,24.73,0.1806,7.29,5.68,48.69,0.36,0,0,0,0,0,0,23.68,23.68,0,12.43,38.68,23.68,23.68,9,0,100,,30,53,3.2,21.5,2.9,9,4,4,13,13,13,,,,,,,,13.2,60.88,0.32,4.8,3.52,29,0.2,,,,,,,
Kyler Murray,,0,QB,QB1,6600,ARI,vs CHI,3,23,8.1,18.9,19.2,1,36.04,256.15,1.69,0.65,0.2204,7.27,46.27,0.41,7.27,0,0,0,0,0,0,0,0,0,0,0,23.44,23.44,0,11.29,39.64,23.44,23.44,30,0,100,,119,62,3.6,5.76,0.9,9,7,7,21,14,14,33.85,22.58,236.78,0.67,2.19,1.44,94.66,6.38,38.25,0.38,,,0.1,,,,,,,,
Breece Hall,,0,RB,RB1,7500,NYJ,vs HOU,4,22.75,9.8,17.6,17,0,0,0,0,0,0.6639,18.39,79.82,0.49,25.67,0.1584,7.28,5.43,48.58,0.27,0,0,0,0,0,0,22.83,22.83,0,8.13,42.43,22.83,22.83,26,0,100,,89,44,3,10.5,1.4,8,5,5,12,15,15,,,,,,,,12.94,58.91,0.38,5.38,4,35.16,0.19,,,,,,,
A.J. Brown,,0,WR,WR1,8100,PHI,vs JAC,15,26.75,10.5,18.4,21.4,0,0,0,0,0,0,0,0,0,11.44,0.3299,11.44,7.37,109.4,0.75,0,0,0,0,0,0,22.81,22.81,0,7.06,43.81,22.81,22.81,50,0,100,,121,38,2.8,5.6,0.7,4,4,4,6,16,16,0.02,,,,,,0.94,0.07,0.94,0.01,7.61,4.82,76.39,0.54,,,,,,,
Trevor Lawrence,,0,QB,QB1,5600,JAC,@ PHI,2,19.25,7.2,18.1,17,1,42.14,316.25,1.97,0.93,0.1428,3.34,15.79,0.19,3.34,0,0,0,0,0,0,0,0,0,0,0,22.32,22.32,0,11.52,36.72,22.32,22.32,9,0,100,,29,57,4,21.56,3.9,19,8,8,31,17,17,34.36,21.86,234.57,0.74,1.9,1.19,87.03,3.88,18.43,0.21,,,-0.09,,,,,,,,
