,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Rdm %,Exp.,Used,FPs,Salary,FC Proj,My Proj,Con.,Value,Score,Val,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Bijan Robinson,,0,RB,RB1,8100,ATL,vs NYG,27,26,7.7,15.2,19.4,0,0,0,0,0,0.6768,20.1,93.03,0.61,26.08,0.1501,5.98,4.94,36.79,0.16,0,0,0,0,0,0,22.54,22.54,0,10.99,37.94,22.54,22.54,20,2,6,6,0,100,,56,5,20,20,55,2.8,0,,,,,,,,,14.55,67.03,0.39,4.68,3.58,28.77,0.16,,,,,,,
Courtland Sutton,,0,WR,WR1,6500,DEN,@ LAC,17,19.25,7,12.1,15.6,0,0,0,0,0,0,0,0,0,13.02,0.3491,13.02,7.72,101.19,0.7,0,0,0,0,0,0,22.04,22.04,0,11.54,36.04,22.04,22.04,9,15,6,6,0,100,,25,21,21,21,39,3.4,10,1.5,0.04,0.04,0.88,,,0.01,10.44,0.05,0.22,,6.63,3.87,54.46,0.32,,,,,,,
Bo Nix,,0,QB,QB1,6100,DEN,@ LAC,5,19.25,6.7,0,18.2,1,37.31,260.34,1.71,0.92,0.2762,8.19,35,0.34,8.19,0,0,0,0,0,0,0,0,0,0,0,21.87,21.87,0,11.82,35.27,21.87,21.87,4,12,10,10,0,100,,6,25,22,22,63,3.6,21.02,3.4,33.36,21.21,212.29,0.79,1.43,1.43,86.69,5.36,23.36,0.29,0.07,0.07,0.14,0.07,,,,,,,
Davante Adams,,0,WR,WR2,7100,NYJ,vs LAR,18,21.75,11.3,16.1,18.2,0,0,0,0,0,0,0,0,0,11.33,0.2726,11.33,7.26,91.69,0.87,0,0,0,0,0,0,21.65,21.65,0,4.7,44.25,21.65,21.65,20,10,7,7,0,100,,56,15,23,23,41,3,0,,0.01,0.01,0.22,,0.01,,1.49,0.02,-0.01,,9.66,6.21,77.76,0.69,,,,,,,
Breece Hall,,0,RB,RB1,6100,NYJ,vs LAR,10,21.75,9.7,17.6,16.2,0,0,0,0,0,0.6629,18.68,84.56,0.57,24.45,0.1388,5.77,4.38,38.31,0.24,0,0,0,0,0,0,21.53,21.53,0,6.98,40.93,21.53,21.53,20,21,7,7,0,100,,56,25,24,24,43,3.5,0,,,,,,,,,12.86,58.89,0.38,5.14,3.86,33.27,0.19,,,,,,,
Aaron Rodgers,,0,QB,QB1,5600,NYJ,vs LAR,16,21.75,8.6,0,16.5,1,41.57,298.72,2.2,0.52,0.0667,1.88,9.2,0.06,1.88,0,0,0,0,0,0,0,0,0,0,0,21.51,21.51,0,8.61,38.71,21.51,21.51,7,17,11,11,0,100,,56,30,25,25,58,3.8,0,,34.85,22.48,251.95,0.43,2.25,2.04,100.63,2.68,12.9,0.11,0.01,0.01,-0.07,,,,,,,,
Saquon Barkley,,0,RB,RB1,8300,PHI,@ WAS,18,25.25,10.5,16.3,24.1,0,0,0,0,0,0.5858,22.41,111.31,0.73,26.31,0.1358,3.9,2.88,21.99,0.11,0,0,0,0,0,0,21.25,21.25,0,5.5,42.25,21.25,21.25,20,1,8,8,0,100,,56,3,26,26,45,2.6,0,,,,,,,,,16.89,78.4,0.52,4.95,3.63,27,0.16,,,,,,,
Justin Herbert,,0,QB,QB1,5800,LAC,vs DEN,22,22.25,8.4,19.3,15.6,1,34.32,272.74,1.71,0.43,0.1985,5.46,23.31,0.25,5.46,0,0,0,0,0,0,0,0,0,0,0,21.15,21.15,0,8.55,37.95,21.15,21.15,2,15,12,12,0,100,,3,28,27,27,59,3.6,23.16,4,37.12,24.58,265.54,0.58,2.21,1.71,96.67,3.66,14.95,0.17,0.04,0.04,,,,,,,,,
Tee Higgins,,0,WR,WR2,6800,CIN,vs CLE,8,28,9.4,12,17.3,0,0,0,0,0,0,0,0,0,11.2,0.2723,11.2,7.05,96.91,0.68,0,0,0,0,0,0,20.82,20.82,0,6.72,39.62,20.82,20.82,20,12,8,8,0,100,,56,18,28,28,38,3.1,0,,,,,,,,,0.08,0.44,,7.56,4.8,68.02,0.47,,,,,,,
Patrick Mahomes,,0,QB,QB1,6400,KC,vs HOU,28,23,8.5,19.3,17.9,1,37.71,281.32,2.05,0.68,0.1039,2.81,14.86,0.09,2.81,0,0,0,0,0,0,0,0,0,0,0,20.8,20.8,0,8.05,37.8,20.8,20.8,1,9,13,13,0,100,,2,22,29,29,65,3.3,23.7,3.7,37.2,24.72,289.15,0.67,1.66,2.22,102.97,3.99,20.59,0.13,0.04,0.02,0.07,,,,,,,,
