,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,,,,Overall Rankings,,,,,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Rdm %,Exp.,Used,FPs,Salary,FC Proj,My Proj,Con.,Value,Score,Val,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Caleb Williams,,0,QB,QB1,5500,CHI,vs DET,10,20.25,8.4,0,16.5,1,33.51,230.47,1.33,0.26,0.1998,6.16,37.07,0,6.16,0,0,0,0,0,0,0,0,0,0,0,17.99,17.99,0,5.39,34.79,17.99,17.99,7,18,22,22,0,100,,56,31,52,52,49,3.3,0,,33.21,20.57,209.79,0.36,4.07,1.21,88.85,4.86,28.71,,,,,,,,,,,,
Anthony Richardson,,0,QB,QB1,5400,IND,vs TEN,18,23.25,8.4,18.7,15.7,1,28.82,191.57,0.8,1.05,0.238,7.86,42.74,0.64,7.86,0,0,0,0,0,0,0,0,0,0,0,17.93,17.93,0,5.33,34.73,17.93,17.93,7,19,23,23,0,100,,56,32,53,53,49,3.3,0,,24.07,12.07,161.43,0.86,1.43,0.71,74.04,7.29,40.36,0.64,0.07,0.07,-0.07,,,,,,,,
Drake London,,0,WR,WR1,6400,ATL,vs NYG,24,26,7.5,11.3,15.3,0,0,0,0,0,0,0,0,0,10.77,0.2703,10.77,6.84,81.44,0.48,0,0,0,0,0,0,17.86,17.86,0,6.61,32.86,17.86,17.86,20,16,16,16,0,100,,56,22,54,54,39,2.8,0,,0.02,0.02,0.47,,,,3.77,0.02,-0.06,,7.32,4.66,57.23,0.28,,,,,,,
Spencer Rattler,,0,QB,QB1,4600,NO,@ GB,4,14,3,0,9.6,1,31.23,224.76,1.51,0.62,0.1991,5.45,27.75,0.1,5.45,0,0,0,0,0,0,0,0,0,0,0,17.79,17.79,0,13.29,23.79,17.79,17.79,7,27,24,24,0,100,,56,40,55,55,69,3.9,0,,30,17.25,176.5,0.5,3.5,0.5,74.5,2.25,15.25,,,,,,,,,,,,
Aidan O'Connell,,0,QB,QB1,5100,LV,vs JAC,29,21.75,7,12.3,9.4,1,41.84,288.97,1.41,0.87,0.0755,1.94,1.49,0.21,1.94,0,0,0,0,0,0,0,0,0,0,0,17.74,17.74,0,7.24,31.74,17.74,17.74,7,22,25,25,0,100,,56,35,56,56,38,3.5,0,,28.18,17.59,183.35,0.59,1.82,0.94,82.31,1.41,1,0.12,,,,,,,,,,,
Tony Pollard,!,0,RB,RB1,6600,TEN,@ IND,20,19.25,8.3,13.3,14.1,0,0,0,0,0,0.666,18.43,83.81,0.49,22.93,0.1397,4.5,3.38,22.28,0.06,0,0,0,0,0,0,17.29,17.29,0,4.84,33.89,17.29,17.29,20,16,16,16,0,100,,56,20,57,57,28,2.6,0,,,,,,,,,10.78,50.03,0.3,3.05,2.34,16.86,0.05,,,,,,,
Jordan Addison,,0,WR,WR2,6200,MIN,@ SEA,28,22.75,10.2,13.4,15.3,0,0,0,0,0,0,0,0,0,8.58,0.2425,8.58,5.7,74.85,0.68,0,0,0,0,0,0,17.27,17.27,0,1.97,37.67,17.27,17.27,20,18,17,17,0,100,,56,24,58,58,28,2.8,0,,,,,,,,,0.14,0.76,0.03,6.38,4.17,58,0.59,,,,,,,
C.J. Stroud,,0,QB,QB1,6000,HOU,@ KC,9,19.5,8.2,20.2,15.1,1,32.55,247.18,1.36,0.58,0.1498,4.39,17.84,0.08,4.39,0,0,0,0,0,0,0,0,0,0,0,17.01,17.01,0,4.71,33.41,17.01,17.01,5,13,26,26,0,100,,10,26,59,59,54,2.8,18.06,3,32.93,21,253.66,0.48,2.86,1.38,94.02,3.03,12.76,0.1,0.07,0.03,,,,,,,,,
Jauan Jennings,,0,WR,WR2,5900,SF,@ MIA,20,23,8.7,4.3,14.9,0,0,0,0,0,0,0,0,0,8.78,0.2721,8.78,5.69,77.14,0.59,0,0,0,0,0,0,16.94,16.94,0,3.89,34.34,16.94,16.94,20,21,18,18,0,100,,56,27,60,60,0,2.9,0,,,,,,,,,,,,4.06,2.58,33.36,0.25,,,,,,,
Najee Harris,,0,RB,RB1,5700,PIT,@ BAL,8,18.75,7.2,11.9,13.1,0,0,0,0,0,0.5882,21.19,82.98,0.55,24.7,0.1166,3.51,2.8,19.74,0.08,0,0,0,0,0,0,16.85,16.85,0,6.05,31.25,16.85,16.85,12,25,17,17,0,100,,43,29,61,61,50,3,4.2,0.7,0.02,0.02,0.06,,,,1.28,16.35,64.06,0.42,3.43,2.68,17.26,0.09,,,,,,,
D'Andre Swift,,0,RB,RB1,5600,CHI,vs DET,17,20.25,7.5,12.9,13.2,0,0,0,0,0,0.6316,19.46,83.26,0.6,22.72,0.0972,3.26,2.58,19.21,0.06,0,0,0,0,0,0,16.79,16.79,0,5.54,31.79,16.79,16.79,20,26,18,18,0,100,,56,30,62,62,47,3,0,,0.01,,,,,,0.57,11.5,50.71,0.4,4.23,3.29,24.81,0.11,,,,,,,
George Kittle,,0,TE,TE1,6000,SF,@ MIA,20,23,9.4,13.3,16.7,0,0,0,0,0,0,0,0,0,7.32,0.2268,7.32,5.44,80.99,0.53,0,0,0,0,0,0,16.72,16.72,0,2.62,35.52,16.72,16.72,14,3,2,2,0,100,,56,26,63,63,33,2.8,0,,,,,,,,,0.11,0.63,,6.42,4.67,63.77,0.4,,,,,,,
Puka Nacua,,0,WR,WR1,8000,LAR,@ NYJ,25,24.75,10.5,18.8,20.2,0,0,0,0,0,0,0,0,0,8.89,0.2487,8.89,6.31,83.03,0.35,0,0,0,0,0,0,16.71,16.71,0,0.96,37.71,16.71,16.71,20,4,19,19,0,100,,56,6,64,64,46,2.1,0,,,,,,,,,0.88,5.19,0.04,9.31,6.38,88.12,0.35,,,,,,,
Mac Jones,,0,QB,QB1,5200,JAC,@ LV,15,19.25,7.2,11.2,8.8,1,37.42,268.18,1.47,1.2,0.1127,2.67,7.87,0.06,2.67,0,0,0,0,0,0,0,0,0,0,0,16.55,16.55,0,5.75,30.95,16.55,16.55,7,21,27,27,0,100,,56,34,65,65,44,3.2,0,,30.14,19.9,202.94,0.88,1.9,1.02,80.65,2.73,7.76,0.04,,,,,,,,,,,
Geno Smith,,0,QB,QB1,5700,SEA,vs MIN,20,19.75,8.4,16.7,16.8,1,33.09,249.99,1.31,0.75,0.1452,3.07,13.92,0.11,3.07,0,0,0,0,0,0,0,0,0,0,0,16.54,16.54,0,3.94,33.34,16.54,16.54,7,16,28,28,0,100,,56,29,66,66,45,2.9,0,,29.2,19.78,214.53,0.6,2.4,1.22,89.53,2.98,14.15,0.08,0.02,0.02,-0.03,,,,,,,,
Deebo Samuel,,0,WR,WR1,5200,SF,@ MIA,20,23,9.3,16.8,9.8,0,0,0,0,0,0.1479,4.55,23.68,0.36,11.32,0.2099,6.77,4.31,62.66,0.23,0,0,0,0,0,0,16.48,16.48,0,2.53,35.08,16.48,16.48,20,28,20,20,0,100,,56,34,67,67,38,3.2,0,,0.04,0.01,0.29,,0.01,0.01,2.44,2.44,14.68,0.24,6.33,4.11,58.8,0.24,,,,,,,
Jonnu Smith,,0,TE,TE1,5500,MIA,vs SF,29,21.5,6.5,8,13.3,0,0,0,0,0,0,0,0,0,8.62,0.2453,8.62,6.22,69.08,0.53,0,0,0,0,0,0,16.31,16.31,0,6.56,29.31,16.31,16.31,14,5,3,3,0,100,,56,31,68,68,8,3,0,,0.01,,,,,,0.02,0.17,1.11,0.01,3.7,2.6,28.33,0.24,,,,,,,
Garrett Wilson,,0,WR,WR1,6600,NYJ,vs LAR,18,21.75,7.9,13,16.2,0,0,0,0,0,0,0,0,0,10.6,0.2551,10.6,6.36,74.58,0.4,0,0,0,0,0,0,16.22,16.22,0,4.37,32.02,16.22,16.22,20,14,21,21,0,100,,56,20,69,69,44,2.5,0,,0.04,,,,,,0.04,0.19,0.19,,9.35,5.46,64.13,0.27,,,,,,,
Derrick Henry,,0,RB,RB1,8000,BAL,vs PIT,21,25.75,11.6,15.2,20,0,0,0,0,0,0.6109,21.3,105.95,0.93,21.3,0,0,0,0,0,0,0,0,0,0,0,16.18,16.18,0,0,39.38,16.18,16.18,1,3,19,19,0,100,,1,6,70,70,31,2,23.9,3,0.07,0.06,0.29,,,0.04,13.19,17.47,84.6,0.77,1.66,1.3,12.04,0.04,,,,,,,
Michael Penix Jr,,0,QB,QB1,4500,ATL,vs NYG,6,26,0.2,0,0.8,1,39.85,292.3,1.29,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,16.12,0,15.82,16.52,16.12,16.12,7,28,29,29,0,100,,56,41,71,71,0,3.6,0,,2.5,1.5,19,,0.5,,106.3,,,,,,,,,,,,,,
Cooper Kupp,,0,WR,WR2,6500,LAR,@ NYJ,25,24.75,10.5,14.7,17.5,0,0,0,0,0,0,0,0,0,8.38,0.2346,8.38,5.86,67.99,0.56,0,0,0,0,0,0,16.02,16.02,0,0.27,37.02,16.02,16.02,20,15,22,22,0,100,,56,21,72,72,43,2.5,0,,0.04,,,,,,1.17,0.25,1.35,0.01,8.73,6.19,75.65,0.56,,,,,,,
DeVonta Smith,,0,WR,WR2,5800,PHI,@ WAS,32,25.25,8.3,14.7,14.7,0,0,0,0,0,0,0,0,0,8.33,0.2899,8.33,5.94,70.86,0.49,0,0,0,0,0,0,15.97,15.97,0,3.52,32.57,15.97,15.97,20,22,23,23,0,100,,56,28,73,73,41,2.8,0,,,,,,,,,0.02,0.02,,6.98,4.85,62.95,0.41,,,,,,,
Brock Bowers,,0,TE,TE1,6500,LV,vs JAC,15,21.75,9.1,0,15.6,0,0,0,0,0,0,0,0,0,9.62,0.23,9.62,6.85,72.05,0.31,0,0,0,0,0,0,15.92,15.92,0,2.27,34.12,15.92,15.92,14,1,4,4,0,100,,56,21,74,74,42,2.4,0,,,,,,,,,0.29,1,,8.86,6.43,69.14,0.29,,,,,,,
Zay Flowers,,0,WR,WR1,5900,BAL,vs PIT,27,25.75,7.7,13.1,14.1,0,0,0,0,0,0,0,0,0,8.92,0.2896,8.92,5.96,75.92,0.38,0,0,0,0,0,0,15.83,15.83,0,4.28,31.23,15.83,15.83,3,21,24,24,0,100,,9,27,75,75,43,2.7,18.3,3.1,,,,,,,,0.5,3.33,0.03,6.97,4.77,59.13,0.3,,,,,,,
Quentin Johnston,,0,WR,WR2,5300,LAC,vs DEN,10,22.25,6.3,5.5,11,0,0,0,0,0,0,0,0,0,9.56,0.2785,9.56,5.08,59.21,0.8,0,0,0,0,0,0,15.8,15.8,0,6.35,28.4,15.8,15.8,16,27,25,25,0,100,,39,33,76,76,19,3,4.8,0.9,,,,,,,,0.21,0.52,,4.48,2.48,30.69,0.34,,,,,,,
Travis Kelce,,0,TE,TE1,5600,KC,vs HOU,13,23,9,15.1,12.1,0,0,0,0,0,0,0,0,0,8.48,0.2248,8.48,6.06,70.3,0.45,0,0,0,0,0,0,15.79,15.79,0,2.29,33.79,15.79,15.79,4,4,5,5,0,100,,31,30,77,77,46,2.8,8,1.4,0.02,0.01,0.02,0.01,,,0.75,0.06,0.1,0.01,8.28,5.93,71.63,0.47,,,,,,,
Jakobi Meyers,,0,WR,WR1,5800,LV,vs JAC,15,21.75,6.6,13.7,14.5,0,0,0,0,0,0,0,0,0,9.83,0.235,9.83,6.65,74.65,0.27,0,0,0,0,0,0,15.74,15.74,0,5.84,28.94,15.74,15.74,20,22,26,26,0,100,,56,28,78,78,45,2.7,0,,0.09,0.07,1.23,,0.01,0.04,8.82,0.14,0.67,0.02,6.84,4.65,53.91,0.22,,,,,,,
Mason Rudolph,,0,QB,QB1,5000,TEN,@ IND,8,19.25,7,10.1,14.4,1,32.24,229.73,1.45,0.92,0.11,3.04,10.99,0.09,3.04,0,0,0,0,0,0,0,0,0,0,0,15.71,15.71,0,5.21,29.71,15.71,15.71,7,23,30,30,0,100,,56,36,79,79,36,3.1,0,,24.48,15.52,164,0.64,1.12,1,82.72,2.32,6.92,0.04,,,,,,,,,,,
Marvin Harrison Jr,,0,WR,WR1,5400,ARI,@ CAR,5,25.75,9.1,0,11.6,0,0,0,0,0,0,0,0,0,9.58,0.2464,9.58,4.86,67.43,0.64,0,0,0,0,0,0,15.44,15.44,0,1.79,33.64,15.44,15.44,20,26,27,27,0,100,,56,32,80,80,22,2.9,0,,,,,,,,,,,,6.57,3.36,49.07,0.5,,,,,,,
Jerome Ford,,0,RB,RB1,5600,CLE,@ CIN,25,18.5,6.8,12.8,9,0,0,0,0,0,0.6492,17.17,80.1,0.38,21.17,0.0995,4,3.17,15.94,0.06,0,0,0,0,0,0,15.41,15.41,0,5.21,29.01,15.41,15.41,20,26,20,20,0,100,,56,30,81,81,36,2.8,0,,,,,,,,,9.65,41.16,0.19,3.26,2.45,16.29,0.16,,,,,,,
Javonte Williams,,0,RB,RB1,4900,DEN,@ LAC,14,19.25,6.4,11.3,9.6,0,0,0,0,0,0.4756,14.11,52.86,0.39,19.99,0.1575,5.88,4.48,25.9,0.11,0,0,0,0,0,0,15.36,15.36,0,5.76,28.16,15.36,15.36,5,33,21,21,0,100,,19,37,82,82,43,3.1,12.3,2.5,,,,,,,,11.71,45.92,0.22,3.65,2.86,17.39,0.1,,,,,,,
Josh Downs,,0,WR,WR2,4900,IND,vs TEN,31,23.25,6.7,9.4,13.3,0,0,0,0,0,0,0,0,0,9.42,0.3269,9.42,6.07,68.07,0.37,0,0,0,0,0,0,15.1,15.1,0,5.05,28.5,15.1,15.1,20,31,28,28,0,100,,56,37,83,83,39,3.1,0,,,,,,,,,0.04,0.43,,6.61,4.43,49.89,0.21,,,,,,,
Jayden Reed,,0,WR,WR1,6000,GB,vs NO,23,28,8.2,13.8,13.4,0,0,0,0,0,0,0,0,0,6.78,0.1856,6.78,4.94,61.45,0.62,0,0,0,0,0,0,14.81,14.81,0,2.51,31.21,14.81,14.81,20,20,29,29,0,100,,56,26,84,84,40,2.5,0,,,,,,,,,0.9,9.13,0.1,5.3,3.77,50.67,0.47,,,,,,,
Adam Thielen,,0,WR,WR1,5600,CAR,vs ARI,1,20.75,9.9,14.1,12.8,0,0,0,0,0,0,0,0,0,8.52,0.228,8.52,6,64.08,0.38,0,0,0,0,0,0,14.69,14.69,0,0,34.49,14.69,14.69,20,24,30,30,0,100,,56,30,85,85,29,2.6,0,,,,,,,,,0.16,1.28,0.01,6.95,4.84,58.57,0.43,,,,,,,
Keenan Allen,,0,WR,WR2,5300,CHI,vs DET,11,20.25,9.8,22.7,12,0,0,0,0,0,0,0,0,0,8.9,0.2657,8.9,5.88,62.01,0.43,0,0,0,0,0,0,14.66,14.66,0,0,34.26,14.66,14.66,20,27,31,31,0,100,,56,33,86,86,45,2.8,0,,0.03,0.01,0.4,,0.01,0.01,5.82,0.15,0.93,,9.75,6.68,76.3,0.44,,,,,,,
Alexander Mattison,,0,RB,RB1,5100,LV,vs JAC,19,21.75,6.6,8.4,10.1,0,0,0,0,0,0.6876,17.63,67.13,0.36,21.07,0.0822,3.44,2.73,20.88,0.12,0,0,0,0,0,0,14.41,14.41,0,4.51,27.61,14.41,14.41,20,31,22,22,0,100,,56,35,87,87,8,2.8,0,,,,,,,,,7.89,31.07,0.16,1.85,1.45,11.09,0.08,,,,,,,
Darnell Mooney,,0,WR,WR2,5400,ATL,vs NYG,24,26,7.2,5.6,13,0,0,0,0,0,0,0,0,0,8.89,0.2231,8.89,5.3,70.21,0.33,0,0,0,0,0,0,14.3,14.3,0,3.5,28.7,14.3,14.3,20,26,32,32,0,100,,56,32,88,88,31,2.6,0,,0.01,,,,,,0.03,0.18,0.82,0.01,6.33,3.76,48.22,0.22,,,,,,,
Brian Robinson,,0,RB,RB1,6200,WAS,vs PHI,7,21.25,6.6,13.5,14.1,0,0,0,0,0,0.5212,15.76,66.46,0.52,18.25,0.0814,2.49,2.03,17.66,0.11,0,0,0,0,0,0,14.22,14.22,0,4.32,27.42,14.22,14.22,20,20,23,23,0,100,,56,24,89,89,47,2.3,0,,,,,,,,,14.26,58.82,0.39,1.95,1.58,14.58,0.13,,,,,,,
Calvin Ridley,,0,WR,WR1,5700,TEN,@ IND,14,19.25,9.6,14.2,11.6,0,0,0,0,0,0,0,0,0,8.64,0.2681,8.64,5.06,66.4,0.42,0,0,0,0,0,0,14.22,14.22,0,0,33.42,14.22,14.22,20,23,33,33,0,100,,56,29,89,89,36,2.5,0,,,,,,,,,0.34,1.7,0.01,7.75,4.71,64.21,0.49,,,,,,,
Drew Lock,,0,QB,QB1,4900,NYG,@ ATL,31,17,8.7,8,8.6,1,33.56,204.1,0.72,0.91,0.1339,3.42,23.8,0.27,3.42,0,0,0,0,0,0,0,0,0,0,0,14.13,14.13,0,1.08,31.53,14.13,14.13,7,24,31,31,0,100,,56,37,90,90,31,2.9,0,,27.38,16.09,178.03,0.78,1.5,0.88,73.69,2.72,13.38,0.19,0.03,0.03,0.03,,,,,,,,
DJ Moore,,0,WR,WR1,5700,CHI,vs DET,11,20.25,8.9,17.8,14,0,0,0,0,0,0,0,0,0,8.64,0.2577,8.64,5.51,65.58,0.33,0,0,0,0,0,0,14.05,14.05,0,0.7,31.85,14.05,14.05,20,23,34,34,0,100,,56,29,91,91,38,2.5,0,,0.02,,,,,,0.38,0.48,3.75,0.01,7.77,4.83,65.97,0.31,,,,,,,
Travis Etienne,,0,RB,RB1,5800,JAC,@ LV,11,19.25,8.5,17,9,0,0,0,0,0,0.4477,10.62,44.31,0.25,16.6,0.1598,5.98,4.8,31.25,0.02,0,0,0,0,0,0,13.98,13.98,0,1.23,30.98,13.98,13.98,20,24,24,24,0,100,,56,28,92,92,37,2.4,0,,,,,,,,,13.04,56.28,0.39,3.48,2.74,21.22,0.02,,,,,,,
Michael Pittman,,0,WR,WR1,5000,IND,vs TEN,31,23.25,7.2,16.3,9.8,0,0,0,0,0,0,0,0,0,8.99,0.3118,8.99,5.93,64.45,0.24,0,0,0,0,0,0,13.82,13.82,0,3.02,28.22,13.82,13.82,20,30,35,35,0,100,,56,36,93,93,44,2.8,0,,,,,,,,,0.15,1.33,,7.65,5.17,56.93,0.23,,,,,,,
Rico Dowdle,,0,RB,RB1,6300,DAL,vs TB,9,22.5,6.9,5.7,13.3,0,0,0,0,0,0.6054,14.62,71.08,0.14,18.38,0.0828,3.76,2.92,16.85,0.21,0,0,0,0,0,0,13.81,13.81,0,3.46,27.61,13.81,13.81,20,19,25,25,0,100,,56,23,94,94,9,2.2,0,,,,,,,,,7.8,36.14,0.09,1.83,1.43,9.97,0.14,,,,,,,
Hunter Henry,,0,TE,TE1,4100,NE,@ BUF,4,16.25,6.1,9.2,9.6,0,0,0,0,0,0,0,0,0,7.46,0.2219,7.46,5.2,58.83,0.45,0,0,0,0,0,0,13.78,13.78,0,4.63,25.98,13.78,13.78,14,13,6,6,0,100,,56,45,95,95,38,3.4,0,,,,,,,,,,,,5.15,3.55,40.84,0.35,,,,,,,
Kenneth Walker III,,0,RB,RB1,6300,SEA,vs MIN,6,19.75,8,13.5,17,0,0,0,0,0,0.5558,11.76,46.56,0.47,15.82,0.1226,4.06,3.3,23.39,0.08,0,0,0,0,0,0,13.6,13.6,0,1.6,29.6,13.6,13.6,20,19,26,26,0,100,,56,23,96,96,46,2.2,0,,,,,,,,,14.87,62.85,0.62,2.87,2.31,17,0.05,,,,,,,
Jerry Jeudy,,0,WR,WR1,6700,CLE,@ CIN,7,18.5,8.2,8.9,15.2,0,0,0,0,0,0,0,0,0,9.59,0.2388,9.59,5.95,65.11,0.18,0,0,0,0,0,0,13.54,13.54,0,1.24,29.94,13.54,13.54,20,13,36,36,0,100,,56,19,97,97,29,2,0,,,,,,,,,0.08,0.61,,6.56,3.96,57.82,0.21,,,,,,,
Rhamondre Stevenson,,0,RB,RB1,5900,NE,@ BUF,16,16.25,7.9,12.2,13,0,0,0,0,0,0.5662,14.96,61.77,0.41,18.53,0.1061,3.57,2.83,17.05,0.06,0,0,0,0,0,0,13.53,13.53,0,1.68,29.33,13.53,13.53,20,23,27,27,0,100,,56,27,98,98,38,2.3,0,,,,,,,,,12.81,55.63,0.37,3.65,2.83,17.35,0.04,,,,,,,
Khalil Shakir,,0,WR,WR2,5900,BUF,vs NE,22,30.25,7.2,7.4,13.8,0,0,0,0,0,0,0,0,0,7.04,0.2168,7.04,5.49,61.18,0.32,0,0,0,0,0,0,13.53,13.53,0,2.73,27.93,13.53,13.53,20,21,37,37,0,100,,56,27,98,98,15,2.3,0,,,,,,,,,0.08,0.36,,3.92,3.08,39.64,0.18,,,,,,,
Romeo Doubs,,0,WR,WR2,5100,GB,vs NO,23,28,6,10.3,10.3,0,0,0,0,0,0,0,0,0,7.51,0.2054,7.51,4.7,56.92,0.52,0,0,0,0,0,0,13.51,13.51,0,4.51,25.51,13.51,13.51,20,29,38,38,0,100,,56,35,99,99,37,2.6,0,,,,,,,,,0.02,0.27,,5.39,3.37,39.56,0.37,,,,,,,
Jaxon Smith-Njigba,,0,WR,WR2,6000,SEA,vs MIN,21,19.75,7.9,8.8,16.2,0,0,0,0,0,0,0,0,0,7.27,0.2198,7.27,5.41,61.42,0.31,0,0,0,0,0,0,13.41,13.41,0,1.56,29.21,13.41,13.41,20,20,39,39,0,100,,56,26,100,100,35,2.2,0,,0.03,0.03,1.13,,,,7.46,0.1,0.55,,6.68,4.77,52.32,0.29,,,,,,,
David Njoku,!,0,TE,TE1,5200,CLE,@ CIN,7,18.5,7,13.1,13.4,0,0,0,0,0,0,0,0,0,10.02,0.2493,10.02,6.46,48.23,0.32,0,0,0,0,0,0,13.2,13.2,0,2.7,27.2,13.2,13.2,14,6,7,7,0,100,,56,34,101,101,22,2.5,0,,,,,,,,,0.04,-0.06,,5.3,3.43,37.03,0.3,,,,,,,
Tucker Kraft,,0,TE,TE1,3800,GB,vs NO,23,28,6.3,5.6,10,0,0,0,0,0,0,0,0,0,5.79,0.1584,5.79,4.31,54.03,0.57,0,0,0,0,0,0,13.13,13.13,0,3.68,25.73,13.13,13.13,14,16,8,8,0,100,,56,48,102,102,19,3.5,0,,,,,,,,,0.07,0.14,,3.43,2.57,32.5,0.32,,,,,,,
Christian Watson,,0,WR,WR3,5000,GB,vs NO,23,28,8.6,11.3,9.2,0,0,0,0,0,0,0,0,0,6.62,0.181,6.62,3.78,70.83,0.36,0,0,0,0,0,0,13.02,13.02,0,0.12,30.22,13.02,13.02,20,30,40,40,0,100,,56,36,103,103,22,2.6,0,,,,,,,,,0.37,2.6,0.06,4.83,2.8,47.23,0.4,,,,,,,
Jalen Coker,!,0,WR,WR2,4200,CAR,vs ARI,1,20.75,7.6,0,9.2,0,0,0,0,0,0,0,0,0,6.23,0.1667,6.23,4.05,65.04,0.34,0,0,0,0,0,0,12.59,12.59,0,1.19,27.79,12.59,12.59,20,38,41,41,0,100,,56,44,104,104,17,3,0,,,,,,,,,,,,4,2.63,46.63,0.25,,,,,,,
Zach Ertz,!,0,TE,TE1,3800,WAS,vs PHI,26,21.25,8.2,7.4,9.6,0,0,0,0,0,0,0,0,0,7.71,0.252,7.71,5.26,51.7,0.35,0,0,0,0,0,0,12.53,12.53,0,0.23,28.93,12.53,12.53,14,16,9,9,0,100,,56,48,105,105,34,3.3,0,,,,,,,,,0.01,0.03,,7.42,5.03,51.28,0.32,,,,,,,
Isiah Pacheco,,0,RB,RB1,6000,KC,vs HOU,4,23,7.4,16,10.3,0,0,0,0,0,0.4298,11.64,51.44,0.28,15.18,0.0938,3.54,2.99,20.2,0.07,0,0,0,0,0,0,12.25,12.25,0,1.15,27.05,12.25,12.25,13,22,28,28,0,100,,45,26,106,106,36,2,3.5,0.6,,,,,,,,12.31,56.42,0.36,2.14,1.89,12.61,0.06,,,,,,,
Dorian Thompson-Robinson,,0,QB,QB1,4800,CLE,@ CIN,30,18.5,3.7,3.7,2.3,1,40.18,206.32,0.75,2.7,0.1875,4.96,36.69,0,4.96,0,0,0,0,0,0,0,0,0,0,0,12.22,12.22,0,6.67,19.62,12.22,12.22,7,25,32,32,0,100,,56,38,107,107,0,2.5,0,,14.6,7.5,54,0.7,0.7,0.1,46.19,2,12.5,,,,,,,,,,,,
Kareem Hunt,,0,RB,RB2,5000,KC,vs HOU,4,23,9.2,7.9,12.5,0,0,0,0,0,0.4663,12.63,51.45,0.44,15.27,0.0699,2.64,2.03,16.18,0.12,0,0,0,0,0,0,12.15,12.15,0,0,30.55,12.15,12.15,3,32,29,29,0,100,,12,36,108,108,31,2.4,15.9,3.2,,,,,,,,11.86,49.74,0.45,3.09,2.43,19.87,0.17,,,,,,,
DK Metcalf,,0,WR,WR1,5500,SEA,vs MIN,21,19.75,8.4,14.7,13.8,0,0,0,0,0,0,0,0,0,6.79,0.2051,6.79,4.13,58.41,0.36,0,0,0,0,0,0,12.13,12.13,0,0,28.93,12.13,12.13,20,25,42,42,0,100,,56,31,109,109,42,2.2,0,,,,,,,,,0.03,0.18,,7.56,4.58,66.57,0.49,,,,,,,
Juwan Johnson,,0,TE,TE1,3500,NO,@ GB,12,14,5.8,7.5,7.6,0,0,0,0,0,0,0,0,0,6.95,0.2225,6.95,4.77,46.98,0.43,0,0,0,0,0,0,12.05,12.05,0,3.35,23.65,12.05,12.05,14,19,10,10,0,100,,56,51,110,110,12,3.4,0,,,,,,,,,,,,3.48,2.28,24.98,0.31,,,,,,,
Rashod Bateman,,0,WR,WR2,4900,BAL,vs PIT,27,25.75,6.1,5.1,11.4,0,0,0,0,0,0,0,0,0,5.98,0.1941,5.98,3.73,54.59,0.47,0,0,0,0,0,0,12.01,12.01,0,2.86,24.21,12.01,12.01,12,31,43,43,0,100,,28,37,111,111,28,2.5,8.4,1.7,,,,,,,,0.02,0.39,,4.59,2.85,39.59,0.24,,,,,,,
Amari Cooper,,0,WR,WR1,5200,BUF,vs NE,22,30.25,11,16.2,9.6,0,0,0,0,0,0,0,0,0,6.94,0.2138,6.94,4.15,53.76,0.38,0,0,0,0,0,0,11.81,11.81,0,0,33.81,11.81,11.81,20,28,44,44,0,100,,56,34,112,112,24,2.3,0,,0.01,,,0.01,,,,0.1,0.27,,7.67,4.65,65.34,0.42,,,,,,,
Tank Dell,,0,WR,WR2,5100,HOU,@ KC,16,19.5,9.1,17.4,9.3,0,0,0,0,0,0,0,0,0,7.11,0.2183,7.11,4.32,57.47,0.29,0,0,0,0,0,0,11.81,11.81,0,0,30.01,11.81,11.81,1,29,44,44,0,100,,4,35,112,112,29,2.3,21.8,4.3,,,,,0.04,,,0.87,4.09,,6.48,4,55.57,0.39,,,,,,,
Tyrone Tracy Jr,!,0,RB,RB1,5500,NYG,@ ATL,5,17,8.1,0,11.3,0,0,0,0,0,0.4783,12.21,54.34,0.44,15.39,0.0947,3.18,2.14,15.73,0,0,0,0,0,0,0,11.79,11.79,0,0,27.99,11.79,11.79,20,27,30,30,0,100,,56,31,113,113,28,2.1,0,,,,,,,,,10.79,49.64,0.36,3.14,2.14,15.71,,,,,,,,
