,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Josh Allen,,0,QB,QB1,7500,BUF,@ NYJ,1,20.5,9.4,25.2,19.2,1,36.01,281,1.91,0.8,0.455,13.79,75.17,1.18,13.79,0,0,0,0,0,0,0,0,0,0,0,32.68,32.68,0,18.58,51.48,32.68,32.68,5,0,100,,15,61,4.4,24.4,3.3,2,1,1,10,1,1,33.22,20.92,239.12,0.78,1.84,1.75,91.84,6.92,38.63,0.55,0.03,0.02,0.28,0.02,,,,,,,
CeeDee Lamb,,0,WR,WR1,8600,DAL,vs DET,11,28,10.3,25.2,15.5,0,0,0,0,0,0,0,0,0,15.48,0.3439,15.48,10.63,138.93,0.9,0,0,0,0,0,0,29.92,29.92,0,14.47,50.52,29.92,29.92,19,0,100,,57,43,3.5,16.1,1.9,1,1,1,1,2,2,,,,,0.01,,,0.7,4.97,0.04,8.56,5.92,77.79,0.48,,,,,,,
Jayden Daniels,,0,QB,QB1,7300,WAS,@ BAL,30,21.75,5.5,0,23.1,1,39.79,316.77,1.45,0.75,0.415,12.45,59.29,0.72,12.45,0,0,0,0,0,0,0,0,0,0,0,27.97,27.97,0,19.72,38.97,27.97,27.97,12,0,100,,33,76,3.8,20.96,2.9,3,2,2,12,3,3,26.2,20.2,227,0.4,2.4,0.8,107.18,11.4,60,0.8,,,,,,,,,,,
Lamar Jackson,,0,QB,QB1,7800,BAL,vs WAS,19,28.75,10.9,22.3,26.9,1,33.5,257.78,1.91,0.63,0.2926,10.32,64.1,0.31,10.32,0,0,0,0,0,0,0,0,0,0,0,25.59,25.59,0,9.24,47.39,25.59,25.59,8,0,100,,21,50,3.3,22.92,2.9,1,3,3,7,4,4,25.2,16.2,189.71,0.53,1.95,1.47,95.49,10.19,62.16,0.33,0.02,,,,,,,,,,
Jordan Love,,0,QB,QB1,6600,GB,vs ARI,23,26.25,9.6,19.9,22.8,1,40.63,328.66,2.79,0.95,0.0845,2.73,10.26,0.19,2.73,0,0,0,0,0,0,0,0,0,0,0,25.52,25.52,0,11.12,44.72,25.52,25.52,4,0,100,,9,35,3.9,26.62,4,9,4,4,19,5,5,25.87,16.2,187.93,0.63,1.23,1.43,87.2,2.23,9.63,0.13,,,,,,,,,,,
Dak Prescott,,0,QB,QB1,6700,DAL,vs DET,21,28,9,21.7,19.7,1,45,346.44,2.34,0.85,0.1291,3.64,16.27,0.25,3.64,0,0,0,0,0,0,0,0,0,0,0,25.49,25.49,0,11.99,43.49,25.49,25.49,28,0,100,,124,56,3.8,5.22,0.8,8,5,5,18,6,6,34.18,22.87,259.88,0.66,2.08,1.78,99.35,3.48,16.01,0.24,0.02,0.01,0.09,0.01,,,,,,,
Jalen Hurts,,0,QB,QB1,7200,PHI,vs CLE,10,25.25,10.8,22.9,19.4,1,34.76,267.55,1.47,0.85,0.3052,10.23,46.39,0.77,10.23,0,0,0,0,0,0,0,0,0,0,0,24.99,24.99,0,8.79,46.59,24.99,24.99,10,0,100,,27,47,3.5,21.86,3,4,6,6,13,7,7,26.31,16.77,195.29,0.58,1.92,1.09,82.11,8.72,41.03,0.66,0.03,0.02,0.05,,,,,,,,
Brock Bowers,,0,TE,TE1,6000,LV,vs PIT,27,19.75,7,0,13.3,0,0,0,0,0,0,0,0,0,13.48,0.3832,13.48,9.9,107.88,0.52,0,0,0,0,0,0,23.81,23.81,0,13.31,37.81,23.81,23.81,5,0,100,,57,47,4,16.1,2.7,1,1,1,25,8,8,,,,,,,,0.2,2.4,,7.2,5.6,62.6,0.2,,,,,,,
Alvin Kamara,,0,RB,RB1,7700,NO,vs TB,7,23,10.6,17.9,24.4,0,0,0,0,0,0.5909,19.93,86.69,0.86,25.91,0.1753,5.98,4.76,37.37,0.18,0,0,0,0,0,0,23.41,23.41,0,7.51,44.61,23.41,23.41,16,0,100,,53,48,3,17.4,2.3,3,1,1,8,9,9,0.01,0.01,0.12,,,,1.28,13.16,57.84,0.56,6.31,4.97,41.64,0.23,,,,,,,
Michael Pittman,,0,WR,WR1,6300,IND,@ TEN,31,19.5,7.4,16.3,11,0,0,0,0,0,0,0,0,0,15.08,0.3772,15.08,10.27,105.09,0.43,0,0,0,0,0,0,23.36,23.36,0,12.26,38.16,23.36,23.36,28,0,100,,75,44,3.7,12.5,2,18,2,2,22,10,10,,,,,,,,0.16,1.49,,7.81,5.34,58.21,0.24,,,,,,,
Breece Hall,,0,RB,RB1,6800,NYJ,vs BUF,24,21.5,9.9,17.6,14.5,0,0,0,0,0,0.6248,17.19,69.65,0.5,24.81,0.1674,7.62,5.92,47.44,0.42,0,0,0,0,0,0,23.15,23.15,0,8.3,42.95,23.15,23.15,5,0,100,,14,42,3.4,24.9,3.7,11,2,2,17,11,11,,,,,,,,12.69,57.03,0.38,5.31,4,33,0.21,,,,,,,
J.K. Dobbins,,0,RB,RB1,6200,LAC,@ DEN,8,17,7.5,11.7,16.6,0,0,0,0,0,0.7096,20.01,118.24,0.89,24.02,0.1237,4.01,3.35,18.06,0.06,0,0,0,0,0,0,22.68,22.68,0,11.43,37.68,22.68,22.68,13,0,100,,45,38,3.7,18.2,2.9,17,3,3,23,12,12,,,,,,,,10.36,60.32,0.5,1.64,1.32,7.89,0.04,,,,,,,
