,,,,,,,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,,,,,,,,Position Rankings,,,,Overall Rankings,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2023 Avg,2024 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Josh Allen,,0,QB,QB1,7800,BUF,@ SEA,19,24,9.3,25.2,20.6,1,35.89,291.78,1.9,0.75,0.2292,7.81,41.47,0.65,7.81,0,0,0,0,0,0,0,0,0,0,0,26.57,26.57,0,12.62,45.17,26.57,26.57,14,0,100,,40,61,3.4,20.82,2.7,2,1,1,10,1,1,33.14,20.9,239.71,0.76,1.83,1.75,92.43,6.9,38.06,0.55,0.03,0.02,0.27,0.02,,,,,,,
CeeDee Lamb,,0,WR,WR1,8600,DAL,@ SF,29,21,10.2,25.2,15.6,0,0,0,0,0,0.0612,1.57,10.19,0.08,14.23,0.3399,12.66,8.59,113.62,0.76,0,0,0,0,0,0,26.01,26.01,0,10.71,46.41,26.01,26.01,1,0,100,,1,44,3,42.6,5,2,1,1,2,2,2,,,,,0.01,,,0.71,4.93,0.04,8.64,5.93,77.94,0.47,,,,,,,
Kyren Williams,,0,RB,RB1,8200,LAR,vs MIN,1,22,11,22.9,20.1,0,0,0,0,0,0.8143,24.71,109.25,1.45,28.09,0.1012,3.38,2.75,15.5,0.22,0,0,0,0,0,0,25.25,25.25,0,8.75,47.25,25.25,25.25,8,0,100,,31,33,3.1,22.6,2.8,2,1,1,6,3,3,,,,,,,,14.58,66.12,0.77,2.88,2.12,13.58,0.15,,,,,,,
Lamar Jackson,,0,QB,QB1,8000,BAL,@ CLE,11,26,10.9,22.3,27.6,1,29.96,243.28,1.9,0.55,0.3024,9.77,59.27,0.29,9.77,0,0,0,0,0,0,0,0,0,0,0,24.45,24.45,0,8.1,46.25,24.45,24.45,11,0,100,,26,50,3.1,24.16,3,1,2,2,8,4,4,25.18,16.25,192.07,0.53,1.95,1.51,96.75,10.19,61.82,0.33,0.02,,,,,,,,,,
Jalen Hurts,,0,QB,QB1,7500,PHI,@ CIN,29,22.5,10.7,22.9,20.4,1,33.11,259.26,1.46,0.75,0.3049,9.51,41.07,0.74,9.51,0,0,0,0,0,0,0,0,0,0,0,24.01,24.01,0,7.96,45.41,24.01,24.01,1,0,100,,2,48,3.2,35.14,4.7,3,3,3,13,5,5,26.1,16.66,195.1,0.57,1.94,1.1,83.32,8.78,40.63,0.67,0.03,0.01,0.04,,,,,,,,
Jayden Daniels,,0,QB,QB1,7300,WAS,vs CHI,4,23.75,7.7,0,20.2,1,35.96,288.88,1.41,0.52,0.2757,8.05,44.14,0.45,8.05,0,0,0,0,0,0,0,0,0,0,0,23.79,23.79,0,12.24,39.19,23.79,23.79,9,0,100,,20,62,3.3,25.24,3.5,4,4,4,15,6,6,24,18.14,201.43,0.29,2.14,0.86,106.3,9.43,53.14,0.57,,,,,,,,,,,
Jordan Love,,0,QB,QB1,7100,GB,@ JAC,32,26.25,9.6,19.9,22.8,1,36.08,289.11,2.74,0.96,0.0837,2.77,10.29,0.18,2.77,0,0,0,0,0,0,0,0,0,0,0,23.67,23.67,0,9.27,42.87,23.67,23.67,33,0,100,,126,37,3.3,6.74,0.9,5,5,5,17,7,7,26.28,16.63,191.13,0.69,1.25,1.56,88.53,2.25,9.44,0.13,,,,,,,,,,,
Stefon Diggs,,0,WR,WR1,7500,HOU,vs IND,14,24.75,9.7,17,15.6,0,0,0,0,0,0,0,0,0,12.69,0.3026,12.69,8.78,107.87,0.66,0,0,0,0,0,0,23.53,23.53,0,8.98,42.93,23.53,23.53,32,0,100,,86,43,3.1,12.7,1.7,9,2,2,13,8,8,0.01,0.01,0.09,,0.01,,0.96,0.25,1.27,0.01,8.57,5.91,72.42,0.49,,,,,,,
Alvin Kamara,,0,RB,RB1,7600,NO,@ LAC,5,17,10.6,17.9,21.1,0,0,0,0,0,0.5511,15.81,67.3,0.68,23.96,0.2277,8.15,6.42,49.38,0.22,0,0,0,0,0,0,23.49,23.49,0,7.59,44.69,23.49,23.49,14,0,100,,49,47,3.1,18.2,2.4,8,2,2,12,9,9,0.01,0.01,0.12,,,,1.26,13.1,57.25,0.56,6.33,4.98,41.23,0.23,,,,,,,
