player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Garrett Wilson,97405,WR,NYJ,1,4.6,6,56.3,0.0,0,3,1,0.0,0,4,22,0,77.3,71.3,67.0,,70.9,0.0,0,0,16,0.0,0,55,2,9,92.7,51,36.4,20,68.8,16,0,63.6,35,76,48,5.3,8.4,1.49
Evan Engram,11778,TE,JAX,1,6.2,1,66.7,33.3,1,3,0,9.1,1,5,15,1,58.5,19.8,66.7,76.9,64.0,25.9,14,1,14,5.6,3,54,0,10,87.0,47,59.3,32,56.3,15,0,14.8,8,95,44,4.4,9.5,2.02
Amari Cooper,9437,WR,CLV,1,20.7,0,73.3,100.0,3,3,0,0.0,0,11,8,0,79.4,71.9,94.9,,94.6,0.0,0,1,75,0.0,0,42,0,11,90.5,38,19.0,8,127.1,15,2,81.0,34,265,54,4.9,24.1,6.97
Breece Hall,97636,HB,NYJ,1,1.0,4,80.0,0.0,0,1,0,0.0,0,5,22,0,80.0,79.1,77.8,32.3,73.6,4.5,2,0,15,6.8,3,44,0,12,84.1,37,4.5,2,93.3,15,0,22.7,10,96,109,9.1,8.0,2.59
Amon-Ra St. Brown,84470,WR,DET,1,4.4,2,85.7,0.0,0,1,0,0.0,0,8,11,0,79.4,71.9,79.9,36.1,81.7,0.0,0,0,25,4.5,2,44,0,12,90.9,40,36.4,16,122.0,14,1,63.6,28,106,60,5.0,8.8,2.65
Tyreek Hill,10799,WR,MIA,1,12.1,2,64.3,,0,0,0,10.0,1,6,17,0,56.7,70.6,80.7,,79.2,0.0,0,0,20,0.0,0,38,0,9,97.4,37,26.3,10,85.1,14,0,73.7,28,99,27,3.0,11.0,2.68
Zay Flowers,97268,WR,BLT,1,5.7,2,69.2,100.0,2,2,0,18.2,2,6,3,0,38.4,70.6,71.9,,69.3,0.0,0,0,13,0.0,0,41,0,9,90.2,37,29.3,12,108.5,13,1,70.7,29,72,46,5.1,8.0,1.95
Chris Olave,84355,WR,NO,1,9.5,1,69.2,0.0,0,1,0,18.2,2,7,20,0,41.1,71.1,80.3,,78.3,0.0,0,0,28,0.0,0,40,0,9,97.5,39,35.0,14,99.2,13,0,65.0,26,123,31,3.4,13.7,3.15
Cooper Kupp,11824,WR,LA,1,5.3,0,50.0,33.3,1,3,0,25.0,2,4,26,0,29.8,69.8,55.7,,56.9,0.0,0,0,12,0.0,0,36,0,6,97.2,35,72.2,26,61.8,12,0,27.8,10,52,34,5.7,8.7,1.49
Tyler Lockett,9502,WR,SEA,1,10.5,0,72.7,50.0,1,2,0,0.0,0,5,29,0,76.5,70.1,74.5,,73.5,0.0,0,0,21,0.0,0,38,0,8,92.1,35,36.8,14,93.4,11,0,60.5,23,81,13,1.6,10.1,2.31
Ezekiel Elliott,10638,HB,NE,1,0.1,1,81.8,50.0,1,2,0,10.0,1,2,19,0,56.7,76.6,62.4,75.0,65.4,2.9,1,0,15,26.5,9,34,0,9,73.5,25,11.8,4,109.5,11,1,8.8,3,33,41,4.6,3.7,1.32
Rashee Rice,97605,WR,KC,1,7.4,1,54.5,0.0,0,2,0,0.0,0,2,16,0,74.6,68.8,61.8,,64.1,2.3,1,0,15,0.0,0,44,1,6,97.7,43,43.2,19,69.1,11,0,54.5,24,57,35,5.8,9.5,1.33
Deebo Samuel,48274,WR,SF,1,7.5,3,36.4,0.0,0,1,0,33.3,2,3,28,0,28.7,71.0,55.5,,56.1,0.0,0,2,20,0.0,0,52,0,4,96.2,50,34.6,18,10.6,11,0,59.6,31,47,16,4.0,11.8,0.94
Puka Nacua,100632,WR,LA,1,14.5,1,81.8,50.0,1,2,0,0.0,0,8,26,0,77.3,72.8,92.5,,90.9,0.0,0,0,41,0.0,0,36,0,9,97.2,35,30.6,11,149.1,11,1,69.4,25,164,51,5.7,18.2,4.69
Calvin Ridley,48262,WR,JAX,1,14.3,1,60.0,100.0,2,2,0,14.3,1,5,15,0,49.2,69.8,76.0,,75.3,0.0,0,1,25,0.0,0,55,0,6,90.9,50,21.8,12,89.6,10,2,78.2,43,90,13,2.2,15.0,1.8
George Kittle,11901,TE,SF,1,10.7,2,70.0,0.0,0,2,0,12.5,1,5,28,0,52.1,69.5,73.2,67.1,75.0,63.8,30,2,58,2.1,1,47,0,7,95.7,45,23.4,11,72.9,10,0,10.6,5,126,62,8.9,18.0,2.8
Bijan Robinson,123126,HB,ATL,1,0.6,4,70.0,33.3,1,3,0,0.0,0,3,2,0,75.6,75.9,74.3,,66.5,0.0,0,0,14,0.0,0,31,1,7,100.0,31,16.1,5,81.3,10,0,9.7,3,50,54,7.7,7.1,1.61
CeeDee Lamb,61570,WR,DAL,1,9.3,2,60.0,0.0,0,1,0,0.0,0,4,9,0,74.6,70.6,89.9,,89.2,0.0,0,0,49,0.0,0,41,0,6,87.8,36,58.5,24,134.6,10,1,36.6,15,118,61,10.2,19.7,3.28
Christian McCaffrey,11763,HB,SF,1,0.3,0,60.0,,0,0,1,14.3,1,1,28,0,49.2,76.0,55.5,14.7,53.0,0.0,0,1,12,7.3,4,55,2,6,90.9,50,20.0,11,25.0,10,0,9.1,5,28,42,7.0,4.7,0.56
A.J. Brown,48327,WR,PHI,1,10.8,1,60.0,0.0,0,1,0,14.3,1,4,24,0,52.1,69.5,62.2,62.3,61.8,0.0,0,0,32,2.4,1,42,0,6,92.9,39,19.0,8,85.4,10,0,81.0,34,80,14,2.3,13.3,2.05
Dalton Schultz,47304,TE,HST,1,4.5,2,80.0,100.0,1,1,0,0.0,0,3,13,0,77.3,70.6,55.9,20.4,63.3,56.5,26,1,14,8.7,4,46,0,8,80.4,37,21.7,10,52.5,10,0,10.9,5,61,30,3.8,7.6,1.65
Justin Jefferson,61398,WR,MIN,1,23.0,1,60.0,33.3,1,3,0,0.0,0,5,18,0,74.6,68.8,86.8,,85.1,0.0,0,2,29,0.0,0,43,0,6,93.0,40,37.2,16,97.9,10,1,62.8,27,141,19,3.2,23.5,3.53
Dallas Goedert,47272,TE,PHI,1,5.0,0,77.8,50.0,1,2,0,0.0,0,4,24,0,75.6,69.5,72.1,69.2,67.8,38.5,15,1,21,2.6,1,39,0,7,92.3,36,46.2,18,60.0,9,0,15.4,6,71,38,5.4,10.1,1.97
Josh Downs,122832,WR,IND,1,8.8,0,66.7,100.0,1,1,0,14.3,1,2,14,0,52.1,72.0,56.0,,55.5,0.0,0,0,14,0.0,0,46,0,6,93.5,43,71.7,33,75.7,9,0,23.9,11,39,20,3.3,6.5,0.91
Chris Godwin,11839,WR,TB,1,10.9,0,66.7,66.7,2,3,0,14.3,1,5,30,0,49.7,68.8,63.5,,67.7,0.0,0,0,22,0.0,0,41,0,6,97.6,40,41.5,17,93.8,9,0,58.5,24,78,13,2.2,13.0,1.95
Andrei Iosivas,109811,WR,CIN,1,10.3,0,50.0,100.0,1,1,0,33.3,2,3,7,0,28.7,67.0,57.3,,57.1,0.0,0,1,12,0.0,0,37,0,4,91.9,34,10.8,4,22.9,8,0,89.2,33,36,1,0.3,9.0,1.06
Demario Douglas,104155,WR,NE,1,9.4,0,62.5,,0,0,0,16.7,1,3,19,0,45.8,68.0,66.8,,66.0,0.0,0,0,41,0.0,0,34,0,5,97.1,33,67.6,23,92.7,8,0,32.4,11,74,17,3.4,14.8,2.24
Stefon Diggs,9579,WR,BUF,1,14.3,0,62.5,100.0,1,1,0,0.0,0,3,4,0,73.4,68.0,73.8,,73.1,0.0,0,1,11,0.0,0,20,0,5,90.0,18,30.0,6,29.7,8,0,70.0,14,29,8,1.6,5.8,1.61
Trey McBride,75916,TE,ARZ,1,5.3,0,75.0,,0,0,0,14.3,1,1,1,0,49.2,68.8,54.0,72.3,51.6,21.4,9,0,10,7.1,3,42,0,6,88.1,37,76.2,32,80.7,8,0,2.4,1,31,10,1.7,5.2,0.84
Rashid Shaheed,63707,WR,NO,1,15.4,1,62.5,,0,0,0,0.0,0,2,20,0,73.4,69.1,59.7,,63.4,0.0,0,0,45,0.0,0,41,0,5,97.6,40,46.3,19,130.2,8,1,53.7,22,70,3,0.6,14.0,1.75
Joshua Palmer,62979,WR,LAC,1,7.4,0,62.5,33.3,1,3,0,0.0,0,2,27,0,73.4,68.0,60.6,,60.8,0.0,0,0,19,0.0,0,43,0,5,90.7,39,58.1,25,80.2,8,0,41.9,18,50,11,2.2,10.0,1.28
DJ Chark Jr.,47702,WR,CAR,1,17.8,0,75.0,100.0,2,2,0,0.0,0,6,5,1,74.6,16.9,82.9,,81.4,0.0,0,0,22,0.0,0,35,0,6,94.3,33,45.7,16,155.2,8,2,54.3,19,98,7,1.2,16.3,2.97
David Njoku,11784,TE,CLV,1,7.5,0,75.0,33.3,1,3,0,0.0,0,2,8,0,74.6,68.8,57.6,76.6,61.0,64.3,27,0,21,16.7,7,42,0,6,76.2,32,26.2,11,127.1,8,1,9.5,4,44,16,2.7,7.3,1.38
Gerald Everett,11799,TE,LAC,1,2.8,1,87.5,,0,0,0,0.0,0,2,27,0,76.5,70.1,70.6,,71.0,55.6,20,0,15,0.0,0,36,0,7,88.9,32,25.0,9,88.5,8,0,16.7,6,42,26,3.7,6.0,1.31
Adam Thielen,8288,WR,CAR,1,13.0,0,75.0,100.0,1,1,0,0.0,0,5,5,0,74.6,68.8,79.7,,76.0,0.0,0,0,22,0.0,0,40,0,6,95.0,38,47.5,19,113.5,8,0,50.0,20,94,25,4.2,15.7,2.47
Tee Higgins,61211,WR,CIN,1,11.1,1,62.5,33.3,1,3,0,0.0,0,4,7,0,73.4,68.0,79.6,,77.9,0.0,0,0,80,0.0,0,43,0,5,93.0,40,14.0,6,145.8,8,1,86.0,37,140,86,17.2,28.0,3.5
Emari Demercado,77763,HB,ARZ,1,0.1,3,87.5,,0,0,0,0.0,0,2,1,0,75.6,71.1,65.8,71.7,72.9,0.0,0,0,22,9.5,2,21,0,7,90.5,19,4.8,1,87.5,8,0,0.0,0,40,42,6.0,5.7,2.11
Mike Evans,8642,WR,TB,1,10.4,0,100.0,100.0,3,3,0,0.0,0,6,30,0,75.6,69.5,78.7,,80.3,0.0,0,0,22,0.0,0,38,0,7,97.4,37,28.9,11,157.4,7,2,71.1,27,86,18,2.6,12.3,2.32
Travis Kelce,7844,TE,KC,1,-1.0,6,71.4,,0,0,1,28.6,2,1,16,0,29.2,68.0,53.4,71.5,54.0,28.8,15,0,24,5.8,3,52,1,5,92.3,48,40.4,21,87.8,7,0,30.8,16,44,54,10.8,8.8,0.92
Rachaad White,131633,HB,TB,1,-1.7,1,85.7,,0,0,0,14.3,1,3,30,0,49.2,77.8,59.1,78.3,74.4,0.0,0,0,16,9.7,3,31,0,6,90.3,28,16.1,5,89.3,7,0,16.1,5,38,46,7.7,6.3,1.36
K.J. Osborn,23503,WR,MIN,1,16.0,0,71.4,50.0,1,2,0,0.0,0,5,18,0,73.4,68.0,77.3,,76.2,0.0,0,0,47,0.0,0,40,0,5,95.0,38,32.5,13,153.3,7,1,67.5,27,95,24,4.8,19.0,2.5
Jaxon Smith-Njigba,129758,WR,SEA,1,6.9,0,85.7,,0,0,0,0.0,0,3,29,0,74.6,68.8,66.0,,68.3,0.0,0,0,20,0.0,0,31,0,6,93.5,29,48.4,15,103.0,7,0,51.6,16,61,32,5.3,10.2,2.1
Tucker Kraft,104034,TE,GB,1,10.9,2,57.1,0.0,0,2,0,20.0,1,3,12,0,42.1,67.0,62.5,66.3,71.9,61.3,19,0,27,3.2,1,31,0,4,87.1,27,29.0,9,85.4,7,0,9.7,3,60,43,10.8,15.0,2.22
Jahmyr Gibbs,122474,HB,DET,1,-2.3,2,57.1,,0,0,0,20.0,1,1,11,0,41.6,24.8,65.0,73.7,51.6,0.0,0,0,8,33.3,10,30,0,4,63.3,19,13.3,4,62.2,7,0,0.0,0,20,33,8.3,5.0,1.05
Alec Pierce,78038,WR,IND,1,16.0,0,42.9,66.7,2,3,0,25.0,1,2,14,0,36.2,65.8,57.6,66.3,55.1,0.0,0,1,16,2.0,1,49,0,3,91.8,45,12.2,6,16.1,7,0,87.8,43,30,0,0.0,10.0,0.67
Wan'Dale Robinson,101735,WR,NYG,1,10.1,0,42.9,,0,0,0,25.0,1,0,21,0,36.2,65.8,53.5,,54.0,0.0,0,0,8,0.0,0,25,0,3,92.0,23,68.0,17,50.3,7,0,32.0,8,16,23,7.7,5.3,0.7
Kylen Granson,40630,TE,IND,1,5.9,0,71.4,100.0,2,2,0,0.0,0,4,14,0,73.4,68.0,81.4,,88.5,50.0,9,0,16,0.0,0,18,0,5,100.0,18,38.9,7,98.5,7,0,11.1,2,62,23,4.6,12.4,3.44
Brandon Aiyuk,84109,WR,SF,1,11.7,5,85.7,,0,0,0,0.0,0,4,28,0,74.6,68.8,75.2,63.9,74.7,2.0,1,0,33,2.0,1,51,1,6,96.1,49,23.5,12,118.8,7,0,74.5,38,113,50,8.3,18.8,2.31
Juwan Johnson,28305,TE,NO,1,10.6,4,57.1,66.7,2,3,0,0.0,0,3,20,0,72.1,67.0,73.4,22.0,74.4,19.4,7,1,20,8.3,3,36,0,4,88.9,32,66.7,24,78.3,7,1,13.9,5,48,19,4.8,12.0,1.5
Noah Brown,11993,WR,HST,1,13.7,0,42.9,,0,0,0,25.0,1,3,13,0,36.2,65.8,56.1,,58.0,0.0,0,0,16,0.0,0,52,0,3,86.5,45,23.1,12,60.4,7,0,76.9,40,38,9,3.0,12.7,0.84
Tyler Conklin,47124,TE,NYJ,1,4.1,1,57.1,0.0,0,1,0,0.0,0,2,22,0,72.1,68.3,62.2,49.7,62.2,22.4,11,0,13,6.1,3,49,1,4,85.7,42,69.4,34,71.1,7,0,8.2,4,36,32,8.0,9.0,0.86
Jake Ferguson,61081,TE,DAL,1,3.2,0,66.7,100.0,1,1,0,0.0,0,3,9,0,72.1,67.0,55.0,30.3,64.9,58.5,24,0,20,9.8,4,41,1,4,78.0,32,34.1,14,88.9,6,0,4.9,2,45,32,8.0,11.3,1.41
Davante Adams,8688,WR,LV,1,10.8,0,16.7,0.0,0,1,0,66.7,2,1,23,0,26.5,61.2,38.7,,41.0,0.0,0,0,4,0.0,0,24,0,1,95.8,23,20.8,5,39.6,6,0,79.2,19,4,0,0.0,4.0,0.17
Gabe Davis,55410,WR,BUF,1,19.7,1,66.7,0.0,0,1,0,0.0,0,4,4,0,73.4,68.0,92.5,,91.7,0.0,0,0,57,0.0,0,22,0,4,86.4,19,18.2,4,149.3,6,1,81.8,18,130,35,8.8,32.5,6.84
DJ Moore,48267,WR,CHI,1,11.7,0,50.0,0.0,0,1,0,25.0,1,1,6,0,36.2,65.8,51.5,,54.0,0.0,0,0,7,0.0,0,30,0,3,93.3,28,23.3,7,56.3,6,0,76.7,23,18,3,1.0,6.0,0.64
Logan Thomas,8755,TE,WAS,1,5.3,0,83.3,100.0,1,1,0,16.7,1,1,32,0,45.8,68.0,52.9,,53.4,22.6,7,1,15,0.0,0,31,0,5,93.5,29,61.3,19,91.7,6,1,16.1,5,36,6,1.2,7.2,1.24
Tyler Boyd,10689,WR,CIN,1,8.2,2,83.3,,0,0,0,0.0,0,3,7,0,73.4,68.0,65.9,,68.0,0.0,0,1,29,0.0,0,41,0,5,92.7,38,85.4,35,68.1,6,0,14.6,6,59,32,6.4,11.8,1.55
Demarcus Robinson,10760,WR,LA,1,12.3,0,100.0,100.0,2,2,0,0.0,0,5,26,0,74.6,68.8,82.1,,80.5,0.0,0,0,32,0.0,0,34,0,6,97.1,33,11.8,4,158.3,6,1,88.2,30,82,17,2.8,13.7,2.48
Jameson Williams,101701,WR,DET,1,5.5,2,83.3,100.0,1,1,0,0.0,0,2,11,1,73.4,16.0,54.1,,57.2,0.0,0,0,12,0.0,0,27,0,5,92.6,25,51.9,14,96.5,6,0,48.1,13,43,20,4.0,8.6,1.72
Trey Palmer,99248,WR,TB,1,5.3,0,66.7,0.0,0,2,0,0.0,0,2,30,0,72.1,67.0,62.8,,62.4,0.0,0,0,18,0.0,0,29,0,4,100.0,29,72.4,21,86.8,6,0,27.6,8,42,22,5.5,10.5,1.45
Alvin Kamara,11822,HB,NO,1,-1.7,2,83.3,,0,0,0,0.0,0,1,20,0,73.4,74.3,57.3,20.4,68.6,0.0,0,0,9,33.3,11,33,0,5,63.6,21,0.0,0,79.2,6,0,0.0,0,16,25,5.0,3.2,0.76
Jonnu Smith,11855,TE,ATL,1,3.0,3,66.7,0.0,0,1,0,0.0,0,3,2,0,72.1,67.0,64.4,75.2,65.3,40.0,12,0,15,13.3,4,30,0,4,86.7,26,56.7,17,79.9,6,0,0.0,0,32,29,7.3,8.0,1.23
Robert Woods,7822,WR,HST,1,10.8,0,33.3,0.0,0,1,0,0.0,0,1,13,0,68.3,72.8,53.3,,54.5,0.0,0,0,12,0.0,0,48,1,2,91.7,44,62.5,30,42.4,6,0,37.5,18,14,9,4.5,7.0,0.32
George Pickens,99229,WR,PIT,1,17.8,1,66.7,,0,0,0,0.0,0,3,25,1,72.1,15.2,90.1,,88.3,0.0,0,0,86,0.0,0,27,0,4,96.3,26,14.8,4,149.3,6,2,85.2,23,195,113,28.3,48.8,7.5
