player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Keenan Allen,7857,WR,LAC,1,9.7,1,66.7,100.0,2,2,0,23.1,3,4,27,0,29.5,71.1,67.1,,66.9,0.0,0,0,38,0.0,0,46,0,10,95.7,44,52.2,24,112.1,15,1,45.7,21,116,38,3.8,11.6,2.64
David Njoku,11784,TE,CLV,1,3.5,0,46.7,33.3,1,3,0,30.0,3,4,8,0,28.3,69.5,49.5,47.5,56.0,39.0,16,0,18,4.9,2,41,0,7,92.7,38,48.8,20,56.5,15,0,12.2,5,56,34,4.9,8.0,1.47
Davante Adams,8688,WR,LV,1,15.4,1,58.3,0.0,0,1,0,12.5,1,2,23,0,52.5,69.5,61.2,,60.8,0.0,0,0,46,0.0,0,44,0,7,97.7,43,15.9,7,106.9,12,1,84.1,37,82,9,1.3,11.7,1.91
Tyreek Hill,10799,WR,MIA,1,11.3,4,90.9,100.0,1,1,0,0.0,0,6,17,0,78.0,71.1,91.7,,91.3,0.0,0,0,38,0.0,0,30,0,10,96.7,29,30.0,9,149.1,11,1,66.7,20,146,40,4.0,14.6,5.03
Adam Thielen,8288,WR,CAR,1,8.0,0,72.7,66.7,2,3,0,0.0,0,5,5,1,76.5,18.5,68.0,,71.0,0.0,0,0,16,0.0,0,36,1,8,100.0,36,66.7,24,90.7,11,0,33.3,12,74,26,3.3,9.3,2.06
Justin Watson,66915,WR,KC,1,13.5,0,45.5,66.7,2,3,0,28.6,2,4,16,0,29.2,68.0,67.4,,65.5,0.0,0,1,17,0.0,0,35,0,5,94.3,33,22.9,8,52.5,11,1,77.1,27,53,2,0.4,10.6,1.61
Amon-Ra St. Brown,84470,WR,DET,1,5.3,1,72.7,100.0,2,2,0,0.0,0,6,11,0,76.5,71.1,81.5,,81.0,0.0,0,0,16,0.0,0,38,0,8,97.4,37,73.7,28,122.2,11,1,23.7,9,77,31,3.9,9.6,2.08
Mike Evans,8642,WR,TB,1,17.1,0,45.5,33.3,1,3,0,0.0,0,4,30,0,73.4,68.0,69.6,,69.1,0.0,0,0,13,0.0,0,42,0,5,95.2,40,16.7,7,86.6,11,1,83.3,35,43,8,1.6,8.6,1.08
Nico Collins,61441,WR,HST,1,9.5,0,63.6,50.0,2,4,0,0.0,0,3,13,0,75.6,69.5,72.2,,70.4,0.0,0,1,23,0.0,0,34,0,7,100.0,34,23.5,8,41.9,11,0,76.5,26,65,14,2.0,9.3,1.91
Tank Dell,78874,WR,HST,1,16.3,1,80.0,100.0,1,1,0,0.0,0,8,13,0,76.5,70.6,91.3,,91.0,0.0,0,1,40,0.0,0,35,0,8,97.1,34,34.3,12,112.5,10,1,65.7,23,149,17,2.1,18.6,4.38
