"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2022-12-24T18:00:00Z","TEN","30","19","1.07","20","60","-4","4","HST","32","14","1.5","23","39"
"2022-12-24T21:05:00Z","WAS","28","16","1.4","15","40","-17","-37","SF","35","15","1.05","10","50"
"2022-12-26T01:20:00Z","ARZ","24","13","1.51","18","44","45","-33","TB","23","20","1.38","9","33"
"2022-12-24T18:00:00Z","ATL","23","16","1.54","17","59","28","29","BLT","25","17","1.06","20","40"
"2022-12-24T18:00:00Z","BLT","21","17","1.88","15","53","45","-4","ATL","28","13","1.49","16","50"
"2022-12-24T18:00:00Z","BUF","27","10","1.63","19","32","26","4","CHI","24","10","1.5","22","45"
"2022-12-24T18:00:00Z","CAR","20","19","1.15","15","40","29","-22","DET","32","13","1.47","26","42"
"2022-12-24T18:00:00Z","CHI","26","19","1.65","20","35","-1","-4","BUF","31","18","0.92","16","38"
"2022-12-24T18:00:00Z","CIN","23","17","1.21","26","35","-15","-20","NE","36","20","1.45","10","30"
"2022-12-24T18:00:00Z","CLV","25","16","1.32","17","47","19","-14","NO","31","18","1.42","16","69"
"2022-12-24T21:25:00Z","DAL","27","8","1.32","23","43","-33","-22","PHI","34","23","1.27","18","39"
"2022-12-25T21:30:00Z","DEN","23","20","1.25","16","44","30","-44","LA","27","15","1.3","20","25"
"2022-12-24T18:00:00Z","DET","23","9","1.35","32","41","24","-5","CAR","30","11","1.31","24","50"
"2022-12-25T18:00:00Z","GB","22","17","1.57","11","18","-15","-43","MIA","33","13","1.34","24","29"
"2022-12-24T18:00:00Z","HST","25","13","1.1","16","25","-6","-35","TEN","31","15","1.01","12","50"
"2022-12-27T01:15:00Z","IND","26","18","1.24","16","31","29","21","LAC","29","12","1.96","20","40"
"2022-12-23T01:15:00Z","JAX","24","13","1.94","23","30","-13","-62","NYJ","37","18","1.26","15","47"
"2022-12-24T18:00:00Z","KC","25","9","1.67","20","30","32","-1","SEA","30","17","1.45","31","29"
"2022-12-25T21:30:00Z","LA","23","21","1.27","10","40","13","-29","DEN","32","15","1.26","10","40"
"2022-12-27T01:15:00Z","LAC","24","10","1.12","13","46","24","-52","IND","30","21","1.3","25","36"
"2022-12-25T01:15:00Z","LV","28","11","1.44","9","44","-5","-17","PIT","30","17","1.32","16","31"
"2022-12-25T18:00:00Z","MIA","22","11","1.36","11","55","19","26","GB","31","15","1.51","24","25"
"2022-12-24T18:00:00Z","MIN","28","18","1.03","22","45","-3","4","NYG","30","15","2.03","16","56"
"2022-12-24T18:00:00Z","NE","23","20","1.35","16","38","41","-16","CIN","23","13","1.59","16","31"
"2022-12-24T18:00:00Z","NO","23","18","1.48","7","57","-23","4","CLV","30","15","1.7","16","44"
"2022-12-24T18:00:00Z","NYG","27","18","1.55","27","44","-3","-53","MIN","34","13","1.27","20","50"
"2022-12-23T01:15:00Z","NYJ","24","12","1.28","18","28","6","-34","JAX","32","12","1.16","19","53"
"2022-12-24T21:25:00Z","PHI","19","9","1.82","38","50","-1","7","DAL","40","15","1.54","12","33"
"2022-12-25T01:15:00Z","PIT","22","13","1.26","19","53","6","-27","LV","29","15","1.35","15","67"
"2022-12-24T18:00:00Z","SEA","26","18","1.51","5","40","-1","-33","KC","28","16","1.42","16","44"
"2022-12-24T21:05:00Z","SF","22","10","1.71","28","29","-3","3","WAS","33","14","1.36","20","20"
"2022-12-26T01:20:00Z","TB","23","10","1.37","14","29","24","-7","ARZ","28","14","1.47","19","47"
